ETAB_CODE,ETAB_NOM,ETAB_NOM_A,RSS_CODE,RSS_NOM,ADRESSE,CASE_POST,CODE_POSTA,MUN_CODE,MUN_NOM,CLSC_CODE,CLSC_NOM,MRC_CODE,MRC_NOM,RLS_CODE,RLS_NOM,RUIS_CODE,RUIS_NOM,STATUT_COD,MD_CONS_CO,MD_FINAN_C,DESIGN_MIN,INSTANCE,DATE_INCOR,LONGITUDE,LATITUDE,CHPSY,CHSGS,CHSLD,CLSC,CPEJ,CRDITED,CRDPA,CRDPM,CRDPV,CRDPL,CRJDA,CRMDA,CRD,DATE_MAJ
"11045341","Centre d'hébergement et de soins de longue durée Waldorf S.E.C.","CHSLD Waldorf S.E.C.","06","Montréal","7400, chemin de la Côte-Saint-luc","2e etage, tour 2","H4W3J4","66058","Côte-Saint-Luc","06211","Côte-Saint-Luc","660","Montréal","0621","RLS de Côte-Saint-Luc - NDG - Montréal-Ouest","3","RUISSS Université McGill","2","0","4"," ","N","",-73.6583023071,45.4606971741,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11045358","Centre d'hébergement et de soins de longue durée de la Villa-de-Val-des-Arbres Inc.","CHSLD de la Villa-de-Val-des-Arbres inc.","13","Laval","3245, boulevard Saint-Martin Est"," ","H7E4T6","65005","Laval","13112","Duvernay","650","Laval","1311","RLS de Laval","2","RUISSS Université de Montréal","2","1","8"," ","N","",-73.6773605347,45.6056098938,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11045382","Centre d'hébergement et de soins de longue durée au Cœur-de-la-Vie inc.","CHSLD au Cœur-de-la-Vie inc.","15","Laurentides","325, rue Barrette, 1er étage"," ","J7Y0J8","75017","Saint-Jérôme","15161","La Rivière-du-Nord - Mirabel","750","La Rivière-du-Nord","1516","RLS de la Rivière-du-Nord - Mirabel-Nord","2","RUISSS Université de Montréal","2","1","4"," ","N","",-74.0143737793,45.7774887085,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11045390","Centre d'hébergement et de soins de longue durée Louise-Faubert Inc.","CHSLD Louise-Faubert Inc.","14","Lanaudière","751, rue Marcel-De La Sablonnière"," ","J6Y0M4","64008","Terrebonne","14121","Les Moulins","640","Les Moulins","1412","RLS de Lanaudière-Sud","2","RUISSS Université de Montréal","2","1","4"," ","N","",-73.7286453247,45.6871833801,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11053139","Centre d'hébergement et de soins de longue durée Marguerite-Rocheleau inc.","CHSLD Marguerite-Rocheleau inc.","14","Lanaudière","751, rue Marcel-De La Sablonnière"," ","J6Y0M4","64008","Terrebonne","14121","Les Moulins","640","Les Moulins","1412","RLS de Lanaudière-Sud","2","RUISSS Université de Montréal","2","2","8"," ","N","",-73.7286453247,45.6871833801,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11053147","Centre d'hébergement et de soins de longue durée Michèle-Bohec inc.","CHSLD Michèle-Bohec inc.","14","Lanaudière","751, rue Marcel-De La Sablonnière"," ","J6Y0M4","64008","Terrebonne","14121","Les Moulins","640","Les Moulins","1412","RLS de Lanaudière-Sud","2","RUISSS Université de Montréal","2","2","8"," ","N","",-73.7286453247,45.6871833801,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11053436","Centre d'hébergement et de soins de longue durée L.-B.-Desjardins Inc.","CHSLD L.-B.-Desjardins Inc.","15","Laurentides","55, avenue Hochar"," ","J0R1R6","77043","Saint-Sauveur","15131","Les Pays-d'en-Haut","770","Les Pays-d'en-Haut","1513","RLS des Pays-d'en-Haut","2","RUISSS Université de Montréal","2","2","8"," ","N","",-74.1569900513,45.8891906738,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11053444","Centre d'hébergement et de soins de longue durée des Patriotes Inc.","CHSLD des Patriotes Inc.","13","Laval","3245, boulevard Saint-Martin Est"," ","H7E4T6","65005","Laval","13112","Duvernay","650","Laval","1311","RLS de Laval","2","RUISSS Université de Montréal","2","1","4"," ","N","",-73.6773605347,45.6056098938,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11054020","Centre d'hébergement et de soins de longue durée des Îles-de-la-Madeleine inc.","Centre d'hébergement et de soins de longue durée des Îl","11","Gaspésie–Îles-de-la-Madeleine","596, chemin Principal"," ","G4T1G1","01023","Les Îles-de-la-Madeleine","11211","Îles-de-la-Madeleine","010","Communauté maritime des Îles-de-la-Madeleine","1121","RLS des Îles-de-la-Madeleine","1","RUISSS Université Laval","2","7","4"," ","N","",-61.8730888367,47.3731307983,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11045010","Centre d'hébergement et de soins de longue durée de Laval S.E.C.","CHSLD de Laval S.E.C.","13","Laval","2805, boulevard Chomedey"," ","H7P0C2","65005","Laval","13111","Sainte-Rose-de-Laval","650","Laval","1311","RLS de Laval","2","RUISSS Université de Montréal","2","0","4"," ","N","",-73.7665557861,45.5708618164,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11045028","Centre d'hébergement et de soins de longue durée de Granby S.E.C.","CHSLD de Granby S.E.C.","05","Estrie","80, rue Godue"," ","J2J2Z7","47017","Granby","05121","Granby-Shefford-Bromont","470","La Haute-Yamaska","0512","RLS de la Haute-Yamaska","4","RUISSS Université de Sherbrooke","2","0","4"," ","N","",-72.7621536255,45.4074707031,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11084464","Centre de soins prolongés Grace Dart","Centre de soins prolongés Grace Dart","06","Montréal","5155, rue Sainte-Catherine Est"," ","H1V2A5","66023","Montréal","06533","Hochelaga-Maisonneuve","660","Montréal","0653","RLS de Hochelaga - Mercier-Ouest - Rosemont","2","RUISSS Université de Montréal","1","6","1"," ","N","2007-04-04",-73.5289077759,45.5594596863,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11097029","Hôpital juif de réadaptation","Hôpital juif de réadaptation","13","Laval","3205, place Alton-Goldbloom"," ","H7V1R2","65005","Laval","13114","Chomedey","650","Laval","1311","RLS de Laval","2","RUISSS Université de Montréal","1","6","1"," ","N","2007-04-03",-73.7376403809,45.5487289429,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11168606","Centre de réadaptation Lethbridge-Layton-Mackay","Centre de réadaptation Lethbridge-Layton-Mackay","06","Montréal","7005, boulevard De Maisonneuve Ouest"," ","H4B1T3","66023","Montréal","06212","Notre-Dame-de-Grâce - Montréal-Ouest","660","Montréal","0621","RLS de Côte-Saint-Luc - NDG - Montréal-Ouest","3","RUISSS Université McGill","1","4","1","6","N","2007-04-04",-73.6341323853,45.4583435059,"Non","Non","Non","Non","Non","Non","Oui","Oui","Oui","Non","Non","Non","Non","2021-12-03"
"11755501","CHSLD Providence Notre-Dame de Lourdes inc.","CHSLD Providence Notre-Dame de Lourdes inc.","06","Montréal","1870, boulevard Pie-IX"," ","H1V2C6","66023","Montréal","06533","Hochelaga-Maisonneuve","660","Montréal","0653","RLS de Hochelaga - Mercier-Ouest - Rosemont","2","RUISSS Université de Montréal","2","1","2"," ","N","2010-02-24",-73.5406951904,45.549785614,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12114922","Atelier le fil d'Ariane Inc.","Atelier le fil d'Ariane Inc.","06","Montréal","4837, rue Boyer, app. 100"," ","H2J3E6","66023","Montréal","06322","Plateau-Mont-Royal","660","Montréal","0632","RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc","2","RUISSS Université de Montréal","2","4","1"," ","N","2010-02-24",-73.5838394165,45.5294494629,"Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12326849","Résidence Angelica","Résidence Angelica","06","Montréal","3435, boulevard Gouin Est"," ","H1H1B1","66023","Montréal","06422","Montréal-Nord","660","Montréal","0642","RLS d'Ahuntsic - Montréal-Nord","2","RUISSS Université de Montréal","2","1","2"," ","N","2010-02-24",-73.6513366699,45.5899391174,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12363412","Centre de santé et de services sociaux du Haut-Saint-Laurent","CSSS du Haut-Saint-Laurent","16","Montérégie","28, rue Gale"," ","J0S1K0","69037","Ormstown","16331","Haut-Saint-Laurent","690","Le Haut-Saint-Laurent","1633","RLS du Haut-Saint-Laurent","3","RUISSS Université McGill","1","4","1"," ","O","2007-04-10",-73.9998703003,45.1263427734,"Non","Oui","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12366043","CHSLD Bayview Inc.","CHSLD Bayview Inc.","06","Montréal","27, chemin Lakeshore"," ","H9S4H1","66097","Pointe-Claire","06111","Lac Saint-Louis","660","Montréal","0611","RLS de Pierrefonds - Lac Saint-Louis","3","RUISSS Université McGill","2","1","2"," ","N","2010-02-24",-73.786567688,45.4486465454,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12383907","Résidence Berthiaume-Du Tremblay","Résidence Berthiaume-Du Tremblay","06","Montréal","1635, boulevard Gouin Est"," ","H2C1C2","66023","Montréal","06421","Ahuntsic","660","Montréal","0642","RLS d'Ahuntsic - Montréal-Nord","2","RUISSS Université de Montréal","2","1","2"," ","N","2010-02-24",-73.6630554199,45.5674171448,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12399820","La corporation Notre-Dame de Bon-Secours","La corporation Notre-Dame de Bon-Secours","03","Capitale-Nationale","990, rue Gérard-Morisset"," ","G1S1X6","23027","Québec","03124","Québec - Haute-Ville","230","Québec","0312","RLS de Québec-Sud","1","RUISSS Université Laval","2","4","6"," ","N","2010-02-24",-71.2566070557,46.788066864,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12409991","Hôpital Jeffery Hale - Saint Brigid's","Hôpital Jeffery Hale - Saint Brigid's","03","Capitale-Nationale","1250, chemin Sainte-Foy"," ","G1S2M6","23027","Québec","03124","Québec - Haute-Ville","230","Québec","0312","RLS de Québec-Sud","1","RUISSS Université Laval","1","4","1"," ","N","2007-04-10",-71.2530822754,46.7966499329,"Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12420774","Hôpital Santa Cabrini","Hôpital Santa Cabrini","06","Montréal","5655, rue Saint-Zotique Est"," ","H1T1P7","66023","Montréal","06531","Rosemont","660","Montréal","0653","RLS de Hochelaga - Mercier-Ouest - Rosemont","2","RUISSS Université de Montréal","1","4","1"," ","N","2007-04-03",-73.5717163086,45.5801391602,"Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12431656","Institut de Cardiologie de Montréal","ICM","06","Montréal","5000, rue Bélanger"," ","H1T1C8","66023","Montréal","06531","Rosemont","660","Montréal","0653","RLS de Hochelaga - Mercier-Ouest - Rosemont","2","RUISSS Université de Montréal","1","4","1","2","N","",-73.5778198242,45.573764801,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12452645","Hôpital Marie-Clarac des Soeurs de Charité de Ste-Marie (1995) Inc.","Hôp. Marie-Clarac des Soeurs de Charité de Ste-Marie","06","Montréal","3530, boulevard Gouin Est"," ","H1H1B7","66023","Montréal","06422","Montréal-Nord","660","Montréal","0642","RLS d'Ahuntsic - Montréal-Nord","2","RUISSS Université de Montréal","2","1","2"," ","N","2010-02-24",-73.6497421265,45.5908355713,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12453676","Clinique communautaire de Pointe St-Charles","Clinique communautaire de Pointe St-Charles","06","Montréal","500, avenue Ash"," ","H3K2R4","66023","Montréal","06314","Pointe-Saint-Charles","660","Montréal","0631","RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles","2","RUISSS Université de Montréal","2","4","2"," ","N","2010-02-24",-73.556892395,45.4783477783,"Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12536637","Centre de réadaptation en déficience intellectuelle et en troubles envahissants du développement de l'Estrie","CRDITED de l'Estrie","05","Estrie","1621, rue Prospect"," ","J1J1K4","43027","Sherbrooke","05151","Sherbrooke","430","Sherbrooke","0515","RLS de Sherbrooke","4","RUISSS Université de Sherbrooke","1","4","1"," ","N","2007-04-02",-71.9151916504,45.4101142883,"Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12562179","Maison Elizabeth","Maison Elizabeth","06","Montréal","2131, avenue de Marlowe"," ","H4A3L4","66023","Montréal","06212","Notre-Dame-de-Grâce - Montréal-Ouest","660","Montréal","0621","RLS de Côte-Saint-Luc - NDG - Montréal-Ouest","3","RUISSS Université McGill","2","4","1"," ","N","2010-02-24",-73.606880188,45.4752159119,"Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","2021-12-03"
"12582292","Centre Miriam","Centre Miriam","06","Montréal","8160, chemin Royden"," ","H4P2T2","66072","Mont-Royal","06222","Mont-Royal","660","Montréal","0622","RLS de Côte-des-Neiges - Métro - Parc-Extension","3","RUISSS Université McGill","1","4","1"," ","N","2007-04-04",-73.6618652344,45.4963607788,"Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12599213","Centre universitaire de santé McGill","CUSM","06","Montréal","1001, boulevard Décarie"," ","H4A3J1","66023","Montréal","06212","Notre-Dame-de-Grâce - Montréal-Ouest","660","Montréal","0621","RLS de Côte-Saint-Luc - NDG - Montréal-Ouest","3","RUISSS Université McGill","1","2","1","1","N","2007-04-04",-73.5890350342,45.4970474243,"Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12652384","Havre-Jeunesse","Havre-Jeunesse","06","Montréal","4360, boulevard Lasalle"," ","H4G2A8","66023","Montréal","06313","Verdun","660","Montréal","0631","RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles","2","RUISSS Université de Montréal","2","4","1"," ","N","2010-02-24",-73.5627212524,45.4601860046,"Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","2021-12-03"
"12653192","Centre d'hébergement et de soins de longue durée Heather Inc.","CHSLD Heather Inc.","14","Lanaudière","3931, Lakeshore Drive"," ","J0K1S0","62037","Rawdon","14111","Matawinie","620","Matawinie","1411","RLS de Lanaudière-Nord","2","RUISSS Université de Montréal","2","1","2"," ","N","2010-02-24",-73.7022247314,46.0508613586,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12685608","L'Hôpital général juif Sir Mortimer B. Davis","L'Hôpital général juif Sir Mortimer B. Davis","06","Montréal","3755, chemin de la Côte-Sainte-Catherin"," ","H3T1E2","66023","Montréal","06224","Côte-des-Neiges","660","Montréal","0622","RLS de Côte-des-Neiges - Métro - Parc-Extension","3","RUISSS Université McGill","1","6","1","4","N","2007-05-07",-73.6288070679,45.4978103638,"Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12694659","Centre hospitalier universitaire Sainte-Justine","CHU Sainte-Justine","06","Montréal","3175, chemin de la Côte-Sainte-Catherin"," ","H3T1C5","66023","Montréal","06224","Côte-des-Neiges","660","Montréal","0622","RLS de Côte-des-Neiges - Métro - Parc-Extension","3","RUISSS Université McGill","1","6","1","1","N","",-73.6249465942,45.5031547546,"Non","Oui","Oui","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","2021-12-03"
"12704573","La résidence de Lachute","La résidence de Lachute","15","Laurentides","377, rue Principale"," ","J8H1Y1","76020","Lachute","15141","Argenteuil","760","Argenteuil","1514","RLS d'Argenteuil","2","RUISSS Université de Montréal","1","4","1"," ","N","2007-04-04",-74.339263916,45.6566467285,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12730628","Centre de santé Tulattavik de l'Ungava","Centre de santé Tulattavik de l'Ungava","17","Nunavik","Kuujjuaq","case postale 149","J0M1C0","99095","Kuujjuaq","17012","Ungava","992","Administration régionale Kativik"," "," ","3","RUISSS Université McGill","1","2","1"," ","N","2010-05-03",-68.4052734375,58.1070480347,"Non","Oui","Oui","Oui","Oui","Non","Non","Non","Non","Non","Oui","Non","Non","2021-12-03"
"12745725","Centre hospitalier de St. Mary","Centre hospitalier de St. Mary","06","Montréal","3830, avenue Lacombe"," ","H3T1M5","66023","Montréal","06224","Côte-des-Neiges","660","Montréal","0622","RLS de Côte-des-Neiges - Métro - Parc-Extension","3","RUISSS Université McGill","1","6","1","4","N","2007-04-04",-73.6241378784,45.4949417114,"Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12797577","Institut national de psychiatrie légale Philippe-Pinel","Institut national de psychiatrie légale Philippe-Pinel","06","Montréal","10905, boulevard Henri-Bourassa Est"," ","H1C1H1","66023","Montréal","06521","Rivière-des-Prairies","660","Montréal","0652","RLS de Rivière-des-Prairies - Anjou - Montréal-Est","2","RUISSS Université de Montréal","1","4","1"," ","N","",-73.5336151123,45.6560554504,"Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12825188","Résidence Riviera Inc.","Résidence Riviera Inc.","13","Laval","2999, boulevard Notre-Dame"," ","H7V4C4","65005","Laval","13114","Chomedey","650","Laval","1311","RLS de Laval","2","RUISSS Université de Montréal","2","3","2"," ","N","2010-02-24",-73.7343673706,45.5486755371,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12892303","L'Hôpital chinois de Montréal (1963)","L'Hôpital chinois de Montréal (1963)","06","Montréal","189, avenue Viger Est"," ","H2X3Y9","66023","Montréal","06324","Montréal - Centre-Ville","660","Montréal","0632","RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc","2","RUISSS Université de Montréal","1","4","1"," ","N","2007-05-04",-73.5581207275,45.5095558167,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12979662","Pavillon Ste-Marie Inc.","Pavillon Ste-Marie Inc.","15","Laurentides","45, rue du Pavillon"," ","J7Y3R6","75017","Saint-Jérôme","15161","La Rivière-du-Nord - Mirabel","750","La Rivière-du-Nord","1516","RLS de la Rivière-du-Nord - Mirabel-Nord","2","RUISSS Université de Montréal","2","1","2"," ","N","2010-02-24",-74.0083770752,45.8080062866,"Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"13000732","Les cèdres - Centre d'accueil pour personnes agées","Les cèdres - Centre d'accueil pour personnes agees","06","Montréal","1275, boulevard de la Côte-Vertu","suite 200","H4L4V2","66023","Montréal","06412","Saint-Laurent","660","Montréal","0641","RLS du Nord de l'Île - Saint-Laurent","2","RUISSS Université de Montréal","2","4","2"," ","N","2010-02-24",-73.6799240112,45.5170021057,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"13027073","Centre d'hébergement du Boisé Ltée","Centre d'hébergement du Boisé Ltée","03","Capitale-Nationale","3690, boulevard Neilson"," ","G1W0A9","23027","Québec","03123","Sainte-Foy - Sillery","230","Québec","0312","RLS de Québec-Sud","1","RUISSS Université Laval","2","1","2"," ","N","2010-02-23",-71.321395874,46.754032135,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"13146477","La corporation du Centre hospitalier gériatrique Maimonides","La corporation du Centre hosp. gériatrique Maimonides","06","Montréal","5795, avenue Caldwell"," ","H4W1W3","66058","Côte-Saint-Luc","06211","Côte-Saint-Luc","660","Montréal","0621","RLS de Côte-Saint-Luc - NDG - Montréal-Ouest","3","RUISSS Université McGill","1","4","1"," ","N","2007-04-03",-73.6684265137,45.4715499878,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"13317037","Pavillon Bellevue Inc.","Pavillon Bellevue Inc.","12","Chaudière-Appalaches","99, rue Monseigneur-Bourget"," ","G6V9V2","25213","Lévis","12113","Desjardins","251","Lévis","1211","RLS Alphonse-Desjardins","1","RUISSS Université Laval","2","3","2"," ","N","2010-02-24",-71.1567382813,46.819103241,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"13388905","Centre métropolitain de chirurgie plastique Inc.","Centre métropolitain de chirurgie plastique Inc.","06","Montréal","999, rue de Salaberry"," ","H3L1L2","66023","Montréal","06421","Ahuntsic","660","Montréal","0642","RLS d'Ahuntsic - Montréal-Nord","2","RUISSS Université de Montréal","2","3","4"," ","N","2010-02-24",-73.6929397583,45.5454483032,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"13469796","Hôpital Mont-Sinai","Hôpital Mont-Sinai","06","Montréal","5690, boulevard Cavendish"," ","H4W1S7","66058","Côte-Saint-Luc","06211","Côte-Saint-Luc","660","Montréal","0621","RLS de Côte-Saint-Luc - NDG - Montréal-Ouest","3","RUISSS Université McGill","1","6","1"," ","N","2007-04-03",-73.6573410034,45.4738426208,"Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"13506472","Hôpital Shriners pour enfants (Québec) Inc.","Hôpital Shriners pour enfants (Québec) Inc.","06","Montréal","1003, boulevard Décarie"," ","H4A0A9","66023","Montréal","06212","Notre-Dame-de-Grâce - Montréal-Ouest","660","Montréal","0621","RLS de Côte-Saint-Luc - NDG - Montréal-Ouest","3","RUISSS Université McGill","2","3","2"," ","N","2010-02-24",-73.6019973755,45.4717750549,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"13578448","Accueil du Rivage Inc.","Accueil du Rivage Inc.","16","Montérégie","1008, rue du Rivage","case postale 60","J0L1R0","57075","Saint-Antoine-sur-Richelieu","16221","Saint-Bruno - Beloeil - Saint-Hilaire","570","La Vallée-du-Richelieu","1622","RLS de Richelieu-Yamaska","4","RUISSS Université de Sherbrooke","2","1","2"," ","N","2010-02-24",-73.1733551025,45.7780685425,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"13623616","Institut universitaire de cardiologie et de pneumologie de Québec – Université Laval","IUCPQ – UL","03","Capitale-Nationale","2725, chemin Sainte-Foy"," ","G1V4G5","23027","Québec","03123","Sainte-Foy - Sillery","230","Québec","0312","RLS de Québec-Sud","1","RUISSS Université Laval","1","2","1","2","N","",-71.2976608276,46.7790908813,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"13625587","Manoir St-Patrice inc.","Manoir St-Patrice inc.","13","Laval","3615, boulevard Perron"," ","H7V1P4","65005","Laval","13114","Chomedey","650","Laval","1311","RLS de Laval","2","RUISSS Université de Montréal","2","3","2"," ","N","2010-02-24",-73.7410354614,45.5418167114,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"13727060","Institut universitaire en santé mentale Douglas","Institut universitaire en santé mentale Douglas","06","Montréal","6875, boulevard Lasalle"," ","H4H1R3","66023","Montréal","06313","Verdun","660","Montréal","0631","RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles","2","RUISSS Université de Montréal","1","6","1","2","N","2007-04-03",-73.5843582153,45.4421348572,"Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"13793781","CHSLD Juif de Montréal","CHSLD Juif de Montréal","06","Montréal","5725, avenue Victoria"," ","H3W3H6","66023","Montréal","06223","Snowdon","660","Montréal","0622","RLS de Côte-des-Neiges - Métro - Parc-Extension","3","RUISSS Université McGill","1","6","1"," ","N","2007-04-04",-73.6337585449,45.4929847717,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"13818596","Centre de santé et de services sociaux - Institut universitaire de gériatrie de Sherbrooke","CSSS- Institut universitaire de gériatrie de Sherbrooke","05","Estrie","1036, rue Belvédère Sud"," ","J1H4C4","43027","Sherbrooke","05151","Sherbrooke","430","Sherbrooke","0515","RLS de Sherbrooke","4","RUISSS Université de Sherbrooke","1","2","1","9","O","2007-04-02",-71.8951034546,45.3906669617,"Non","Oui","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"15103658","Centre d'accueil Le Programme de Portage Inc.","Centre d'accueil Le Programme de Portage inc.","06","Montréal","865, place Richmond"," ","H3J1V8","66023","Montréal","06311","Saint-Henri","660","Montréal","0631","RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles","2","RUISSS Université de Montréal","2","1","6"," ","N","2010-02-24",-73.5725097656,45.4918365479,"Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","2021-12-03"
"16258899","Conseil cri de la santé et des services sociaux de la Baie James","CCSSS de la Baie James","18","Terres-Cries-de-la-Baie-James","Case postale 250"," ","J0M1E0","99814","Chisasibi","18011","Territoire Cri","993","Eeyou Istchee"," "," ","3","RUISSS Université McGill","1","2","1"," ","N","2010-05-03",-78.8957366943,53.7826538086,"Non","Oui","Oui","Oui","Oui","Non","Non","Non","Non","Non","Oui","Non","Non","2021-12-03"
"16322059","La Maison Michel Sarrazin","La Maison Michel Sarrazin","03","Capitale-Nationale","2101, chemin Saint-Louis"," ","G1T1P5","23027","Québec","03123","Sainte-Foy - Sillery","230","Québec","0312","RLS de Québec-Sud","1","RUISSS Université Laval","2","4","6"," ","N","2010-02-24",-71.2515945435,46.7734794617,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"16419616","Villa Belle Rive Inc.","Villa Belle Rive Inc.","06","Montréal","5320, boulevard Gouin Est"," ","H1G1B4","66023","Montréal","06422","Montréal-Nord","660","Montréal","0642","RLS d'Ahuntsic - Montréal-Nord","2","RUISSS Université de Montréal","2","1","4"," ","N","2010-02-24",-73.6356506348,45.6135787964,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"16802498","Bande Indienne des Montagnais de Sept-Iles et Maliotenam","Bande Ind. des Montagnais de Sept-Iles et Maliotenam","09","Côte-Nord","1089, avenue de Quen","case postale 8000","G4R4L9","97802","Uashat","09141","Sept-Îles","971","Sept-Rivières","0914","RLS de Sept-Îles","1","RUISSS Université Laval","2","0","4"," ","N","2010-02-24",-66.4036636353,50.2211761475,"Non","Non","Non","Non","Non","Oui","Non","Oui","Non","Non","Oui","Non","Non","2021-12-03"
"16802522","Conseil de la Nation Huronne Wendat","Conseil de la Nation Huronne Wendat","03","Capitale-Nationale","255, place Chef Michel Laveau"," ","G0A4V0","23802","Wendake","03131","Loretteville - Val-Bélair","230","Québec","0313","RLS de Québec-Nord","1","RUISSS Université Laval","2","0","4"," ","N","2010-02-24",-71.3571166992,46.8625564575,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
