District Number,School Code,School Name,Address,City,Province,Postal Code,Principal Title,Principal First name,Principal Last Name,Type,Grade Range,School Category,Funding Group(s),NLC: Early Learning,NLC: Afterschool,NLC: Cont. Ed.,NLC: Seniors,NLC: Comm. Sport,NLC: Comm. Use,NLC: Integr. Svcs.,Phone,Fax,Email,Enrolment Total,Enrolment As Of,KH Enrolment,KF Enrolment,HS Registration,SU Enrolment,EU Enrolment,Grade 1 Enrolment,Grade 2 Enrolment,Grade 3 Enrolment,Grade 4 Enrolment,Grade 5 Enrolment,Grade 6 Enrolment,Grade 7 Enrolment,Grade 8 Enrolment,Grade 9 Enrolment,Grade 10 Enrolment,Grade 11 Enrolment,Grade 12 Enrolment,1_to_6,7_to_9,10_to_12,ISCED1,ISCED2,ISCED3,ISCED020,ISCED010
79,7965037,Discovery Elementary,PO Box 99,Shawnigan Lake                ,BC             ,V0R 2W0,Mr,Brent,Ranger,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 743-3291,250 743-7892,branger@sd79.bc.ca                                                                                  ,394,September 30 2019,0,52,1,0,0,56,44,60,44,49,44,45,0,0,0,0,0,297,45,0,1,1,0,1,
61,6196265,Discovery School,4052 Wilkinson Rd,Victoria                      ,BC             ,V8Z 5A5,Mrs,Sherri,Ko,Standard School                         ,3-12,Independent School,1.0,no,no,no,no,no,no,no,250 595-7765,250 595-7712,principal@discoveryschool.ca,78,September 30 2019,0,0,0,0,0,0,0,3,1,6,10,10,13,6,10,10,9,20,29,29,1,1,1,,
8,898001,Distance Ed School of the Kootenays,811 Stanley St,Nelson                        ,BC             ,V1L 1N8,Mr,Rob,Simpson,Distributed Learning Programs           ,"K-12, SU, GA",Public School,,no,no,no,no,no,no,no,250 354-4311,250 505-7007,rsimpson@sd8.bc.ca                                                                                  ,354,September 30 2019,0,6,0,3,0,1,4,5,5,3,1,8,3,3,29,54,161,19,14,244,1,1,1,1,
42,4242026,District 42 Alternative Secondary,23125 116 Ave,Maple Ridge                   ,BC             ,V2X 0G8,Mr,Steve,Wiebe,Alternate Programs                      ,8-12,Public School,,no,no,no,no,no,no,no,604 466-4359,604 466-5735,steven_wiebe@sd42.ca                                                                                ,165,September 30 2019,0,0,0,0,0,0,0,0,0,0,0,0,2,4,48,46,65,0,6,159,0,1,1,,
27,2727070,Dog Creek Elem-Jr. Secondary,General Delivery,Dog Creek                     ,BC             ,V0L 1J0,Mr,Steve,Carpenter,Standard School                         ,1-10,Public School,,no,no,no,no,no,no,no,250 440-5654,250 440-5639,steve.carpenter@sd27.bc.ca,17,September 30 2019,0,0,0,0,0,1,1,2,0,2,1,1,3,4,2,0,0,7,8,2,1,1,1,,
36,3636159,Dogwood Elementary,10752 157 St,Surrey                        ,BC             ,V4N 1K6,Ms,Lys,Paredes,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 581-8111,604 581-8219,dogwood@surreyschools.ca                                                                            ,387,September 30 2019,0,36,2,0,0,43,56,44,50,51,46,61,0,0,0,0,0,290,61,0,1,1,0,1,
34,3496607,Dogwood School,33886 Pine St,Abbotsford                    ,BC             ,V2S 2P3,Mr,Mark,Sullivan,Standard School                         ,3-12,Independent School,1.0,no,no,no,no,no,no,no,604 851-5922,604 851-5933,mark.sullivan@na.oneschoolglobal.com,46,September 30 2019,0,0,0,0,0,0,0,6,5,5,4,4,5,6,2,3,6,20,15,11,1,1,1,,
36,3636122,Don Christian Elementary,6256 184 St,Surrey                        ,BC             ,V3S 8E6,Mr,Martin,Bobik,Standard School                         ,K-7,Public School,,no,yes,no,no,no,no,no,604 576-1381,604 576-0382,donchristian@surreyschools.ca,366,September 30 2019,0,36,0,0,0,41,48,46,53,44,42,56,0,0,0,0,0,274,56,0,1,1,0,1,
48,4848026,Don Ross Middle School,PO Box 299,Brackendale                   ,BC             ,V0N 1H0,Mr,Cory,Hartling,Standard School                         ,"7-9, SU",Public School,,no,no,no,no,no,no,no,604 898-3671,604 898-4672,chartling@sd48.bc.ca                                                                                ,626,September 30 2019,0,0,0,22,0,0,0,0,0,0,0,205,214,185,0,0,0,0,604,0,0,1,0,,
59,5959013,Don Titus Montessori,PO Box 538,Chetwynd                      ,BC             ,V0C 1J0,Mrs,Jody,Bougerolle,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 788-2531,250 788-2532,jbougerolle@sd59.bc.ca                                                                              ,123,September 30 2019,0,19,0,0,0,19,11,11,15,13,18,17,0,0,0,0,0,87,17,0,1,1,0,1,
59,5925283,Don Titus StrongStart Centre,PO Box 538,Chetwynd                      ,BC             ,V0C 1J0,,Gloria,Cleve,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 788-2531,,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
38,3838030,Donald E McKay Elementary,7360 Lombard Rd,Richmond                      ,BC             ,V7C 3N1,Mr,Mark,Hoath,Standard School                         ,K-7,Public School,,no,yes,no,no,no,no,no,604 668-6470,604 668-6509,mckay@sd38.bc.ca                                                                                    ,218,September 30 2019,0,28,1,0,0,35,32,15,20,26,29,33,0,0,0,0,0,157,33,0,1,1,0,1,
61,6161028,Doncaster Elementary,1525 Rowan St,Victoria                      ,BC             ,V8P 1X4,Ms,Cindy,Harte,Standard School                         ,K-5,Public School,,no,no,no,no,no,no,no,250 595-3611,250 598-5947,charte@sd61.bc.ca                                                                                   ,419,September 30 2019,0,62,0,0,0,75,62,77,71,72,0,0,0,0,0,0,0,357,0,0,1,0,0,1,
34,3434043,Dormick Park Elementary,32161 Dormick Ave,Abbotsford                    ,BC             ,V2T 1J6,Ms,Rachel,Lack,Standard School                         ,K-5,Public School,,yes,no,no,no,no,no,no,604 859-3712,604 850-7693,rachel.lack@abbyschools.ca,302,September 30 2019,0,40,0,0,0,53,55,51,47,56,0,0,0,0,0,0,0,262,0,0,1,0,0,1,
34,3425102,Dormick Park StrongStart Centre,32161 Dormick Ave,Abbotsford                    ,BC             ,V2T 1J6,Ms,Rachel,Lack,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,604 859-3712,604 850-7693,rachel.lack@abbyschools.ca,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
23,2323030,Dorothea Walker Elementary,4346 Gordon Dr,Kelowna                       ,BC             ,V1W 1S5,Mrs,Susan,Bergen,Standard School                         ,K-6,Public School,,no,no,no,no,no,no,no,250 870-5138,250 870-5024,susan.bergen@sd23.bc.ca                                                                             ,471,September 30 2019,0,77,0,0,0,67,80,65,79,70,33,0,0,0,0,0,0,394,0,0,1,0,0,1,
44,4444048,Dorothy Lynas Elementary,4000 Inlet Cres,North Vancouver               ,BC             ,V7G 2R2,Ms,Megan,Wheatley,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 903-3430,604 903-3431,mwheatley@sd44.ca                                                                                   ,547,September 30 2019,0,74,0,0,0,67,76,64,71,76,58,61,0,0,0,0,0,412,61,0,1,1,0,1,
35,3535053,Dorothy Peacock Elementary,20292 91A Ave,Langley                       ,BC             ,V1M 2G2,Mr,Shawn,Davids,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 513-8000,604 513-8008,sdavids@gov.bc.ca                                                                                   ,495,September 30 2019,0,51,0,0,0,61,47,74,65,78,59,60,0,0,0,0,0,384,60,0,1,1,0,1,
36,3636180,Douglas Elementary,17325 2 Ave,Surrey                        ,BC             ,V3Z 9P9,,Sundeep,Chohan,Standard School                         ,No Enrolment Reported,Public School,,no,no,no,no,no,no,no,,,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
35,3535045,Douglas Park Community,5409 206 St,Langley                       ,BC             ,V3A 2C5,Ms,Diana,Wilk,Standard School                         ,K-5,Public School,,no,no,no,no,no,no,no,604 533-4491,604 533-7803,dwilk@sd35.bc.ca                                                                                    ,251,September 30 2019,0,48,1,0,0,39,46,47,37,34,0,0,0,0,0,0,0,203,0,0,1,0,0,1,
35,3525107,Douglas Park StrongStart Centre,5409 206 St,Langley                       ,BC             ,V3A 2C5,Ms,Diana,Wilk,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,604 533-4491,,dwilk@sd35.bc.ca                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
41,4141026,Douglas Road Elementary,4861 Canada Way,Burnaby                       ,BC             ,V5G 1L7,Ms,Pauline,McKay,Standard School                         ,K-7,Public School,,no,yes,no,no,no,no,no,604 296-9011,604 296-9057,pauline.mckay@burnabyschools.ca,253,September 30 2019,0,29,0,0,0,26,31,38,35,31,29,34,0,0,0,0,0,190,34,0,1,1,0,1,
68,6868010,Dover Bay Secondary,6135 McGirr Rd,Nanaimo                       ,BC             ,V9V 1M1,Mr,Geoff,Steel,Standard School                         ,"8-12, SU",Public School,,no,no,no,no,no,no,no,250 756-4595,250 751-3405,gsteel@sd68.bc.ca                                                                                   ,1356,September 30 2019,0,0,0,3,0,0,0,0,0,0,0,0,244,254,274,311,270,0,498,855,0,1,1,,
39,3939095,Dr A R Lord Elementary,555 Lillooet St,Vancouver                     ,BC             ,V5K 4G4,Ms,Margie,Trovao,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 713-4620,604 713-4622,mtrovao@vsb.bc.ca                                                                                   ,192,September 30 2019,0,29,0,0,0,28,22,20,24,27,25,17,0,0,0,0,0,146,17,0,1,1,0,1,
39,3939104,Dr Annie B Jamieson Elementary,6350 Tisdall Street,Vancouver                     ,BC             ,V5Z 3N4,Mrs,Natasha,Miladinovic,Standard School                         ,K-7,Public School,,no,yes,no,no,yes,yes,no,604 713-5367,604 713-5369,nmiladinov@vsb.bc.ca                                                                                ,505,September 30 2019,0,60,1,0,0,60,44,56,56,83,62,84,0,0,0,0,0,361,84,0,1,1,0,1,
51,5112001,Dr D A Perley Elementary,PO Box 908,Grand Forks                   ,BC             ,V0H 1H0,Ms,Jackie,Schott,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 442-2135,,jackie.schott@sd51.bc.ca                                                                            ,225,September 30 2019,0,27,3,0,0,33,25,24,27,25,26,38,0,0,0,0,0,160,38,0,1,1,0,1,
36,3636037,Dr F D Sinclair Elementary,7480 128 St,Surrey                        ,BC             ,V3W 4E5,Ms,Rachel,Der,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 596-1537,604 596-8271,drfdsinclair@surreyschools.ca,499,September 30 2019,0,48,0,0,0,55,58,59,62,73,80,64,0,0,0,0,0,387,64,0,1,1,0,1,
39,3939105,Dr George M Weir Elementary,2900 44th Ave E,Vancouver                     ,BC             ,V5R 3A8,Ms,H,Gascoigne,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 713-4771,604 713-4773,hgascoigne@vsb.bc.ca                                                                                ,407,September 30 2019,0,37,0,0,0,42,57,47,46,52,70,56,0,0,0,0,0,314,56,0,1,1,0,1,
39,3939115,Dr H N MacCorkindale Elementary,6100 Battison St,Vancouver                     ,BC             ,V5S 3M8,Dr,James,Munk,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 317-4290,604 713-4757,jmunk@vsb.bc.ca                                                                                     ,263,September 30 2019,0,28,0,0,0,22,40,37,30,38,39,29,0,0,0,0,0,206,29,0,1,1,0,1,
60,6060063,Dr Kearney Middle School,10723 92 St,Fort St John                  ,BC             ,V1J 3J4,Mr,Sheldon,Steele,Standard School                         ,7-9,Public School,,no,no,no,no,no,no,no,250 785-8378,250 785-1678,ssteele@prn.bc.ca                                                                                   ,563,September 30 2019,0,0,1,0,0,0,0,0,0,0,0,198,167,198,0,0,0,0,563,0,0,1,0,,
23,2323029,Dr Knox Middle School,121 Drysdale Blvd,Kelowna                       ,BC             ,V1V 2X9,Mr,Scott,Parker,Standard School                         ,"7-9, SU",Public School,,no,no,no,no,no,no,no,250 870-5130,250 870-5007,scott.parker@sd23.bc.ca                                                                             ,883,September 30 2019,0,0,0,12,0,0,0,0,0,0,0,297,284,290,0,0,0,0,871,0,0,1,0,,
39,3939097,Dr R E McKechnie Elementary,7455 Maple St,Vancouver                     ,BC             ,V6P 5P8,Mrs,Ankie,Carswell,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 713-4952,604 713-4954,acarswell@vsb.bc.ca                                                                                 ,273,September 30 2019,0,20,0,0,0,40,30,35,20,30,47,51,0,0,0,0,0,202,51,0,1,1,0,1,
34,3434055,Dr Roberta Bondar Elementary,32717 Chilcotin Dr,Abbotsford                    ,BC             ,V2T 5S5,Ms,Paulette,Collier,Standard School                         ,K-5,Public School,,no,no,no,no,no,no,no,604 864-8572,604 864-2777,paulette.collier@abbyschools.ca,294,September 30 2019,0,43,0,0,0,52,50,49,52,48,0,0,0,0,0,0,0,251,0,0,1,0,0,1,
34,3434045,Dr Thomas A Swift Elementary,34800 Mierau St,Abbotsford                    ,BC             ,V2S 5Y4,Mrs,Cathy,Erickson,Standard School                         ,K-5,Public School,,yes,no,no,no,no,no,no,604 853-7730,604 850-7851,cathy.erickson@abbyschools.ca,325,September 30 2019,0,51,0,0,0,58,53,54,60,49,0,0,0,0,0,0,0,274,0,0,1,0,0,1,
34,3425227,Dr Thomas A Swift StrongStart Centre,34800 Mierau St,Abbotsford                    ,BC             ,V2S 5Y4,Mrs,Cathy,Erickson,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,604 853-7730,,cathy.erickson@abbyschools.ca,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
51,5125277,Dr. D. A. Perley StrongStart Centre,PO Box 908,Grand Forks                   ,BC             ,V0H 1H0,,,,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 442-2135,,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
28,2828021,Dragon Lake Elementary,2671 Hydraulic Rd,Quesnel                       ,BC             ,V2J 4H4,Mrs,Jan,Musselman,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 747-2142,250 747-2498,janmusselman@sd28.bc.ca                                                                             ,193,September 30 2019,0,23,0,0,0,20,14,23,25,31,26,31,0,0,0,0,0,139,31,0,1,1,0,1,
28,2825002,Dragon Lake StrongStart Centre,2671 Quesnel-Hydraulic Rd,Quesnel                       ,BC             ,V2J 4H4,Mrs,Jan,Musselman,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 747-2142,250 747-2498,jamusselman@sd28.bc.ca                                                                              ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
79,7965024,Drinkwater Elementary,6236 Lane Rd,Duncan                        ,BC             ,V9L 4E1,Mrs,Brenda,Stevenson,Standard School                         ,"K-7, EU",Public School,,no,no,no,no,no,no,no,250 748-9232,250 748-2683,bstevenson@sd79.bc.ca                                                                               ,378,September 30 2019,0,28,1,0,4,50,45,39,48,43,48,73,0,0,0,0,0,273,73,0,1,1,0,1,
79,7925026,Drinkwater StrongStart Centre,6236 Lane Rd,Duncan                        ,BC             ,V9L 4E1,,,,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 748-9232,,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
93,9337031,du Bois-Joli,785 49 St,Tsawwassen                    ,BC             ,V4M 2P3,Mrs,Melanie,Voyer,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 948-7007,604 948-7001,melanie_voyer@csf.bc.ca                                                                             ,51,September 30 2019,0,3,0,0,0,9,8,8,4,7,9,3,0,0,0,0,0,45,3,0,1,1,0,1,
93,9346003,du Pacifique,PO Box 390,Sechelt                       ,BC             ,V0N 3A0,Mme,Cecile,Desgagne,Standard School                         ,K-7,Public School,,yes,no,no,no,no,no,no,604 885-4743,604 885-4786,cecile_desgagne@csf.bc.ca                                                                           ,55,September 30 2019,0,5,1,0,0,7,7,5,9,8,8,6,0,0,0,0,0,44,6,0,1,1,0,1,
57,5757012,Duchess Park Secondary,747 Winnipeg St,Prince George                 ,BC             ,V2L 2V3,Mr,Sid,Jawanda,Standard School                         ,"8-12, SU",Public School,,no,no,no,no,no,no,no,250 563-7124,250 564-6592,sjawanda@sd57.bc.ca                                                                                 ,986,September 30 2019,0,0,2,5,0,0,0,0,0,0,0,0,190,194,216,192,189,0,384,597,0,1,1,,
73,7324072,Dufferin Elementary,1880 Hillside Dr,Kamloops                      ,BC             ,V2E 2E2,Ms,Colleen,Topolovec,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 374-4425,250 377-2262,ctopolovec@sd73.bc.ca                                                                               ,225,September 30 2019,0,33,0,0,0,30,29,25,27,31,23,27,0,0,0,0,0,165,27,0,1,1,0,1,
93,9379050,Duncan,3039 Sprott Rd,Duncan                        ,BC             ,V9L 6A1,Mme,Marie-Claude,Carrier,Standard School                         ,No Enrolment Reported,Public School,,no,no,no,no,no,no,no,250 737-4486,,marieclaude_carrier@csf.bc.ca,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
79,7996086,Duncan Christian School,495 Beech Ave,Duncan                        ,BC             ,V9L 3J8,Mr,Peter,Terpstra,Standard School                         ,K-12,Independent School,1.0,no,no,no,no,no,no,no,250 746-3654,250 746-3615,pterpstra@duncanchristian.com,369,September 30 2019,4,20,1,0,0,22,23,21,20,31,23,29,37,34,31,39,35,140,100,105,1,1,1,1,
60,6060058,Duncan Cran Elementary,8130 89 Ave,Fort St John                  ,BC             ,V1J 5S5,Mr,Griff,Peet,Standard School                         ,K-6,Public School,,no,no,no,no,no,no,no,250 787-0417,250 785-1581,gpeet@prn.bc.ca                                                                                     ,304,September 30 2019,0,56,0,0,0,52,33,46,41,43,33,0,0,0,0,0,0,248,0,0,1,0,0,1,
60,6025061,Duncan Cran StrongStart Centre,8130 89 Ave,Fort St John                  ,BC             ,V1J 5S5,Ms,Tracey,Sawchuk,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 787-0417,,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
62,6262016,Dunsmuir Middle School,3341 Painter Rd,Victoria                      ,BC             ,V9C 2J1,Mr,Mark,Kaercher,Standard School                         ,6-8,Public School,,no,no,no,no,yes,yes,no,250 478-5548,250 478-0738,dunsmuir@sd62.bc.ca                                                                                 ,850,September 30 2019,0,0,0,0,0,0,0,0,0,0,290,281,279,0,0,0,0,290,560,0,1,1,0,,
45,4545040,Eagle Harbour Montessori,5575 Marine Dr,West Vancouver                ,BC             ,V7W 2R4,Mr,Trevor,Kolkea,Standard School                         ,K-5,Public School,,no,no,no,no,no,no,no,604 981-1380,604 981-1381,tkolkea@wvschools.ca                                                                                ,69,September 30 2019,0,12,0,0,0,12,10,16,13,6,0,0,0,0,0,0,0,57,0,0,1,0,0,1,
45,4525145,Eagle Harbour StrongStart Centre,5575 Marine Dr,West Vancouver                ,BC             ,V7W 2R4,,,,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,604 981-1380,,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
43,4343110,Eagle Mountain Middle School,110 Dogwood Dr,Anmore                        ,BC             ,V3H 5G1,Mr,Darren,MacMillan,Standard School                         ,6-8,Public School,,yes,yes,no,no,no,no,no,604 469-1133,604 937-8065,dmacmillan@sd43.bc.ca                                                                               ,601,September 30 2019,0,0,0,0,0,0,0,0,0,0,198,208,195,0,0,0,0,198,403,0,1,1,0,,
43,4343020,Eagle Ridge Elementary,1215 Falcon Dr,Coquitlam                     ,BC             ,V3E 1X9,Mr,Don,Hutchinson,Standard School                         ,K-5,Public School,,no,no,no,no,no,no,no,604 464-5848,604 937-8011,dhutchinson@sd43.bc.ca                                                                              ,398,September 30 2019,0,74,0,0,0,59,61,70,64,70,0,0,0,0,0,0,0,324,0,0,1,0,0,1,
83,8383044,Eagle River Secondary,PO Box 9 518 Main Street,Sicamous                      ,BC             ,V0E 2V0,Mr,Mark,Marino,Standard School                         ,7-12,Public School,,no,no,yes,yes,yes,yes,no,250 836-2831,250 804-7784,ers@sd83.bc.ca                                                                                      ,155,September 30 2019,0,0,0,0,0,0,0,0,0,0,0,27,29,19,22,30,28,0,75,80,0,1,1,,
61,6161067,Eagle View Elementary,97 Talcott Rd,Victoria                      ,BC             ,V9B 6L9,Mrs,Jana,Relf,Standard School                         ,K-5,Public School,,no,no,no,no,no,no,no,250 744-2701,250 744-2703,jrelf@sd61.bc.ca                                                                                    ,234,September 30 2019,0,32,1,0,0,37,36,46,42,41,0,0,0,0,0,0,0,202,0,0,1,0,0,1,
85,8585023,Eagle View Elementary,PO Box 369,Port Hardy                    ,BC             ,V0N 2P0,Ms,Jillian,Walkus,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 949-6418,250 949-6485,jwalkus@sd85.bc.ca                                                                                  ,219,September 30 2019,0,25,0,0,0,26,25,22,23,31,39,28,0,0,0,0,0,166,28,0,1,1,0,1,
36,3636105,Earl Marriott Secondary,15751 16 Ave,Surrey                        ,BC             ,V4A 1S1,Ms,Claudine,Davies,Standard School                         ,8-12,Public School,,no,no,no,no,no,no,no,604 531-8354,604 531-6174,earlmarriott@surreyschools.ca,1888,September 30 2019,0,0,0,0,0,0,0,0,0,0,0,0,380,407,361,351,389,0,787,1101,0,1,1,,
33,3333010,East Chilliwack Elementary,49190 Chilliwack Central Rd,Chilliwack                    ,BC             ,V2P 6H3,Mrs,Janine,McCurdy,Standard School                         ,K-5,Public School,,no,no,no,no,no,no,no,604 794-7533,604 794-3827,janine_mccurdy@sd33.bc.ca                                                                           ,306,September 30 2019,0,51,0,0,0,60,50,44,39,62,0,0,0,0,0,0,0,255,0,0,1,0,0,1,
36,3636018,East Kensington Elementary,2795 184 St,Surrey                        ,BC             ,V3S 9V2,Mr,Chris,Baldry,Standard School                         ,K-5,Public School,,no,no,no,no,no,no,no,604 541-1257,604 531-4180,eastkensington@surreyschools.ca,80,September 30 2019,0,20,0,0,0,27,13,12,7,1,0,0,0,0,0,0,0,60,0,0,1,0,0,1,
44,4444017,Eastview Elementary,1801 Mountain Hwy,North Vancouver               ,BC             ,V7J 2M7,Mr,Rick,Chan,Standard School                         ,K-7,Public School,,yes,no,no,no,yes,no,no,604 903-3520,604 903-3521,rchan@sd44.ca                                                                                       ,280,September 30 2019,0,37,0,0,0,31,35,33,28,43,35,38,0,0,0,0,0,205,38,0,1,1,0,1,
44,4425142,Eastview StrongStart Centre,1801 Mountain Hwy,North Vancouver               ,BC             ,V7J 2M7,Mr,Rick,Chan,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,604 903-3520,604 903-3521,rchan@sd44.ca                                                                                       ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
39,3996764,Eaton Arrowsmith School,204-6190 Agronomy Rd,Vancouver                     ,BC             ,V6T 1Z3,Mr,Rafael,Croisetiere,Standard School                         ,2-11,Independent School,3.0,no,no,no,no,no,no,no,604 264-8327,604 222-8327,rcroisetiere@eatonarrowsmith.com,53,September 30 2019,0,0,0,0,0,0,4,4,9,7,9,6,1,6,5,2,0,33,13,7,1,1,1,,
36,3696863,Eaton Arrowsmith School White Rock,300-1538 Foster St,White Rock                    ,BC             ,V4B 3X8,Mr,Kelsey,Hanna,Standard School                         ,3-9,Independent School,3.0,no,no,no,no,no,no,no,604 538-1710,604 538-1709,khanna@eatonarrowsmith.com,8,September 30 2019,0,0,0,0,0,0,0,1,0,3,1,1,0,2,0,0,0,5,3,0,1,1,0,,
54,5496064,Ebenezer Canadian Reformed School,PO Box 3700,Smithers                      ,BC             ,V0J 2N0,Mr,Derek,Stoffels,Standard School                         ,K-12,Independent School,1.0,no,no,no,no,no,no,no,250 847-3492,,office@ebenezerschool.com                                                                           ,247,September 30 2019,16,0,12,0,0,14,15,20,22,20,23,26,20,19,15,20,17,114,65,52,1,1,1,1,
72,7272035,Eblend,740 Robron Rd,Campbell River                ,BC             ,V9W 6J7,Mr,Kai,Taylor,Distributed Learning Programs           ,1-12,Public School,,no,no,no,no,no,no,no,250 923-4918,250 923-4932,kai.taylor@sd72.bc.ca                                                                               ,117,September 30 2019,0,0,0,0,0,3,0,2,1,3,1,7,1,1,10,27,61,10,9,98,1,1,1,,
91,9199085,Ebus Academy,PO Bag 8000,Vanderhoof                    ,BC             ,V0J 3A0,Mr,Brian,Naka,Distributed Learning Programs           ,"K-12, SU, GA",Public School,,no,no,no,no,no,no,no,250 567-4413,250 567-3943,bnaka@sd91.bc.ca                                                                                    ,2181,September 30 2019,0,19,8,1,0,10,25,14,28,22,41,36,44,72,249,330,903,140,152,1482,1,1,1,1,
28,2825219,Ecole Baker StrongStart Centre,610 Wade Ave,Quesnel                       ,BC             ,V2J 1E3,,,,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 992-8383,,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
43,4343093,Ecole Banting Middle,820 Banting St,Coquitlam                     ,BC             ,V3J 4J4,Mr,Bill,Trask,Standard School                         ,6-8,Public School,,no,no,no,no,no,no,no,604 939-9247,604 939-7623,btrask@sd43.bc.ca                                                                                   ,489,September 30 2019,0,0,0,0,0,0,0,0,0,0,169,142,178,0,0,0,0,169,320,0,1,1,0,,
45,4545025,Ecole Cedardale,595 Burley Dr,West Vancouver                ,BC             ,V7T 1Z3,Ms,Michelle,LaBounty,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 981-1390,604 981-1001,mlabounty@wvschools.ca                                                                              ,277,September 30 2019,0,33,0,0,0,33,33,36,36,36,38,32,0,0,0,0,0,212,32,0,1,1,0,1,
60,6060007,Ecole Central Elem School of the Arts,10215 99 Ave,Fort St John                  ,BC             ,V1J 1V5,Mr,Broyden,Bennett,Standard School                         ,K-6,Public School,,no,no,no,no,no,no,no,250 785-4511,250 785-2810,bbennett@prn.bc.ca                                                                                  ,285,September 30 2019,0,40,0,0,0,40,46,38,40,35,46,0,0,0,0,0,0,245,0,0,1,0,0,1,
43,4343102,Ecole Citadel Middle,1265 Citadel Dr,Port Coquitlam                ,BC             ,V3C 5X6,Mr,John,Goheen,Standard School                         ,6-8,Public School,,no,no,no,no,no,no,no,604 945-6187,604 937-8042,JGoheen@sd43.bc.ca                                                                                  ,426,September 30 2019,0,0,0,0,0,0,0,0,0,0,136,155,135,0,0,0,0,136,290,0,1,1,0,,
79,7979042,Ecole Cobble Hill Elementary,3642 Learning Way,Cobble Hill                   ,BC             ,V0R 1L2,Ms,Lisa,Leclerc,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 733-2307,250 743-7261,lleclerc@sd79.bc.ca                                                                                 ,363,September 30 2019,0,48,0,0,0,46,42,52,44,52,40,39,0,0,0,0,0,276,39,0,1,1,0,1,
43,4343013,Ecole Coquitlam River Elementary,4250 Shaughnessy St,Port Coquitlam                ,BC             ,V3E 3E5,Mr,David,Mushens,Standard School                         ,K-5,Public School,,no,no,no,no,no,no,no,604 942-0241,604 942-5941,dmushens@sd43.bc.ca                                                                                 ,327,September 30 2019,0,47,0,0,0,48,65,63,60,44,0,0,0,0,0,0,0,280,0,0,1,0,0,1,
