Province,City or Region,Type,Open data portal link,Data page link,Open,Direct Link (new),Direct Link,Special Notes,License or Terms of Use,Attribution Statement,Date last updated,Type,,Previous,,,,
ON,London,Municipal,http://www.london.ca/city-hall/open-data/Pages/Open-Data-Data-Catalogue.aspx,,,,,,http://www.london.ca/city-hall/open-data/Pages/OpenData-TermsofUse.aspx,,,,,No,,,,
ON,Kitchener,Municipal,http://open-kitchenergis.opendata.arcgis.com/,,,,,,https://www.kitchener.ca/en/city-services/open-data.aspx#,Open Government Licence - The Corporation of the City of Kitchener,,,,No,,,,
ON,Markham,Municipal,http://data-markham.opendata.arcgis.com/,,,,,,http://data-markham.opendata.arcgis.com/pages/terms-of-use,Contains public sector Information made available under the City of Markham’s Open Data Licence,,,,No,,,,
ON,Milton,Municipal,https://www.milton.ca/en/townhall/opendata.asp,,,,,,https://www.milton.ca/en/townhall/resources/OpenDataAgreement.pdf,Contains public sector Datasets made available under the Town of Milton's Open Data License v.1,,,,No,,,,
ON,Mississauga,Municipal,https://data.mississauga.ca/,,,,,,http://www5.mississauga.ca/research_catalogue/CityofMississauga_TermsofUse.pdf,,,,,No,,,,
ON,New Market,Municipal,http://open.newmarket.ca/opendata/navigo/;jsessionid=avnk0epu7gft14spw8kkc7qyd#/home,,,,,,https://www.newmarket.ca/TownGovernment/Documents/Newmarket_OpenData_Licence.pdf,Contains information licensed under the Open Data Licence – Town of Newmarket.,,,,No,,,,
ON,Niagara Falls,Municipal,https://niagarafalls.ca/services/open/data,,,,,,https://niagarafalls.ca/services/open/terms-and-conditions.aspx,,,,,No,,,,
ON,Niagara Region,Municipal,https://niagaraopendata.ca/,,,,,,https://niagaraopendata.ca/pages/open-government-license-2-0-niagara-region,Contains information licensed under the Open Government Licence - Niagara Region,,,,No,,Yes,,
ON,Norfolk County,Municipal,http://opendata.norfolkcounty.ca/,,,,,,http://opendata.norfolkcounty.ca/datasets/building-footprints,"""Contains public sector Information made available under Norfolk County's Open Data Licence",,,,No,,,,
ON,North Frontenac,Municipal,http://data-nftwp.opendata.arcgis.com/,,,,,,,,,,,No,,,,
ON,Oakville,Municipal,https://portal-exploreoakville.opendata.arcgis.com/,,,,,,https://www.oakville.ca/data/open_data_licence.html,Contains information licensed under the Open Government Licence — Town of Oakville.,,,,No,,,,
ON,Oshawa,Municipal,https://city-oshawa.opendata.arcgis.com/,,,,,,https://map.oshawa.ca/OpenData/Open%20Government%20Licence%20version%202.0%20-%20Oshawa.pdf,,,,,No,,,,
ON,Ottawa,Municipal,http://data.ottawa.ca/,,,,,,https://ottawa.ca/en/city-hall/get-know-your-city/open-data#open-data-licence-version-2-0,Contains information licensed under the Open Government Licence – City of Ottawa.,,,,No,,,,
ON,Peel Region,Municipal,https://data.peelregion.ca/search,,,,,,https://data.peelregion.ca/pages/license,Contains public sector Information made available under The Regional Municipality of Peel's Open Data Licence - Version 1.0,,,,No,,Yes,,
ON,Peterborough,Municipal,http://data-ptbo.opendata.arcgis.com/,,,,,,http://data-ptbo.opendata.arcgis.com/pages/terms-of-use,,,,,No,,,,
ON,Pickering,Municipal,http://opendata.pickering.ca/,,,,,,https://www.pickering.ca/en/city-hall/resources/OpenDataLicencePickeringV1.pdf,,,,,No,,,,
ON,Saint Catherine's,Municipal,https://niagaraopendata.ca/organization/city-of-st-catharines,,,,,,https://creativecommons.org/licenses/by/4.0/legalcode,Contains information provided by the city of St. Catharines licensed under CC BY.,,,,No,,,,
ON,Thunder Bay Transit,Transit,https://www.thunderbay.ca/en/city-services/developers---open-data.aspx,,,,,,https://www.thunderbay.ca/en/city-services/developers---open-data.aspx,,,,,No,,,,
ON,Toronto,Municipal,https://www.toronto.ca/city-government/data-research-maps/open-data/open-data-catalogue/,,,,,,https://www.toronto.ca/city-government/data-research-maps/open-data/open-data-licence/, Contains information licensed under the Open Government Licence – Toronto.,,,,No,,,,
ON,Waterloo Region,Municipal,https://rowopendata-rmw.opendata.arcgis.com/,,,,,,https://www.regionofwaterloo.ca/en/regional-government/open-data.aspx,Contains information provided by the Regional Municipality of Waterloo under licence,,,,No,,Yes,,
ON,Welland,Municipal,https://www.welland.ca/open/Opendata.asp,,,,,,https://www.welland.ca/open/OpendataTermUse.asp,Contains information licensed under the Open Government Licence – City of Welland.,,,,No,,,,
ON,Windsor,Municipal,https://opendata.citywindsor.ca/,,,,,,https://citywindsor.ca/opendata/Documents/OpenDataTermsofUse.pdf,,,,,No,,,,
ON,York Region,Municipal,http://insights-york.opendata.arcgis.com/,,,,,,http://insights-york.opendata.arcgis.com/datasets/york-region-open-data-licence,Contains public sector information made available under The Regional Municipality of York's Open Data Licence,,,,No,,,,
PE,Province of Prince Edward Island,Provincial,https://data.princeedwardisland.ca/,,,,,,https://www.princeedwardisland.ca/en/information/finance/open-government-licence-prince-edward-island,Contains information licensed under the Open Government Licence – Prince Edward Island,,,,No,,Yes,,
QC,Province of Quebec,Provincial,https://www.donneesquebec.ca/fr/organisation/gouvernement-du-quebec/,https://www.donneesquebec.ca/recherche/dataset/fichiers-cartographiques-m02-des-installations-et-etablissements,,,,,,,,,,No,,,,
QC,Province of Quebec,Provincial,https://www.donneesquebec.ca/recherche/fr/dataset/localisation-des-etablissements-d-enseignement-du-reseau-scolaire-au-quebec,,,,,,https://www.donneesquebec.ca/fr/licence/#cc-by,Contient de l’information fournie par le Ministère de l'Éducation et de l'Enseignement supérieur  et visée par CC BY.,,,,No,,,,
QC,STO,Transit,http://www.contenu.sto.ca/GTFS/GTFS.zip,,,,,,http://www.sto.ca/index.php?id=598&L=en,This service incorporates the open data provided by the Société de transport de l'Outaouais (STO). The STO is not responsible for the accuracy of the information generated by this application. Last update: YYYY-MM-DD.,,,,No,,,,
QC,Exo,Transit,https://exo.quebec/en/about/open-data,,,,,,https://www.donneesquebec.ca/fr/licence/#cc-by,Contient de l’information fournie par Exo et visée par CC BY.,,,,No,,,,
QC,STM,Transit,http://www.stm.info/en/about/developers,,,,,,http://www.stm.info/en/about/developers/terms-use,,,,,No,,,,
QC,CRT Lanaudiere,Transit,https://www.donneesquebec.ca/recherche/fr/dataset/crt-lanaudiere-gtfs/resource/09c759dd-c121-44ef-af24-de365241c98d,,,,,,https://www.donneesquebec.ca/fr/licence/#cc-by,,,,,No,,,,
QC,Blainville,Municipal,https://www.donneesquebec.ca/fr/organisation/ville-de-blainville/,,,,,,https://www.donneesquebec.ca/fr/licence/#cc-by,Contient de l’information fournie par la ville de Blainville et visée par CC BY.,,,,No,,,,
QC,Gatineau,Municipal,https://www.donneesquebec.ca/fr/organisation/ville-de-gatineau/,,,http://gatineau.ca/donneesouvertes/default_en.aspx,,,https://www.donneesquebec.ca/fr/licence/#cc-by,Contient de l’information fournie par la ville de Gatineau et visée par CC BY.,,,,No,,Yes,,
QC,Laval,Municipal,https://www.donneesquebec.ca/fr/organisation/ville-de-laval/,,,,,,https://www.donneesquebec.ca/fr/licence/#cc-by,Contient de l’information fournie par la ville de Laval et visée par CC BY.,,,,No,,,,
QC,Longueuil,Municipal,https://www.donneesquebec.ca/fr/organisation/ville-de-longueuil/,,,,,,https://www.donneesquebec.ca/fr/licence/#cc-by,Contient de l’information fournie par la ville de Longueuil et visée par CC BY.,,,,No,,,,
QC,Montreal,Municipal,https://www.donneesquebec.ca/fr/organisation/ville-de-montreal/,,,http://donnees.ville.montreal.qc.ca/,,,https://www.donneesquebec.ca/fr/licence/#cc-by,Contient de l’information fournie par la ville de Montreal et visée par CC BY.,,,,No,,,,
QC,Quebec City,Municipal,https://www.donneesquebec.ca/fr/organisation/ville-de-quebec/,,,,,,https://www.donneesquebec.ca/fr/licence/#cc-by,Contient de l’information fournie par la ville de MQuebec et visée par CC BY.,,,,No,,Yes,,
QC,Repentigny,Municipal,https://www.donneesquebec.ca/fr/organisation/ville-de-repentigny/,,,,,,https://www.donneesquebec.ca/fr/licence/#cc-by,Contient de l’information fournie par la ville de Repentigny et visée par CC BY.,,,,No,,,,
QC,Rimouski,Municipal,https://www.donneesquebec.ca/fr/organisation/ville-de-rimouski/,,,,,,https://www.donneesquebec.ca/fr/licence/#cc-by,Contient de l’information fournie par la ville de Rimouski et visée par CC BY.,,,,No,,,,
QC,Rouyn-Noranda,Municipal,https://www.donneesquebec.ca/fr/organisation/ville-de-rouyn-noranda/,,,,,,https://www.donneesquebec.ca/fr/licence/#cc-by,Contient de l’information fournie par la ville de Rouyn-Noranda et visée par CC BY.,,,,No,,,,
QC,Shawinigan,Municipal,https://www.donneesquebec.ca/fr/organisation/ville-de-shawinigan/,,,,,,https://www.donneesquebec.ca/fr/licence/#cc-by,Contient de l’information fournie par la ville de Shawinigan et visée par CC BY.,,,,No,,,,
QC,Sherbrooke,Municipal,https://www.donneesquebec.ca/fr/organisation/ville-de-sherbrooke/,,,,,,https://www.donneesquebec.ca/fr/licence/#cc-by,Contient de l’information fournie par la ville de Sherbrooke et visée par CC BY.,,,,No,,,,
QC,BANQ,Provincial,https://www.donneesquebec.ca/recherche/fr/organization/banq,,,,,,https://www.donneesquebec.ca/fr/licence/#cc-by,Contient de l’information fournie par la BANQ et visée par CC BY.,,,,No,,,,
SK,Regina,Municipal,http://open.regina.ca/,,,,,,https://www.regina.ca/residents/open-government/open-government-licence/,Contains information licensed under the Open Government Licence – City of Regina,,,,No,,,,
SK,Saskatoon,Municipal,http://opendata-saskatoon.cloudapp.net/,,,,,,http://opendata-saskatoon.cloudapp.net/TermsOfUse/TermsOfUse,,,,,No,,,,
YT,Whitehorse,Municipal,https://data.whitehorse.ca/,,,,,,https://data.whitehorse.ca/,,,,,No,,,,
