Province,Filename,Provider Name,Data Page Link,License or Terms of Use,Date Last Updated,Description,Open,In Previous Version,Region,Region Type,Open Data Portal Link,Format,Direct Link,Direct Link to Data,Notes,Attribution Statement,Date accessed,Action,Included in Database
ON,ON_covid_testing_centres,Province of Ontario,https://data.ontario.ca/en/dataset/covid-19-assessment-centre-locations,https://www.ontario.ca/page/open-government-licence-ontario,2021-11-25,Covid testing centres in Ontario,Yes,No,Ontario,Provincial,https://data.ontario.ca/,csv,https://data.ontario.ca/dataset/8ba078b2-ca9b-44c1-b5db-9674d85421f9/resource/c60993bb-3988-4648-9be9-398dee480514/download/assessment_centre_locations.csv,Yes,,Contains information licensed under the Open Government Licence – Ontario.,21-Dec,Direct download,No
ON,ON_Hamilton_hospital,City of Hamilton,https://open.hamilton.ca/datasets/a5867b5375544ceb8f06544a5ed349a5_15/explore,https://open.hamilton.ca/datasets/e37b13a002544e359350c31b2d48ee47_10/explore,15-Oct-21,Hospitals in Hamilton,Yes,No,Hamilton,Municipal,https://open.hamilton.ca/datasets/a5867b5375544ceb8f06544a5ed349a5_15/explore,csv,https://opendata.arcgis.com/api/v3/datasets/a5867b5375544ceb8f06544a5ed349a5_15/downloads/data?format=csv&spatialRefId=26917,Yes,,Contains public sector Data made available under the City of Hamilton’s Open Data Licence,21-Dec,Direct download,Yes
ON,ON_Hamilton_residential_care_,City of Hamilton,https://open.hamilton.ca/datasets/a5867b5375544ceb8f06544a5ed349a5_15/explore,https://open.hamilton.ca/datasets/e37b13a002544e359350c31b2d48ee47_10/explore,15-Oct-21,Residential care facilities in Ottawa,Yes,No,Hamilton,Municipal,https://open.hamilton.ca/datasets/a5867b5375544ceb8f06544a5ed349a5_15/explore,csv,https://opendata.arcgis.com/api/v3/datasets/e37b13a002544e359350c31b2d48ee47_10/downloads/data?format=csv&spatialRefId=26917,Yes,,Contains public sector Data made available under the City of Hamilton’s Open Data Licence,21-Dec,Direct download,Yes
ON,ON_Ottawa_hospital,City of Ottawa,https://open.ottawa.ca/datasets/hospitals/explore,https://ottawa.ca/en/terms-use#section-f074ebe1-63ea-45ca-b251-d08c4307c1ef,13-Feb-21,Hospitals in Ottawa,Yes,No,Ottawa,Municipal,http://data.ottawa.ca/,csv,https://opendata.arcgis.com/api/v3/datasets/b769ce497f2540aa962e602c983994d6_0/downloads/data?format=csv&spatialRefId=4326,Yes,,Contains information licensed under the Open Government Licence – City of Ottawa.,21-Dec,Direct download,Yes
ON,ON_Durham_healthcare_facilities,Regional Municipality of Durham,https://opendata.durham.ca/datasets/healthcare-facilities/explore,https://www.durham.ca/en/regional-government/resources/Documents/OpenDataLicenceAgreement.pdf,30-Nov-20,Healthcare facilities in Durham Region,Yes,No,Durham,Municipal,http://opendata.durham.ca/,geojson,https://opendata.arcgis.com/api/v3/datasets/2f1b94123092412c89495f95a2932b45_8/downloads/data?format=csv&spatialRefId=26917,Yes,"Healthcare facilities, Hospitals and Mental Health facilities",Contains public sector Information made available under The Regional Municipality of Durham's Open Data Licence ,21-Dec,Direct download,Yes
ON,ON_York_hospital,The Regional Municipality of York,https://data-markham.opendata.arcgis.com/datasets/york::hospital/explore,http://insights-york.opendata.arcgis.com/datasets/york-region-open-data-licence,08-Apr-20,Hospitals in York Region,Yes,No,York Region,Municipal,http://insights-york.opendata.arcgis.com/,geojson,https://opendata.arcgis.com/api/v3/datasets/ddb9ce6968644c33bb03a8295520bf9c_1/downloads/data?format=geojson&spatialRefId=4326,Yes,,Contains public sector information made available under The Regional Municipality of York's Open Data Licence,21-Dec,Direct download,Yes
ON,ON_healthcare_facilities,Province of Ontario,https://data.ontario.ca/en/dataset/hospital-locations,https://www.ontario.ca/page/open-government-licence-ontario,2020-04-05,Healthcare facilities in Ontario,Yes,Yes,Ontario,Provincial,https://data.ontario.ca/,csv,https://opendata.arcgis.com/api/v3/datasets/d67220ebba164afa9cf38c0f525f2c0a_0/downloads/data?format=csv&spatialRefId=4326,Yes,"Healthcare facilities: hospitals, long term care, hospital, lab, pharmacy, community health, independent health facilities, mental health centre - mislabelled on their website as just hospitals",Contains information licensed under the Open Government Licence – Ontario.,21-Dec,Direct download,Yes
ON,ON_Guelph_healthcare_facilities,City of Guelph,http://data.open.guelph.ca/dataset/health-services-in-guelph,http://data.open.guelph.ca/pages/open-government-licence,06-Jun-16,Health services,Yes,No,Guelph,Municipal,http://data.open.guelph.ca/,csv,http://data.open.guelph.ca/datafiles/gwlip/Health-Care-Services-in-Guelph.csv,Yes,"Primary health care providers, public health clinics and hospitals",Contains information provided by the City of Guelph under an open government license,21-Dec,Direct download,Yes
PE,PE_healthcare_facilities,Province of Prince Edward Island,https://data.princeedwardisland.ca/Health-and-Home/OD0050-Health-PEI-Facility-Locations/dfge-zd27,https://data.princeedwardisland.ca/Health-and-Home/OD0050-Health-PEI-Facility-Locations/dfge-zd27,08-Aug-19,Healthcare facilities in Prince Edward Island,Yes,No,Prince Edward Island,Provincial,https://data.princeedwardisland.ca/,csv,https://data.princeedwardisland.ca/api/views/dfge-zd27/rows.csv?accessType=DOWNLOAD,Yes,"Health facilities: hospitals, long term care, public nursing homes",Contains information licensed under the Open Government Licence – Prince Edward Island,23-Jan,Direct download,Yes
PHAC,NA,Public Health Agency of Canada,NA,NA,Not listed,Hospitals in Canada,No,Yes,Canada,National,https://www.canada.ca/en/public-health.html,NA,NA,No,Contacted,Not found,21-Dec,Contact,No
QC,NA,Santé Montréal,https://santemontreal.qc.ca/en/public/coronavirus-covid-19/testing-covid-19-in-montreal/#c46450,https://santemontreal.qc.ca/en/enregistrements/menu-barre-pied-de-page/,Not listed,Covid testing centres in Montréal,No,No,Santé Montréal,Municipal,https://santemontreal.qc.ca/,NA,NA,No,List of covid testing centres,"© Gouvernment du Québec, 2016",21-Dec,Scrape,No
QC,QC_healthcare_facilities,Province of Québec,https://www.donneesquebec.ca/recherche/dataset/fichiers-cartographiques-m02-des-installations-et-etablissements/resource/2aa06e66-c1d0-4e2f-bf3c-c2e413c3f84d,https://www.donneesquebec.ca/licence/#cc-by,2021-11-18,Healthcare facilities in Québec,Yes,Yes,Québec,Provincial,https://www.donneesquebec.ca/fr/organisation/gouvernement-du-quebec/,csv,https://www.donneesquebec.ca/recherche/dataset/51998b55-7d4c-4381-8c20-0ac1cd9c1b87/resource/2aa06e66-c1d0-4e2f-bf3c-c2e413c3f84d/download/installationscsv.csv,Yes,Health facilities,Licensed from the City of Gatineau under a Creative Commons CC-BY license.,21-Dec,Direct download,Yes
QC,QC_healthcare_establishments,Province of Québec,https://www.donneesquebec.ca/recherche/dataset/fichiers-cartographiques-m02-des-installations-et-etablissements/resource/a1988030-1f8b-4c67-bc29-ca8b9f710afd,https://www.donneesquebec.ca/licence/#cc-by,2021-11-18,Health establishments in Québec,Yes,No,Québec,Provincial,https://www.donneesquebec.ca/fr/organisation/gouvernement-du-quebec/,csv,https://www.donneesquebec.ca/recherche/dataset/51998b55-7d4c-4381-8c20-0ac1cd9c1b87/resource/a1988030-1f8b-4c67-bc29-ca8b9f710afd/download/etablissementscsv.csv,Yes,Health establishments,Licensed from the City of Gatineau under a Creative Commons CC-BY license.,21-Dec,Direct download,Yes
QC,QC_Quebec_City_public_places,Ville de Québec,https://www.donneesquebec.ca/recherche/dataset/vque_14,https://www.donneesquebec.ca/licence/#cc-by,2021-11-12,Public places including hospitals in Québec,Yes,Yes,Québec City,Municipal,https://www.donneesquebec.ca/fr/organisation/ville-de-quebec/,csv,https://www.donneesquebec.ca/recherche/dataset/daa10606-5fdd-4c9b-b5ef-235081690b6e/resource/06faa019-50f1-4741-94a7-adb8729d24b9/download/vdq-lieupublic.csv,Yes,List of public spaces including hospitals,Contient de l‚Äö√Ñ√¥information fournie par la ville de MQuebec et vis‚àö¬©e par CC BY.,21-Dec,Direct download,Yes
QC,QC_Gatineau_public_places_including_hospitals,Ville de Gatineau,https://www.gatineau.ca/portail/default.aspx?p=publications_cartes_statistiques_donnees_ouvertes/donnees_ouvertes/jeux_donnees/details&id=1267315911,https://creativecommons.org/licenses/by/4.0/legalcode.fr,06-Nov-21,Public places including hospitals in Gatineau,Yes,Yes,Gatineau,Municipal,https://www.donneesquebec.ca/fr/organisation/ville-de-gatineau/,csv,https://www.gatineau.ca/upload/donneesouvertes/LIEU_PUBLIC.csv,Yes,List of public spaces including hospitals,Contient de l‚Äö√Ñ√¥information fournie par la ville de Gatineau et vis‚àö¬©e par CC BY.,21-Dec,Direct download,Yes
SK,SK_health_facilities,Saskatchewan Health Authority,https://www.saskhealthauthority.ca/facilities-locations,https://www.saskhealthauthority.ca/terms-use-privacy,Not listed,Healthcare facilities operated by Saskatchewan Health Authority,No,Yes,Saskatchewan,Provincial,No Open License,NA,NA,No,List of health facilities - might need to use filter to determine service type,© Saskatchewan Health Authority 2023,21-Nov,Scrape,Yes
SK,SK_healthcare_facilities,Province of Saskatchewan,https://www.saskatchewan.ca/residents/health/accessing-health-care-services/health-care-facilities,https://www.saskatchewan.ca/copyright,,Healthcare facilities in Saskatchewan,No,No,Saskatchewan,Provincial,No Open License,NA,NA,No,,"© 2021, Government of Saskatchewan.",21-Nov,Manually collect,Yes
YT,YT_health_facilities,Yukon Territory,https://yukon.ca/en/find-hospital-or-health-centre,https://yukonhospitals.ca/en/terms-of-use,Not listed,Healthcare facilities in Yukon Territory,No,No,Yukon Territory,Territorial,No Open License,NA,NA,No,List of 17 hospitals and health centres,© 2022 Yukon Hospital Corporation,21-Nov,Scrape,Yes
YT,YT_hospitals,Yukon Territory,https://yukonhospitals.ca/node/15,https://yukonhospitals.ca/en/terms-of-use,Not listed,Hospitals and emergency services in Yukon Territory,No,No,Yukon Territory,Territorial,No Open License,NA,NA,No,Only 3 locations - provided in email for v1,© 2022 Yukon Hospital Corporation,21-Nov,Contact,Yes
