,,,RENSEIGNMENTS SUR L'EMPLACEMENT,,,RENSEIGNMENTS SUR LA STRUCTURE,,,,,,,,,,,RENSEIGNMENTS ADMINISTRATIVES,,,,RENSEIGNMENTS DE L'INSPECTION (IEP = Indice de l'état du pont),,,,,,,,,,,,,,,,,,,
13 - 191/,Senior Constable James C. McFadden Memorial Bridge (Merlin R,PONT Senior Constable James C. McFadden Memorial (Merlin R ,401,42.308672,-82.312834,Bridge,Beam/Girder,Rolled I Beam,Steel,1961,1998,2011,4,Total=64  (1)=12;(2)=20;(3)=20;(4)=12;,62.6,10.26,West,,Open to traffic,Provincial,07/20/2016,72.2,,72.2,,74.3,,74.7,,68.9,,70.1,,70.7,,73,,66.6,53.4,
13 - 227/1,GOVERNMENT DRAIN #3 BRIDGE E.B.L.,PONT GOVERNMENT DRAIN #3 VDE ,401,42.3316131,-82.2211842,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1961,,1978,1,Total=17  (1)=17;,18.9,13.06,West,,Open to traffic,Provincial,07/29/2016,67.5,,67.5,,67.9,,69.2,,67.9,,68.5,,68.7,,69.9,,69.8,72.9,
13 - 227/2,GOVERNMENT DRAIN #3 BRIDGE W.B.L.,PONT GOVERNMENT DRAIN #3 VDO ,401,42.3317958,-82.2213637,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1961,2016,1978,1,Total=17  (1)=17;,18.8,13.1,West,,Open to traffic,Provincial,11/29/2016,73.7,,73.7,,71.2,,71.7,,72,,72.9,,73.5,,73.5,,72.7,75,
13 - 228/1,RALEIGH PLAINS DRAIN BRIDGE EBL,PONT RALEIGH PLAINS DRAIN VDE ,401,42.33963075,-82.20049625,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1961,,1978,1,Total=13  (1)=13;,14.9,13.06,West,,Open to traffic,Provincial,11/25/2016,64.5,,64.5,,66.2,,66.3,,65.7,,65.8,,66.2,,60.8,,60.9,71.6,
13 - 228/2,RALEIGH PLAINS DRAIN BRIDGE WBL,PONT RALEIGH PLAINS DRAIN VDO ,401,42.3397545,-82.20071714,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1961,2016,1978,1,Total=13  (1)=13;,14.9,13.06,West,,Open to traffic,Provincial,11/25/2016,74.7,,74.7,,71.9,,72.4,,71.7,,72,,72.8,,67.4,,64.4,75,
13 - 229/1,FLOOK & HINTON DRAIN BRIDGE EBL,PONT FLOOK et HINTON DRAIN VDE ,401,42.34839457,-82.18776654,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1961,1998,,1,Total=17  (1)=17;,20.4,12.8,West,,Open to traffic,Provincial,11/29/2016,70.8,,70.8,,71,,71,,71.9,,72.5,,73.3,,89.8,,95.1,75,
13 - 229/2,FLOOK & HINTON DRAIN BRIDGE WBL,PONT FLOOK et HINTON DRAIN VDO ,401,42.3484094,-82.18816425,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1961,2016,,1,Total=17  (1)=17;,20.4,14.94,West,,Open to traffic,Provincial,11/29/2016,72.1,,72.1,,69.6,,70.2,,70.1,,70.5,,71.3,,82.7,,88.5,74.9,
13 - 230/1,Taff Creek Drain Bridge E.B.L.,PONT Taff Creek Drain VDE ,401,42.432702,-81.983575,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1961,1999,,1,Total=8  (1)=8;,9.1,13,West,,Open to traffic,Provincial,07/18/2016,69.2,,69.2,,69.2,,70.9,,70.3,,75,,73.5,,76.8,,88.2,83.5,
13 - 230/2,Taff Creek Drain Bridge W.B.L.,PONT Taff Creek Drain VDO ,401,42.432702,-81.983575,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1961,2001,,1,Total=8  (1)=8;,9.1,12.95,West,,Open to traffic,Provincial,07/18/2016,68.4,,68.4,,69,,70.8,,70.8,,72.4,,74.9,,76.8,,92.5,83.5,
13 - 231/,Proctor Drain Bridge,PONT Proctor Drain ,401,42.38853009,-82.06855646,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1961,2001,,1,Total=8.2  (1)=8.2;,8.2,37.8,West,,Open to traffic,Provincial,10/13/2016,69.2,,69.2,,69.5,,69.7,,70.5,,72.5,,72.9,,68.4,,74.7,73.4,
13 - 232/1,LUCAS DRAIN BRIDGE E.B.L.,PONT DU RUISSEAU MCGREGOR VDE ,401,42.38296835,-82.08900485,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1961,2017,,1,Total=10.7  (1)=10.7;,10.7,26.62,West,,Open to traffic,Provincial,11/07/2017,85.4,85.4,80.9,,71.6,,73.5,,73.6,,74.5,,74.8,,75.6,,94.8,75.6,
13 - 232/2,"LUCAS DRAIN BRIDGE, W.B.L.","MCGREGOR PONT DU RUISSEAU , VDO ",401,42.38317857,-82.08912251,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1961,2017,,1,Total=10.6  (1)=10.6;,10.6,24.36,West,,Open to traffic,Provincial,11/07/2017,86.9,86.9,83.7,,68.7,,70.3,,70.7,,73.4,,73.6,,76.3,,95,75,
13 - 234/,Lucas Drain (Formerly McGregor Creek Drain) Bridge,PONT drainage McGregor Creek ,40,42.3807428,-82.0897836,Bridge,Beam/Girder,NU Girder,Prestressed Precast Concrete,2017,2017,,1,Total=24  (1)=24;,25.2,24.4,West,,Open to traffic,Provincial,11/07/2017,100,100,62,,62.6,,62.6,,63.5,,65.1,,66.4,67.4,,,,,
13 - 235/,Charing Cross (County Road 10) Underpass,KENT CTY RD 10 PASSAGE INFÉRIEUR ,401,42.368035,-82.141419,Bridge,Beam/Girder,Rolled I Beam,Steel,1962,1996,,4,Total=66  (1)=13;(2)=20;(3)=20;(4)=13;,66.7,10.96,West,,Open to traffic,Provincial,06/09/2016,71.2,,71.2,,72.6,,71.9,,74,,74.8,,77,,86.2,,87.1,72.6,
13 - 236/,County Road #15 (Kent Bridge Road) Underpass,County Road #15 (t PONT Ken Road) PASSAGE INFÉRIEUR ,401,42.438028,-81.976316,Bridge,Beam/Girder,Rolled I Beam,Steel,1962,1996,,4,Total=66  (1)=12;(2)=21;(3)=21;(4)=12;,66.8,10.96,West,,Open to traffic,Provincial,06/17/2016,70.1,,70.1,,70.3,,71.2,,74.1,,75.4,,77.1,,87.6,,84.4,79.5,
13 - 237/,Mull Road Underpass,MULL SIDE RD. PASSAGE INFÉRIEUR ,401,42.415316,-82.008234,Bridge,Beam/Girder,Rolled I Beam,Steel,1962,2006,,4,Total=61.6  (1)=12.2;(2)=18.6;(3)=18.6;(4)=12.2;,63.9,11.3,West,,Open to traffic,Provincial,07/07/2016,80.7,,80.7,,84.2,,85.9,,86.2,,87.5,,47.2,,47.2,,58,62.9,
13 - 238/,Sergeant Margaret J. Eve Memorial Bridge (Hwy 40 Underpass),PONT Sergeant Margaret J. Eve Memorial (Rte 40 PASSAGE INFÉRIEUR ) ,401,42.382088,-82.092488,Bridge,Beam/Girder,T Beam (Boat Type),Prestressed Precast Concrete,2017,,,2,Total=85  (1)=44;(2)=41;,87.8,24.6,West,,Open to traffic,Provincial,11/07/2017,100,100,63,,63.1,,63.9,,62.7,,60.4,,62.6,,65.1,,73,72.6,
13 - 239/1,CSX Overhead E.B.L.,CSX PASSAGE SUPÉRIEUR VDE ,401,42.376571,-82.111408,Bridge,Beam/Girder,Rolled I Beam,Steel,1962,2016,,3,Total=50  (1)=15;(2)=20;(3)=15;,50.9,10.97,West,,Open to traffic,Provincial,11/18/2016,75.2,,75.2,,69.1,,70.3,,71.4,,71.5,,71.7,,76.2,,74.7,69.5,
13 - 239/2,CSX Overhead W.B.L.,CSX PASSAGE SUPÉRIEUR VDO ,401,42.376712,-82.11170169,Bridge,Beam/Girder,Rolled I Beam,Steel,1962,2016,,3,Total=50  (1)=15;(2)=20;(3)=15;,50.9,10.97,West,,Open to traffic,Provincial,11/18/2016,76.4,,76.4,,70.4,,71.3,,72,,72.2,,72.1,,72.2,,90,70.3,
13 - 241/,BLOOMFIELD ROAD UNDERPASS,BLOOMFIELD ROAD PASSAGE INFÉRIEUR ,401,42.350967,-82.184128,Bridge,Beam/Girder,Rolled I Beam,Steel,1962,2012,1991,4,Total=66  (1)=12;(2)=21;(3)=21;(4)=12;,66.8,11.27,West,,Open to traffic,Provincial,06/09/2016,74.8,,74.8,,77,,77.8,,67.1,,68.4,,63.3,,61.9,,53.3,58.4,
13 - 262/,DRAKE SIDEROAD UNDERPASS,DRAKE SIDEROAD PASSAGE INFÉRIEUR ,401,42.318622,-82.264859,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1969,,2012,4,Total=64  (1)=11;(2)=21;(3)=21;(4)=11;,63.2,10.36,West,,Open to traffic,Provincial,07/29/2016,74.6,,74.6,,76.5,,76.8,,60.9,,61,,63.5,,61.6,,55.7,66.7,
13 - 263/,Orford Road Underpass (Highgate Rd or Cty Rd 20),Orford Road PASSAGE INFÉRIEUR (HighgÀe Rd or Cty Rd 20) ,401,42.51732,-81.830418,Bridge,Beam/Girder,Rolled I Beam,Steel,1965,2006,2011,4,Total=66  (1)=12;(2)=21;(3)=21;(4)=12;,68.5,19.6,West,,Open to traffic,Provincial,04/13/2016,78.9,,78.9,,80.1,,83,,79.6,,78.1,,55.9,,55.9,,38.2,41.9,
13 - 264/,Duart Road Underpass,Duart Road PASSAGE INFÉRIEUR ,401,42.541285,-81.793024,Bridge,Beam/Girder,Rolled I Beam,Steel,2012,2012,2006,4,Total=61.4  (1)=12.1;(2)=18.6;(3)=18.6;(4)=12.1;,63.9,10.35,West,,Open to traffic,Provincial,04/20/2016,98.4,,98.4,,99.8,,100,,53.2,,53.8,,54.2,,54.3,,60.1,64.4,
13 - 265/,SCANE ROAD UNDERPASS,SCANE ROAD PASSAGE INFÉRIEUR ,401,42.460404,-81.943975,Bridge,Beam/Girder,Plate I Girder,Steel,1964,2005,,4,Total=61.4  (1)=12.1;(2)=18.6;(3)=18.6;(4)=12.1;,61.5,11.3,West,,Open to traffic,Provincial,06/07/2016,82.3,,82.3,,84.1,,84.5,,88.1,,89.9,,90.4,,48.4,,57.2,65,
13 - 266/,Victoria Road  (County Road  #21) Underpass,County Road #21 (Victoria Road) PASSAGE INFÉRIEUR ,401,42.482386,-81.911057,Bridge,Beam/Girder,Plate I Girder,Steel,1965,,2011,4,Total=66  (1)=12;(2)=21;(3)=21;(4)=12;,66.4,19.61,West,,Open to traffic,Provincial,06/07/2016,78,,78,,78.6,,80.8,,77.8,,78,,80,,66.6,,66.6,64.1,
13 - 267/,Kenesserie Road (County Road 16) Underpass,KENT COUNTY RD #16 PASSAGE INFÉRIEUR ,401,42.493005,-81.867294,Bridge,Beam/Girder,Rolled I Beam,Steel,1966,2012,2006,4,Total=62  (1)=12;(2)=19;(3)=19;(4)=12;,62.4,10.36,West,,Open to traffic,Provincial,06/17/2016,79.1,,79.1,,81.4,,82.1,,63.2,,65.7,,65.9,,63.8,,62.1,69.7,
13 - 268/,Harwich Road Underpass,Harwich Road PASSAGE INFÉRIEUR ,401,42.394907,-82.043193,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1969,2004,,4,Total=64  (1)=11;(2)=21;(3)=21;(4)=11;,63.1,10.36,West,,Open to traffic,Provincial,07/20/2016,74.6,,74.6,,75,,75,,75.2,,75.3,,80.3,,39.9,,39.9,67,
13 - 292/,DILLON SIDEROAD UNDERPASS,DILLON SIDEROAD PASSAGE INFÉRIEUR ,401,42.331554,-82.221598,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1969,2011,2008,4,Total=60  (1)=11;(2)=19;(3)=19;(4)=11;,60.5,10.36,West,,Open to traffic,Provincial,06/09/2016,73.9,,73.9,,74.6,,75.2,,63.7,,63.3,,63.6,,62.9,,65.1,72.2,
13 - 327/,THAMES RIVER BRIDGE (SHERMAN BROWN BRIDGE),PONT DE LA RIVIÈRE THAMES (PONT SHERMAN BROWN ) ,40,42.42344265,-82.149674,Bridge,Beam/Girder,Trapezoidal Girders,Steel,1980,2008,,3,Total=134.6  (1)=40.8;(2)=53;(3)=40.8;,134.7,12.45,West,,Open to traffic,Provincial,05/25/2016,74.9,,74.9,,75,,76.1,,76.4,,76.6,,71.9,75,,,,,
13 - 339/C,TOWNSHIP LINE CULVERT,,40,42.56172292,-82.38032135,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1959,2012,,1,Total=6;  (1)=6;,19.51,,West,,Open to traffic,Provincial,05/24/2016,71.4,,71.4,,72.9,,65.5,,68.1,,65.7,,66.2,,64.1,,88,88,
13 - 340/C,CONCESSION #5 CULVERT,,40,42.44456265,-82.23652738,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1975,2011,,1,Total=4.2;  (1)=4.2;,25.91,,West,,Open to traffic,Provincial,05/24/2016,71,,71,,71.2,,72,,66.5,,71.5,,73.2,,74,,74,74,
13 - 341/C,CONCESSION #5 CULVERT,,40,42.45224462,-82.24583882,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1975,2011,,1,Total=3;  (1)=3;,26.82,,West,,Open to traffic,Provincial,05/24/2016,73.7,,73.7,,73.7,,74.2,,72.3,,73.7,,74.6,,74.6,,74.6,74.6,
13 - 342/C,CONCESSION #13 CULVERT,,40,42.52118191,-82.33085695,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1975,2011,,1,Total=4;  (1)=4;,26.21,,West,,Open to traffic,Provincial,05/24/2016,73.3,,73.3,,73.6,,74.1,,65.5,,70.5,,65.8,,46.2,,50.7,39.9,
13 - 390/C,CULVERT - DOWNIE DRAIN,,40,42.40885951,-82.13111373,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1965,2009,,1,Total=5;  (1)=5;,29,,West,,Open to traffic,Provincial,05/24/2016,73.5,,73.5,,73.7,,74.4,,74.6,,73.9,,74.4,,75,,,75,
13 - 391/C,CULVERT 391,,40,42.41393204,-82.13719043,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1965,2009,,1,Total=5;  (1)=5;,25.6,,West,,Open to traffic,Provincial,05/24/2016,80.4,,80.4,,81.4,,82.7,,81.5,,74.6,,75,,75,,75,75,
13 - 398/C,CULVERT 398,,401,42.27118502,-82.42628988,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1976,,,1,Total=5;  (1)=5;,61.9,,West,,Open to traffic,Provincial,05/18/2016,69.8,,69.8,,69.8,,69.8,,70.7,,73,,75,,75,,,75,
13 - 399/C,CULVERT - SINCLAIR DRAIN,,401,42.28843703,-82.34885193,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1960,,2015,1,Total=4;  (1)=4;,60.35,,West,,Open to traffic,Provincial,05/18/2016,71.9,,71.9,,65.3,,66.2,,67.1,,70.6,,73.4,,73.4,,,74.8,
13 - 400/C,CULVERT - DEARY DRAIN,,401,42.31181951,-82.30501576,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1960,2016,,1,Total=4.5;  (1)=4.5;,53.34,,West,,Open to traffic,Provincial,12/08/2016,65.8,,65.8,,66.2,,66.7,,67.8,,70.3,,73,,72.8,,74.8,74.8,
13 - 401/C,CULVERT 401,,401,42.3658805,-82.1489607,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1961,1999,,1,Total=5.6;  (1)=5.6;,73.76,,West,,Open to traffic,Provincial,05/18/2016,67.9,,67.9,,68.2,,68.2,,68.1,,69.9,,70,,73.3,,92.5,39.9,
13 - 402/C,CULVERT - WHITE DRAIN,,401,42.39372848,-82.04776253,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1961,2016,,1,Total=4;  (1)=4;,90.7,,West,,Open to traffic,Provincial,11/14/2016,75.8,,75.8,,66.7,,66.8,,67.9,,70.6,,71.1,,74.2,,74.7,74.9,
13 - 403/C,CULVERT - TEDFORD DRAIN,,401,42.39704426,-82.03564361,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1961,2016,,1,Total=4.3;  (1)=4.3;,59.3,,West,,Open to traffic,Provincial,05/18/2016,66.6,,66.6,,66.6,,67,,66.9,,67.1,,65.2,,73.6,,74.3,73.9,
13 - 404/C,CULVERT - MCPHAIL DRAIN,,401,42.40577021,-82.02195115,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1961,,,1,Total=4.42  (1)=4.42;,62,,West,,Open to traffic,Provincial,05/18/2016,66.8,,66.8,,67.3,,67.5,,67.6,,69.7,,70.2,,71.1,,74.4,74.4,
13 - 405/C,CULVERT - ENOS SMITH DRAIN,,401,42.41498898,-82.00867681,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1961,,,1,Total=4;  (1)=4;,52.8,,West,,Open to traffic,Provincial,05/18/2016,60.2,,60.2,,60.4,,60.8,,61.9,,62.8,,72,,72.8,,74.7,74.2,
13 - 406/C,CULVERT ,,401,42.4179411,-82.00507768,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1961,,,1,Total=3.8;  (1)=3.8;,55.2,,West,,Open to traffic,Provincial,05/18/2016,65,,65,,65.4,,66,,67,,68.5,,69.5,,72.5,,74.4,74.6,
13 - 407/C,CULVERT 407,,401,42.44074533,-81.97244236,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1961,,,1,Total=4.3;  (1)=4.3;,63.2,,West,,Open to traffic,Provincial,05/24/2016,65.7,,65.7,,66.1,,66.4,,67.5,,70.1,,71.1,,73.1,,74.4,74.4,
13 - 408/C,CULVERT 408,,401,42.45108147,-81.95762347,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1961,,,1,Total=4.3;  (1)=4.3;,71.9,,West,,Open to traffic,Provincial,05/24/2016,68.9,,68.9,,69.1,,69.3,,69.8,,70.9,,71.6,,68.9,,74.8,74.9,
13 - 409/C,CULVERT 409,,401,42.45570395,-81.95088743,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1961,,,1,Total=4.3;  (1)=4.3;,61,,West,,Open to traffic,Provincial,05/25/2016,67.7,,67.7,,68,,68.6,,68.6,,69.9,,70,,70.8,,74.9,74.9,
13 - 410/C,CULVERT 410,,401,42.4588389,-81.94626873,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1961,,,1,Total=5;  (1)=5;,67.4,,West,,Open to traffic,Provincial,05/25/2016,70.2,,70.2,,70.6,,70.9,,70.9,,72.6,,73.1,,73.9,,74.9,74.9,
13 - 412/C,CULVERT 412,,401,42.46391174,-81.93880724,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1961,,,1,Total=4.3;  (1)=4.3;,64,,West,,Open to traffic,Provincial,06/08/2016,66.3,,66.3,,66.8,,67.1,,67.9,,71.1,,71.7,,73.1,,74.9,74.9,
13 - 413/C,CULVERT 413,,401,42.47051812,-81.9290676,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1961,,,1,Total=5;  (1)=5;,70.7,,West,,Open to traffic,Provincial,06/08/2016,67.2,,67.2,,67.6,,69,,69.3,,71.1,,71.7,,72.2,,74.7,74.7,
13 - 414/C,CULVERT 414,,401,42.4801449,-81.91432579,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1961,,,1,Total=6.2  (1)=6.2;,71.9,,West,,Open to traffic,Provincial,06/08/2016,70.8,,70.8,,71.2,,71.5,,71.6,,72.6,,72.8,,74.5,,74.9,74.9,
13 - 415/C,CULVERT 415,,401,42.48917384,-81.88538511,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1962,,,1,Total=5.5;  (1)=5.5;,62.8,,West,,Open to traffic,Provincial,06/08/2016,72.4,,72.4,,72.5,,73.1,,73.1,,73.9,,74.1,,73.5,,74.9,74.9,
13 - 416/C,CULVERT 416,,401,42.49130477,-81.87161202,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1962,,,1,Total=3;  (1)=3;,58.5,,West,,Open to traffic,Provincial,06/08/2016,70.5,,70.5,,71.3,,71.6,,71.6,,72.2,,72.6,,70,,74.8,74.8,
13 - 418/C,CULVERT 418,,401,42.49423418,-81.86519238,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1962,,,1,Total=4.3;  (1)=4.3;,59.13,,West,,Open to traffic,Provincial,06/08/2016,71.3,,71.3,,71.9,,72.4,,72.7,,71.1,,70.4,,71.7,,74.5,74.5,
13 - 419/C,CULVERT 419,,401,42.49927254,-81.85769525,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1962,,,1,Total=3.7  (1)=3.7;,77.4,,West,,Open to traffic,Provincial,06/08/2016,68.6,,68.6,,68.8,,70.2,,70.4,,72.3,,72.6,,72.3,,74.9,74.7,
13 - 420/C,CULVERT 420,,401,42.50754537,-81.84542153,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1962,,,1,Total=3.1;  (1)=3.1;,54.4,,West,,Open to traffic,Provincial,06/08/2016,70.4,,70.4,,70.6,,71.4,,72.2,,72.1,,72.8,,73.3,,74.8,74.8,
13 - 421/C,CULVERT 421,,401,42.51138716,-81.83970304,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1962,,,1,Total=3.7;  (1)=3.7;,60.3,,West,,Open to traffic,Provincial,06/08/2016,72.3,,72.3,,72.6,,73.1,,73.6,,74.1,,74.4,,75,,75,75,
13 - 422/C,CULVERT 422 Hornel Drain,,401,42.54824148,-81.78194978,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1962,,,1,Total=3;  (1)=3;,59.2,,West,,Open to traffic,Provincial,05/25/2016,70.2,,70.2,,70.9,,72.2,,72.7,,73.2,,73.3,,73.1,,74.7,74.7,
13 - 423/C,4TH CON. MUN. DRAIN,,40,42.61816521,-82.43260571,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1964,,,1,Total=4;  (1)=4;,26.4,,West,,Open to traffic,Provincial,05/24/2016,67.7,,67.7,,68.5,,69.9,,70.9,,72.3,,74.4,,73.6,,73.6,96.7,
13 - 523/C,VICTORIA ROAD SOUTH CULVERT,,401,42.48032911,-81.90856565,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1964,,,1,Total=6.01  (1)=6.01;,34.1,,West,,Open to traffic,Provincial,06/08/2016,66.1,,66.1,,67.5,,68.5,,69.3,,70.4,,72,75,,,,,
14 -   2/,SHAWANA CREEK BRIDGE,PONT DU RUISSEAU SHASHAWANDAH ,21,43.1666251,-81.9840872,Bridge,Beam/Girder,Plate I Girder,Steel,2011,2011,,1,Total=24  (1)=24;,25.2,15.2,West,,Open to traffic,Provincial,05/31/2017,94.3,94.3,,94.9,,96.1,100,57.9,,57.9,,52.9,,56.9,49.8,,49.2,54,
14 -   3/,Ausable River Bridge,PONT DE LA RIVIÈRE AUSABLE,21,43.22167115,-81.86423155,Bridge,Truss,Half Through Truss (PONY),Steel,1963,2017,2010,3,Total=61  (1)=12.2;(2)=36.6;(3)=12.2;,64.1,11.28,West,,Open to traffic,Provincial,11/03/2017,81.1,81.1,,77.7,,78.4,,81.5,,84.1,,77.3,,79.7,59.6,,59.6,66.3,
14 -  28/,HICKORY CREEK BRIDGE,PONT DU RUISSEAU HICKORY ,21,43.0856849,-82.0007644,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,2000,2000,,1,Total=16.6  (1)=16.6;,17.2,13.46,West,,Open to traffic,Provincial,08/30/2017,87.4,87.4,,89.3,,91.4,,96.7,,98.3,,98.7,,99.2,100,,99.9,74.8,
14 -  37/,CHRISTINA STREET UNDERPASS,CHRISTINA STREET PASSAGE INFÉRIEUR ,402,42.987948,-82.398279,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,2011,2011,,2,Total=58  (1)=33;(2)=25;,59.1,20.7,West,,Open to traffic,Provincial,05/12/2017,95,95,,96.3,,96.8,100,67.6,,67.6,,64,,63.9,63.9,,64.7,64.8,
14 -  38/,COLBOURNE ROAD OVERPASS,COLBOURNE ROAD PASSAGE SUPÉRIEUR ,402,42.98758288,-82.38874089,Bridge,Beam/Girder,Rolled I Beam,Steel,1957,2009,,1,Total=19  (1)=19;,21.1,38.96,West,,Open to traffic,Provincial,06/09/2017,82.2,82.2,,82.5,,83.2,83.3,73,,73,,71.8,,72.8,72.8,,69.3,67.1,
14 - 177/,CLAY CREEK BRIDGE,PONT DU RUISSEAU CLAY ,40,42.7551383,-82.42721159,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1974,2002,,1,Total=10.7  (1)=10.7;,12,13.51,West,,Open to traffic,Provincial,08/30/2017,72.8,72.8,,73.5,,73.8,,73.9,,74.1,,70,,70.9,72.2,,,67.7,
14 - 239/C,WHITEBREAD MUNICIPAL DRAIN STR.,,40,42.63075938,-82.43088433,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1977,,,1,Total=5.5  (1)=5.5;,18,,West,,Open to traffic,Provincial,07/14/2017,69.5,69.5,,69.6,,71.4,,72.2,,73.6,,72.2,,72.6,67.5,,93.3,67.7,
14 - 279/1,London Line Overpass N.B.L.,London Line PASSAGE SUPÉRIEUR VDN ,40,42.984961,-82.343924,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1964,1999,,4,Total=55.8  (1)=9.8;(2)=17.5;(3)=18.7;(4)=9.8;,57.3,15.85,West,,Open to traffic,Provincial,10/18/2017,73.4,73.4,,73.5,,73.6,,73.7,,74.6,,73.3,,73.8,84.3,,,,
14 - 279/2,London Line Overpass S.B.L.,London Line PASSAGE SUPÉRIEUR VDS ,40,42.984985,-82.344257,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1979,1999,,4,Total=56.8  (1)=9.8;(2)=18.6;(3)=18.6;(4)=9.8;,57.3,14.66,West,,Open to traffic,Provincial,10/18/2017,73.5,73.5,,73.7,,74.1,,74.2,,74.9,,73.1,,73.5,84.5,,,,
14 - 289/,Indian Road Underpass,,402,42.98722,-82.375542,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1964,2016,,5,Total=84  (1)=11;(2)=19;(3)=24;(4)=19;(5)=11;,84.9,23.89,West,,Open to traffic,Provincial,07/11/2017,86.6,86.6,,86.2,,87.4,88.7,,,,,,,,,,,,
14 - 290/,CNR OVERHEAD,Viaduc du CNR,40,42.955537,-82.345534,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1965,1986,,4,Total=71.7  (1)=13.7;(2)=23;(3)=21.3;(4)=13.7;,71.7,10.97,West,,Open to traffic,Provincial,10/18/2017,64.3,64.3,,64.4,,65.9,,65.8,,69.2,,68.8,,66.7,67.6,,66.1,66.1,
