facility_name,facility_type,health_authority,alternative_name,number_beds,address_str,unit,street_no,street_name,street_addr,city,province,postal_code,provider,latitude,longitude,phone,email,website
Bridgepoint Family Health Team,Family Health Team - Contract,,,,,,430,broadview avenue,430 Broadview Avenue,Toronto,ON,M4K2N1,Province of Ontario,-79.3536434759999,43.6669922890001,,,
Brockton and Area Family Health Team,Family Health Team - Contract,,,,,,21,mcgivern street,21 McGivern Street,Walkerton,ON,N0G2V0,Province of Ontario,-81.15303929,44.122026781,,,
Upper Canada Family Health Team,Family Health Team - Contract,,,,,,5,home street,5 Home Street,Brockville,ON,K6V0A5,Province of Ontario,-75.684667765,44.587280611,,,
Peninsula Family Health Team Inc.,Family Health Team - Contract,,,,,,24,moore street,24 Moore Street,Lion's Head,ON,N0H1W0,Province of Ontario,-81.248517405,44.9863460220001,,,
Burk's Falls Family Health Team,Family Health Team - Contract,,,,,,150,huston street,150 Huston Street,Burk's Falls,ON,P0A1C0,Province of Ontario,-79.4046790739999,45.616710819,,,
Woodbine Family Health Team,Family Health Team - Contract,,,,,,135,queen's plate drive,135 Queen's Plate Drive,Toronto,ON,M9W6V1,Province of Ontario,-79.592039056,43.716869887,,,
Carefirst Family Health Team,Family Health Team - Contract,,,,,,420,highway 7 east,420 Highway 7 East,Richmond Hill,ON,L4B3K2,Province of Ontario,-79.390816703,43.8434993180001,,,
Caroline Family Health Team of Burlington,Family Health Team - Contract,,,,,,3305,harvester road,3305 Harvester Road,Burlington,ON,L7N3N2,Province of Ontario,-79.792465288,43.3580460140001,,,
Central Hastings Family Health Team,Family Health Team - Contract,,,,,,52,st. lawrence street east,52 St. Lawrence Street East,Madoc,ON,K0K2K0,Province of Ontario,-77.471985543,44.505675721,,,
Couchiching Family Health Team,Family Health Team - Contract,,,,,,119,memorial avenue,119 Memorial Avenue,Orillia,ON,L3V5X1,Province of Ontario,-79.427369584,44.6008723470001,,,
Credit Valley Family Health Team,Family Health Team - Contract,,,,,,2300,eglinton avenue,2300 Eglinton Avenue,Mississauga,ON,L5M2V8,Province of Ontario,-79.705546178,43.559071154,,,
Dilico Anishinabek Family Care,Family Health Team - Contract,,,,,,200,anemki place,200 Anemki Place,Fort William First Nation,ON,P7J1L6,Province of Ontario,-89.2612729589999,48.354233552,,,
Dufferin Area Family Health Team,Family Health Team - Contract,,,,,,1,elizabeth street,1 Elizabeth Street,Orangeville,ON,L9W7N7,Province of Ontario,-80.0993251359999,43.9212787980001,,,
West Durham Family Health Team,Family Health Team - Contract,,,,,,1105,kingston road,1105 Kingston Road,Pickering,ON,L1V1B5,Province of Ontario,-79.0948321069999,43.829713429,,,
East End Family Health Team,Family Health Team - Contract,,,,,,,highway 101 east,Highway 101 East,Timmins,ON,P4N8R6,Province of Ontario,-81.330503027,48.4761696680001,,,
Elliot Lake Family Health Team,Family Health Team - Contract,,,,,,31,nova scotia walk,31 Nova Scotia Walk,Elliot Lake,ON,P5A1Y9,Province of Ontario,-82.649425405,46.385826675,,,
Englehart and District Family Health Team,Family Health Team - Contract,,,,,,63,fifth street,63 Fifth Street,Englehart,ON,P0J1H0,Province of Ontario,-79.879265666,47.8226867480001,,,
Etobicoke Medical Centre Family Health Team,Family Health Team - Contract,,,,,,85,the east mall,85 The East Mall,Toronto,ON,M8Z5W4,Province of Ontario,-79.548668734,43.6198988720001,,,
Fort Frances Community Clinic Inc.,Family Health Team - Contract,,,,,,301,victoria avenue,301 Victoria Avenue,Fort Frances,ON,P9A2C1,Province of Ontario,-93.393024855,48.608197282,,,
Georgian Bay Family Health Team,Family Health Team - Contract,,,,,,186,erie street,186 Erie Street,Collingwood,ON,L9Y1P6,Province of Ontario,-80.2051625239999,44.501089393,,,
Greenstone Family Health Team,Family Health Team - Contract,,,,,,510,hogarth avenue west,510 Hogarth Avenue West,Geraldton,ON,P0T1M0,Province of Ontario,-86.956965649,49.723349397,,,
Guelph Family Health Team,Family Health Team - Contract,,,,,,55,wyndham street north,55 Wyndham Street North,Guelph,ON,N1H7T8,Province of Ontario,-80.247904749,43.5460521260001,,,
Kingston Family Health Team,Family Health Team - Contract,,,,,,797,princess street,797 Princess Street,Kingston,ON,K7L1G1,Province of Ontario,-76.507122706,44.2394934160001,,,
Thames Valley Family Health Team,Family Health Team - Contract,,,,,,1385,north routledge park,1385 North Routledge Park,London,ON,N6H5N5,Province of Ontario,-81.335390143,43.001390578,,,
Alliston Family Health Team,Family Health Team - Contract,,,,,,36,victoria street west,36 Victoria Street West,New Tecumseth,ON,L9R1V5,Province of Ontario,-79.870472685,44.153822749,,,
Niagara Medical Group Family Health Team,Family Health Team - Contract,,,,,,4421,queen street,4421 Queen Street,Niagara Falls,ON,L2E2L2,Province of Ontario,-79.066185936,43.106899103,,,
Parry Sound Family Health Team,Family Health Team - Contract,,,,,,60,bowes street,60 Bowes Street,Parry Sound,ON,P2A2L3,Province of Ontario,-80.020385147,45.3433267440001,,,
Prescott Family Health Team,Family Health Team - Contract,,,,,,555,king street west,555 King Street West,Prescott,ON,K0E1T0,Province of Ontario,-75.5205071199999,44.7055409390001,,,
PikwÃ kanagÃ n Family Health Team,Family Health Team - Contract,,,,,,1643,mishomis,1643 Mishomis Inamo,Golden Lake,ON,K0J1X0,Province of Ontario,-77.2515644649999,45.575503913,,,
North Peel Family Health Team,Family Health Team - Contract,,,,,,157,queen street east,157 Queen Street East,Brampton,ON,L6W3X4,Province of Ontario,-79.753159505,43.691968575,,,
Rideau Family Health Team,Family Health Team - Contract,,,,,,3625,rivergate way,3625 Rivergate Way,Ottawa,ON,K1V2A4,Province of Ontario,-75.69254663,45.3457681420001,,,
Sherbourne Family Health Team,Family Health Team - Contract,,,,,,333,sherbourne street,333 Sherbourne Street,Toronto,ON,M5A2S5,Province of Ontario,-79.3720207809999,43.6623076870001,,,
Sunset Country Family Health Team,Family Health Team - Contract,,,,,,35,wolsley street,35 Wolsley Street,Kenora,ON,P9N3W7,Province of Ontario,-94.503223199,49.7665534380001,,,
Taddle Creek Family Health Team,Family Health Team - Contract,,,,,,790,bay street,790 Bay Street,Toronto,ON,M5G1N8,Province of Ontario,-79.386061986,43.6605061860001,,,
Temagami Medical Centre and Family Health Team,Family Health Team - Contract,,,,,,17,o'connor drive,17 O'Connor Drive,Temagami,ON,P0H2H0,Province of Ontario,-79.7873076499999,47.062678734,,,
Cottage Country Family Health Team,Family Health Team - Contract,,,,,,205,hiram street,205 Hiram Street,Bracebridge,ON,P1L2C1,Province of Ontario,-79.31547339,45.0460651280001,,,
Westend FamilyCare Clinic Family Health Team,Family Health Team - Contract,,,,,,80,michael cowpland drive,80 Michael Cowpland Drive,Ottawa,ON,K2M1P6,Province of Ontario,-75.869180284,45.2870600250001,,,
South Algonquin Family Health Team Corporation,Family Health Team - Contract,,,,,,27,medical centre road,27 Medical Centre Road,Whitney,ON,K0J2M0,Province of Ontario,-78.23260578,45.4938175550001,,,
Two Rivers Family Health Team,Family Health Team - Contract,,,,,,350,conestoga boulevard,350 Conestoga Boulevard,Cambridge,ON,N1R7L7,Province of Ontario,-80.313659456,43.3901022950001,,,
University of Ottawa Health Services Family Health Team,Family Health Team - Contract,,,,,,100,marie curie private,100 Marie Curie Private,Ottawa,ON,K1N6N5,Province of Ontario,-75.680394333,45.4217354560001,,,
Wawa Family Health Team,Family Health Team - Contract,,,,,,17,government road,17 Government Road,Wawa,ON,P0S1K0,Province of Ontario,-84.77207959,48.0008768960001,,,
Windsor Family Health Team,Family Health Team - Contract,,,,,,2475,mcdougall street,2475 McDougall Street,Windsor,ON,N8X3N9,Province of Ontario,-83.0186021,42.288759569,,,
North Huron Family Health Team,Family Health Team - Contract,,,,,,285,catherine street,285 Catherine Street,Arthur,ON,N0G2W0,Province of Ontario,-81.3069582159999,43.884925433,,,
Huron Community Family Health Team,Family Health Team - Contract,,,,,,1,centennial drive,1 Centennial Drive,Huron East,ON,N0K1W0,Province of Ontario,-81.386752209,43.5505502710001,,,
Red Lake Family Health Team,Family Health Team - Contract,,,,,,51,highway 105,51 Highway 105,Red Lake,ON,P0V2M0,Province of Ontario,-93.822443044,51.013266441,,,
Connexion Family Health Team,Family Health Team - Contract,,,,,,5303,canotek road,5303 Canotek Road,Ottawa,ON,K1J9M1,Province of Ontario,-75.588507105,45.4529592650001,,,
St. Michael's Hospital Academic Family Health Team,Family Health Team - Contract,,,,,,410,sherbourne street,410 Sherbourne Street,Toronto,ON,M4X1K2,Province of Ontario,-79.374175182,43.664736088,,,
Nipigon District Family Health Team,Family Health Team - Contract,,,,,,125,hogan road,125 Hogan Road,Nipigon,ON,P0T2J0,Province of Ontario,-88.276350656,49.0155484110001,,,
Plantagenet Family Health Team,Family Health Team - Contract,,,,,,179,old highway 17,179 Old Highway 17,Plantagenet,ON,K0B1L0,Province of Ontario,-74.9887236129999,45.5409067050001,,,
Chapleau and District Family Health Team,Family Health Team - Contract,,,,,,2,broomhead road,2 Broomhead Road,Chapleau,ON,P0M1K0,Province of Ontario,-83.41481713,47.8403831540001,,,
London Family Health Team,Family Health Team - Contract,,,,,,1261,beaverbrook avenue,1261 Beaverbrook Avenue,London,ON,N6H0G6,Province of Ontario,-81.2941660289999,42.9915772780001,,,
Jane-Finch Family Health Team,Family Health Team - Contract,,,,,,1,yorkgate boulevard,1 Yorkgate Boulevard,Toronto,ON,M3N3A1,Province of Ontario,-79.518806737,43.7589947970001,,,
Thamesview Family Health Team,Family Health Team - Contract,,,,,,465,grand avenue west,465 Grand Avenue West,Chatham-Kent,ON,N7L1C5,Province of Ontario,-82.2113393609999,42.3982801280001,,,
City of Kawartha Lakes Family Health Team,Family Health Team - Contract,,,,,,55,angeline street north,55 Angeline Street North,Kawartha Lakes,ON,K9V5B7,Province of Ontario,-78.7548856449999,44.3553224360001,,,
Lower Outaouais Family Health Team,Family Health Team - Contract,,,,,,144,main street east,144 Main Street East,Hawkesbury,ON,K6A1A3,Province of Ontario,-74.6103476919999,45.6093963320001,,,
Santé Manitouwadge Health,Family Health Team - Contract,,,,,,1,healthcare crescent,1 Healthcare Crescent,Manitouwadge,ON,P0T2C0,Province of Ontario,-85.8246974909999,49.1276674910001,,,
Health For All Family Health Team,Family Health Team - Contract,,,,,,379,church street,379 Church Street,Markham,ON,L6B0T1,Province of Ontario,-79.231945856,43.884728033,,,
Central Lambton Family Health Team,Family Health Team - Contract,,,,,,4130,glenview road,4130 Glenview Road,Petrolia,ON,N0N1R0,Province of Ontario,-82.1485039849999,42.877160216,,,
Ottawa Valley Family Health Team,Family Health Team - Contract,,,,,,95,spring street,95 Spring Street,Mississippi Mills,ON,K0A1A0,Province of Ontario,-76.189680185,45.228417101,,,
West Champlain Family Health Team,Family Health Team - Contract,,,,,,315,pembroke street east,315 Pembroke Street East,Pembroke,ON,K8A3K2,Province of Ontario,-77.10594514,45.8278059620001,,,
Équipe de Santé Familiale Nord-Aski Family Health Team,Family Health Team - Contract,,,,,,1403,edward street,1403 Edward Street,Hearst,ON,P0L1N0,Province of Ontario,-83.678548571,49.686557905,,,
Lakelands Family Health Team,Family Health Team - Contract,,,,,,12357,highway 41,12357 Highway 41,Northbrook,ON,K0H2G0,Province of Ontario,-77.161019561,44.7383593750001,,,
Manitoulin Central Family Health Team,Family Health Team - Contract,,,,,,2120,highway 551,2120 Highway 551,Mindemoya,ON,P0P1S0,Province of Ontario,-82.166698878,45.738161598,,,
Akausivik Inuit Family Health Team,Family Health Team - Contract,,,,,,24,selkirk street,24 Selkirk Street,Ottawa,ON,K1L0A4,Province of Ontario,-75.6676919289999,45.4317216580001,,,
Wise Elephant Family Health Team,Family Health Team - Contract,,,,,,36,vodden street east,36 Vodden Street East,Brampton,ON,L6V4H4,Province of Ontario,-79.76829271,43.694771974,,,
Cochrane Family Health Team,Family Health Team - Contract,,,,,,233,8th street,233 8th Street,Cochrane,ON,P0L1C0,Province of Ontario,-81.0210478,49.069782973,,,
Four Counties Family Health Team,Family Health Team - Contract,,,,,,253,main street,253 Main Street,Glencoe,ON,,Province of Ontario,-81.712329338,42.7494213150001,,,
Hanover Family Health Team Inc.,Family Health Team - Contract,,,,,,90,7th avenue,90 7th Avenue,Hanover,ON,N4N1N1,Province of Ontario,-81.0293374519999,44.141476191,,,
Kincardine Family Health Team,Family Health Team - Contract,,,,,,44,queen street,44 Queen Street,Kincardine,ON,N2Z3C1,Province of Ontario,-81.637604348,44.1740576660001,,,
Mango Tree Family Health Team,Family Health Team - Contract,,,,,,28,brock road north,28 Brock Road North,Puslinch,ON,N1H6H9,Province of Ontario,-80.157362114,43.476266218,,,
Burlington Family Health Team,Family Health Team - Contract,,,,,,1221,lakeshore road,1221 Lakeshore Road,Burlington,ON,L7S0A1,Province of Ontario,-79.8017916869999,43.3152331060001,,,
Welland McMaster Family Health Team,Family Health Team - Contract,,,,,,555,prince charles drive north,555 Prince Charles Drive North,Welland,ON,L3C6B5,Province of Ontario,-79.268110491,42.998815474,,,
Central Brampton Family Health Team,Family Health Team - Contract,,,,,,60,gillingham drive,60 Gillingham Drive,Brampton,ON,L6X0Z9,Province of Ontario,-79.786553617,43.704199875,,,
Queen Square Family Health Team,Family Health Team - Contract,,,,,,366,main street north,366 Main Street North,Brampton,ON,L6V1P8,Province of Ontario,-79.771378511,43.6950306740001,,,
OakMed Family Health Team,Family Health Team - Contract,,,,,,231,oak park boulevard,231 Oak Park Boulevard,Oakville,ON,L6H7S8,Province of Ontario,-79.716325775,43.4826407400001,,,
Sunnybrook Academic Family Health Team,Family Health Team - Contract,,,,,,2075,bayview avenue,2075 Bayview Avenue,Toronto,ON,M4N3M5,Province of Ontario,-79.3728782869999,43.7228542980001,,,
Crosstown Family Health Team,Family Health Team - Contract,,,,,,1286,weston road,1286 Weston Road,Toronto,ON,M6M4R3,Province of Ontario,-79.4955092229999,43.688964286,,,
Village Family Health Team,Family Health Team - Contract,,,,,,171,east liberty street,171 East Liberty Street,Toronto,ON,M6K3P6,Province of Ontario,-79.418159494,43.6381306810001,,,
Don Mills Family Health Team,Family Health Team - Contract,,,,,,20,wynford drive,20 Wynford Drive,Toronto,ON,M3C1J4,Province of Ontario,-79.336261475,43.723915,,,
Humber River Family Health Team,Family Health Team - Contract,,,,,,2050,weston road,2050 Weston Road,Toronto,ON,M9N1X4,Province of Ontario,-79.521660432,43.701385787,,,
Woodbridge Medical Centre Family Health Team,Family Health Team - Contract,,,,,,9600,islington avenue,9600 Islington Avenue,Vaughan,ON,L4H2T1,Province of Ontario,-79.609855271,43.8245450040001,,,
East GTA Family Health Team,Family Health Team - Contract,,,,,,520,ellesmere road,520 Ellesmere Road,Toronto,ON,M1R0B1,Province of Ontario,-79.295236066,43.7629676080001,,,
North Durham Family Health Team,Family Health Team - Contract,,,,,,462,paxton street,462 Paxton Street,Port Perry,ON,L9L1L9,Province of Ontario,-78.953884586,44.1041631840001,,,
Northumberland Family Health Team,Family Health Team - Contract,,,,,,1111,elgin street west,"1111, Elgin Street West",Cobourg,ON,K9A5H7,Province of Ontario,-78.1997566319999,43.970256395,,,
Loyalist Family Health Team,Family Health Team - Contract,,,,,,200,speers boulevard,200 Speers Boulevard,Amherstview,ON,K7N0B6,Province of Ontario,-76.663110655,44.224073106,,,
Arnprior and District Family Health Team,Family Health Team - Contract,,,,,,346,john street north,346 John Street North,Arnprior,ON,K7S2P6,Province of Ontario,-76.352974557,45.44144283,,,
Équipe de santé familiale académique Montfort,Family Health Team - Contract,,,,,,745,montreal road,745 Montreal Road,Ottawa,ON,K1K0T1,Province of Ontario,-75.63723032,45.4447603610001,,,
Family First Family Health Team,Family Health Team - Contract,,,,,,4270,innes road,4270 Innes Road,Ottawa,ON,K4A5E6,Province of Ontario,-75.495318874,45.457238569,,,
Greenbelt Family Health Team,Family Health Team - Contract,,,,,,3500,fallowfield road,3500 Fallowfield Road,Ottawa,ON,K2J4A7,Province of Ontario,-75.7423566419999,45.293037231,,,
Baawaating Family Health Team,Family Health Team - Contract,,,,,,473,highway 17 west,473 Highway 17 West,Cutler,ON,P0P1B0,Province of Ontario,-82.421928011,46.205940259,,,
Great Northern Family Health Team,Family Health Team - Contract,,,,,,240,shepherdson road,240 Shepherdson Road,Temiskaming Shores,ON,P0J1P0,Province of Ontario,-79.695549668,47.499424307,,,
Huron Shores Family Health Team,Family Health Team - Contract,,,,,,527,causley street,527 Causley Street,Blind River,ON,P0R1B0,Province of Ontario,-82.919315968,46.1861408280001,,,
Powassan and Area Family Health Team,Family Health Team - Contract,,,,,,507,main street,507 Main Street,Powassan,ON,P0H1Z0,Province of Ontario,-79.3609477059999,46.080365898,,,
Superior Family Health Team,Family Health Team - Contract,,,,,,765,queen street east,765 Queen Street East,Sault Ste. Marie,ON,P6A2A8,Province of Ontario,-84.3263301539999,46.506949498,,,
West Nipissing Family Health Team,Family Health Team - Contract,,,,,,172,ethel street,172 Ethel Street,West Nipissing,ON,P2B1V9,Province of Ontario,-79.918548919,46.3727539170001,,,
Harbourview Family Health Team,Family Health Team - Contract,,,,,,1040,oliver road,1040 Oliver Road,Thunder Bay,ON,P7B7A5,Province of Ontario,-89.2718040729999,48.4213715600001,,,
Ontario Federation of Indigenous Friendship Centres,Mental Health and Addiction Organization,,,,,,153,kenogami road,153 Kenogami Road,Longlac,ON,P0T2A0,Province of Ontario,-86.5384596219999,49.7759249320001,,,
Ontario Federation of Indigenous Friendship Centres,Mental Health and Addiction Organization,,,,,,1723,8th avenue east,1723 8th Avenue East,Owen Sound,ON,N4K6W5,Province of Ontario,-80.927366062,44.5764203700001,,,
Ontario Federation of Indigenous Friendship Centres,Mental Health and Addiction Organization,,,,,,74,queen street,74 Queen Street,Dryden,ON,P8N1A4,Province of Ontario,-92.836686202,49.7851985730001,,,
Muskoka / Parry Sound Sexual Assault Services,Mental Health and Addiction Organization,,,,,,29,manitoba street,29 Manitoba Street,Bracebridge,ON,P1L1S4,Province of Ontario,-79.3096820869999,45.0409776280001,,,
Muskoka / Parry Sound Sexual Assault Services,Mental Health and Addiction Organization,,,,,,17,james street,17 James Street,Parry Sound,ON,P2A1T4,Province of Ontario,-80.0336872509999,45.342994043,,,
Madison Community Services,Mental Health and Addiction Organization,,,,,,210,dundas street west,210 Dundas Street West,Toronto,ON,M5G2E8,Province of Ontario,-79.387473885,43.655226085,,,
Mental Health Rights Coalition of Hamilton,Mental Health and Addiction Organization,,,,,,100,main street east,100 Main Street East,Hamilton,ON,L8N3W4,Province of Ontario,-79.8654746019999,43.2541315920001,,,
Friends & Advocates Peel,Mental Health and Addiction Organization,,,,,,239,queen street east,239 Queen Street East,Brampton,ON,L6W2B6,Province of Ontario,-79.7471763039999,43.6962384760001,,,
Mood Disorders Association of Ontario,Mental Health and Addiction Organization,,,,,,36,eglinton avenue west,36 Eglinton Avenue West,Toronto,ON,M4R1A1,Province of Ontario,-79.3999335939999,43.706655794,,,
Mood Disorders Association of Ontario,Mental Health and Addiction Organization,,,,,,80,grand avenue west,80 Grand Avenue West,Chatham-Kent,ON,N7L1B7,Province of Ontario,-82.193640457,42.40506643,,,
Mood Disorders Association of Ontario,Mental Health and Addiction Organization,,,,,,42,carden street,42 Carden Street,Guelph,ON,N1H3A2,Province of Ontario,-80.248685649,43.5442165250001,,,
Mood Disorders Association of Ontario,Mental Health and Addiction Organization,,,,,,200,main street east,200 Main Street East,Hamilton,ON,L8P4Y4,Province of Ontario,-79.861843001,43.253022092,,,
Mood Disorders Association of Ontario,Mental Health and Addiction Organization,,,,,,552,princess street,552 Princess Street,Kingston,ON,K7L1C7,Province of Ontario,-76.497870602,44.2351969150001,,,
Mood Disorders Association of Ontario,Mental Health and Addiction Organization,,,,,,534,queens avenue,534 Queens Avenue,London,ON,N6B1Y6,Province of Ontario,-81.23549421,42.9896443800001,,,
Mood Disorders Association of Ontario,Mental Health and Addiction Organization,,,,,,237,second street,237 Second Street,Midland,ON,L4R3P7,Province of Ontario,-79.888640846,44.7500405500001,,,
Mood Disorders Association of Ontario,Mental Health and Addiction Organization,,,,,,57,neywash street,57 Neywash Street,Orillia,ON,L3V1X2,Province of Ontario,-79.418663082,44.611539249,,,
Mood Disorders Association of Ontario,Mental Health and Addiction Organization,,,,,,568,charlotte street,568 Charlotte Street,Peterborough,ON,K9J2W6,Province of Ontario,-78.334729104,44.301937846,,,
Mood Disorders Association of Ontario,Mental Health and Addiction Organization,,,,,,313,scotia street,313 Scotia Street,Schreiber,ON,P0T2S0,Province of Ontario,-87.267397804,48.8080608510001,,,
Mood Disorders Association of Ontario,Mental Health and Addiction Organization,,,,,,486,guelph street,486 Guelph Street,Halton Hills,ON,L7G5P2,Province of Ontario,-79.863133836,43.6459186610001,,,
Mood Disorders Association of Ontario,Mental Health and Addiction Organization,,,,,,194,talbot street west,194 Talbot Street West,Leamington,ON,N8H3X2,Province of Ontario,-82.614171155,42.0487748460001,,,
Hamilton Community Support Association,Mental Health and Addiction Organization,,,,,,987,king street east,987 King Street East,Hamilton,ON,L8M1C6,Province of Ontario,-79.834623692,43.2511881930001,,,
Alexandra Marine and General Hospital of Goderich,Mental Health and Addiction Organization,,,,,,56,mary street,56 Mary Street,Goderich,ON,N0M1L0,Province of Ontario,-81.541798064,43.616742575,,,
Alexandra Marine and General Hospital of Goderich,Mental Health and Addiction Organization,,,,,,303,main street south,303 Main Street South,Exeter,ON,N0M1S2,Province of Ontario,-81.48094042,43.348250331,,,
Alexandra Marine and General Hospital of Goderich,Mental Health and Addiction Organization,,,,,,274,huron road,274 Huron Road,Goderich,ON,N7A3A2,Province of Ontario,-81.6983241249999,43.735843888,,,
Alexandra Marine and General Hospital of Goderich,Mental Health and Addiction Organization,,,,,,85,main street south,85 Main Street South,Huron East,ON,N0K1W0,Province of Ontario,-81.395390412,43.5513564710001,,,
Alexandra Marine and General Hospital of Goderich,Mental Health and Addiction Organization,,,,,,152,josephine street,152 Josephine Street,Wingham,ON,N0G2W0,Province of Ontario,-81.314716418,43.8843899330001,,,
Alexandra Marine and General Hospital of Goderich,Mental Health and Addiction Organization,,,,,,120,napier street,120 Napier Street,Goderich,ON,N7A1W5,Province of Ontario,-81.7053748279999,43.74994959,,,
A-Way Express Courier Service,Mental Health and Addiction Organization,,,,,,2168,danforth avenue,2168 Danforth Avenue,Toronto,ON,M4C1K3,Province of Ontario,-79.310666764,43.686642594,,,
Cross Toronto Community Development Corporation,Mental Health and Addiction Organization,,,,,,3345,dundas street west,3345 Dundas Street West,Toronto,ON,M6P2A6,Province of Ontario,-79.4816631159999,43.665464883,,,
Canadian Mental Health Association (CMHA) Sault Ste. Marie Branch,Mental Health and Addiction Organization,,,,,,386,queen street east,386 Queen Street East,Sault Ste. Marie,ON,P6A1Z1,Province of Ontario,-84.333859257,46.5124047990001,,,
Canadian Mental Health Association (CMHA) Sault Ste. Marie Branch,Mental Health and Addiction Organization,,,,,,118,ontario street,118 Ontario Street,Elliot Lake,ON,P5A1Y2,Province of Ontario,-82.647557604,46.3837269740001,,,
Canadian Mental Health Association (CMHA) Sault Ste. Marie Branch,Mental Health and Addiction Organization,,,,,,10,mackey street,10 Mackey Street,Wawa,ON,P0S1K0,Province of Ontario,-84.771834989,47.9975979960001,,,
Canadian Mental Health Association (CMHA) Sault Ste. Marie Branch,Mental Health and Addiction Organization,,,,,,750,great northern road,750 Great Northern Road,Sault Ste. Marie,ON,P6B0A8,Province of Ontario,-84.311452655,46.5491491060001,,,
Stevenson Memorial Hospital,Mental Health and Addiction Organization,,,,,,200,fletcher crescent,200 Fletcher Crescent,New Tecumseth,ON,L9R1W7,Province of Ontario,-79.875103686,44.155534549,,,
Hamilton Program for Schizophrenia,Mental Health and Addiction Organization,,,,,,20,hughson street south,20 Hughson Street South,Hamilton,ON,L8N2A1,Province of Ontario,-79.8684934029999,43.2553360920001,,,
Brockville and Area Centre for Developmentally Handicapped Persons,Mental Health and Addiction Organization,,,,,,61,king street east,61 King Street East,Brockville,ON,K6V1B2,Province of Ontario,-75.680795464,44.5915269120001,,,
Regeneration House Inc.,Mental Health and Addiction Organization,,,,,,1335,king street west,1335 King Street West,Toronto,ON,M6K1H2,Province of Ontario,-79.432398298,43.63776998,,,
Regeneration House Inc.,Mental Health and Addiction Organization,,,,,,2600,eglinton avenue west,2600 Eglinton Avenue West,Toronto,ON,M6M1T5,Province of Ontario,-79.472984616,43.690880088,,,
Regeneration House Inc.,Mental Health and Addiction Organization,,,,,,2238,dundas street west,2238 Dundas Street West,Toronto,ON,M6R3A9,Province of Ontario,-79.451493506,43.6543770820001,,,
Regeneration House Inc.,Mental Health and Addiction Organization,,,,,,739,dufferin street,739 Dufferin Street,Toronto,ON,M6H3K5,Province of Ontario,-79.4324263999999,43.6530933830001,,,
Regeneration House Inc.,Mental Health and Addiction Organization,,,,,,1765,weston road,1765 Weston Road,Toronto,ON,M9N3P7,Province of Ontario,-79.512262129,43.6994091870001,,,
Regeneration House Inc.,Mental Health and Addiction Organization,,,,,,63,spencer avenue,63 Spencer Avenue,Toronto,ON,M6K2J7,Province of Ontario,-79.429802497,43.6364937800001,,,
Regeneration House Inc.,Mental Health and Addiction Organization,,,,,,560,oakwood avenue,560 Oakwood Avenue,Toronto,ON,M6E2X5,Province of Ontario,-79.441405506,43.693334989,,,
Regeneration House Inc.,Mental Health and Addiction Organization,,,,,,778,jane street,778 Jane Street,Toronto,ON,M6N4B9,Province of Ontario,-79.4943169209999,43.672346083,,,
Supported Training and Rehabilitation in Diverse Environments (STRIDE),Mental Health and Addiction Organization,,,,,,2245,wyecroft road,2245 Wyecroft Road,Oakville,ON,L6L5L7,Province of Ontario,-79.729562573,43.415336827,,,
Supported Training and Rehabilitation in Diverse Environments (STRIDE),Mental Health and Addiction Organization,,,,,,55,ontario street south,55 Ontario Street South,Milton,ON,L9T2M3,Province of Ontario,-79.8753621289999,43.5181882380001,,,
Supported Training and Rehabilitation in Diverse Environments (STRIDE),Mental Health and Addiction Organization,,,,,,245,commercial street,245 Commercial Street,Milton,ON,L9T2J3,Province of Ontario,-79.8743559279999,43.5104698370001,,,
Supported Training and Rehabilitation in Diverse Environments (STRIDE),Mental Health and Addiction Organization,,,,,,211,guelph street,211 Guelph Street,Halton Hills,ON,L7G5B5,Province of Ontario,-79.900953049,43.6508977600001,,,
Cedar Centre,Mental Health and Addiction Organization,,,,,,17705,leslie street,17705 Leslie Street,Newmarket,ON,L3Y3E3,Province of Ontario,-79.431931837,44.071021456,,,
"Services de counselling de Hearst, Kapuskasing and Smooth Rock Falls Counselling Services",Mental Health and Addiction Organization,,,,,,1101,front street,1101 Front Street,Hearst,ON,P0L1N0,Province of Ontario,-83.670180069,49.6898638060001,,,
"Services de counselling de Hearst, Kapuskasing and Smooth Rock Falls Counselling Services",Mental Health and Addiction Organization,,,,,,107,kelly road,107 Kelly Road,Smooth Rock Falls,ON,P0L2B0,Province of Ontario,-81.611895325,49.2746341690001,,,
"Services de counselling de Hearst, Kapuskasing and Smooth Rock Falls Counselling Services",Mental Health and Addiction Organization,,,,,,29,byng avenue,29 Byng Avenue,Kapuskasing,ON,P5N1W6,Province of Ontario,-82.422313915,49.4183051430001,,,
"Services de counselling de Hearst, Kapuskasing and Smooth Rock Falls Counselling Services",Mental Health and Addiction Organization,,,,,,1101,front street,1101 Front Street,Hearst,ON,P0L1N0,Province of Ontario,-83.670180069,49.6898638060001,,,
"Services de counselling de Hearst, Kapuskasing and Smooth Rock Falls Counselling Services",Mental Health and Addiction Organization,,,,,,29,byng avenue,29 Byng Avenue,Kapuskasing,ON,P5N1W6,Province of Ontario,-82.422313915,49.4183051430001,,,
"Services de counselling de Hearst, Kapuskasing and Smooth Rock Falls Counselling Services",Mental Health and Addiction Organization,,,,,,278,front street,278 Front Street,Hornepayne,ON,P0M1Z0,Province of Ontario,-84.773540961,49.21036817,,,
