School Name,School Number,OSSD Credits Offered,Principal Name,Suite,PO Box,Street Address,City,Province,Postal Code,Telephone Number,Fax,Region,School Website,School Level,School Special Conditions Code,Program Type,Association Membership
Cambridge Christian Elementary School,887862,,Scott Beda,,,229 Myers Rd,Cambridge,Ontario,N1R7H3,519-623-2261,519-623-4042,London Regional Office,http://www.cambridgechristianschool.com,Elementary,Not applicable,Site based only,Edvance
Cambridge Farm & Forest School,886571,,Heather Figueiredo,,,3238 Old Beverly Road,Cambridge,Ontario,N1R5S7,226-533-9591,,London Regional Office,cambridgefarmandforest.ca,Elementary,Not applicable,Site based only,Forest School Canada (Child and Nature Alliance of Canada)
Cambridge International Academy,889979,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sandra Arff,,,130 Commercial Avenue,Ajax,Ontario,L1S2H3,905-426-4254,905-426-8641,Barrie Regional Office,cciaedu.com,Elem/Sec,All Year Round,,No
Camp Arowhon,669498,Offers credits toward the Ontario Secondary School Diploma (OSSD),Mara Kates,,,1 Arowhon Road,Algonquin Park,Ontario,P0A1H0,416-975-9060,416-975-0130,Barrie Regional Office,www.camparowhon.com,Secondary,Summer,Site based only,Ontario Camping Association
Camp Big Canoe,888027,Offers credits toward the Ontario Secondary School Diploma (OSSD),Stephen Salt,,,1012 Sherwood Forest Road,Bracebridge,Ontario,P1L1X3,705-645-4963,705-645-4963,Barrie Regional Office,www.campbigcanoe.ca,Secondary,Summer,Site based only,Ontario Camps Association
Camp Kandalore,665442,Offers credits toward the Ontario Secondary School Diploma (OSSD),Janice Greenshields,,,1143 Kandalore Road,Algonquin Highlands,Ontario,K0M1J2,416-888-3091,416-322-5899,Barrie Regional Office,www.kandalore.com,Secondary,Summer,,No
Camp Kawartha Forest School,669991,,,,,1010 Birchview Road,Duoro-Dummer,Ontario,K0H2H0,705-652-3860,,Barrie Regional Office,,Elementary,Not applicable,,
Camp Oconto,882554,Offers credits toward the Ontario Secondary School Diploma (OSSD),Vanessa Wade,,,1126 Camp Oconto Road,Tichborne,Ontario,K0H2V0,613-375-6678,,Ottawa Regional Office,www.campoconto.com,Secondary,Summer,Site based only,Ontario Camps Association
Camp Oochigeas,669510,Offers credits toward the Ontario Secondary School Diploma (OSSD),Miriam Paas,,,464 Bathurst Street,Toronto,Ontario,M5T2S6,705-732-6366,705-732-6366,Barrie Regional Office,www.ooch.org,Secondary,Summer,Site based only,Ontario Camps Association
Canaan Global Academy,665306,Offers credits toward the Ontario Secondary School Diploma (OSSD),King Hong Tang,,,32 Kern Road,North York,Ontario,M3B1T1,647-358-6160,647-358-6161,Toronto and Area Regional Office,www.canaanacademy.ca,Elem/Sec,All Year Round,Internet/Site Based,Association of Christian School International
Canada Agile Preparatory Academy,883112,Offers credits toward the Ontario Secondary School Diploma (OSSD),Yue Dong,,,184 Steeles Avenue East,Markham,Ontario,L3T1A5,416-993-3439,,Barrie Regional Office,www.agileprep.ca,Secondary,All Year Round,Internet based only,No
Canada Benson Academy,669083,Offers credits toward the Ontario Secondary School Diploma (OSSD),Fujing Ma,,,1556 Wyandotte St W,Windsor,Ontario,N9B1H5,519-253-1694,,London Regional Office,http://canadabensonacademy.com/index.php,Elem/Sec,All Year Round,Site based only,No
Canada Cambridge Academy,669458,Offers credits toward the Ontario Secondary School Diploma (OSSD),Karimi Bahman,102,,1001 Dennison Street,Markham,Ontario,L3R3K5,416-830-0120,,Toronto and Area Regional Office,,Secondary,All Year Round,Internet/Site Based,No
Canada Christian Academy,666467,Offers credits toward the Ontario Secondary School Diploma (OSSD),Deepa Patro,,,22 Abbey Road,Brampton,Ontario,L6W2T8,905-789-5841,289-901-0982,Toronto and Area Regional Office,www.canadachristianacademy.org,Elem/Sec,Not applicable,Site based only,No
Canada eSchool,666211,Offers credits toward the Ontario Secondary School Diploma (OSSD),Ronald Rambarran,,,1033 Main Street West,Hamilton,Ontario,L8S1B7,613-443-9522,613-482-4504,Ottawa Regional Office,www.canadaeschool.ca,Secondary,All Year Round,,No
Canada International College,666769,Offers credits toward the Ontario Secondary School Diploma (OSSD),Darren Frake,505,,2347 Kennedy Rd,Toronto,Ontario,M1T3T8,416-335-9839,416-335-7309,Toronto and Area Regional Office,http://www.cicollege.com,Elem/Sec,All Year Round,Internet/Site Based,No
Canada Knowledge Academy,667745,Offers credits toward the Ontario Secondary School Diploma (OSSD),Rashida Suleman,,,4400 Boundary Road,Ottawa,Ontario,K0A1K0,,,Ottawa Regional Office,www.ckacademy.ca,Elem/Sec,All Year Round,Internet/Site Based,No
Canada National E-Learning Centre,882874,,,,,300A-4576 Yonge Street,North York,Ontario,M2N6N4,647-802-0117,,Toronto and Area Regional Office,,Secondary,All Year Round,,
Canada Online Academy,666015,Offers credits toward the Ontario Secondary School Diploma (OSSD),Dirk Xu,,,3470 Pharmacy Avenue,Toronto,Ontario,M1W2S7,416-495-8868,,Toronto and Area Regional Office,www.coastudy.com,Secondary,All Year Round,Internet based only,No
Canada Online School,886512,Offers credits toward the Ontario Secondary School Diploma (OSSD),Yi Chen Zhou,,,190 Royal Orchard Boulevard,Thornhill,Ontario,L3T3E7,647-521-1567,,Toronto and Area Regional Office,www.canadaonlineschool.com,Secondary,Not applicable,Internet based only,No
Canada Prep Academy,886412,Offers credits toward the Ontario Secondary School Diploma (OSSD),Duane Sanders,,,10 Seymour Avenue,St. Catherines,Ontario,L2P1A4,905-371-3533,,London Regional Office,www.canadaprepacademy.ca,Secondary,Not applicable,Internet/Site Based,No
Canada Spruceville Academy,665694,Offers credits toward the Ontario Secondary School Diploma (OSSD),Simon Gallo,207,,716 Gordon Baker Road,Toronto,Ontario,M2H3B4,647-350-6188,,Toronto and Area Regional Office,,Secondary,All Year Round,Internet/Site Based,No
Canada Syringa International College,668700,Offers credits toward the Ontario Secondary School Diploma (OSSD),Taige Feng,400A,,3550 Victoria Park Avenue,North York,Ontario,M2H2N5,905-597-6651,,Toronto and Area Regional Office,www.edubci.com,Secondary,All Year Round,Internet/Site Based,No
Canada TEMS Academy,886476,Offers credits toward the Ontario Secondary School Diploma (OSSD),Brittany Bosch,,,100 Blythwood Road,Waterloo,Ontario,N2L4A2,519-342-0351,,London Regional Office,www.temsacademy.com,Secondary,All Year Round,Internet/Site Based,No
Canada Warden School,886087,Offers credits toward the Ontario Secondary School Diploma (OSSD),Darren Frake,211,,3621 Highway 7 East,Markham,Ontario,L3R0G6,,,Barrie Regional Office,,Secondary,All Year Round,Site based only,No
Canada World Education,669563,Offers credits toward the Ontario Secondary School Diploma (OSSD),Jean-Francois Michaud,,,202-9011 Leslie Street Street,Toronto,Ontario,L4B3B6,647-680-4493,,Toronto and Area Regional Office,cwelearn.com,Secondary,All Year Round,Internet/Site Based,No
Canada's National Ballet,886980,Offers credits toward the Ontario Secondary School Diploma (OSSD),KAREN ROSENTHAL,,,400 Jarvis St,Toronto,Ontario,M4Y2G6,416-964-3780,416-964-5125,Toronto and Area Regional Office,http://www.nbs-enb.ca,Elem/Sec,Not applicable,Site based only,No
Canadian Academy of Secondary Studies,669784,Offers credits toward the Ontario Secondary School Diploma (OSSD),Laszlo Sztojkovics,,,51 Scarlett Road,York,Ontario,M6N4J8,416-450-0129,647-477-7003,Toronto and Area Regional Office,,Secondary,All Year Round,Internet based only,INDEPENDENT AND PRIVATE  SCHOOL FORUM
Canadian Advanced Senior High,882214,Offers credits toward the Ontario Secondary School Diploma (OSSD),Paul Au,G01,,2750 14th Avenue,Markham,Ontario,L3R0J1,647-728-1622,,Toronto and Area Regional Office,www.cahigh.ca,Secondary,All Year Round,Internet based only,No
Canadian Christian Academy,668924,,Elizabeth Rock,,,2275 Wellesley Ave,Windsor,Ontario,N8W2G1,519-974-8411,519-974-2109,London Regional Office,www.canadianchristianacademy.com,Elem/Sec,Not applicable,,ontario acceleration christian education association
Canadian Higher Learning Academy,882768,Offers credits toward the Ontario Secondary School Diploma (OSSD),Har-Indiver Sahi,200,,3464 Semenyk Court,Mississauga,Ontario,L5C4P8,416-910-3831,,Toronto and Area Regional Office,www.chlamoodle.com,Secondary,All Year Round,Internet/Site Based,IPSF
Canadian Independent College,882181,Offers credits toward the Ontario Secondary School Diploma (OSSD),Heather Bohez,,,1855 Notre Dame Dr,St. Agatha,Ontario,N0B2L0,519-954-5955,,London Regional Office,www.cicwaterloo.ca,Secondary,All Year Round,Internet/Site Based,CAPSON
Canadian International Learning,669781,,,,,289 Crerar Drive,Hamilton,Ontario,L9A5B7,905-920-4217,,London Regional Office,,Secondary,All Year Round,,
Canadian International Talent Academy -C,665683,Offers credits toward the Ontario Secondary School Diploma (OSSD),Mohammed Ashraf,8A,,1646 Victoria Park Avenue,North York,Ontario,M1R1P7,647-348-5154,,Toronto and Area Regional Office,,Secondary,All Year Round,Internet/Site Based,No
Canadian National High School,883059,Offers credits toward the Ontario Secondary School Diploma (OSSD),Mussadaq Janjua,,,76 Chesterwood Cres,Brampton,Ontario,L6Y0G8,647-455-5622,,Toronto and Area Regional Office,,Secondary,All Year Round,Internet/Site Based,No
Canadian STEM School,666031,Applied to offer credits toward the Ontario secondary School Diploma (OSSD),Mahshid Kalani,,,472 Brownridge Drive Street,Vaughn,Ontario,L4J5Z9,437-995-7367,,Barrie Regional Office,canadianstemschool.com,Elem/Sec,All Year Round,Internet/Site Based,No
Canadian Tamil Academy,665046,Offers credits toward the Ontario Secondary School Diploma (OSSD),Krishanthy Sarojkumaran,,,8 Milner Avenue,Scarborough,Ontario,M1S3P8,416-757-2006,,Toronto and Area Regional Office,www.tamilacademy.org,Secondary,All Year Round,,No
Canadian Top Science Academy,669209,Offers credits toward the Ontario Secondary School Diploma (OSSD),Ramtin Gerami,210,,10255 Yonge Street,Richmond Hill,Ontario,L4C3B2,,,Toronto and Area Regional Office,http://www.canadiantopscienceacademy.com,Elem/Sec,All Year Round,Internet/Site Based,No
Canadians Private School,669676,Offers credits toward the Ontario Secondary School Diploma (OSSD),Fariborz Khoshnoudian,,,396 Patricia Avenue,North York,Ontario,M2R2M9,647-962-5997,,Toronto and Area Regional Office,www.canadiansprivateschool.com,Elem/Sec,All Year Round,Internet/Site Based,No
Can-AIM High School,666590,Offers credits toward the Ontario Secondary School Diploma (OSSD),Muzaffar Baig,,,2 Elmhurst Drive,Etobicoke,Ontario,M9W2J3,416-856-6040,416-519-4011,Toronto and Area Regional Office,www.can-aimhighschool.com,Secondary,All Year Round,Site based only,No
Canaway Private School,669611,Offers credits toward the Ontario Secondary School Diploma (OSSD),Roy Hu,,,15 Schuster Lane,Thornhill,Ontario,L4J8Y7,289-355-8136,,London Regional Office,canaway.school,Secondary,All Year Round,Internet based only,No
CANNY,882886,Offers credits toward the Ontario Secondary School Diploma (OSSD),Frank Feng,200,,250 Consumers Road,Toronto,Ontario,M2J4V6,416-733-8888,647-748-5898,Toronto and Area Regional Office,,Secondary,All Year Round,Internet/Site Based,No
Canstem Education Private School,665446,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sajjala Sankhe,10,,30 Rambler Drive,Brampton,Ontario,L6W1E2,647-568-0258,,Toronto and Area Regional Office,,Elem/Sec,All Year Round,,No
Capital International Academy School,882374,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sheileen Krone,,,1415 Woodroffe Ave,Ottawa,Ontario,K2G1V9,613-262-0868,613-701-0626,Ottawa Regional Office,www.capital-international.ca,Elem/Sec,All Year Round,Internet/Site Based,No
Capture The Star Academy,668496,,,,,4 - 702 Burhamthorpe Road East,Mississauga,Ontario,L4Y2X3,647-892-6299,,Toronto and Area Regional Office,,Elementary,Not applicable,,
CareerQuest - Brampton,668407,,Martha Goosney,303,,201 County Court Boulevard,Brampton,Ontario,L6W4L2,905-455-9347,905-455-3652,Toronto and Area Regional Office,www.careerquestcanada.com,Secondary,Not applicable,Site based only,No
CareerQuest - Toronto,666541,Offers credits toward the Ontario Secondary School Diploma (OSSD),Rosemary Toscani,300,,129 Yorkville Avenue,Toronto,Ontario,M5R1C4,905-281-2106,,Toronto and Area Regional Office,www.careerquestcanada.com,Secondary,All Year Round,,No
CareerQuest - Vaughan,668752,,Dijana Stankova,500,,55 City Centre Drive,Mississauga,Ontario,L5B1M3,905-281-2106,,Toronto and Area Regional Office,www.careerquestcanada.com,Secondary,Not applicable,Site based only,No
Carlton Prep Academy,667943,Offers credits toward the Ontario Secondary School Diploma (OSSD),Susan Montreuil,,,4681 Highway 7E,Unionville,Ontario,L3R1M6,647-931-3030,,Toronto and Area Regional Office,www.carltonacademy.ca,Secondary,All Year Round,Site based only,No
Carmel New Church School,886653,,Stephanie Kuhl,,,40 Chapel Hill Dr,Kitchener,Ontario,N2R1N2,519-748-5802,519-748-5875,London Regional Office,www.carmelnewchurchschool.org,Elementary,Not applicable,,Ontario Federation of Independent Schools
CaST School,666002,,,,,720 Bathurst Street,Toronto,Ontario,M5S2R4,647-205-7656,,Toronto and Area Regional Office,,Secondary,All Year Round,,
Cat Lake Christian School,664521,,Jonathan Larsh,,102,Lakeside Road,Cat Lake,Ontario,P0V1J0,807-212-1990,,Thunder Bay Regional Office,,Elementary,First Nation,First Nation,No
Cathedral Christian Academy,882950,,Marlene Ramdeo,,,1111 Arrow Rd,Toronto,Ontario,M9M3B3,416-747-2843,416-241-4404,Toronto and Area Regional Office,www.ccaschool.ca,Elementary,Not applicable,Site based only,Association of Christian Schools International
CCGP Learning Academy,883729,,,,,102-705 Progress Avenue,Scarborough,Ontario,M1H2X1,647-571-3179,,Toronto and Area Regional Office,,Secondary,All Year Round,,
Cedar Echo Parochial School,668792,,Lovina Sittler,,,299 BRUCE ROAD 11 3,CHESLEY,Ontario,N0G1L0,,,Barrie Regional Office,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
Cedar Grove Christian Day School,887439,,Wayne Gerber,,,4831 Deborah-Glaister Line,Wellesley,Ontario,N0B2T0,519-656-3433,519-656-8769,London Regional Office,,Elementary,Not applicable,Site based only,No
Cedar Heights Parochial School,882985,,Katie Martin,,,1323 Heights Rd 3,Lindsay,Ontario,K9V4R3,,,Barrie Regional Office,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
Cedar Ridge High School,883130,Offers credits toward the Ontario Secondary School Diploma (OSSD),Michelle Skene,,,275 Michael Cowpland Drive,Kanata,Ontario,K2M2G2,613-592-9019,,Ottawa Regional Office,www.cedarridgehighschool.ca,Elem/Sec,Not applicable,,No
Cedar Springs Parochial School,880639,,Sarah Weber,,,90394 Gorrie Line 1,Wroxeter,Ontario,N0G2X0,,,London Regional Office,,Elementary,Not applicable,Site based only,Othodox Mennonite Parochial Schools
Cedar Valley School,880334,,Hodgson Ben,,,19767 County Road 43,Alexandria,Ontario,K0C1B0,613-525-1695,613-525-1695,Ottawa Regional Office,,Elem/Sec,Not applicable,,No
Cedarvale Christian School,669257,,Cleason Martin,,,5405 11th Line,Harriston,Ontario,N0G1Z0,519-338-2290,,Barrie Regional Office,,Elem/Sec,Not applicable,,No
Cedarville Breezes Parochial School,882412,,Carolyn Martin,,,085165 Grey Road 14,Conn,Ontario,N0G1N0,,,Barrie Regional Office,,Elementary,Not applicable,Site based only,Waterloo Wellington Perth Parochial Schools
Central Baptist Academy,880094,,Elizabeth Whiton,,,300 Fairview Dr,Brantford,Ontario,N3R2X6,519-754-4806,519-754-4201,London Regional Office,http://www.cbabrantford.ca,Elementary,Not applicable,Site based only,Association of Christian Schools International
Central Montessori School - Thornhill,881225,,Tracy Grisdale,,,72 Steeles Avenue West,Thornhill,Ontario,L4J1A1,905-889-0012,,Toronto and Area Regional Office,,Elementary,Not applicable,Site based only,"OFIS, CCMA"
Central Montessori School - York Mills,668846,,Tracy Grisdale,,,18 Coldwater Road,Toronto,Ontario,M3B1Y7,416-510-1200,,Toronto and Area Regional Office,,Elementary,Not applicable,Site based only,"OFIS, CCMA"
Central Montessori Schools,877727,,Tracy Grisdale,,,157 Willowdale Ave,Toronto,Ontario,M2N4Y3,416-250-1022,,Barrie Regional Office,www.cmschool.net,Elementary,Not applicable,,"OFIS, CCMA (Canadian Council of Montessori Administrators),"
Centre Kinloss Parochial School,877883,,Elsie Martin,,,548 Statters Lake Ave 1,Holyrood,Ontario,N0G2B0,,,Barrie Regional Office,,Elementary,Not applicable,Site based only,Orthodox Mennonite Parochial Schools
Century Private School,665166,,Charlene Cannito,,,11181 Yonge Street,Richmond Hill,Ontario,L4S1L2,905-737-1160,905-737-5867,Barrie Regional Office,www.centurypscanada.com,Elementary,Not applicable,Site based only,No
Century Private School HS,669694,Offers credits toward the Ontario Secondary School Diploma (OSSD),Antonietta Savo,,,11181 Yonge Street,Richmond Hill,Ontario,L4S1L2,905-737-1160,905-737-5867,Toronto and Area Regional Office,centurypscanada.com,Secondary,All Year Round,Internet/Site Based,Ontario Federation of Independent Schools
Cestar High School,885635,Offers credits toward the Ontario Secondary School Diploma (OSSD),Muneeb Shaikh,2,,271 Yorkland Boulevard,Toronto,Ontario,M2J1S5,416-485-8588,,Toronto and Area Regional Office,www.cestarhighschool.com,Secondary,All Year Round,Site based only,Independent and Private School Forum
Charing Cross Christian School,882672,,Johan Peters,,113,8685 Cundle Line,Charing Cross,Ontario,N0P1G0,519-351-4525,519-351-1371,London Regional Office,,Elementary,Not applicable,Internet/Site Based,No
Chatham Christian,885282,,Ken VanMinnen,,,475 Keil Dr S,Chatham,Ontario,N7M6L8,519-352-4980,519-352-4041,London Regional Office,www.chathamchristian.ca,Elementary,Not applicable,Site based only,Edvance Christian Schools Association
Chatham Christian High School,888540,Offers credits toward the Ontario Secondary School Diploma (OSSD),Ken VanMinnen,,,475 Keil Dr S,Chatham,Ontario,N7M6L8,519-352-4980,519-352-4041,London Regional Office,www.chathamchristian.ca,Secondary,Not applicable,Site based only,Edvance Christian Schools Association
Chesterton Academy of Ottawa,669918,,Terry Stevens,,,415 Piccadilly Avenue,Ottawa,Ontario,K1Y0H3,613-518-8117,,Ottawa Regional Office,chestertonacademyofottawa.ca,Secondary,Not applicable,,Chesterton Network of Schools
Chief Simeon McKay Education Centre,663360,Offers credits toward the Ontario Secondary School Diploma (OSSD),,,Box 120,,Kasabonika,Ontario,P0V1Y0,807-535-2574,807-535-1108,Thunder Bay Regional Office,,Elem/Sec,First Nation,First Nation,local Education Authority
Children's Garden Junior School,877824,,Marie Bates,,,670 Eglinton Ave E,Toronto,Ontario,M4G2K4,416-423-5017,416-423-0727,Toronto and Area Regional Office,www.cgsschool.com,Elementary,Not applicable,,No
Children's Garden Nursey School,882272,,,,,1847 Bayview Avenue,Toronto,Ontario,M4G3E4,416-448-4298,,Ottawa Regional Office,,Elementary,Not applicable,,
"Children's House Montessori, The",878847,,Laurie Forbes,,,16150 Old Simcoe Rd,Port Perry,Ontario,L9L1P3,905-985-3431,905-985-6632,Barrie Regional Office,www.childrenshouse.ca,Elementary,Not applicable,,Association Montessori Internationale
"Children's Montessori School, The",878138,,Jennifer Connelly,,,186 Romaine St,Peterborough,Ontario,K9J2C4,705-742-8442,705-742-4357,Barrie Regional Office,www.childrensmontessorischool.com,Elementary,Not applicable,,No
Children's Urban Enrichment Studio,666652,Offers credits toward the Ontario Secondary School Diploma (OSSD),Eleni Makrikostas,,,2986 Lakeshore Boulevard West,Toronto,Ontario,M8V1J9,647-781-6091,,Toronto and Area Regional Office,www.cueskids.com,Elem/Sec,All Year Round,,No
Chisholm Academy,888699,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sylvia Moyssakos,,,1484 Cornwall Rd,Oakville,Ontario,L6J7W5,905-844-3240,905-844-7321,Toronto and Area Regional Office,www.chisholmacademy.com,Elem/Sec,All Year Round,Site based only,No
Christadelphian Heritage College,881375,,Peter Robinson,,,522 Book Road East,Ancaster,Ontario,L9G3L1,905-304-8222,,London Regional Office,www.heritagecollege.ca,Elementary,Not applicable,Site based only,No
Christian Virtual School,669600,,,,,30 Colina Street,Bayfield,Ontario,N0M1G0,905-410-1690,,London Regional Office,,Elem/Sec,All Year Round,,
Church of God Christian,888612,,Henry Hildebrandt,,82,751 John Street N,Aylmer,Ontario,N5H2R8,519-773-7259,,London Regional Office,,Elem/Sec,Not applicable,,No
City Academy,878758,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sheila Dever,115,,1910 Yonge St,Toronto,Ontario,M4S3B2,416-482-2521,416-482-2496,Toronto and Area Regional Office,www.cityacademy.ca,Secondary,All Year Round,Site based only,No
City High School,885329,Offers credits toward the Ontario Secondary School Diploma (OSSD),Jason Zhu,2nd Floor,,1300 Bay Street,Toronto,Ontario,M5R3K8,647-351-6040,,Toronto and Area Regional Office,www.cityhs.ca,Secondary,All Year Round,,No
Clanmore Montessori School,877921,,Grace Kidney,,,2463 Lakeshore Rd E,Oakville,Ontario,L6J1M7,905-337-8283,905-842-2898,Toronto and Area Regional Office,http://www.clanmore.ca,Elementary,Not applicable,,Accredited Member of CCMA
"Claremont School, The",883818,,Evelyn Reiss,,,70 Silver Birch AVE,TORONTO,Ontario,M4E3K9,416-778-6336,,Toronto and Area Regional Office,www.claremontschool.com,Elementary,Not applicable,Site based only,Ontario Federation of Independent Schools
Clarke Christian Montessori Academy,669223,,Yvonne Clarke,,,24 Alexander St,Brampton,Ontario,L6T2E3,905-216-6099,,Toronto and Area Regional Office,www.clarkeacademy.ca,Elementary,Not applicable,,No
Clear View Private School,888176,,David Miller,,,Crampton Drive 2,Mossley,Ontario,N0L1V0,,,London Regional Office,,Elementary,Not applicable,Site based only,No
Clearview Parochial,886246,,Eva Shantz,,,2447 Three Bridges Road 4,Elmira,Ontario,N3B2Z3,,,London Regional Office,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
Clifford Amish Parochial #2,885627,,Jessica Albrecht,,,5691 Minto Line 14 4,Harriston,Ontario,N0G1Z0,,,Toronto and Area Regional Office,,Elementary,Not applicable,,Waterloo-Wellington-Perth Parochial Schools
Clifford Amish Parochial No 1,665509,,Mary Ellen Streicher,,,5129 15th Line 2,Clifford,Ontario,N0G1M0,,,London Regional Office,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
Clinton International College,665597,Offers credits toward the Ontario Secondary School Diploma (OSSD),Xiaowen Zhu,,,1 Elmhurst Avenue,Toronto,Ontario,M2N1R3,416-225-8008,416-223-7878,Toronto and Area Regional Office,www.clintoncollege.ca,Secondary,All Year Round,Site based only,No
Clyfford Academy,884300,,,,,1875 Niagara Stone Road,Niagara-on-the-Lake,Ontario,L0S1J0,289-868-9200,,London Regional Office,,Secondary,All Year Round,,
Cobden Corner's Parochial School,668898,,Sara Beth Horst,,,98 Snake River Line,Cobden,Ontario,K0J1K0,,,Barrie Regional Office,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parachial Schools
Colin MacDonald Alternative School,876682,,Christine Borsellino,,,1570 Main Street West,Hamilton,Ontario,L8S1E8,905-525-6336,905-525-3328,London Regional Office,www.colinmacdonald.ca,Elementary,Not applicable,,No
College Park Elementary School,887552,,Jason Perkins,,,220 Townline Rd. N.,Oshawa,Ontario,L1K2J6,905-723-0163,905-723-2984,Barrie Regional Office,www.cpes.ca,Elementary,Not applicable,,Ontario Federation of Independent Schools
Columbia International College of Canada,880183,Offers credits toward the Ontario Secondary School Diploma (OSSD),Bill Ironside,,,1003 Main St W,Hamilton,Ontario,L8S4P3,905-572-7883,905-572-9332,London Regional Office,http://www.cic-totalcare.com,Elem/Sec,All Year Round,Site based only,ISAO
Columbus Private School,669701,,Carolyn Donison,,,3285 Simcoe Street North,Oshawa,Ontario,L1H7K4,289-988-1555,,Barrie Regional Office,www.columbusprivateschool.com,Elementary,Not applicable,,No
Community Christian School,881198,,Rita Bergsma,,,2681 Glen Street,Metcalfe,Ontario,K0A2P0,613-821-3669,613-821-6135,Ottawa Regional Office,www.communitychristianschool.ca,Elementary,Not applicable,,Edvance
Community Christian School,885380,,Raymond Verburg,,,35 High Street,Drayton,Ontario,N0G1P0,519-638-2935,,Toronto and Area Regional Office,www.ccsdrayton.org,Elementary,Not applicable,Site based only,Edvance Christian Schools Association
Community Life Christian School,669150,,Fengyu Jia,,,140 Dawes Road,Toronto,Ontario,M4C5C2,416-893-1461,,Toronto and Area Regional Office,www.communitylifechristianschool.com,Elem/Sec,Not applicable,Site based only,ACSI(Accociation of Christian Schools International)
Concord College of Canada,888319,Offers credits toward the Ontario Secondary School Diploma (OSSD),DAVE MITRO,F200,,1550 16th Avenue,Richmond Hill,Ontario,L4B3K9,905-237-6729,,Toronto and Area Regional Office,www.concordcollege.ca,Secondary,All Year Round,Internet/Site Based,No
Connaissance School,883713,Offers credits toward the Ontario Secondary School Diploma (OSSD),Meghna Sen,82,,Sunway Square,Markham,Ontario,L3P7X5,416-606-9562,,Toronto and Area Regional Office,www.connaissance.ca,Secondary,All Year Round,Internet based only,No
Convoy International Secondary Academy,882508,Offers credits toward the Ontario Secondary School Diploma (OSSD),Manal Labib,,,5416 Side Road 25,Utopia,Ontario,L0M1T0,905-597-0863,,Barrie Regional Office,www.convoyinternational.org,Elem/Sec,All Year Round,Internet/Site Based,No
Convoy Int'l Secondary Academy-ESSA,669325,Offers credits toward the Ontario Secondary School Diploma (OSSD),Chunxiu Du,8058,,8th Line West,Essa,Ontario,L0M1T0,437-242-2472,,Barrie Regional Office,convoyinternational.ca,Secondary,All Year Round,Internet based only,No
Corinth Christian School,877832,,Kenneth Hotstetter,,,54519 Eden Line,Aylmer,Ontario,N5H2R3,519-866-3883,519-765-2662,London Regional Office,,Elem/Sec,Not applicable,Site based only,No
Cornell International Academy,669233,Offers credits toward the Ontario Secondary School Diploma (OSSD),Tyler Simon,303,,250 Sheppard Avenue East,Toronto,Ontario,M2N6M9,647-350-8582,647-350-8583,Toronto and Area Regional Office,www.cornellacademy.ca,Secondary,All Year Round,Site based only,No
Cornerstone Christian School,880825,,Arnold Good,,,1298 Lisbon Road,Wellesley,Ontario,N0B2T0,519-656-2888,519-634-8898,London Regional Office,,Elem/Sec,Not applicable,Site based only,No
Cornerstone Christian School,886395,,John Van Iperen,,,108 FOREST ST,GUELPH,Ontario,N1G1H9,519-837-4092,519-837-1761,Toronto and Area Regional Office,www.guelphcornerstone.com,Elementary,Not applicable,Site based only,League of Canadian Reformed School Societies
Cornerstone Montessori Prep School - Don,880770,,Stephanie Ling,,,33 Mallard Road,Toronto,Ontario,M3B1S4,416-447-0011,,Toronto and Area Regional Office,www.cornerstoneprep.ca,Elementary,Not applicable,Site based only,Association of Christian Schools International
Cornerstone Preparatory - Main,875376,Offers credits toward the Ontario Secondary School Diploma (OSSD),Stephanie Ling,,,177 Beverley St,Toronto,Ontario,M5T1Y7,416-977-1204,416-977-0065,Toronto and Area Regional Office,www.cornerstoneprep.ca,Elem/Sec,All Year Round,,Association of Christian Schools International
Cossara Summers Education Centre,665932,Offers credits toward the Ontario Secondary School Diploma (OSSD),Valeria Daskalov,,,5635 Yonge Street M2M 3S9,North York,Ontario,L4E3V4,647-825-2677,,Toronto and Area Regional Office,www.cossara.com,Secondary,Summer,,No
Country Casa Academy,885988,,Michelle Priore,,,15018 Highway 48,Stouffville,Ontario,L4A3B6,905-640-5437,,Barrie Regional Office,countrycasa.ca,Elementary,Not applicable,Site based only,No
Country Echoes Parochial School,884921,,Laurene Martin,,,8117 Line 12 1,Conn,Ontario,N0G1N0,519-400-5569,,London Regional Office,,Elementary,Not applicable,Site based only,Waterloo-Wellington Perth Parochial School
Country Garden Montessori Academy,877425,Offers credits toward the Ontario Secondary School Diploma (OSSD),Hilsenteger Donna,,,601 Newpark Blvd,Newmarket,Ontario,L3X2S2,905-898-6257,905-898-3743,Barrie Regional Office,www.countrygarden.ca,Elem/Sec,Not applicable,Site based only,No
