Board Number,Board Name,Board Type,School Number,School Name,School Type,School Special Condition Code,School Level,School Language,Grade Range,Building Suite,P.O. Box,Street,Municipality,City,Province,Postal Code,Phone Number,Fax Number,School Website,Board Website,Enrolment,Latitude,Longitude,Percentage of Students Whose First Language Is Not English,Percentage of Students Whose First Language Is Not French,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Who Are New to Canada from a Non-French Speaking Country,Percentage of Students Identified as Gifted,Percentage of Students Receiving Special Education Services,Percentage of Grade 3 Students Achieving the Provincial Standard in Reading,Change in Grade 3 Reading Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Writing,Change in Grade 3 Writing Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Mathematics,Change in Grade 3 Mathematics Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Reading,Change in Grade 6 Reading Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Writing,Change in Grade 6 Writing Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Mathematics,Change in Grade 6 Mathematics Achievement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Academic Mathematics,Change in Grade 9 Academic Mathematics Achievement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Applied Mathematics,Change in Grade 9 Applied Mathematics Achievement Over Three Years,Percentage of Students That Passed the Grade 10 OSSLT on Their First Attempt,Change in Grade 10 OSSLT Literacy Achievement Over Three Years,Percentage of School-Aged Children Who Live in Low-Income Households,Percentage of Students Whose Parents Have Some University Education,Extract Date,ISCED010,ISCED020,ISCED1,ISCED2,ISCED3
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),193771,Federal Public School,Public,Not applicable,Elementary,English,JK-6,,,80 Tweedsmuir Rd,Kirkland Lake,Kirkland Lake,Ontario,P2N1J5,705-567-5288,705-567-5289,http://www.dsb1.ca/schools/federal,www.dsb1.ca,125,48.16018,-80.0299,0,95,0,0,35,0,29%,-18.0,29%,-30.0,14%,-21.0,62%,24.0,62%,43.0,25%,19.0,,,,,,,25,20,2020-09-04,1,1,1,0,0
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),221554,Golden Avenue Public School,Public,Not applicable,Elementary,English,JK-6,,,117 Golden Avenue,Timmins,South Porcupine,Ontario,P0N1H0,705-360-8054,705-235-3260,http://www.dsb1.ca/schools/golden,www.dsb1.ca,195,48.47741,-81.2118,0,100,0,0,30,0,62%,-26.0,67%,-14.0,62%,0.0,74%,-16.0,71%,-24.0,26%,-29.0,,,,,,,15,20,2020-09-04,1,1,1,0,0
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),916293,Hearst High School,Public,Not applicable,Secondary,English,9-12,,,27 10th St,Hearst,Hearst,Ontario,P0L1N0,705-362-4591,705-362-7392,http://www.dsb1.ca/schools/hhs,www.dsb1.ca,SP,49.68741,-83.6677,SP,SP,SP,SP,SP,SP,,,,,,,,,,,,,N/R,,N/R,,N/R,,SP,SP,2020-09-04,0,0,0,1,1
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),076104,Iroquois Falls Public School,Public,Not applicable,Elementary,English,JK-6,,,900 Centennial St,Iroquois Falls,Iroquois Falls,Ontario,P0K1G0,705-232-6651,705-232-6516,http://www.dsb1.ca/schools/ifps,www.dsb1.ca,110,48.76252,-80.6898,0,70,0,0,25,0,27%,0.0,14%,7.0,5%,-22.0,70%,-10.0,60%,10.0,40%,20.0,,,,,,,15,25,2020-09-04,1,1,1,0,0
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),918288,Iroquois Falls Secondary School,Public,Not applicable,Secondary,English,9-12,,,44 Anson Dr,Iroquois Falls,Iroquois Falls,Ontario,P0K1E0,705-258-3921,705-258-3431,http://www.dsb1.ca/ifss,www.dsb1.ca,155,48.76882,-80.6833,5,90,0,0,40,0,,,,,,,,,,,,,35%,-38.0,10%,-5.0,57%,-7.0,15,10,2020-09-04,0,0,0,1,1
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),600222,Iroquois Falls Secondary School (Elementary),Public,Not applicable,Elementary,English,7-8,,,44 Anson Dr,Iroquois Falls,Iroquois Falls,Ontario,P0K1E0,705-258-3921,705-258-3431,,www.dsb1.ca,50,48.7685,-80.6821,0,90,0,0,30,0,,,,,,,,,,,,,,,,,,,20,20,2020-09-04,0,0,0,1,0
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),347957,Joseph H Kennedy Public School,Public,Not applicable,Elementary,English,JK-6,,,422 4th Avenue,Black River - Matheson,Matheson,Ontario,P0K1N0,705-273-2324,705-273-2530,http://www.dsb1.ca/schools/jhk,www.dsb1.ca,95,48.53562,-80.4633,0,100,0,0,20,0,N/R,,N/R,,N/R,,N/R,,N/R,,N/R,,,,,,,,30,20,2020-09-04,1,1,1,0,0
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),919063,Kapuskasing District High School,Public,Not applicable,Secondary,English,9-12,,,61 Devonshire St,Kapuskasing,Kapuskasing,Ontario,P5N1C5,705-335-6164,705-335-8899,http://www.dsb1.ca/schools/kdhs,www.dsb1.ca,185,49.42065,-82.4345,10,85,0,0,30,0,,,,,,,,,,,,,59%,3.0,N/R,,53%,-28.0,20,20,2020-09-04,0,0,0,1,1
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),291048,Kerns Public School,Public,Not applicable,Elementary,English,JK-6,,,946021 Maybrook Rd,Kerns,Thornloe,Ontario,P0J1S0,705-647-0225,705-647-0226,http://www.dsb1.ca/schools/kerns/index.php,www.dsb1.ca,55,47.666740000000004,-79.7498,0,100,0,0,20,0,N/R,,N/R,,N/R,,N/R,,N/R,,N/R,,,,,,,,20,10,2020-09-04,1,1,1,0,0
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),296600,Kirkland Lake District Composite Elementary School,Public,Not applicable,Elementary,English,7-8,,,60 Allen Ave,Kirkland Lake,Kirkland Lake,Ontario,P2N3J5,705-567-4981,705-568-8829,http://www.dsb1.ca/schools/kldcs/index.php,www.dsb1.ca,100,48.14911,-80.0209,0,100,0,0,30,0,,,,,,,,,,,,,,,,,,,20,20,2020-09-04,0,0,0,1,0
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),920363,Kirkland Lake District Composite Secondary School,Public,Vocational/Occupational,Secondary,English,9-12,,,60 Allen Ave,Kirkland Lake,Kirkland Lake,Ontario,P2N3J5,705-567-4981,705-568-8829,http://www.dsb1.ca/schools/kldcs/index.php,www.dsb1.ca,345,48.18484,-80.0208,0,100,0,0,40,0,,,,,,,,,,,,,86%,9.0,58%,22.0,55%,-20.0,20,20,2020-09-04,0,0,0,1,1
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),384224,New Liskeard Public School,Public,Not applicable,Elementary,English,JK-6,,,141 Dymond St,New Liskeard,New Liskeard,Ontario,P0J1P0,705-647-7341,705-647-9608,http://www.dsb1.ca/schools/nlps,www.dsb1.ca,395,47.511590000000005,-79.6769,0,90,0,0,20,0,50%,7.0,46%,-5.0,43%,5.0,68%,-14.0,61%,-21.0,18%,-41.0,,,,,,,20,25,2020-09-04,1,1,1,0,0
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),933287,PACE,Public,Adult,Secondary,English,9-12,302,,273 Third Ave,Timmins,Timmins,Ontario,P4N1E2,705-360-8058,705-268-3055,http://www.dsb1.ca/pace/,www.dsb1.ca,SP,48.47482,-81.3294,SP,SP,SP,SP,SP,SP,,,,,,,,,,,,,,,,,N/R,,SP,SP,2020-09-04,0,0,0,1,1
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),445061,Pinecrest Public School,Public,Not applicable,Elementary,English,JK-6,,,542 Toke St,Timmins,Timmins,Ontario,P4N6W1,705-264-7972,705-264-7778,http://www.dsb1.ca/schools/pinecrest,www.dsb1.ca,195,48.48786,-81.3175,0,90,0,0,25,0,40%,9.0,20%,-11.0,37%,4.0,35%,-42.0,31%,-36.0,4%,-19.0,,,,,,,25,20,2020-09-04,1,1,1,0,0
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),468371,R Ross Beattie Senior Public School,Public,Not applicable,Elementary,English,7-8,,,300 Pearl Ave,Timmins,Timmins,Ontario,P4N7X5,705-264-9438,705-264-4466,http://www.dsb1.ca/schools/rrb,www.dsb1.ca,260,48.4813,-81.3453,0,95,0,0,30,0,,,,,,,,,,,,,,,,,,,20,30,2020-09-04,0,0,0,1,0
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),943509,Roland Michener Secondary School,Public,Not applicable,Secondary,English,9-12,,,155 Legion Dr,Timmins,South Porcupine,Ontario,P0N1H0,705-360-8056,705-360-8057,http://www.dsb1.ca/schools/rmss/index.php,www.dsb1.ca,245,48.4826,-81.2137,0,100,0,0,50,0,,,,,,,,,,,,,59%,-10.0,24%,-32.0,65%,-6.0,10,10,2020-09-04,0,0,0,1,1
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),428797,Roland Michener Secondary School (Elementary),Public,Not applicable,Elementary,English,7-8,,,155 Legion Dr,Timmins,South Porcupine,Ontario,P0N1H0,705-360-8056,705-360-8057,http://www.dsb1.ca/rmss,www.dsb1.ca,120,48.4826,-81.2137,0,95,0,0,30,0,,,,,,,,,,,,,,,,,,,15,25,2020-09-04,0,0,0,1,0
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),502030,Schumacher Public School,Public,Not applicable,Elementary,English,JK-6,,,64 Croatia Ave,Timmins,Schumacher,Ontario,P0N1G0,705-360-1780,705-267-5285,http://www.dsb1.ca/schools/schumacher,www.dsb1.ca,150,48.474740000000004,-81.2969,0,95,0,0,40,0,36%,10.0,18%,-19.0,0%,-26.0,31%,-26.0,38%,-5.0,12%,5.0,,,,,,,30,15,2020-09-04,1,1,1,0,0
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),519294,Smooth Rock Falls Public School,Public,Not applicable,Elementary,English,JK-6,,,50 Third St,Smooth Rock Falls,Smooth Rock Falls,Ontario,P0L2B0,705-338-2755,705-338-2992,http://www.dsb1.edu.ca/schools/srfps,www.dsb1.ca,SP,49.27731,-81.6342,SP,SP,SP,SP,SP,SP,N/R,,N/R,,N/R,,N/R,,N/R,,N/R,,,,,,,,SP,SP,2020-09-04,1,1,1,0,0
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),550809,Temagami Public School,Public,Not applicable,Elementary,English,JK-6,,,11 School Rd,Temagami,Temagami,Ontario,P0H2H0,705-569-3450,705-569-2863,www.dsb1.ca/schools/temagami,www.dsb1.ca,SP,47.06779,-79.789,SP,SP,SP,SP,SP,SP,N/D,,N/D,,N/D,,N/R,,N/R,,N/R,,,,,,,,SP,SP,2020-09-04,1,1,1,0,0
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),946940,Timiskaming District Secondary School,Public,Not applicable,Secondary,English,9-12,,,90 Niven St,New Liskeard,New Liskeard,Ontario,P0J1P0,705-647-7336,705-647-9260,http://www.dsb1.ca/tdss/,www.dsb1.ca,530,47.511509999999994,-79.6796,3,94,1,1,40,0,,,,,,,,,,,,,91%,9.0,25%,-21.0,78%,3.0,12,25,2020-09-04,0,0,0,1,1
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),050571,Timiskaming District Secondary School (Elementary),Public,Not applicable,Elementary,English,7-8,,4050,90 Niven St,New Liskeard,New Liskeard,Ontario,P0J1P0,705-647-7336,705-647-9260,http://www.dsb1.ca/schools/tdss,www.dsb1.ca,130,47.511509999999994,-79.6796,0,95,0,0,25,0,,,,,,,,,,,,,,,,,,,15,25,2020-09-04,0,0,0,1,0
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),270291,Timmins Centennial Public School,Public,Not applicable,Elementary,English,JK-6,,,545 Wilcox St,Timmins,Timmins,Ontario,P4N3K5,705-264-8282,705-264-8283,http://www.dsb1.ca/schools/tcps/index.php,www.dsb1.ca,495,48.464259999999996,-81.3376,5,90,0,0,0,0,46%,-19.0,34%,-11.0,38%,-17.0,81%,-14.0,74%,-11.0,16%,-51.0,,,,,,,20,30,2020-09-04,1,1,1,0,0
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),948578,Timmins High and Vocational School,Public,Not applicable,Secondary,English,9-12,,,451 Theriault Blvd,Timmins,Timmins,Ontario,P4N8B2,705-360-1411,705-268-6603,http://www.dsb1.ca/schools/thvs,www.dsb1.ca,610,48.48595,-81.3499,0,98,0,1,26,0,,,,,,,,,,,,,79%,26.0,56%,21.0,63%,4.0,14,24,2020-09-04,0,0,0,1,1
B28002,DSB Ontario North East,Pub Dist Sch Brd (E/F),361747,W Earle Miller Public School,Public,Not applicable,Elementary,English,JK-6,,,200 Victoria Ave,Timmins,Timmins,Ontario,P4N8G9,705-268-5555,705-268-9201,http://www.dsb1.ca/schools/wemiller,www.dsb1.ca,330,48.49205,-81.3416,5,95,5,0,20,0,59%,1.0,65%,1.0,55%,8.0,64%,9.0,70%,24.0,21%,2.0,,,,,,,20,25,2020-09-04,1,1,1,0,0
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),685461,All Saints Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,4105 Colonial Dr,Mississauga,Mississauga,Ontario,L5L4E8,905-828-6348,905-828-1744,http://www.dpcdsb.org/ALLST,www.dpcdsb.org,340,43.53156,-79.7106,20,100,5,0,15,0,76%,-12.0,72%,-16.0,48%,-30.0,81%,-5.0,81%,-5.0,56%,8.0,,,,,,,10,60,2020-09-04,1,1,1,1,0
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),687308,Ascension of Our Lord Secondary School,Catholic,Not applicable,Secondary,English,9-12,,,7640 Anaka Drive,Mississauga,Mississauga,Ontario,L4T3H7,905-676-1287,905-678-7177,http://www.dpcdsb.org/ASCEN,www.dpcdsb.org,795,43.72338,-79.6535,34,100,11,12,19,0,,,,,,,,,,,,,86%,-7.0,25%,-9.0,76%,6.0,21,31,2020-09-04,0,0,0,1,1
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),689556,Bishop Francis Allen Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,325 McMurchy Ave S,Brampton,Brampton,Ontario,L6Y1Z4,905-457-4677,905-457-2891,http://www.dpcdsb.org/BFALN,www.dpcdsb.org,385,43.66624,-79.7462,30,100,15,15,10,0,78%,-4.0,81%,-8.0,59%,-2.0,82%,-3.0,91%,15.0,59%,3.0,,,,,,,30,45,2020-09-04,1,1,1,1,0
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),682438,Bishop Scalabrini School,Catholic,Not applicable,Elementary,English,JK-8,,,225 Central Pkwy W,Mississauga,Mississauga,Ontario,L5B3J5,905-896-3665,905-896-8858,http://www.dpcdsb.org/BSCAL,www.dpcdsb.org,340,43.5839,-79.6359,40,100,20,20,10,0,88%,12.0,72%,11.0,75%,23.0,91%,10.0,89%,15.0,60%,22.0,,,,,,,40,70,2020-09-04,1,1,1,1,0
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),693715,Canadian Martyrs School,Catholic,Not applicable,Elementary,English,JK-8,,,1185 Mississauga Valley Blvd,Mississauga,Mississauga,Ontario,L5A3R7,905-275-0094,905-275-8187,http://www.dpcdsb.org/CMART,www.dpcdsb.org,490,43.59904,-79.6219,45,95,20,20,5,0,80%,11.0,63%,-5.0,61%,7.0,86%,13.0,94%,13.0,54%,22.0,,,,,,,30,65,2020-09-04,1,1,1,1,0
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),749813,Cardinal Ambrozic Catholic Secondary School,Catholic,Not applicable,Secondary,English,9-12,,,10 Castle Oaks Crossing,Brampton,Brampton,Ontario,L6P3A2,,,http://www.dpcdsb.org/AMBRO,www.dpcdsb.org,1340,43.78772,-79.6831,28,100,3,3,14,0,,,,,,,,,,,,,91%,0.0,56%,-12.0,86%,3.0,11,42,2020-09-04,0,0,0,1,1
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),850888,Cardinal Leger Secondary School,Catholic,Not applicable,Secondary,English,9-12,,,75 Mary St,Brampton,Brampton,Ontario,L6W3K5,905-453-2232,905-796-9620,http://www.dpcdsb.org/LEGER,www.dpcdsb.org,1220,43.684090000000005,-79.7505,22,99,6,6,16,0,,,,,,,,,,,,,90%,2.0,34%,-16.0,76%,1.0,15,32,2020-09-04,0,0,0,1,1
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),697095,Christ The King Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,3240 Garthwood Rd,Mississauga,Mississauga,Ontario,L5L5A3,905-569-0220,905-569-2797,http://www.dpcdsb.org/CKING,www.dpcdsb.org,250,43.523959999999995,-79.695,35,100,0,0,20,0,65%,-21.0,50%,-41.0,46%,-27.0,89%,-7.0,96%,0.0,43%,-11.0,,,,,,,30,40,2020-09-04,1,1,1,1,0
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),701807,Corpus Christi School,Catholic,Not applicable,Elementary,English,JK-8,,,4155 Elora Dr,Mississauga,Mississauga,Ontario,L5B3N4,905-897-7037,905-566-4333,http://www.dpcdsb.org/CORPC,www.dpcdsb.org,255,43.5848,-79.6522,35,100,10,10,20,0,86%,7.0,82%,-7.0,68%,-16.0,78%,-14.0,85%,-7.0,56%,14.0,,,,,,,35,60,2020-09-04,1,1,1,1,0
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),703222,Divine Mercy School,Catholic,Not applicable,Elementary,English,JK-8,,,2840 Duncairn Dr,Mississauga,Mississauga,Ontario,L5M5C6,905-812-5445,905-812-4922,http://www.dpcdsb.org/DMRCY,www.dpcdsb.org,455,43.559540000000005,-79.7238,30,100,10,15,5,0,91%,-1.0,83%,-3.0,73%,-9.0,85%,-3.0,85%,0.0,44%,-8.0,,,,,,,20,80,2020-09-04,1,1,1,1,0
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),696307,Father C W Sullivan Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,62 Seaborn Rd,Brampton,Brampton,Ontario,L6V2C1,905-453-5020,905-453-2963,http://www.dpcdsb.org/CWSUL,www.dpcdsb.org,295,43.70595,-79.7466,15,100,0,0,15,0,79%,-4.0,76%,3.0,70%,23.0,83%,8.0,78%,3.0,30%,-3.0,,,,,,,20,20,2020-09-04,1,1,1,1,0
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),706337,Father Clair Tipping School,Catholic,Not applicable,Elementary,English,JK-8,,,25 Mountainberry Rd,Brampton,Brampton,Ontario,L6R1J3,905-789-1741,905-789-1958,http://www.dpcdsb.org/FCTIP,www.dpcdsb.org,280,43.76465,-79.7314,30,100,10,10,10,0,70%,-14.0,70%,-8.0,52%,-16.0,91%,-2.0,95%,9.0,41%,3.0,,,,,,,10,45,2020-09-04,1,1,1,1,0
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),857238,Father Daniel Zanon Elementary School,Catholic,Not applicable,Elementary,English,JK-8,,,450 Hillcrest Ave,Mississauga,Mississauga,Ontario,L5B4J3,905-279-3722,905-279-4015,http://www.dpcdsb.org/ZANON,www.dpcdsb.org,345,43.57306,-79.6309,45,95,10,10,10,0,74%,-7.0,76%,-5.0,63%,-4.0,84%,0.0,78%,0.0,41%,-15.0,,,,,,,20,60,2020-09-04,1,1,1,1,0
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),730441,Father Francis McSpiritt Catholic Elementary School,Catholic,Not applicable,Elementary,English,JK-8,,,55 Lexington Road,Brampton,Brampton,Ontario,L6P2A9,905-794-5031,905-794-9542,http://www.dpcdsb.org/MCSPI,www.dpcdsb.org,550,43.7751,-79.6981,29,100,7,7,15,0,73%,-2.0,65%,-13.0,56%,-2.0,74%,-9.0,84%,-1.0,39%,0.0,,,,,,,14,49,2020-09-04,1,1,1,1,0
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),706957,Father Michael Goetz Secondary School,Catholic,Not applicable,Secondary,English,9-12,,,330 Central Pkwy W,Mississauga,Mississauga,Ontario,L5B3K6,905-277-0326,905-615-1524,http://www.dpcdsb.org/GOETZ,www.dpcdsb.org,1220,43.58188,-79.6358,50,99,18,18,10,0,,,,,,,,,,,,,80%,-3.0,35%,-3.0,81%,3.0,29,56,2020-09-04,0,0,0,1,1
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),708038,Georges Vanier Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,28 Finchgate Blvd,Brampton,Brampton,Ontario,L6T3H9,905-792-2251,905-792-8455,http://www.dpcdsb.org/GVANI,www.dpcdsb.org,305,43.727309999999996,-79.7111,25,100,5,10,10,0,78%,4.0,61%,-5.0,53%,-7.0,79%,5.0,82%,1.0,26%,0.0,,,,,,,20,40,2020-09-04,1,1,1,1,0
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),708070,Good Shepherd Catholic Elementary School,Catholic,Not applicable,Elementary,English,JK-8,,,28 Red River Dr,Brampton,Brampton,Ontario,L6R2H9,905-791-1039,905-791-9856,http://www.dpcdsb.org/GSHEP,www.dpcdsb.org,365,43.756040000000006,-79.7463,20,100,5,5,10,0,89%,2.0,74%,-8.0,63%,-1.0,79%,11.0,82%,16.0,41%,7.0,,,,,,,20,45,2020-09-04,1,1,1,1,0
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),708143,Guardian Angels Catholic Elementary School,Catholic,Not applicable,Elementary,English,JK-8,,,62 Heatherdale Dr,Brampton,Brampton,Ontario,L7A2H4,905-595-0909,905-846-6932,http://www.dpcdsb.org/GANGL,www.dpcdsb.org,515,43.6868,-79.8196,26,100,8,8,12,0,68%,-10.0,68%,-14.0,58%,3.0,74%,-14.0,74%,-15.0,36%,-3.0,,,,,,,12,48,2020-09-04,1,1,1,1,0
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),714909,Holy Cross School,Catholic,Not applicable,Elementary,English,JK-8,,,3615 Morning Star Dr,Mississauga,Mississauga,Ontario,L4T1Y4,905-677-5660,905-677-1332,http://www.dpcdsb.org/HCROS,www.dpcdsb.org,545,43.724909999999994,-79.6363,28,100,15,15,11,0,88%,7.0,88%,4.0,62%,-7.0,72%,-6.0,74%,-8.0,33%,-7.0,,,,,,,35,34,2020-09-04,1,1,1,1,0
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),716405,Holy Family School,Catholic,Not applicable,Elementary,English,JK-8,,,61 Allan Dr,Caledon,Bolton,Ontario,L7E1P7,905-857-1300,905-857-9432,http://www.dpcdsb.org/HOFAM,www.dpcdsb.org,355,43.87366,-79.7261,5,100,0,0,10,0,73%,-13.0,61%,-25.0,52%,-24.0,97%,5.0,93%,1.0,59%,14.0,,,,,,,10,40,2020-09-04,1,1,1,1,0
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),718114,Holy Name of Mary Secondary School,Catholic,Not applicable,Secondary,English,9-12,,,115 Glenvale Boulevard,Brampton,Brampton,Ontario,L6S3J7,905-458-5541,905-458-4741,http://www.dpcdsb.org/HNMRY,www.dpcdsb.org,725,43.7338,-79.7167,36,100,4,4,7,0,,,,,,,,,,,,,93%,4.0,62%,3.0,94%,8.0,14,39,2020-09-04,0,0,0,1,1
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),819219,Holy Spirit Catholic Elementary School,Catholic,Not applicable,Elementary,English,JK-8,,,25 Bloomsbury Avenue,Brampton,Brampton,Ontario,L6P1W9,905-794-8039,905-794-1285,http://www.dpcdsb.org/SPRIT,www.dpcdsb.org,360,43.784290000000006,-79.7292,15,100,5,5,10,0,91%,11.0,82%,5.0,79%,9.0,89%,0.0,96%,11.0,35%,-14.0,,,,,,,10,50,2020-09-04,1,1,1,1,0
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),722790,Iona Secondary School,Catholic,Not applicable,Secondary,English,9-12,,,2170 South Sheridan Way,Mississauga,Mississauga,Ontario,L5J2M4,905-823-0136,905-823-0248,http://www.dpcdsb.org/IONAS,www.dpcdsb.org,740,43.52055,-79.6472,28,99,7,8,18,0,,,,,,,,,,,,,89%,7.0,54%,0.0,87%,2.0,14,53,2020-09-04,0,0,0,1,1
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),724564,John Cabot Catholic Secondary School,Catholic,Not applicable,Secondary,English,9-12,,,635 Willowbank Trail,Mississauga,Mississauga,Ontario,L4W3L6,905-279-1554,905-279-3419,http://www.dpcdsb.org/CABOT,www.dpcdsb.org,770,43.61262,-79.6208,36,100,16,17,17,0,,,,,,,,,,,,,93%,1.0,49%,-4.0,82%,3.0,22,45,2020-09-04,0,0,0,1,1
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),726494,Lester B Pearson Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,140 Howden Blvd,Brampton,Brampton,Ontario,L6S2G1,905-793-4861,905-793-4497,http://www.dpcdsb.org/LBPEA,www.dpcdsb.org,495,43.723009999999995,-79.7293,30,100,10,10,25,0,73%,-10.0,75%,2.0,57%,1.0,91%,20.0,89%,18.0,48%,21.0,,,,,,,20,40,2020-09-04,1,1,1,1,0
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),798118,Loyola Catholic Secondary School,Catholic,Not applicable,Secondary,English,9-12,,,3566 South Common Crt,Mississauga,Mississauga,Ontario,L5L2B1,905-820-9822,905-820-1753,http://www.dpcdsb.org/LOYOL,www.dpcdsb.org,1120,43.52648,-79.7129,27,99,3,3,15,0,,,,,,,,,,,,,78%,-10.0,23%,-14.0,85%,5.0,15,57,2020-09-04,0,0,0,1,1
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),730742,Mary Fix Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,486 Paisley Blvd W,Mississauga,Mississauga,Ontario,L5B2M4,905-270-3140,905-270-3475,http://www.dpcdsb.org/MAFIX,www.dpcdsb.org,245,43.56702,-79.6239,10,100,0,5,15,0,64%,-17.0,58%,-15.0,42%,-34.0,96%,20.0,89%,8.0,25%,-8.0,,,,,,,15,55,2020-09-04,1,1,1,1,0
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),731447,Metropolitan Andrei Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,515 Mississauga Valley Boulevard,Mississauga,Mississauga,Ontario,L5A3G6,905-270-4151,905-270-9746,http://www.dpcdsb.org/ANDRE,www.dpcdsb.org,500,43.592459999999996,-79.613,45,100,5,10,10,0,68%,4.0,64%,2.0,42%,-13.0,71%,-9.0,85%,16.0,35%,-2.0,,,,,,,25,50,2020-09-04,1,1,1,1,0
B67083,Dufferin-Peel CDSB,Cath Dist Sch Brd (E/F),690694,Notre Dame Catholic Secondary School,Catholic,Not applicable,Secondary,English,9-12,,,2 Notre Dame Ave,Brampton,Brampton,Ontario,L6Z4L5,905-840-2802,905-846-2625,http://www.dpcdsb.org/NDAME,www.dpcdsb.org,1550,43.719429999999996,-79.7793,20,100,7,6,13,2,,,,,,,,,,,,,86%,-2.0,37%,-5.0,84%,1.0,13,34,2020-09-04,0,0,0,1,1
