Roll_No,Application_Year,Building_Permit_No,Develop__Permit__No,Date_Received,Status,Date_Of_Decision,Date_Permit_Expires,Date_Of_Occupancy_Permit,Lot,Block,Plan,Unit_No,Street_No,Street_Name,Building_Name,Business_Name,Description,No_Of_Existing_Dwelling_Units,No_Of_New_Dweling_Units,Value_of_Construction,Permit_Fee,SCC_Fee,Comments,Processing_Time
000085,2015,15BP14X,15DP16,20150525,Received - In Review,,,,16,4,6719BC,,126,Muskrat St,,,Residential,,,130000.0000000,1202.5000000,48.1000000,Residential - 126 Muskrat Street - Garage Renovation with addition of accessory suite,
000564,2015,15BP15,15DP23,2015061,Approved,20150714,20160714,2015102,7,29,6719BC,,510,Banff Ave,,,Residential,,,,125.0000000,5.0000000,Residential - 510 Banff Avenue - FOUNDATION ONLY - 8 plex,
000546,2015,15BP16,15DP30,20150622,Approved,,,20160216,15-2,27,1677JK,,609,Caribou St,,,Residential,,,20000.0000000,185.0000000,7.4000000,Residential - 609 Caribou Street - Roof Extension and Addition of New Mud Room,
000500,2015,15BP17,15DP14,20150622,Approved,20150714,20160714,20160516,1,25,5739HQ,,336,Otter St,,,Residential,,,200000.0000000,1850.0000000,74.0000000,Residential - 336 Otter Street - renovation of existing duplex with addition of new dwelling,
009082,2015,15BP18,15DP27,20150703,Approved,2015103,2016103,,20,R2,1890HH,,130,Kootenay Ave,,,Residential,,,650000.0000000,6662.5000000,266.5000000,Residential - 130 Kootenay Avenue - duplex,
084708,2015,15BP19,,20150703,Approved,20150707,20160707,20150728,4&5,R1,9611050,,12,Riverview Crt,,,Residential,,,6498.3900000,125.0000000,5.0000000,Residential - 12 Riverview Court - addition of new window,
000670,2015,15BP20,15DP29,20150709,Approved,2015103,2016103,,8,57,3400JK,,443,Cougar St,,,Residential,,,10000.0000000,125.0000000,5.0000000,"Residential - 443 Cougar St. - New windows, door, stairs",
001324,2015,15BP21,15DP34,20150714,Approved,20150721,20160721,20151201,6,R28,9610532,,238,Jasper Way,,,Residential,,,1000.0000000,125.0000000,5.0000000,Residential - 238 Jasper Way - New Door,
000242,2015,15BP22,15DP36,2015072,Received - Approved,20150728,2016073,,13,12,6719BC,,348,Squirrel St,,,Residential,,,7500.0000000,125.0000000,5.0000000,Residential - 348 Squirrel Street - Replacing Front Porch,
000015,2015,15BP23,,2015072,Approved,20150721,20160721,,18-19,1,6719BC,,137,Banff Ave,,Eddie Burger & Bar,Commercial,,,5000.0000000,125.0000000,5.0000000,Commercial - 137 Banff Avenue -Eddie Burger & Bar- Exterior cooler addition & screening,
000457,2015,15BP24,15DP37,20150727,Approved,20150728,20160728,,19B,22,1210HU,,433,Muskrat St,,,Residential,,,11000.0000000,,,Residential - 433 Muskrat Street - Installation of 3kW Solar PV on roof,
001005,2015,15BP25,,20150728,Approved,20150728,20160728,20150901,32,R1,7410623,,207,Glen Cres,,,Residential,,,14900.0000000,137.8500000,5.0000000,Resideintial - 207 Glen Cres. - House foundation at risk,
000128,2015,15BP26,,20150729,Received - In Review,,,,16,6,6719BC,1,226,Bear St,,,Commercial,,,500.0000000,125.0000000,5.0000000,Commercial - Unit 1 - 226 Bear Street - Removing Wall,
000435,2015,15BP27,15DP10,20150812,Approved,20150813,20160813,,2,22,6719BC,,403,Muskrat St,,,Residential,,,50000.0000000,462.5000000,18.5000000,Residential - 403 Muskrat Street - Garage,
000553,2015,15BP28,,20150813,Approved,20150818,20160818,,22,27,6719BC,,121,Grizzly St,,,Residential,,,10000.0000000,125.0000000,5.0000000,Residential - 121 Grizzly Street - 2 new windows in garage,
000706,2015,15BP29,15DP42,20150817,Approved,20150818,20160818,20151027,11,64,7655JK,,218,Marmot Pl,,,Residential,,,0.0000000,0.0000000,0.0000000,Residential - 218 Marmot Place - solar installation,
000435,2015,15BP30,15DP10,20150824,Approved,20150825,20160825,20150901,2,22,6719BC,,403,Muskrat St,,,Residential,,,0.0000000,0.0000000,0.0000000,Residential - 403 Muskrat Steet - Demo Garage,
044801,2015,15BP31,,20150824,Approved,20150825,20160825,20151006,14-15,22,7911009,,436,Banff Ave,The Pines,,Residential,,,12400.0000000,125.0000000,5.0000000,Residential - 436 Banff Avenue - Restoration After Fire,
000593,2015,15BP32,14DP48,20150826,Approved,20150908,20160908,,-,-,0915122,,600,Banff Ave,Inns of Banff,Inns of Banff,Commercial,,,250000.0000000,2312.5000000,92.5000000,Commercial - 600 Banff Avenue - Inns of Banff - Cell Tower Build,
000860,2015,15BP33,15DP41,20150827,Approved,20150908,20160908,,21-25,-,5860GW,,405,Spray Ave,Fairmont Banff Springs,Fairmont Banff Springs,Commercial,,,70000.0000000,647.5000000,25.9000000,Commercial - 405 Spray Avenue - Fairmont Banff Springs - Canopy,
000261,2015,15BP34,,20150831,Approved,20151203,20161203,20160715,26,13,0915124,,345,Banff Ave,Moose Hotel,Moose Hotel,Commercial,,,437000.0000000,4042.2500000,161.6900000,Commercial - 345 Banff Avenue - Moose Hotel - Pacini Resturant - Level 1,
000631,2015,15BP35,,20150831,Approved,20150908,20160908,,5-8,36,1163CD,,537,Banff Ave,Rundlestone Resort,Rundlestone Resort,Commercial,,,13000.0000000,125.0000000,5.0000000,Commercial - 537 Banff Avenue - Rundlestone Resort - Addition of Wheelchair Ramp to Front Entryway,
001151,2015,15BP36,,20150903,Approved,20150922,20160922,,-,F&G,RW502,,327,Railway Ave,CPR Train Station,Banff Caribou Properties,Commercial,,,,,,Commercial - 327 Railway Avenue - East End of Building,
000102,2015,15BP37,15DP46,20150904,Approved,20150908,20160908,20151027,37,4,6719BC,,109,Otter St,,,Residential,,,0.0000000,0.0000000,0.0000000,Residential - 109 Otter Street - Solar Installation,
001284,2015,15BP38,15DP47,20150904,Approved,20150908,20160908,20151117,17,R25,8911519,,217,Jasper Way,,,Residential,,,0.0000000,0.0000000,0.0000000,Residential - 217 Jasper Way - Solar Installation,
000538,2015,15BP39,15DP48,20150904,Approved,20150908,20160908,20151117,7,27,6719BC,,120,Otter St,,,Residential,,,0.0000000,0.0000000,0.0000000,Residential - 120A Otter Street - Solar Installation,
000022,2015,15BP40,,20150918,Approved,20151118,20161118,20160216,"4, 5, 6-1",2,6719BC,,108,Banff Ave,Clock Tower Mall,High Rollers,Commercial,,,739000.0000000,6835.7500000,273.4300000,Commercial - 108 Banff Avenue - High Rollers - lower level Clock Tower Mall,
000810,2015,15BP41,,20150918,Approved,20151013,20161013,20160509,14-1,A,6719BC,,136,Bow Ave,Abegweit Bn'B,,Residential,,,15000.0000000,138.7500000,5.5500000,Residential - 136 Bow Avenue - Abegeit House - Interior Renovation,
001005,2015,15BP42,15DP44,20150921,Approved,2015103,2016093,20171117,32,R1,7410623,,207,Glen Cres,,,Residential,,,155000.0000000,1433.7500000,57.3500000,Residential - 207 Glen Crescent - Renovation,
001082,2015,15BP43,15DP53,20150928,Approved,20150929,20160929,20151117,57,DL,8011455,,225,Kluane Dr,,,Residential,,,13000.0000000,0.0000000,0.0000000,Residential - 225 Kluane Drive - Solar Installation,
001085,2015,15BP44,15DP54,20150928,Approved,20151013,20161013,20151117,60,DL,8011455,,228,Kluane Dr,,,Residential,,,13000.0000000,0.0000000,0.0000000,Residential - 228 Kluane Drive - Solar Installation,
000881,2015,15BP45,15DP55,20150928,Approved,20151013,20161013,,21,R2,1890HH,,128,Kootenay Ave,,,Residential,,,16000.0000000,0.0000000,0.0000000,Residential - 128 Kootenay Avenue - Solar Installation,
000564,2015,15BP46,,2015093,Approved,2015102,2016102,2016062,7,29,6719BC,,510,Banff Ave,,,Residential,,,50000.0000000,4625.0000000,185.0000000,Residential - 510 Banff Avenue - New Apartment Building,
045401,2015,15BP47,15DP56,20151001,Approved,20161013,20161013,,16-18,22,8210109,,440,Banff Ave,,,Residential,,,48000.0000000,0.0000000,0.0000000,Residential - 440 Banff Avenue - Solar Installation,
086801,2015,15BP48,,20151005,Approved,2015103,2016103,,4,R2,8810817,,115,Spray Ave,1964 Park Terrace,,Residential,,,80000.0000000,740.0000000,29.6000000,Residential - 115 Spray Avenue - Renovation,
000116,2015,15BP49,,20151006,Received - In Review,,,,16&17,5,6719BC,,230,Lynx St,Shell Canada,Shell Canada,Commercial,,,95000.0000000,878.7500000,35.1500000,Commercial - 230 Lynx Street - Interior Renovation,
001021,2015,15BP50,15DP32,20151014,Approved,2015102,2016102,,3,R21,7410679,,137,Park Ave,,,Residential,,,10000.0000000,125.0000000,5.0000000,Residential - 137 Park Avenue - Façade Renovation and Porch Construction,
001072,2015,15BP51,15DP62,2015102,Approved,20151027,20161027,,47,DN,8011455,,211,Kluane Dr,,,Residential,,,0.0000000,0.0000000,0.0000000,Residential - 211 Kluane Drive - Solar Installation,
000429,2015,15BP52,,2015103,Approved,20151203,20161203,,20-22,22,6719BC,,405,Beaver St,,,Residential,,,4630000.0000000,42827.5000000,560.0000000,Residential - 405 Beaver Street - 38 Unit Apartment Housing,
000142,2015,15BP53,15DP64,20151102,Approved,20151103,20161103,,18-19,7,6719BC,,223,Beaver St,,,Commercial,,,0.0000000,0.0000000,0.0000000,Commercial - 223 Beaver Street - Solar Installation,
000634,2015,15BP54,15DP65,20151102,Approved,2015111,2017111,,22,37,1412948,,565,Marmot Cres,Bumpers,Bumpers,Commercial,,,25000.0000000,231.2500000,9.2500000,Commercial - 565 Marmot Crescent - Conversion of Office Space to Hotel Room,
000008,2015,15BP55,,20151102,Approved,20151106,20161106,,11,1,6719BC,,121,Banff Ave,Lululemon,Lululemon,Commercial,,,55000.0000000,508.7500000,20.3500000,Commercial - 121 Banff Avenue - Lululemon adding an interior lift,
000957,2015,15BP56,15DP66,20151102,Approved,20151103,20161103,20160122,3-1,23,7410767,,406,Muskrat St,,,Residential,,,0.0000000,0.0000000,0.0000000,Residential - 406 Muskrat Street - Solar Installation,
000846,2015,15BP57,,20151105,Approved,2015111,2016111,2016111,-,D,6719BC,,103,Caribou St,Whyte Foundation,,Residential,,,35000.0000000,323.7500000,12.9500000,Residential - 103 Caribou Street - Internal Updates - Fire Compliance Work,
000237,2015,15BP58,15DP67,20151105,Approved,2015111,2016111,20160122,7,12,6719BC,,339,Marten St,,,Residential,,,0.0000000,0.0000000,0.0000000,Residential - 339 Marten Street - Solar Installation,
000225,2015,15BP59,,20151106,Approved,20151118,20161118,,1-3,11,6719BC,,317,Banff Ave,Cascade Shops,Cascade Shops,Commercial,,,250000.0000000,2312.5000000,92.5000000,Commercial - 317 Banff Avenue - Rogers Telecommunications Equipment,
000300,2015,15BP60,15DP68,20151112,Approved,20151118,20161118,20160122,21,15,6719BC,,333,Muskrat St,,,Residential,,,0.0000000,0.0000000,0.0000000,Residential - 333 Muskrat Street - Solar Installation,
020005,2015,15BP61,15DP25,20151119,Approved,20151124,,,-,-,9311654LTO,,,Tunnel Mountain Rd,,,Commercial,,,60000.0000000,555.0000000,22.2000000,Commercial - Tunnel Mountain Road - Tower and Radio Shelter,
000689,2015,15BP62,15DP73,20151126,Approved,20151201,20161201,,1,58,3939JK,,100,Eagle Cres,Brewster Inc.,Brewster Inc.,Commercial,,,67000.0000000,0.0000000,0.0000000,Commercial - 100 Eagle Crescent - Solar Installation,
001203,2015,15BP63,,20151127,Approved,20151201,20161201,20160201,-,-,8410538,,100,Gopher St,Brewster Travel Canada,Brewster Travel Canada,Commercial,,,74850.0000000,692.3600000,27.6900000,Commercial - 100 Gopher Street - Interior Office Renovation,
000860,2015,15BP64,,20151207,Approved,20151208,20161208,20170213,21-25,-,5880GW,,405,Spray Ave,Fairmont Banff Springs,Fairmont Banff Springs,Commercial,,,400000.0000000,3700.0000000,148.0000000,Commercial - 405 Spray Avenue - BSH - Conversatory,
000121,2015,15BP65,,20151208,Approved,20151208,20161208,20151229,6,6,6719BC,,211,Banff Ave,,Night Owl,Commercial,,,28700.0000000,265.4800000,10.6200000,Commercial - 211 Banff Avenue - Night Owl Redevelopment to include a Donair Shop,
000022,2016,16BP01,,20160111,Approved,20160205,20170205,20160222,"4, 5, 6-1",2,6719BC,,108,Banff Ave,Clocktower Mall,HighRollers,Commercial,,,8500.0000000,125.0000000,5.0000000,"Commercial - 108 Banff Avenue - HighRollers, new entrance and window",
000255,2016,16BP02,,20160125,Approved,20160201,20170201,20160413,1-4 + 21-24,13,6719BC,,333,Banff Ave,Banff International Hotel,Banff International Hotel,Commercial,,,450000.0000000,4162.5000000,166.5000000,"Commercial - 333 Banff Avenue - Banff International Hotel, Lobby Renovation",
001203,2016,16BP03,,20160203,Approved,20160208,,,-,-,8410538,,100,Gopher St,Brewster Travel Canada,Brewster Travel Canada,Commercial,,,55000.0000000,508.7500000,20.3500000,"Commercial - 100 Gopher Street - Brewster Travel Canada, 2nd floor office renovation",
009130,2016,16BP04,,2016021,Received - In Review,20160216,20170216,,48,R7,6855JK,,151,Cave Ave,,Canadian Demolition Ltd.,Residential,,,,376.2500000,15.0500000,Residential - 151 Cave Avenue - DEMO,
009461,2016,16BP05,,2016021,Received - In Review,20160216,20170216,,18-20,30,6719BC,,547,Deer St,,Canadian Demolition Ltd.,Residential,,,,2090.3200000,83.6100000,Residential - 547 Deer Street - DEMO,
000225,2016,16BP06,16DP10,20160216,Approved,20160216,,,1-3,11,6719BC,M6,317,Banff Ave,Cascade Shops,Q-Nails Ltd.,Commercial,,,40000.0000000,410.0000000,16.4000000,Commercial - 317 Banff Avenue - Personal Service Shop Fit-Out,
020521,2016,16BP07,,20160224,Approved,20160229,20170228,20160718,-,-,0312541,,160,Hawk Ave,Transfer Station - TOB,Town of Banff,Industrial,,,6000.0000000,0.0000000,0.0000000,Industrial - 160 Hawk Avenue - Stairway at Transfer Station,
002004,2016,16BP08,,20160224,Approved,20160314,20170314,20160425,7,A,6719BC,,101,Bear St,Banff Library,Banff Library,Institutional,,,250000.0000000,0.0000000,102.5000000,Institutional - 101 Bear Street - Banff Public Library interior renovation,
000225,2016,16BP09,,20160224,Approved,20160314,20170314,,1-3,11,6719BC,,317,Banff Ave,Cascade Shops,ATB,Commercial,,,25000.0000000,256.2500000,10.2500000,Commercial - 317 Banff Avenue - ATB relocation of night drop box,
000938,2016,16BP10,,20160224,Approved,20160314,20170314,20171218,"4, 5-9, 13-17, 43",R13,2221CN,,401,Spray Ave,Fairmont Banff Springs Staff Accommodation,Fairmont Banff Springs,Commercial,,,430000.0000000,4407.5000000,176.3000000,Commercial - 401 Spray Avenue - staff accommodation renovation,
000198,2016,16BP11,14DP46,20160308,Approved,20160314,20170314,20170501,24,9,6719BC,,213,Otter St,,,Residential,,,,,,Residential - 213 Otter Street - BnB Compliance,
001098,2016,16BP12,,20160308,Approved,20160314,20170314,,73,DM,8011455,,245,Kluane Dr,,,Residential,,,150.0000000,125.0000000,5.0000000,Residential - 245 Kluane Drive - relocation of beam,
001222,2016,16BP13,16DP01,20160315,Approved,20160411,20170411,20161011,9,R21,8911519,B,139,Park Ave,,,Residential,,,150000.0000000,1537.5000000,61.5000000,Residential - 139B Park Avenue - Addition with Exterior Renovation,
000036,2016,16BP14,,20160315,Approved,20160321,20170321,,27,2,6719BC,,121,Beaver St,,,Residential,,,140000.0000000,1435.0000000,57.4000000,Residential - 121 Beaver Street - interior renovation,
000030,2016,16BP15,,20160318,Approved,20160321,20170321,2016051,13-19,2,6719BC,,138,Banff Ave,Mount Royal Hotel,Mount Royal Hotel,Commercial,,,85000.0000000,871.2500000,34.8500000,Commercial - 138 Banff Avenue - Mount Royal Hotel - lobby washroom renovation,
102501,2016,16BP16,,20160331,Approved,20160404,20170404,20160613,8,R21,7410679,A,127,Park Ave,,,Residential,,,1500.0000000,125.0000000,5.0000000,Residential - 127A Park Avenue - Enlarge Basement Window,
000224,2016,16BP17,,20160331,Approved,20160404,20170404,2016062,24,10,6719BC,,302,Squirrel St,Banff Petro-Can,Banff Petro-Can,Commercial,,,600000.0000000,6150.0000000,246.0000000,Commercial - 302 Squirrel Street - Banff Petro-Can - renovation,
002019,2016,16BP18,15DP49,20160401,Approved,20160411,20170411,20170501,1-16,54,2842IC,,325,Squirrel St,Banff Elementary School,Banff Elementary School,Institutional,,,7340000.0000000,65702.5000000,560.0000000,Institutional - 325 Squirrel Street - Banff Elementary School - Phase 1 Replacement,
000103,2016,16BP19,,20160411,Approved,20160418,20170418,20160718,1,5,6719BC,,201,Bear St,Olympic Building,Canada House,Commercial,,,25000.0000000,256.2500000,10.2500000,Commercial - 201 Bear Street - Canada House expansion (main floor),
000114,2016,16BP20,16DP25,20160421,Approved,20160426,20170426,20160711,14+15f,5,6719BC,,229,Bear St,,,Commercial,,,35000.0000000,358.7500000,14.3500000,Commercial - 229 Bear Street - Escape Room development,
000225,2016,16BP21,16DP23,20160426,Approved,20160503,20170502,20161215,1-3,11,6719BC,,317,Banff Ave,Cascade Shops,,Commercial,,,30000.0000000,307.5000000,12.3000000,Commercial - 317 Banff Avenue - Middle Eastern Restaurant,
000669,2016,16BP22,16DP30,20160506,Approved,20160509,20170509,20160711,7,57,3400JK,,445,Cougar St,,,Residential,,,3000.0000000,125.0000000,5.0000000,Residential - 445 Cougar Street - new deck with variance,
000537,2016,16BP23,16DP31,20160509,Approved,20160516,20170516,20160718,6,27,6719BC,,118,Otter St,,Momentum Solar Ltd.,Residential,,,25000.0000000,0.0000000,0.0000000,Residential - 118 Otter Street - Solar Installation,
000255,2016,16BP24,,20160512,Approved,20160516,20170516,20160606,1-4 + 21-24,13,6719BC,,333,Banff Ave,Banff International Hotel,Ricky's All Day Grill,Commercial,,,75000.0000000,768.7500000,30.7500000,Commercial - 333 Banff Avenue - Banff International Hotel - Rickys Renvoation,
000450,2016,16BP25,16DP12,20160513,Approved,20160829,20170829,,PT15,22,832JK,,427,Muskrat St,,,Residential,,,247500.0000000,2536.8700000,101.4700000,Residential - 427 Muskrat Street - Duplex Addition to Single Family House,
000001,2016,16BP26,,20160513,Approved,20160516,20170516,20160729,1,1,6719BC,,101,Banff Ave,,Chuck's Steakhouse,Commercial,,,610300.0000000,6255.5700000,250.2200000,Commercial - 101 Banff Avenue - Chuck's Steakhouse interior renovation,
087709,2016,16BP27,,20160516,Approved,2016062,2017062,20160718,37,R2,9310372,,109,Lougheed Cir,,,Residential,,,10000.0000000,125.0000000,5.0000000,Residential - 109 Lougheed Circle - Vestibule Addition,
000860,2016,16BP28,,20160517,Approved,20160627,20170627,,21-22,1,5860GW,,405,Spray Ave,Farimont Banff Springs Hotel,Fairmont Banff Springs,Commercial,,,,,,Commercial - 405 Spray Avenue - accessible ramp inside Mt. Stephan Hall,
001306,2016,16BP29,14DP45,20160526,Approved,2016062,2017062,,36,50,73474,,141,Eagle Cres,,Telus West Tower Communications,Commercial,,,35000.0000000,358.7500000,14.3500000,Commercial - 141 Eagle Crescent - Telus Cell Tower,
000120,2016,16BP30,,20160526,Approved,2016062,2017062,,5,6,6719BC,,209,Banff Ave,,,Commercial,,,4500.0000000,125.0000000,5.0000000,Commercial - 209 Banff Avenue - new screening fence in alley,
000741,2016,16BP31,15DP30,20160526,Approved,20160725,20170725,,2,4,6719BC,,512,Buffalo St,,,Residential,,,728946.0000000,7471.6900000,298.8600000,Residential - 512 Buffalo Street - new residential dwelling with accessory dwelling,
000816,2016,16BP32,13DP26,20160526,Approved,2016062,2017062,20171016,18B,A,7497FL,,212,Bow Ave,,,Residential,,,500000.0000000,5125.0000000,205.0000000,Residential - 212 Bow Avenue - single family residential renovation and addition,
000008,2016,16BP33,,2016053,Approved,2016053,2017053,20160725,11,1,6719BC,,121,Banff Ave,,,Commercial,,,175000.0000000,1793.7500000,71.7500000,Commercial - 121 Banff Avenue - interior renovation,
020052,2016,16BP34,,20160609,Received - In Review,,,,-,-,0312541,,120,Hawk Ave,Re-Use-It Center,Town of Banff,Institutional,,,20000.0000000,205.0000000,52.2500000,Institutional - 120 Hawk Avenue - Re Use It Center,
121123,2016,16BP35,16DP39,20160609,Approved,20160613,20170613,,41,13,8710330,,201,Springs Cres,,,Residential,,,23935.5000000,0.0000000,0.0000000,Residential - 201 Springs Crescent - Solar Installation,
001292,2016,16BP36,,2016061,Approved,20160613,20170613,,7,R26,8911519,,212,Jasper Way,,,Residential,,,13417.0000000,0.0000000,0.0000000,Residential - 212 Jasper Way - Solar Installation,
001109,2016,16BP37,16DP42,2016061,Approved,20160613,20170613,,84,DM,8011455,,221,Kluane Dr,,,Residential,,,16334.0000000,0.0000000,0.0000000,Residential - 221 Kluane Drive - Solar Installation,
000127,2016,16BP38,,2016061,Approved,2016062,2017062,20160725,15,6,6719BC,,229,Banff Ave,,Earl's Banff,Commercial,,,460000.0000000,4715.0000000,188.6600000,Commercial - 229 Banff Avenue - Earl's Restaurant - Fire Restoration,
000710,2016,16BP39,16DP43,2016061,Approved,20160613,20170613,20160718,15,64,7655JK,,210,Marmot Cres,,,Residential,,,38000.0000000,0.0000000,0.0000000,Residential - 210 Marmot Crescent - Solar Installation,
001083,2016,16BP40,16DP44,2016061,Approved,2016062,2017062,20160711,58,DL,8011455,,226,Kluane Dr,,,Residential,,,13772.0000000,0.0000000,0.0000000,Residential - 226 Kluane Drive - Solar Installation,
001103,2016,16BP41,,20160623,Approved,20160627,20170627,,78,DM,8011455,,239,Kluane Dr,,,Residential,,,11676.0000000,0.0000000,0.0000000,Residential - 239 Kluane Drive - Solar Installation,
016213,2016,16BP42,,20160623,Approved,20160627,20170627,,16-18,8,8210287,303,404,Wolf St,,,Residential,,,25000.0000000,256.2500000,10.2500000,"Residential - 404 Wolf Street - Addition of a bedroom, washroom and window",
000225,2016,16BP43,,20160623,Approved,20160627,20170627,,1-3,11,6719BC,,317,Banff Ave,Cascade Shops,HP Organic Express,Commercial,,,35000.0000000,358.7800000,14.3500000,Commercial - 317 Banff Avenue - HP Organic Express,
121100,2016,16BP44,16DP47,20160623,Approved,20160627,20170627,,20,13,8710330,,200,Springs Cres,,,Residential,,,225000.0000000,2306.2500000,92.2500000,Residential - 200 Springs Crescent - Interior Renovation and Closing In Existing Porch,
000216,2016,16BP45,16DP08,20160623,Approved,20170529,20180529,,16,10,6719BC,,318,Squirrel St,,,Residential,,,1350000.0000000,13837.5000000,560.0000000,Residential - 318 Squirrel Street - NEW Building - Fourplex,
002004,2016,16BP46,,20160629,Approved,20160704,20170704,,7+8,A,6719BC,,101,Bear St,Banff Library,,Institutional,,,50000.0000000,0.0000000,20.5000000,Institutional - 101 Bear Street - Banff Library - Remove Skylight and Replace with Timber Roofing,
000225,2016,16BP47,16DP35,2016063,Approved,20160704,20170704,20160826,1-3,11,6719BC,,225,Banff Ave,Cascade Shops,,Commercial,,,35000.0000000,358.7500000,14.3500000,Commercial - 225 Banff Avenue - Cascade Shops - Massage Therapy  Clinic,
000670,2016,16BP48,16DP02,20160706,Approved,20160723,20160723,20170213,8,57,3400JK,,443,Cougar St,,,Residential,,,175000.0000000,1793.7500000,71.7500000,Residential - 443 Cougar Street - NEW Accessory Dwelling (Carriage House) with one bedroom + den,
002021,2016,16BP49,16DP26,20160715,Approved,20160719,20170719,,A8,,8410770,,301,Lynx St,Mineral Springs Hospital,,Institutional,,,2500000.0000000,25625.0000000,1025.0000000,Institutional - Existing helipad demolition and construction of new elevated helipad complete with walkway bridges and elevator,
000588,2016,16BP60,16DP36,20160811,Approved,20160815,20170815,20160912,8,30,6719BC,,538,Banff Ave,,,Residential,,,76000.0000000,779.0000000,31.1600000,Residential - 538 Banff Avenue - Lower Floor Conversion to Two Suites,
000616,2016,16BP50,16DP11,20160815,Approved,20160822,20170822,,7,34,6719BC,,128,Grizzly St,,,Residential,,,400000.0000000,4100.0000000,164.0000000,Residential - 128 Grizzly Street Duplex Addition Two Bedrooms with Loft,
120901,2016,16BP51,16DP61,20160824,Approved,20161003,20171003,20170306,-,-,7411025,,100,St Julien Rd,Banff Centre,The Banff Centre,Institutional,,,14000000.000000,143500.0000000,560.0000000,Institutional - 100 St. Julien Road - The Banff Centre - Lloyd Hall Renovation,
000210,2016,16BP52,16DP46,20160819,Approved,,,20160927,7,10,6719BC,,313,Marten St,,,Residential,,,630000.0000000,6457.5000000,258.3000000,Residential - 313 Marten Street - Converting a Duplex into a Five-Plex,
000434,2016,16BP53,16DP17,20160824,Approved,2017013,2018013,,2,22,1210HU,,404,Beaver St,,,,,,1275000.0000000,13068.7500000,522.7500000,Residential - 404 Beaver Street - New Building - 5 Unit Apartment Building,
120901,2016,16BP54,16DP61,20160825,Approved,20161003,20171003,20170503,-,-,7411025,,100,St Julien Rd,Banff Centre,The Banff Centre,Institutional,,,620000.0000000,6355.0000000,254.2000000,"Institutional - 100 St. Julie Road - The Banff Centre - Sally  Borden Repurposing Fitness, Office and Loung Spaces",
053601,2016,16BP55,,20160825,Approved,20160829,20170829,20161107,4A,27,8811672,B,100,Wolverine St,,,Residential,,,4000.0000000,125.0000000,5.0000000,Residential - 100B Wolverine Street - Deck Extension,
000118,2016,16BP56,16DP56,20160825,Approved,20160829,20170829,,1-13,6,6719BC,,201,Banff Ave,,,Commercial,,,250000.0000000,2562.5000000,102.5000000,Commercial - 201 Banff Avenue - convert two exisiting commercial spaces into one commercial space,
021112,2016,16BP57x,16DP50,20160825,Withdrawn,20160829,20170829,,8+9,10,9812013,,319,Marten St,,,Residential,,,,,,Residential - 319 Marten Street - Patio Enclosure - Applicant withdrew BP - November 2016,
000826,2016,16BP58,,20160902,Approved,20160912,20170912,20161212,-,B,4357HW,,98,Banff Ave,CIBC,CIBC,Commercial,,,80000.0000000,820.0000000,32.8000000,Commercial - 98 Banff Avenue - CIBC Buildout,
000106,2016,16BP59,,20160915,Approved,20160919,20170919,20161128,4-8,5,6719BC,,211,Bear St,,Banff Adventures Unlimited,Commercial,,,80000.0000000,820.0000000,32.8000000,Commercial - 211 Bear Street - Banff Adventures Unlimited Interior Renovation,
000233,2016,16BP61,,20160921,Approved,20160926,20170926,,3,12,6719BC,,331,Marten St,,,Residential,,,6500.0000000,125.0000000,5.0000000,"Residential - 331 Marten Street - replace one window, add new egress window",
000030,2016,16BP62,,20160921,Approved,20160926,20170926,20161121,13-19,2,6719BC,,138,Banff Ave,Mount Royal Hotel,Banff Trail Riders,Commercial,,,115000.0000000,1178.7500000,47.1500000,Commercial - 138 Banff Avenue - Banff Trail Riders Interior Renovation,
000860,2016,16BP63,,20161013,Approved,20161114,20171114,20170213,21-25,-,5880GW,,400,Spray Ave,Fairmont Banff Springs,Fairmont Banff Springs,Commercial,,,525000.0000000,5381.2500000,215.2500000,Commercial - 400 Spray Avenue - Fairmont Banff Springs - Castle Pantry Refurbishment,
001203,2016,16BP64,,20161019,Approved,20161114,20171114,20161114,-,-,8410538,,100,Gopher St,Brewster Travel Canada,Brewster Travel Canada,Commercial,,,120000.0000000,1230.0000000,49.2000000,Commerical - 100 Gopher Street - Washroom Renovations,
000320,2016,16BP65 X,16DP78,20161021,Cancelled,,,,19,16,6719BC,,335,Otter St,,,Residential,,,,,,Residential - 335 Otter Street - 4 plex - CANCELLED JAN 2017 - APPLICANT WITHDREW APPLICATION,
000437,2016,16BP66 X,16DP79,20161021,Cancelled,,,,3,22,6719BC,,405,Muskrat St,,,Residential,,,,,,Residential - 405 Muskrat Street - 4 Plex - CANCELLED JAN 2017 - APPLICANT WITHDREW APPLICATION,
000255,2016,16BP67,,20161021,Approved,20161121,20171121,20161219,1-4   21-24,13,6719BC,,333,Banff Ave,Banff International Hotel,Banff International Hotel,Commercial,,,220000.0000000,2255.0000000,90.2000000,Commercial - 333 Banff Avenue - Banquet Room Renovation,
000286,2016,16BP68,,20161025,Approved,20161107,20171107,20171023,7,15,6719BC,,338,Beaver St,,,Residential,,,125000.0000000,1281.2500000,51.2500000,Residential - 338 Beaver Street - Main House plus Cabins Renovation,
