Municipality,Permit Number,Type of Building,Type of Work,Value of Construction,Units Created,Units Lost,Building Area,Approval Date,Extract Date
TOWN OF TRURO,C104-2018,100,01,"300,000",0,0,"3,024",10/22/2018 12:00:00 AM,11/01/2018 07:30:36 AM
TOWN OF TRURO,C101-2018,100,01,"300,000",0,0,"3,024",10/01/2018 12:00:00 AM,11/01/2018 07:30:36 AM
TOWN OF TRURO,C102-2018,100,01,"300,000",0,0,"3,024",10/01/2018 12:00:00 AM,11/01/2018 07:30:36 AM
TOWN OF WOLFVILLE,DP-071-2018,110,03,"300,000",0,0,48,10/29/2018 12:00:00 AM,11/01/2018 07:30:36 AM
TOWN OF YARMOUTH,C2018-150,100,01,"120,000",0,0,0,10/30/2018 12:00:00 AM,11/01/2018 07:30:36 AM
CAPE BRETON REGIONAL MUNICIPALITY,B009633,100,03,"100,000",0,0,0,09/14/2018 12:00:00 AM,10/01/2018 07:30:38 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD008757,110,01,"69,120",1,0,576,09/18/2018 12:00:00 AM,10/01/2018 07:30:38 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009653,110,01,"103,680",1,0,864,09/20/2018 12:00:00 AM,10/01/2018 07:30:38 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009667,110,01,"120,000",1,0,"1,000",09/25/2018 12:00:00 AM,10/01/2018 07:30:38 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009601,110,01,"168,600",1,0,"1,405",09/14/2018 12:00:00 AM,10/01/2018 07:30:38 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009608,110,01,"30,000",1,0,250,09/14/2018 12:00:00 AM,10/01/2018 07:30:38 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009566,110,01,"172,800",1,0,"1,440",09/04/2018 12:00:00 AM,10/01/2018 07:30:38 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009651,110,01,"133,920",1,0,"1,116",09/19/2018 12:00:00 AM,10/01/2018 07:30:38 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009560,110,01,"172,800",1,0,"1,440",09/04/2018 12:00:00 AM,10/01/2018 07:30:38 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009597,110,01,"332,640",1,0,"2,772",09/13/2018 12:00:00 AM,10/01/2018 07:30:38 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009595,110,03,"120,000",0,0,625,09/05/2018 12:00:00 AM,10/01/2018 07:30:38 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009582,110,03,"300,000",0,0,"1,560",09/13/2018 12:00:00 AM,10/01/2018 07:30:38 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD005863,110,03,"78,240",0,0,448,08/06/2014 12:00:00 AM,10/01/2018 07:30:38 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009534,110,03,"80,640",0,0,672,09/10/2018 12:00:00 AM,10/01/2018 07:30:38 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009606,310,01,"276,000",2,0,"2,300",09/06/2018 12:00:00 AM,10/01/2018 07:30:38 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009648,310,01,"230,400",2,0,"1,920",09/20/2018 12:00:00 AM,10/01/2018 07:30:38 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009647,310,01,"230,400",2,0,"1,920",09/20/2018 12:00:00 AM,10/01/2018 07:30:38 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009619,310,01,"391,680",2,0,"3,264",09/12/2018 12:00:00 AM,10/01/2018 07:30:38 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009671,310,01,"360,240",2,0,"3,002",09/27/2018 12:00:00 AM,10/01/2018 07:30:38 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD007025,310,07,"27,400",1,0,864,10/29/2015 12:00:00 AM,10/01/2018 07:30:38 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009617,500,01,"765,000",1,0,"5,000",09/18/2018 12:00:00 AM,10/01/2018 07:30:38 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009562,500,01,"489,216",4,0,"3,328",09/04/2018 12:00:00 AM,10/01/2018 07:30:38 AM
CAPE BRETON REGIONAL MUNICIPALITY,B009599,500,03,"350,000",0,0,0,09/05/2018 12:00:00 AM,10/01/2018 07:30:38 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009626,999,03,"800,000",0,0,"4,920",09/20/2018 12:00:00 AM,10/01/2018 07:30:38 AM
CAPE BRETON REGIONAL MUNICIPALITY,B009663,999,03,"450,000",0,0,0,09/24/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2018-203,110,01,"200,000",1,0,0,09/19/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2018-237,110,03,"82,000",0,0,0,09/28/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2018-242,310,03,"135,000",0,0,0,09/27/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-B2018-164,100,01,"550,000",0,0,"3,636",08/31/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-C2018-168,100,01,"300,000",0,0,0,09/11/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-C2018-174,100,01,"450,000",0,0,"5,154",09/12/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-B2018-181,100,15,"50,000",0,0,0,09/24/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-C2018-145,500,01,"7,200,000",0,0,0,09/05/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF COLCHESTER,12885,300,01,"500,000",4,0,"4,992",08/30/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF COLCHESTER,12828,300,01,"500,000",4,0,"4,992",08/09/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF COLCHESTER,12871,999,01,"250,000",1,0,"1,900",08/22/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF COLCHESTER,12862,999,01,"300,000",1,0,"1,560",08/28/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF COLCHESTER,12836,999,01,"375,000",1,0,"1,200",08/07/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF COLCHESTER,12879,999,03,"2,800,000",0,0,"37,000",08/24/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-B2018-242,100,01,"287,000",0,0,"1,792",09/21/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-B2018-218,100,01,"150,000",0,0,0,09/06/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-B2018-226,100,01,"250,000",0,0,"1,500",09/07/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-C2018-145,100,01,"200,000",0,0,0,09/11/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-B2018-212,100,01,"250,000",0,0,"1,380",09/03/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-B2018-219,100,01,"389,000",0,0,"2,980",09/06/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-B2018-225,100,03,"156,000",0,0,0,09/06/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-B2018-245,100,03,"84,500",0,0,832,09/27/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-B2018-238,100,03,"50,000",0,0,0,09/18/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-C2018-178,100,15,"120,000",0,0,0,09/21/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2018-161,100,01,"100,000",0,0,0,09/14/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2018-172,100,01,"164,000",0,0,0,09/25/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2018-157,100,01,"210,000",0,0,"1,734",09/07/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2018-153,100,01,"200,000",0,0,"1,792",09/04/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2018-169,100,01,"230,000",0,0,0,09/25/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2018-165,100,03,"50,000",0,0,224,09/18/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2018-175,100,03,"70,000",0,0,0,09/27/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2018-160,100,15,"80,000",0,0,0,09/12/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,RI-B2018-136,100,01,"235,000",0,0,"1,400",09/17/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,RI-B2018-139,100,01,"175,000",0,0,"1,320",09/21/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,RI-C2018-141,100,01,"150,000",0,0,"1,152",09/26/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,RI-B2018-131,100,03,"475,000",0,0,0,09/12/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,RI-B2018-143,100,15,"50,000",0,0,0,09/25/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,RI-B2018-142,100,15,"57,000",0,0,0,09/25/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,RI-B2018-118,500,03,"420,000",0,0,0,09/10/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,VI-B2018-113,100,01,"55,000",0,0,0,09/05/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,VI-B2018-119,100,01,"150,000",0,0,0,09/20/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,VI-B2018-120,100,99,"113,000",0,0,0,09/20/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF BARRINGTON,6388,110,01,"500,000",0,0,"2,784",09/19/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF BARRINGTON,6386,110,03,"50,000",0,0,0,09/19/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF BARRINGTON,6396,410,03,"460,000",0,0,"10,400",09/25/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF BARRINGTON,6389,410,03,"300,000",0,0,"3,600",09/20/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF BARRINGTON,6385,500,01,"740,500",0,0,"3,552",09/18/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2018-183,100,01,"155,000",0,0,884,09/11/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2018-108,100,01,"300,000",0,0,"2,080",09/07/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2018-182,100,01,"400,000",0,0,"2,817.8",09/06/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,B2012-252,100,01,"140,000",0,0,0,11/26/2012 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,-85416,100,01,"168,500",0,0,"3,050",08/10/1998 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2018-180,100,03,"54,000",0,0,976,09/06/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,-43744,100,03,"94,600",0,0,"1,720",03/09/1994 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2018-147,100,03,"225,000",0,0,"1,368",09/13/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2018-168,100,03,"250,000",0,0,0,09/20/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,-33390,100,03,"52,800",0,0,960,05/05/1993 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2018-169,100,15,"95,000",0,0,"1,664",09/19/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF CLARE,C2018-177,100,01,"80,640",0,0,"1,008",09/26/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF CLARE,C2018-048,100,01,"425,000",0,0,"5,070",09/26/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF CLARE,C2018-178,100,03,"70,000",0,0,432,09/27/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF CLARE,C2018-163,500,01,"1,100,000",0,0,"7,801",09/06/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF DIGBY,DM-B2018-117,100,01,"304,000",0,0,"2,815",09/21/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF DIGBY,DM-B2018-108,100,03,"87,000",0,0,0,09/06/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF DIGBY,DM-B2018-113,100,03,"60,000",0,0,450,09/14/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF GUYSBOROUGH,C2018-086,100,01,"121,000",0,0,"1,152",09/10/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF GUYSBOROUGH,C2018-080,100,01,"200,000",0,0,"1,380",09/06/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF GUYSBOROUGH,C2018-085,100,03,"100,000",0,0,0,09/07/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF GUYSBOROUGH,C2018-096,100,03,"50,000",0,0,960,09/20/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF SHELBURNE,20180114,110,01,"233,000",1,0,"1,456",09/28/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF SHELBURNE,20180107,110,09,"16,000",1,0,"1,952",09/25/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF SHELBURNE,2018099,110,15,"90,000",0,0,"1,125",09/07/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF ST. MARY'S,C2018-088,100,01,"55,000",0,0,800,09/13/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF ST. MARY'S,C2018-084,100,01,"86,000",0,0,768,09/06/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF ST. MARY'S,C2018-097,100,03,"75,000",0,0,0,09/21/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2018-250,100,01,"105,000",0,0,"1,184",09/13/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2018-234,100,01,"140,000",0,0,"1,020",09/24/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,254-WH-94,100,01,"70,000",0,0,0,09/28/1994 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2018-118,100,01,"80,000",0,0,572,09/26/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2018-255,100,01,"127,000",0,0,"1,184",09/19/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2018-259,100,01,"127,000",0,0,"1,184",09/14/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2018-265,100,01,"225,000",0,0,"1,478",09/26/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2018-253,100,01,"127,000",0,0,"1,184",09/13/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2018-257,100,01,"112,000",0,0,"1,184",09/13/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2018-252,100,01,"70,000",0,0,504,09/19/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2018-263,100,01,"130,000",0,0,"1,033.5",09/26/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,B2018-239,100,03,"50,000",0,0,0,09/05/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2018-245,100,03,"95,000",0,0,0,09/10/2018 12:00:00 AM,10/01/2018 07:30:38 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,266-WH-94,400,03,"321,200",0,0,0,06/20/1994 12:00:00 AM,10/01/2018 07:30:38 AM
TOWN OF AMHERST,C2018-061,100,01,"100,000",0,0,106.58,09/10/2018 12:00:00 AM,10/01/2018 07:30:38 AM
TOWN OF AMHERST,C2018-060,100,01,"300,000",0,0,312.06,09/06/2018 12:00:00 AM,10/01/2018 07:30:38 AM
TOWN OF AMHERST,C2018-068,100,01,"100,000",0,0,110.04,09/26/2018 12:00:00 AM,10/01/2018 07:30:38 AM
TOWN OF AMHERST,D2018-059,100,03,"50,000",0,0,0,09/05/2018 12:00:00 AM,10/01/2018 07:30:38 AM
TOWN OF AMHERST,C2018-067,100,03,"420,000",0,0,0,09/25/2018 12:00:00 AM,10/01/2018 07:30:38 AM
TOWN OF ANTIGONISH,TA-B2018-041,100,01,"100,000",0,0,0,09/27/2018 12:00:00 AM,10/01/2018 07:30:38 AM
TOWN OF ANTIGONISH,TA-C2018-030,100,01,"200,000",0,0,0,09/27/2018 12:00:00 AM,10/01/2018 07:30:38 AM
TOWN OF ANTIGONISH,TA-B2018-031,100,03,"60,000",0,0,0,09/27/2018 12:00:00 AM,10/01/2018 07:30:38 AM
TOWN OF ANTIGONISH,TA-C2018-055,100,03,"125,000",0,0,0,09/27/2018 12:00:00 AM,10/01/2018 07:30:38 AM
TOWN OF ANTIGONISH,TA-B2018-034,100,03,"80,000",0,0,0,09/27/2018 12:00:00 AM,10/01/2018 07:30:38 AM
TOWN OF ANTIGONISH,TA-B2018-039,100,03,"50,000",0,0,0,09/27/2018 12:00:00 AM,10/01/2018 07:30:38 AM
TOWN OF ANTIGONISH,TA-C2018-006,500,03,"1,500,000",0,0,0,09/27/2018 12:00:00 AM,10/01/2018 07:30:38 AM
TOWN OF BRIDGEWATER,B2018-106,100,03,"220,000",0,0,0,09/24/2018 12:00:00 AM,10/01/2018 07:30:38 AM
TOWN OF CLARK'S HARBOUR,CH 559,310,03,"200,000",0,0,0,09/26/2018 12:00:00 AM,10/01/2018 07:30:38 AM
TOWN OF LOCKEPORT,20180100,110,03,"57,000",0,0,0,09/07/2018 12:00:00 AM,10/01/2018 07:30:38 AM
TOWN OF NEW GLASGOW,NG-C2018-048,100,01,"100,000",0,0,0,09/06/2018 12:00:00 AM,10/01/2018 07:30:38 AM
TOWN OF NEW GLASGOW,NG-C2018-049,100,03,"55,000",0,0,0,09/21/2018 12:00:00 AM,10/01/2018 07:30:38 AM
TOWN OF NEW GLASGOW,NG-B2018-047,500,03,"284,000",0,0,0,09/11/2018 12:00:00 AM,10/01/2018 07:30:38 AM
TOWN OF PICTOU,PI-C2018-019,500,01,"384,000",0,0,0,09/10/2018 12:00:00 AM,10/01/2018 07:30:38 AM
TOWN OF TRURO,C095-2018,100,01,"300,000",0,0,"4,494",09/17/2018 12:00:00 AM,10/01/2018 07:30:38 AM
TOWN OF TRURO,C213-2005,100,01,"2,000,000",0,0,0,03/17/2006 12:00:00 AM,10/01/2018 07:30:38 AM
TOWN OF TRURO,C093-2018,100,03,"250,000",0,0,"1,110",09/18/2018 12:00:00 AM,10/01/2018 07:30:38 AM
TOWN OF TRURO,C085-2018,100,03,"125,000",0,0,0,09/05/2018 12:00:00 AM,10/01/2018 07:30:38 AM
TOWN OF TRURO,C091-2018,500,99,"250,000",0,0,0,09/10/2018 12:00:00 AM,10/01/2018 07:30:38 AM
TOWN OF WOLFVILLE,DP-055-2018,210,01,"350,000",2,0,"1,860",09/04/2018 12:00:00 AM,10/01/2018 07:30:38 AM
TOWN OF YARMOUTH,C2018-122,100,01,"300,000",0,0,0,09/13/2018 12:00:00 AM,10/01/2018 07:30:38 AM
TOWN OF YARMOUTH,C2018-140,600,03,"400,000",0,0,0,09/26/2018 12:00:00 AM,10/01/2018 07:30:38 AM
CAPE BRETON REGIONAL MUNICIPALITY,B009546,100,03,"135,000",0,0,0,08/21/2018 12:00:00 AM,09/01/2018 07:31:21 AM
CAPE BRETON REGIONAL MUNICIPALITY,B009559,100,03,"110,000",0,0,0,08/23/2018 12:00:00 AM,09/01/2018 07:31:21 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009563,110,01,"208,080",1,0,"1,734",08/30/2018 12:00:00 AM,09/01/2018 07:31:21 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009538,110,01,"309,600",1,0,"2,580",08/20/2018 12:00:00 AM,09/01/2018 07:31:21 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009547,110,01,"327,360",1,0,"2,728",08/21/2018 12:00:00 AM,09/01/2018 07:31:21 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009494,110,01,"199,680",1,0,"1,664",07/31/2018 12:00:00 AM,09/01/2018 07:31:21 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009481,110,01,"324,000",1,0,"2,700",07/31/2018 12:00:00 AM,09/01/2018 07:31:21 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009497,110,01,"480,000",1,0,"4,000",08/02/2018 12:00:00 AM,09/01/2018 07:31:21 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009550,110,01,"218,880",1,0,"1,824",08/17/2018 12:00:00 AM,09/01/2018 07:31:21 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009486,110,01,"97,920",1,0,816,08/02/2018 12:00:00 AM,09/01/2018 07:31:21 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009483,310,01,"185,040",2,0,"1,542",07/31/2018 12:00:00 AM,09/01/2018 07:31:21 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009556,310,01,"278,640",2,0,"2,322",08/28/2018 12:00:00 AM,09/01/2018 07:31:21 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009545,310,01,"399,360",2,0,"3,328",08/17/2018 12:00:00 AM,09/01/2018 07:31:21 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009555,310,01,"278,640",2,0,"2,322",08/17/2018 12:00:00 AM,09/01/2018 07:31:21 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009513,310,01,"373,920",2,0,"3,116",08/16/2018 12:00:00 AM,09/01/2018 07:31:21 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009503,310,01,"569,160",2,0,"4,743",08/09/2018 12:00:00 AM,09/01/2018 07:31:21 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009149,999,10,"72,000",2,0,"2,400",08/21/2018 12:00:00 AM,09/01/2018 07:31:21 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2018-214,110,01,"175,000",0,0,0,08/27/2018 12:00:00 AM,09/01/2018 07:31:21 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2018-195,110,01,"155,000",1,0,0,08/02/2018 12:00:00 AM,09/01/2018 07:31:21 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2018-192,110,01,500,1,0,"2,604",08/14/2018 12:00:00 AM,09/01/2018 07:31:21 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2018-194,110,03,"286,716",0,0,0,08/10/2018 12:00:00 AM,09/01/2018 07:31:21 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2018-193,130,01,"100,000",1,0,0,08/03/2018 12:00:00 AM,09/01/2018 07:31:21 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2018-215,450,15,"50,000",0,0,840,08/27/2018 12:00:00 AM,09/01/2018 07:31:21 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2018-207,532,01,"24,000",1,0,0,08/17/2018 12:00:00 AM,09/01/2018 07:31:21 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-C2018-136,100,01,"247,000",0,0,"2,520",08/08/2018 12:00:00 AM,09/01/2018 07:31:21 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-C2018-142,100,01,"150,000",0,0,"1,920",08/01/2018 12:00:00 AM,09/01/2018 07:31:21 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-C2018-147,100,01,"300,000",0,0,"2,224",08/09/2018 12:00:00 AM,09/01/2018 07:31:21 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-B2018-149,100,01,"300,000",0,0,"2,301",08/09/2018 12:00:00 AM,09/01/2018 07:31:21 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-B2018-164,100,01,"550,000",0,0,"3,636",08/31/2018 12:00:00 AM,09/01/2018 07:31:21 AM
