facility_name,facility_type,health_authority,alternative_name,number_beds,address_str,street_no,street_name,street_addr,city,postal_code,provider,latitude,longitude,phone,email,website,geo_source
LOBLAW PHARMACY #1577,TYPE 4,,,,,,,5858 SIGNAL HILL CTR SW,CALGARY,,Calgary,51.021338001519,-114.167885101471,403-686-8035,,https://www.realcanadiansuperstore.ca/covid19,Source
SAFEWAY PHARMACY #8859,TYPE 4,,,,,,,300-2 HEBERT RD,ST ALBERT,,Calgary,53.622632062396,-113.605987373122,780-460-9339,,https://www.safeway.ca/vaccine-registration/,Source
SHOPPERS DRUG MART #2409,TYPE 4,,,,,,,4718 50 ST,STETTLER,,Calgary,52.322626671294,-112.705449544004,403-742-3367,,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Source
SAFEWAY PHARMACY #8867,TYPE 4,,,,,,,11410 104 AVE NW,EDMONTON,,Calgary,53.547540348325,-113.517931409356,780-424-0666,,https://www.safeway.ca/vaccine-registration/,Source
SHOPPERS DRUG MART #2391,TYPE 4,,,,,,,8756 COUNTRY HILLS BLVD NW,CALGARY,,Calgary,51.14996696065,-114.211752386366,403-208-4742,,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Source
STOKES PHARMACY,TYPE 4,,,,,,,408 4 AVE S,LETHBRIDGE,,Calgary,49.694448981461,-112.840349830581,403-380-3535,,https://stokes.medmeapp.com/schedule,Source
SHOPPERS DRUG MART #2315,TYPE 4,,,,,,,102-11962 104 AVE NW,EDMONTON,,Calgary,53.547713220835,-113.526386728946,780-670-6922,,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Source
WABAMUN PHARMACY LTD,TYPE 4,,,,,,,5120 51 AVE,WABAMUN,,Calgary,53.558021932759,-114.471947915133,780-892-2418,,http://bookyourvisit.ca/wabamunpharmacy,Source
COSTCO PHARMACY #1157,TYPE 4,,,,,,,1075 ST. ALBERT TR,ST ALBERT,,Calgary,53.66952362928,-113.637106316795,780-544-2010,,https://www.costcopharmacy.ca/appointment,Source
MINT HEALTH + DRUGS: BEAVERLODGE,TYPE 4,,,,,,,112 10 ST,BEAVERLODGE,,Calgary,55.209938613739,-119.428636888788,780-354-2148,,https://www.mintdrugs.com,Source
VISTA PHARMACY & TRAVEL CLINIC,TYPE 4,,,,,,,130A-920 36 ST NE,CALGARY,,Calgary,51.060325327843,-113.980997815203,403-460-3226,,https://www.vistapharmacy.ca,Source
SHOPPERS DRUG MART #2355,TYPE 4,,,,,,,28 CROWFOOT TERR NW,CALGARY,,Calgary,51.124597518115,-114.203581373184,403-241-8818,,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Source
SHOPPERS DRUG MART #355,TYPE 4,,,,,,,1790-1632 14 AVE NW,CALGARY,,Calgary,51.066323019841,-114.101623544038,403-289-6761,,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Source
SOUTH TRAIL PHARMACY,TYPE 4,,,,,,,78-4307 130 AVE SE,CALGARY,,Calgary,50.930592543138,-113.973071715207,403-475-8612,,,Source
SAFEWAY PHARMACY #8921,TYPE 4,,,,,,,2304 109 ST NW,EDMONTON,,Calgary,53.454859528311,-113.509044796415,780-430-4269,,https://www.safeway.ca/vaccine-registration/,Source
SHOPPERS DRUG MART #2300,TYPE 4,,,,,,,100-665 ST. ALBERT RD,ST ALBERT,,Calgary,53.656560367264,-113.628872713051,780-418-7891,,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Source
BENTLEY IDA,TYPE 4,,,,,,,5018 50 AVE,BENTLEY,,Calgary,52.465503390734,-114.051217814791,403-748-3820,,,Source
MEDICINE SHOPPE PHARMACY 315,TYPE 4,,,,,,,6525 118 AVE NW,EDMONTON,,Calgary,53.570224362248,-113.442575544104,780-479-2077,,https://www.medicineshoppe.ca/en/alberta/edmonton/the-medicine-shoppe-pharmacy-315-7008312,Source
PHARMASAVE #346,TYPE 4,,,,,,,1D-3808 HIGHWAY ST,VALLEYVIEW,,Calgary,55.051271820899,-117.28229883297,780-524-2183,,,Source
LOBLAW PHARMACY #1544,TYPE 4,,,,,,,12225 99 ST,GRANDE PRAIRIE,,Calgary,55.191090814693,-118.790751001368,780-831-3835,,https://www.realcanadiansuperstore.ca/covid19,Source
REXALL #7238,TYPE 4,,,,,,,14403 MILLER BLVD NW,EDMONTON,,Calgary,53.607601661775,-113.41318958104,780-475-1364,,https://www.rexall.ca/covid-19/alberta-vaccine,Source
HEALTH AID PHARMACY,TYPE 4,,,,,,,12918 167 AVE NW,EDMONTON,,Calgary,53.629420312247,-113.546775357091,780-244-0803,,,Source
LIFE MED PHARMACY #2,TYPE 4,,,,,,,218 CENTER ST,VULCAN,,Calgary,50.558328417107,-113.252436212712,403-485-2552,,,Source
SHOPPERS DRUG MART #313,TYPE 4,,,,,,,254 MEADOWLARK HEALTH CTR,EDMONTON,,Calgary,53.520817361035,-113.593380855333,780-484-7718,,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Source
PREFERREDRX PHARMACY,TYPE 4,,,,,,,1-4601 50 AVE,OLDS,,Calgary,51.794792913321,-114.103074763372,403-556-4155,,,Source
CRANSTON SMART DRUG MART,TYPE 4,,,,,,,121-35 CRANFORD WAY SE,CALGARY,,Calgary,50.868685154015,-113.968423430173,587-623-1120,,https://www.cranstonpharmacy.com/,Source
SAFEWAY PHARMACY #8885,TYPE 4,,,,,,,4202 SOUTH PARK DR,STONY PLAIN,,Calgary,53.540034488831,-113.978855508057,780-963-2264,,https://www.safeway.ca/vaccine-registration/,Source
MEDICINE SHOPPE PHARMACY 194,TYPE 4,,,,,,,2303 4 ST SW,CALGARY,,Calgary,51.032319928796,-114.071898515204,403-229-3458,,https://www.medicineshoppe.ca/en/alberta/calgary/the-medicine-shoppe-pharmacy-194-7002313,Source
SHOPPERS DRUG MART #2377,TYPE 4,,,,,,,5970 MULLEN WAY NW,EDMONTON,,Calgary,53.435382141777,-113.571336872807,780-435-1782,,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Source
HIGH RIVER PHARMACY,TYPE 4,,,,,,,103 3 AVE SW,HIGH RIVER,,Calgary,50.580076597271,-113.872585243671,403-652-5608,,,Source
WELLNESS DISPENSARY,TYPE 4,,,,,,,26-10081 166 ST,EDMONTON,,Calgary,53.540580414721,-113.6071682029,780-930-1344,,,Source
FAMILY CARE PHARMACY,TYPE 4,,,,,,,218-40 COUNTRY HILLS LANDNG NW,CALGARY,,Calgary,51.142655397504,-114.070377848381,587-352-2600,,,Source
ROYAL CARE DOUGLASDALE PHARMACY,TYPE 4,,,,,,,6-20 DOUGLAS WOODS DR SE,CALGARY,,Calgary,50.943565580442,-114.001993305721,587-349-3443,,,Source
SHOPPERS DRUG MART #2374,TYPE 4,,,,,,,15969 97 ST NW,EDMONTON,,Calgary,53.620604797262,-113.489793116978,780-473-2813,,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Source
UNIVERSAL PHARMACY,TYPE 4,,,,,,,113-5271 MEMORIAL DR SE,CALGARY,,Calgary,51.053089927705,-113.956259288215,403-235-0081,,,Source
SAVE-ON-FOODS PHARMACY #6623,TYPE 4,,,,,,,400-100 SOUTHBANK BLVD,OKOTOKS,,Calgary,50.707267517822,-113.948297949905,587-757-8972,,https://saveonfoodspharmacy.medmeapp.com/schedule/,Source
PATIENT CARE PHARMACY,TYPE 4,,,,,,,7707 85 ST NW,EDMONTON,,Calgary,53.514193828326,-113.457397886618,780-705-8100,,http://www.patientcarepharmacyedmonton.com,Source
SHOPPERS DRUG MART #2446,TYPE 4,,,,,,,5351 167 AVE NW,EDMONTON,,Calgary,53.628464515561,-113.417055186296,780-478-7261,,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Source
WAL-MART PHARMACY #3150,TYPE 4,,,,,,,2051 STRACHAN RD SE,MEDICINE HAT,,Calgary,49.993622633278,-110.643157546774,403-526-1444,,https://portal.healthmyself.net/walmartab/forms/a66,Source
6&6 PHARMACY,TYPE 4,,,,,,,526 6 ST S,LETHBRIDGE,,Calgary,49.691893888654,-112.838512372302,403-942-0044,,,Source
SAVE-ON-FOODS PHARMACY #6607,TYPE 4,,,,,,,6406 FRANKLIN AVE,FORT MCMURRAY,,Calgary,56.718010604955,-111.355401108724,780-791-4147,,https://www.saveonfoods.com,Source
VIKING PHARMACY,TYPE 4,,,,,,,5305 51 ST,VIKING,,Calgary,53.096763722236,-111.778498828641,780-336-3380,,,Source
WAL-MART PHARMACY #3038,TYPE 4,,,,,,,PARKS WEST MALL,HINTON,,Calgary,53.383714957822,-117.625204819155,780-865-1575,,https://portal.healthmyself.net/walmartab/forms/a66,Source
PHARMASAVE WESTMOUNT,TYPE 4,,,,,,,10844 124 ST NW,EDMONTON,,Calgary,53.554001694589,-113.535750747987,780-249-9901,,https://www.pharmasave.com/edmonton-westmount,Source
MEDICINE SHOPPE PHARMACY 126,TYPE 4,,,,,,,12-5440 4 ST NW,CALGARY,,Calgary,51.099479247408,-114.070351644766,403-274-3400,,https://www.medicineshoppe.ca/en/alberta/calgary/the-medicine-shoppe-pharmacy-126-7011287,Source
WAL-MART PHARMACY #1028,TYPE 4,,,,,,,1801 SOUTH RAILWAY AVE,DRUMHELLER,,Calgary,51.450079003235,-112.688272730533,403-820-7741,,https://portal.healthmyself.net/walmartab/forms/a66,Source
MEDICINE SHOPPE PHARMACY 393,TYPE 4,,,,,,,10714 142 ST NW,EDMONTON,,Calgary,53.551807768232,-113.567136459446,587-520-2061,,https://www.medicineshoppe.ca/en/alberta/edmonton/the-medicine-shoppe-pharmacy-393-7051291,Source
REXALL #7284,TYPE 4,,,,,,,116-817 19 ST NE,CALGARY,,Calgary,51.058578661945,-114.014558265905,403-277-2227,,https://www.rexall.ca/covid-19/alberta-vaccine,Source
MADIGAN PHARMACY,TYPE 4,,,,,,,68-6060 MEMORIAL DR NE,CALGARY,,Calgary,51.052997769984,-113.942733701868,403-457-9250,,https://madiganpharmacy.myappts.ca/src/,Source
BOYLE MCCAULEY PHARMACY & HOME HEALTH CARE,TYPE 4,,,,,,,10817 95 ST NW,EDMONTON,,Calgary,53.555242548971,-113.484050658945,780-705-6333,,,Source
PHARMASAVE #312 LEGAL,TYPE 4,,,,,,,4718 50 AVE,LEGAL,,Calgary,53.949391258619,-113.591093249826,780-961-2285,,,Source
CURE CARE PHARMACY,TYPE 4,,,,,,,11-9104 179 AVE NW,EDMONTON,,Calgary,53.641648790715,-113.478443958943,587-459-4999,,https://forms.gle/Pof2d7Jv6J2R5ihU7,Source
REXALL #7516,TYPE 4,,,,,,,118 10 ST,WAINWRIGHT,,Calgary,52.833469766191,-110.861694650433,780-842-3414,,https://www.rexall.ca/covid-19/alberta-vaccine,Source
WAL-MART PHARMACY #1145,TYPE 4,,,,,,,SOUTHPARK VILLAGE,EDMONTON,,Calgary,53.475531972663,-113.494016859633,780-433-2575,,https://portal.healthmyself.net/walmartab/forms/a66,Source
SAFEWAY PHARMACY #8830,TYPE 4,,,,,,,TOWER LANE MALL,AIRDRIE,,Calgary,51.288835429289,-114.014075132641,403-948-3361,,https://www.safeway.ca/vaccine-registration/,Source
SHOPPERS DRUG MART #2413,TYPE 4,,,,,,,100-2250 162 AVE SW,CALGARY,,Calgary,50.908122845509,-114.109649186372,403-201-8202,,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Source
VILLAGE PHARMACY,TYPE 4,,,,,,,9805 71 ST NW,EDMONTON,,Calgary,53.537869757758,-113.436568628628,780-440-4555,,,Source
LOBLAW PHARMACY #1550,TYPE 4,,,,,,,PHARMACY DEPARTMENT #1550,MEDICINE HAT,,Calgary,50.004219390544,-110.652351714988,403-528-5735,,https://www.realcanadiansuperstore.ca/covid19,Source
SAGE MEADOWS PHARMACY,TYPE 4,,,,,,,240-2971 136 AVE NW,CALGARY,,Calgary,51.175381358895,-114.13147587688,587-997-0093,,,Source
FOREST HILLS PHARMASAVE #323,TYPE 4,,,,,,,3-5315 17 AVE SE,CALGARY,,Calgary,51.037606007783,-113.957989701333,587-354-7766,,,Source
REXALL #7285,TYPE 4,,,,,,,70 HIGH ST SE,CALGARY,,Calgary,50.914685860347,-113.960550188755,403-257-3636,,https://www.rexall.ca/covid-19/alberta-vaccine,Source
PARSONS PHARMACY,TYPE 4,,,,,,,1C-4755 49 ST,RED DEER,,Calgary,52.267626263762,-113.807208554116,403-986-0700,,,Source
DOWNTOWN DRUGMART,TYPE 4,,,,,,,115 8 AVE SW,CALGARY,,Calgary,51.045618229705,-114.06392619948,403-266-2059,,https://www.downtowndrugmart.myappts.ca/ssc,Source
DELTON SUPER DRUGS LTD.,TYPE 4,,,,,,,12904 82 ST NW,EDMONTON,,Calgary,53.587695774065,-113.467729257092,780-476-8737,,,Source
LOBLAW PHARMACY #1565,TYPE 4,,,,,,,10-110 JENNIFER HEIL WAY,SPRUCE GROVE,,Calgary,53.544182057914,-113.933468428396,780-960-7435,,https://www.realcanadiansuperstore.ca/covid19,Source
STUBBS PHARMACY,TYPE 4,,,,,,,1506 9 AVE S,LETHBRIDGE,,Calgary,49.686494769183,-112.820456544076,403-328-5512,,,Source
PONOKA PROFESSIONAL PHARMACY,TYPE 4,,,,,,,20-5011 48 AVE,PONOKA,,Calgary,52.674389503479,-113.578526968897,403-783-7333,,https://www.calendly.com/ponoka,Source
TWO PHARMACY,TYPE 4,,,,,,,105-100 GRANDE BLVD W,COCHRANE,,Calgary,51.185761249079,-114.47443117287,,,https://www.twopharmacy.ca,Source
WAL-MART PHARMACY #3009,TYPE 4,,,,,,,WESTBROOK PLAZA,CALGARY,,Calgary,51.041099035352,-114.139620292226,403-249-8904,,https://portal.healthmyself.net/walmartab/forms/a66,Source
NORTHEY REMEDY'S RX PHARMACY,TYPE 4,,,,,,,190 NORTHEY AVE,RED DEER,,Calgary,52.302009454176,-113.82650523051,403-346-2367,,https://northeyremedysrx.medmeapp.ca/schedule,Source
SAFEWAY PHARMACY #8917,TYPE 4,,,,,,,610 BIG ROCK LANE,OKOTOKS,,Calgary,50.717055839065,-113.979188457851,403-938-9351,,https://www.safeway.ca/vaccine-registration/,Source
MEDICARE PLUS PHARMACY,TYPE 4,,,,,,,7-6208 RUNDLEHORN DR NE,CALGARY,,Calgary,51.071693071955,-113.942411464941,403-453-6386,,,Source
SHOPPERS DRUG MART #2358,TYPE 4,,,,,,,6302 50 ST,BEAUMONT,,Calgary,53.363733243348,-113.415604136347,780-929-4231,,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Source
SAFEWAY PHARMACY #8820,TYPE 4,,,,,,,524 ELBOW DR SW,CALGARY,,Calgary,51.030444181173,-114.072177932706,403-228-4240,,https://www.safeway.ca/vaccine-registration/,Source
SHOPPERS DRUG MART 2432,TYPE 4,,,,,,,383 HERITAGE DR SE,CALGARY,,Calgary,50.97964983904,-114.060964775541,403-255-4998,,https://www.shoppersdrugmart.ca/covid19,Source
SAFEWAY PHARMACY #8909,TYPE 4,,,,,,,850 SADDLETOWNE CIR NE,CALGARY,,Calgary,51.123753987442,-113.944702102019,403-293-1670,,https://www.safeway.ca/vaccine-registration/,Source
SHOPPERS DRUG MART #371,TYPE 4,,,,,,,3945 34 ST NW,EDMONTON,,Calgary,53.474930461125,-113.392394433816,780-461-6768,,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Source
MINT HEALTH + DRUGS: TRI WELLNESS,TYPE 4,,,,,,,104-7 TRI LEISURE WAY,SPRUCE GROVE,,Calgary,53.549860205025,-113.936755557231,587-853-0453,,,Source
SALVUS RXELLENCE PROFESSIONAL DISPENSARY,TYPE 4,,,,,,,44-143 LIBERTON DR,ST ALBERT,,Calgary,53.652367350306,-113.63014957682,780-418-3113,,,Source
SHOPPERS DRUG MART #2427,TYPE 4,,,,,,,5-1020 SHERWOOD DR,SHERWOOD PARK,,Calgary,53.513157513125,-113.31844400164,780-449-2565,,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Source
SAVE-ON-FOODS PHARMACY #6622,TYPE 4,,,,,,,1120 91 ST SW,EDMONTON,,Calgary,53.422944260436,-113.475318286621,780-462-7741,,https://saveonfoodspharmacy.medmeapp.com/schedule/,Source
MEDICINE SHOPPE PHARMACY 171,TYPE 4,,,,,,,100-2675 36 ST NE,CALGARY,,Calgary,51.077488052841,-113.982586915932,403-291-0076,,https://www.medicineshoppe.ca/en/alberta/calgary/the-medicine-shoppe-pharmacy-171-7015167,Source
SHOPPERS DRUG MART #2431 COOPERS CROSSING,TYPE 4,,,,,,,801-401 COOPERS BLVD SW,AIRDRIE,,Calgary,51.258392466866,-114.023099959984,403-912-0246,,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Source
SHOPPERS DRUG MART #6027,TYPE 4,,,,,,,18750 18 ST NW,EDMONTON,,Calgary,53.649411123969,-113.376164824379,587-497-2783,,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Source
SAFEWAY PHARMACY #8849,TYPE 4,,,,,,,8120 BEDDINGTON BLVD NW,CALGARY,,Calgary,51.127322313137,-114.073495728455,403-295-8895,,https://www.safeway.ca/vaccine-registration/,Source
BEVERLY PHARMACY,TYPE 4,,,,,,,4243 118 AVE NW,EDMONTON,,Calgary,53.570267588486,-113.407892672437,780-756-7711,,,Source
BEARSPAW FAMILY PHARMACY,TYPE 4,,,,,,,1929 105 ST NW,EDMONTON,,Calgary,53.448456601846,-113.50026762826,780-485-8195,,https://bearspawpharmacy.medmeapp.ca/schedule,Source
REXALL #7203,TYPE 4,,,,,,,4702 51 ST,WHITECOURT,,Calgary,54.138214267373,-115.687241171171,780-778-3676,,https://www.rexall.ca/covid-19/alberta-vaccine,Source
ABBEYDALE PHARMACY & TRAVEL CLINIC,TYPE 4,,,,,,,814 68 ST NE,CALGARY,,Calgary,51.059239516412,-113.934326086346,587-470-8000,,https://www.travelcliniccalgary.ca,Source
WAL-MART PHARMACY #1122,TYPE 4,,,,,,,16940 127 ST NW,EDMONTON,,Calgary,53.631921065479,-113.542750055931,780-457-6795,,https://portal.healthmyself.net/walmartab/forms/a66,Source
LOBLAW PHARMACY #1548,TYPE 4,,,,,,,PHARMACY DEPARTMENT,FORT MCMURRAY,,Calgary,56.723337562436,-111.376212843657,780-790-3835,,https://www.realcanadiansuperstore.ca/covid19,Source
SAFEWAY PHARMACY #8914,TYPE 4,,,,,,,304 5 AVE W,COCHRANE,,Calgary,51.185351577582,-114.475572830853,403-851-1279,,https://www.safeway.ca/vaccine-registration/,Source
ALI'S DRUG MART,TYPE 4,,,,,,,214-11 WESTWIND DR,SPRUCE GROVE,,Calgary,53.565438646333,-113.883285185929,587-461-7308,,https://www.alidrugmart.com,Source
UNIVERSAL HEALTH PHARMACY #8 CASTLERIDGE,TYPE 4,,,,,,,4-12 CASTLERIDGE DR NE,CALGARY,,Calgary,51.107538912752,-113.949942272872,403-262-6391,,https://www.universalhealthcentre.com,Source
MEDICINE SHOPPE PHARMACY 242,TYPE 4,,,,,,,111-31 SUNPARK PLAZA SE,CALGARY,,Calgary,50.90263168346,-114.058702815368,403-873-0087,,https://www.medicineshoppe.ca/en/alberta/calgary/the-medicine-shoppe-pharmacy-242-7024603,Source
REXALL #7241,TYPE 4,,,,,,,4801 50 AVE,STONY PLAIN,,Calgary,53.530270566267,-114.002955856513,780-963-5005,,https://www.rexall.ca/covid-19/alberta-vaccine,Source
FAMILY CARE MEDICAL PHARMACY,TYPE 4,,,,,,,101-11611 107 AVE NW,EDMONTON,,Calgary,53.551343460716,-113.521838730109,780-250-3991,,,Source
STAMPEDE PHARMACY,TYPE 4,,,,,,,19-3616 52 AVE NW,CALGARY,,Calgary,51.10148999334,-114.139992995081,403-460-4646,,,Source
WAL-MART PHARMACY #1070,TYPE 4,,,,,,,1100 TABLE MOUNTAIN,PINCHER CREEK,,Calgary,49.499537129879,-113.943740463977,403-627-1730,,https://portal.healthmyself.net/walmartab/forms/a66,Source
MEDICINE SHOPPE PHARMACY 412,TYPE 4,,,,,,,9216 ELLERSLIE RD SW,EDMONTON,,Calgary,53.4260766413,-113.475379340417,780-250-9454,,https://msp412.medmeapp.com/schedule/,Source
GAIL'S APOTHECARY AND COMPOUNDING PHARMACY,TYPE 4,,,,,,,2-425 13 ST N,LETHBRIDGE,,Calgary,49.705165428022,-112.823253786019,403-329-4121,,,Source
ELITE PHARMACY,TYPE 4,,,,,,,110-6108 BOWNESS RD NW,CALGARY,,Calgary,51.083812492269,-114.173720859004,403-457-7221,,,Source
PHARMACY ONE,TYPE 4,,,,,,,10003 106 AVE NW,EDMONTON,,Calgary,53.549917010585,-113.491834167027,587-525-8545,,,Source
GRACE I.D.A. PHARMACY,TYPE 4,,,,,,,14723 40 AVE NW,EDMONTON,,Calgary,53.476315576686,-113.576291188515,780-652-2144,,www.graceidapharmacy.com,Source
DRUG & BEAN (MISSION),TYPE 4,,,,,,,120-2210 2 ST SW,CALGARY,,Calgary,51.034024677101,-114.06760937693,587-356-3786,,,Source
PHARMASAVE #302,TYPE 4,,,,,,,58 8 ST NW,MEDICINE HAT,,Calgary,50.050144984592,-110.6876543928,403-527-5332,,https://pharmaconnect.ca/appointment/3ab2e46d-9350-4d89-a3d3-03c65a86207f,Source
BEHEALTHY PHARMACY,TYPE 4,,,,,,,10120 149 ST NW,EDMONTON,,Calgary,53.542552154825,-113.578564923351,780-444-3381,,,Source
BASSANO PHARMACY,TYPE 4,,,,,,,401 2 AVE,BASSANO,,Calgary,50.78740408341,-112.468866576732,403-641-3757,,,Source
WAL-MART PHARMACY #1138,TYPE 4,,,,,,,775 TAMARACK WAY NW,EDMONTON,,Calgary,53.47928745684,-113.36217352525,780-643-3013,,https://portal.healthmyself.net/walmartab/forms/a66,Source
FRONTLINE PHARMACY,TYPE 4,,,,,,,627 CAMERON HEIGHTS DR NW,EDMONTON,,Calgary,53.470348900928,-113.631249801275,780-444-4884,,https://frontlinepharmacy.medmeapp.ca/schedule/,Source
VISTA PARK PHARMACY,TYPE 4,,,,,,,102B-450 VISTA DR SE,MEDICINE HAT,,Calgary,49.993089616197,-110.680224915232,403-487-4688,,,Source
MEDICINE SHOPPE PHARMACY 115,TYPE 4,,,,,,,15819 87 AVE NW,EDMONTON,,Calgary,53.519184368123,-113.595552390699,780-486-1882,,https://msmeadowlark.medmeapp.com/schedule,Source
CALGARY DRUG MART #02,TYPE 4,,,,,,,2-4100 MARLBOROUGH DR NE,CALGARY,,Calgary,51.059840571749,-113.974825911382,587-354-4466,,,Source
CHESTERMERE REMEDY'S RX,TYPE 4,,,,,,,106B-300 MERGANSER DR,CHESTERMERE,,Calgary,51.037794971112,-113.840119257358,403-719-8270,,,Source
REXALL #7206,TYPE 4,,,,,,,4705 50 AVE,VALLEYVIEW,,Calgary,55.06900411261,-117.275338446099,780-524-3593,,https://www.rexall.ca/covid-19/alberta-vaccine,Source
REXALL #7218,TYPE 4,,,,,,,233 MAIN ST NE,SLAVE LAKE,,Calgary,55.283353271966,-114.771263177237,780-849-4005,,https://www.rexall.ca/covid-19/alberta-vaccine,Source
SOUTHPORT PHARMACY,TYPE 4,,,,,,,106-10333 SOUTHPORT RD SW,CALGARY,,Calgary,50.963144296266,-114.072901486371,403-253-7753,,,Source
STRATHMORE VALUE DRUG MART,TYPE 4,,,,,,,132 2 AVE,STRATHMORE,,Calgary,51.043561344888,-113.395813628698,403-934-3122,,,Source
LOBLAW PHARMACY #1590,TYPE 4,,,,,,,240-540 3 ST SE,CALGARY,,Calgary,51.04773744797,-114.05425236339,825-513-9506,,https://www.realcanadiansuperstore.ca/covid19,Source
HAWKSTONE HOME HEALTH CARE PHARMACY,TYPE 4,,,,,,,100-18332 LESSARD RD,EDMONTON,,Calgary,53.486446810497,-113.642326301275,780-433-3413,,https://www.hawkstonepharmacy.com,Source
CHINATOWN IPHARMACY,TYPE 4,,,,,,,9662 107A AVE NW,EDMONTON,,Calgary,53.553225049999,-113.489639830292,780-756-4000,,,Source
HUDSON PHARMACY,TYPE 4,,,,,,,14072 127 ST NW,EDMONTON,,Calgary,53.603458503677,-113.54228201024,780-466-2624,,,Source
SHOPPERS SIMPLY PHARMACY #3084,TYPE 4,,,,,,,6603 132 AVE NW,EDMONTON,,Calgary,53.592309203677,-113.443838167973,780-475-3331,,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Source
NORWOOD PHARMACY,TYPE 4,,,,,,,11051 95 ST,EDMONTON,,Calgary,53.559668499601,-113.486273015133,780-669-9227,,,Source
LOBLAW PHARMACY #1570,TYPE 4,,,,,,,4821 CALGARY TR NW,EDMONTON,,Calgary,53.486152389291,-113.493423901411,780-438-0196,,https://www.realcanadiansuperstore.ca/covid19,Source
PHARMASAVE 337,TYPE 4,,,,,,,557 MAIN AVE W,SUNDRE,,Calgary,51.79580366807,-114.646065407179,403-638-4944,,https://pharmaconnect.ca/appointment/7aef6ccb-2775-4f86-aa53-d2a5f49ceccc,Source
CALLINGWOOD PHARMACY,TYPE 4,,,,,,,6911 172 ST NW,EDMONTON,,Calgary,53.505258351656,-113.619290550184,780-481-5886,,,Source
BRIDLEWOOD PHARMACY,TYPE 4,,,,,,,95-2525 BRIDLECREST WAY SW,CALGARY,,Calgary,50.901377935274,-114.117701303188,403-258-1356,,,Source
UNIVERSAL HEALTH PHARMACY #9 NORTHLAND,TYPE 4,,,,,,,108B-3604 52 AVE NW,CALGARY,,Calgary,51.101133197054,-114.135267630543,587-353-5253,,https://www.universalhealthcentre.com,Source
WAL-MART PHARMACY #3027,TYPE 4,,,,,,,18521 STONY PLAIN RD NW,EDMONTON,,Calgary,53.538855474256,-113.643590357782,780-484-4468,,https://portal.healthmyself.net/walmartab/forms/a66,Source
REXALL #7273,TYPE 4,,,,,,,105-73 7 ST SE,MEDICINE HAT,,Calgary,50.032077917777,-110.68503354135,403-527-8842,,https://www.rexall.ca/covid-19/alberta-vaccine,Source
MEDICINE SHOPPE PHARMACY 345,TYPE 4,,,,,,,14020 127 ST NW,EDMONTON,,Calgary,53.603117121584,-113.542027815268,780-472-9929,,https://www.medicineshoppe.ca/en/alberta/edmonton/the-medicine-shoppe-pharmacy-345-7002753,Source
NOBLEFORD PHARMACY AND COMPOUNDING,TYPE 4,,,,,,,221 KING ST,NOBLEFORD,,Calgary,49.882423449782,-113.054108257565,403-824-4335,,https://noblefordpharmacyandcompounding.myappts.ca/src/,Source
J L PHARMACARE PHARMACY,TYPE 4,,,,,,,4627 118 AVE NW,EDMONTON,,Calgary,53.570384023886,-113.413869550719,780-479-0047,,,Source
PHARMACY PLUS,TYPE 4,,,,,,,5066 68 ST NE,CALGARY,,Calgary,51.098704892274,-113.934102076882,403-568-0005,,,Source
EVANSDALE PHARMACY,TYPE 4,,,,,,,8216 144 AVE NW,EDMONTON,,Calgary,53.607388582265,-113.4684246436,780-478-7713,,,Source
REXALL #7256,TYPE 4,,,,,,,177 PEMBINA AVE,HINTON,,Calgary,53.398716939792,-117.588624843693,780-865-2880,,https://www.rexall.ca/covid-19/alberta-vaccine,Source
MARKET MALL PHARMACY & COMPOUNDING,TYPE 4,,,,,,,100-4935 40 AVE NW,CALGARY,,Calgary,51.087926291657,-114.157780059537,403-286-3120,,https://www.marketmallpharmacy.com,Source
