idx,facility_name,facility_type,health_authority,alternative_name,number_beds,longitude,latitude,street_addr,city,province,postal_code,phone,provider
223,The Ridge Meadows Association For Community Living,Residential Care,Fraser Health,Arborwynd,,-122.4709799,49.2051507,27136 112th Ave,Maple Ridge,BC,V2W 1P8,(604)462-0968,Province of British Columbia
224,Sources Community Resources Society,Residential Care,Fraser Health,Archway House,,-122.7568634,49.1102944,5933 168th St,Surrey,BC,V3S 3X5,(604)576-2455,Province of British Columbia
225,Argyll Lodge Ltd,Residential Care,Fraser Health,Argyll Lodge,,-122.8178181,49.1958776,14590 106A Ave,Surrey,BC,V3R 1T4,(604)581-4174,Province of British Columbia
226,Communitas Supportive Care Society,Residential Care,Fraser Health,Ashley Home,,-122.3133731,49.0426844,32885 Ashley Way,Abbotsford,BC,V2S 5W3,(604)853-8429,Province of British Columbia
227,Milieu Family Services Inc.,Residential Care,Fraser Health,Aster House,,-122.789732,49.0372219,15625 Aster Rd,Surrey,BC,V4A 1Y4,(604)538-0439,Province of British Columbia
228,Augustine House Society,Residential Care,Fraser Health,Augustine House,13,-123.0769909,49.0730448,3820 Arthur Dr,Delta,BC,V4K 5E6,(604)940-6005,Province of British Columbia
229,Community Living Society,Residential Care,Fraser Health,Ayling,,-122.738152,49.2840615,4024 Ayling St,Port Coquitlam,BC,V3B 5W4,(604)540-7308,Province of British Columbia
230,Surrey Association For Community Living,Residential Care,Fraser Health,Bakerview Court,,-122.6986506,49.1157771,18919 62A Ave,Surrey,BC,V3S 8S4,(604)576-1255,Province of British Columbia
231,Mission Association For Community Living,Residential Care,Fraser Health,Bannister Drive Residence,,-122.296432,49.1580908,8590 Bannister Dr,Mission,BC,V2V 5X4,(604)807-0104,Province of British Columbia
232,Azimuth Health Program Management Ltd.,Residential Care,Fraser Health,Barberry Lodge,,-122.75463,49.264882,1440 Barberry Dr,Port Coquitlam,BC,V3B 1G3,(604)941-9022,Province of British Columbia
233,New Vision Development Inc.,Residential Care,Fraser Health,Barclay Care Home Ltd.,,-122.7686171,49.2698335,1948 Grant Ave,Port Coquitlam,BC,V3B 1P7,(604)942-0473,Province of British Columbia
234,Communitas Supportive Care Society,Residential Care,Fraser Health,Bayshore Home,,-121.9947057,49.1007392,44419 Bayshore Ave,Chilliwack,BC,V2R 0A5,(604)824-5955,Province of British Columbia
235,"MPA - Motivation, Power & Achievement Society",Residential Care,Fraser Health,Beckman House,,-122.6220496,49.2212835,12032 216th St,Maple Ridge,BC,V2X 5J3,(604)466-3370,Province of British Columbia
236,Inclusion Langley Society,Residential Care,Fraser Health,Belmont Residence,,-122.6645126,49.0741503,3975 202nd St,Langley,BC,V3A 1R9,(604)534-9950,Province of British Columbia
237,Milieu Family Services Inc.,Residential Care,Fraser Health,Bethayne House,,-122.7402073,49.1085651,17412 58A Ave,Surrey,BC,V3S 1M8,(604)574-2484,Province of British Columbia
238,Bethesda Christian Association,Residential Care,Fraser Health,Bethesda Abbotsford Home,,-122.3077081,49.0363142,1895 Jackson St,Abbotsford,BC,V2S 2Z8,(604)858-4211,Province of British Columbia
239,Bethesda Christian Association,Residential Care,Fraser Health,Bethesda Chilcotin Home,,-122.3183114,49.0710888,32704 Chilcotin Dr,Abbotsford,BC,V2T 5S5,(604)744-5274,Province of British Columbia
240,Bethesda Christian Association,Residential Care,Fraser Health,Bethesda Clearbrook Home,,-122.3221005,49.0477168,32553 Willingdon Cres,Abbotsford,BC,V2T 1S1,(604)853-0042,Province of British Columbia
241,Bethesda Christian Association,Residential Care,Fraser Health,Bethesda Langley Home,,-122.6550127,49.1727066,20477 93A Ave,Langley,BC,V1M 1B8,(604)882-7492,Province of British Columbia
242,Bethesda Christian Association,Residential Care,Fraser Health,Bethesda Matsqui Home,,-122.3166859,49.0416172,32768 Bevan Ave,Abbotsford,BC,V2S 1T1,(604)850-3499,Province of British Columbia
243,Bethesda Christian Association,Residential Care,Fraser Health,Bethesda Surrey Home,,-122.770158,49.1989643,16321 108th Ave,Surrey,BC,V3R 6C5,(604)581-1858,Province of British Columbia
244,Bethesda Christian Association,Residential Care,Fraser Health,Bethesda West Clearbrook Home,,-122.339746,49.0446238,2339 Arbutus St,Abbotsford,BC,V2T 2V8,(604)850-7311,Province of British Columbia
245,Trillium Communities,Residential Care,Fraser Health,Bevan Village,115,-122.2992395,49.0413325,33386 Bevan Ave,Abbotsford,BC,V2S 5G6,(604)850-5416,Province of British Columbia
246,H.O.M.E. Society,Residential Care,Fraser Health,Bradner House,,-122.4244815,49.058856,3098 Bradner Rd,Abbotsford,BC,V4X 1K2,(604)856-1892,Province of British Columbia
247,Sienna-Baltic (Brookside) Inc,Residential Care,Fraser Health,Brookside Lodge,103,-122.6809464,49.1141416,19550 Fraser Hwy,Surrey,BC,V3S 6K5,(604)530-6595,Province of British Columbia
248,Wayne R. Mills,Residential Care,Fraser Health,Brookswood Court,,-122.6690447,49.0716323,3830 200th St,Langley,BC,V3A 1K2,(604)534-3996,Province of British Columbia
249,Classic Care Homes Ltd.,Residential Care,Fraser Health,Brydon House,,-122.6782902,49.1035697,19665 55A Ave,Langley,BC,V3A 3X1,(604)532-1769,Province of British Columbia
250,posAbilities Association of British Columbia,Residential Care,Fraser Health,Buckingham House,,-122.9510065,49.2268552,7516 Imperial St,Burnaby,BC,V5E 1P6,(604)540-7717,Province of British Columbia
251,Achpang Residential Services Ltd,Residential Care,Fraser Health,Buena Vista Lodge Ltd,,-122.803626,49.0242352,15109 Buena Vista Ave,White Rock,BC,V4B 1Y2,(604)536-6752,Province of British Columbia
252,Delta Community Living Society,Residential Care,Fraser Health,Cabeldu,,-122.9062557,49.1204814,6473 Cabeldu Cres,Delta,BC,V4E 1R2,(604)590-4988,Province of British Columbia
253,Bethesda Christian Association,Residential Care,Fraser Health,Cameron Home,,-122.2561441,49.04751,2484 Cameron Cres,Abbotsford,BC,V3G 2A9,(604)854-6762,Province of British Columbia
254,Younghusband Resources Ltd.,Residential Care,Fraser Health,Campbell Home,,-122.6634862,49.2254665,20139 Telep Ave,Maple Ridge,BC,V2X 3M4,(604)460-1225,Province of British Columbia
255,Ridge Meadows Association For Community Living,Residential Care,Fraser Health,Campbell House,,-122.629491,49.2241205,21351 Campbell Ave,Maple Ridge,BC,V2X 7G6,(604)463-7101,Province of British Columbia
256,0729187 BC Ltd,Residential Care,Fraser Health,Carlton Gardens Care Centre,128,-123.0128497,49.2550436,4108 Norfolk St,Burnaby,BC,V5G 0B4,(604)419-3000,Province of British Columbia
257,Burnaby Association For Community Inclusion,Residential Care,Fraser Health,Carson House,,-122.9894056,49.2096827,5155 Carson St,Burnaby,BC,V5J 2Z1,(604)435-8904,Province of British Columbia
258,Cartier House Care Centre Partnership,Residential Care,Fraser Health,Cartier House Care Centre,78,-122.8528962,49.2417119,1419 Cartier Ave,Coquitlam,BC,V3K 2C6,(604)939-4654,Province of British Columbia
259,Jubilee Multi Generational Housing Society,Residential Care,Fraser Health,Cascade Gardens,60,-123.0127488,49.2540499,3460 Kalyk Ave,Burnaby,BC,V5G 3B2,(604)434-2666,Province of British Columbia
260,posAbilities Association of British Columbia,Residential Care,Fraser Health,Catherine House,,-122.8758933,49.2701637,809 Catherine Ave,Coquitlam,BC,V3J 4L6,(604)298-4606,Province of British Columbia
261,Ridge Meadows Association For Community Living,Residential Care,Fraser Health,Cedarvale (East),,-122.5669671,49.2169929,23635 118th Ave,Maple Ridge,BC,V4R 2C9,(604)467-7509,Province of British Columbia
262,Celebration and Rainbow Manor Ltd,Residential Care,Fraser Health,Celebration & Rainbow Manor,,-122.77992,49.186408,10130 159A St,Surrey,BC,V4N 2P8,(604)582-0790,Province of British Columbia
263,Chilliwack Society For Community Living,Residential Care,Fraser Health,Chadsey House,,-121.9733436,49.1367191,7400 Sunshine Dr,Chilliwack,BC,V2R 1H6,(604)858-4331,Province of British Columbia
264,Charlford House Society for Women,Residential Care,Fraser Health,Charlford House,,-122.9623947,49.2718494,6845 Kitchener St,Burnaby,BC,V5B 2J8,(604)420-6601,Province of British Columbia
265,Chelsey House (2003) Ltd,Residential Care,Fraser Health,Chelsey House 2003 Ltd,,-122.6241638,49.0849489,4544 216th St,Langley,BC,V3A 2M4,(604)530-0352,Province of British Columbia
266,Cherington Intercare Inc,Residential Care,Fraser Health,Cherington Place,75,-122.8492989,49.2054882,13453 111A Ave,Surrey,BC,V3R 2C5,(604)581-2885,Province of British Columbia
267,Sources Community Resources Society,Residential Care,Fraser Health,Chestnut House,,-123.0685534,49.0860238,4576 55B St,Delta,BC,V4K 3W5,(604)946-0401,Province of British Columbia
268,Chilliwack Lifestyles Holdings (2006) Ltd.,Residential Care,Fraser Health,Chilliwack Lifestyles Willow Manor,,-121.959427,49.1289839,6980 Vedder Rd,Chilliwack,BC,V2R 4E1,(604)846-0031,Province of British Columbia
269,Milieu Family Services Inc.,Residential Care,Fraser Health,Christel House,,-122.8972743,49.1524706,11753 82nd Ave,Delta,BC,V4C 2C3,(604)597-1286,Province of British Columbia
270,Classic Care Homes Ltd.,Residential Care,Fraser Health,Classic Homestead - South,,-122.6791882,49.0634283,3364 196th St,Langley,BC,V3A 4T7,(604)533-6904,Province of British Columbia
271,Kinsight Community Society,Residential Care,Fraser Health,Cochrane House,,-122.8878045,49.2521842,567 Cochrane Ave,Coquitlam,BC,V3J 2A3,(604)931-5148,Province of British Columbia
272,posAbilities Association of British Columbia,Residential Care,Fraser Health,Columbia House,,-122.8939774,49.2258399,319 Keary St,New Westminster,BC,V3L 3L2,(604)522-8405,Province of British Columbia
273,Community Living Society,Residential Care,Fraser Health,Community Living Society - Neville House,,-122.9808733,49.2136422,5678 Neville St,Burnaby,BC,V5J 2H9,(604)432-6567,Province of British Columbia
274,posAbilities Association of British Columbia,Residential Care,Fraser Health,Como Lake House,,-122.8514678,49.2637783,1433 Como Lake Ave,Coquitlam,BC,V3J 3P5,(604)931-3272,Province of British Columbia
275,The Ridge Meadows Association For Community Living,Residential Care,Fraser Health,Cook Avenue,,-122.6343005,49.2199006,21181 Cook Ave,Maple Ridge,BC,V2X 7P7,(604)466-8218,Province of British Columbia
276,Community Living Society,Residential Care,Fraser Health,Coopershawk Court,,-122.8285401,49.1503589,8041 Coopershawk Ct,Surrey,BC,V3W 0V1,(604)590-3901,Province of British Columbia
277,Lookout Emergency Aid Society,Residential Care,Fraser Health,"Crawford Manor (""A"")",,-122.8673672,49.184599,10008 128th St,Surrey,BC,V3T 2Y9,(604)255-0340,Province of British Columbia
278,Lookout Emergency Aid Society,Residential Care,Fraser Health,"Crawford Manor (""B"")",,-122.8673891,49.1846808,10010 128th St,Surrey,BC,V3T 2Y9,(604)317-3319,Province of British Columbia
279,L'Arche Greater Vancouver,Residential Care,Fraser Health,Creation House,,-123.0121079,49.216008,4103 Irmin St,Burnaby,BC,V5J 1X6,(604)435-9544,Province of British Columbia
280,0729187 BC Ltd,Residential Care,Fraser Health,Crescent Gardens,75,-122.7667834,49.0244562,1222 King George Blvd,Surrey,BC,V4A 9W6,(604)541-8861,Province of British Columbia
281,Fraser Health,Residential Care,Fraser Health,CRESST,,-122.2903273,49.0451989,33720 Mcdougall Ave,Abbotsford,BC,V2S 1W4,(604)870-7583,Province of British Columbia
282,Fraser Health,Residential Care,Fraser Health,CRESST - South Fraser,,-122.8476199,49.1806892,13525 98th Ave,Surrey,BC,V3T 1B9,(604)587-4220,Province of British Columbia
283,Crestlene Lodge Ltd,Residential Care,Fraser Health,Crestlene Lodge Ltd,,-122.8997933,49.1593007,11660 86th Ave,Delta,BC,V4C 2X6,(604)591-3773,Province of British Columbia
284,Gilda Ingco,Residential Care,Fraser Health,Cristina Home,,-122.825176,49.1626941,14336 88th Ave,Surrey,BC,V3W 3L7,(604)599-9575,Province of British Columbia
285,The Crossroads Hospice Society & Fraser Health,Residential Care,Fraser Health,Crossroads Inlet Centre Hospice,,-122.8279927,49.2847749,101 Noons Creek Dr,Port Moody,BC,V3H 5J1,(604)949-2270,Province of British Columbia
286,Burnaby Association For Community Inclusion,Residential Care,Fraser Health,Cumberland House,,-122.9185116,49.2320214,7533 Cumberland St,Burnaby,BC,V3N 3X6,(604)522-0596,Province of British Columbia
287,Dania Home Society,Residential Care,Fraser Health,Dania Home,102,-122.9758858,49.2472395,4175 Norland Ave,Burnaby,BC,V4G 3Z6,(604)299-2414,Province of British Columbia
288,The Ridge Meadows Association For Community Living,Residential Care,Fraser Health,Davison,,-122.6830557,49.2277193,19425 Davison Rd,Pitt Meadows,BC,V3Y 1A7,(604)465-8545,Province of British Columbia
289,Younghusband Resources Ltd.,Residential Care,Fraser Health,Decaire House,,-122.8503737,49.2487284,498 Decaire St,Coquitlam,BC,V3K 5A3,(604)939-6106,Province of British Columbia
290,Burnaby Association For Community Inclusion,Residential Care,Fraser Health,Deer Lake House,,-122.9643376,49.2285196,6098 Sperling Ave,Burnaby,BC,V5E 2T9,(604)520-0656,Province of British Columbia
291,Arcus Community Resources Ltd.,Residential Care,Fraser Health,Delta House,,-122.9004883,49.1377685,7415 116A St,Delta,BC,V2X 2Z3,(604)543-0201,Province of British Columbia
292,Delta Lodge Ltd,Residential Care,Fraser Health,Delta Lodge,,-122.9145102,49.1699317,11030 River Rd,Delta,BC,V4C 2S2,(604)951-9415,Province of British Columbia
293,Community Living Society,Residential Care,Fraser Health,Duthie Avenue,,-122.9538731,49.2748071,1055 Duthie Ave,Burnaby,BC,V5A 2R3,(604)420-1745,Province of British Columbia
294,Community Living Society,Residential Care,Fraser Health,Eastlawn,,-122.9903615,49.273921,1190 Eastlawn Dr,Burnaby,BC,V5B 3H1,(604)298-7721,Province of British Columbia
295,Fraser Valley Care Centre (2003) Holdings Ltd.,Residential Care,Fraser Health,Eden Care Centre,89,-121.9419001,49.1672383,9100 Charles St,Chilliwack,BC,V2P 5K6,(604)792-8166,Province of British Columbia
296,Burnaby Association For Community Inclusion,Residential Care,Fraser Health,Edmonds House,,-122.9412436,49.2252183,7731 Wedgewood St,Burnaby,BC,V5E 2E5,(604)521-7857,Province of British Columbia
297,Thompson Community Services Inc,Residential Care,Fraser Health,Eightieth Avenue House,,-122.9055563,49.1483031,11448 80th Ave,Delta,BC,V4C 1X3,(604)597-0437,Province of British Columbia
298,H.O.M.E. Society,Residential Care,Fraser Health,Eleanor House,,-122.266435,49.0392857,2052 Eleanor Ave,Abbotsford,BC,V2S 4L6,(604)859-2907,Province of British Columbia
299,Milieu Family Services Inc.,Residential Care,Fraser Health,Elgin House,,-122.8230638,49.0555527,2942 144th St,Surrey,BC,V4P 1P6,(604)541-0944,Province of British Columbia
300,L'Arche Greater Vancouver,Residential Care,Fraser Health,Emily House,,-122.9979473,49.2136236,4672 Neville St,Burnaby,BC,V5J 2H1,(604)430-4594,Province of British Columbia
301,Delta Community Living Society,Residential Care,Fraser Health,English Bluff,,-123.0898037,49.0260605,4836 13th Ave,Delta,BC,V4M 2B8,(604)943-5173,Province of British Columbia
302,Evergreen Cottages Corp.,Residential Care,Fraser Health,Evergreen Hamlets at Fleetwood,33,-122.789853,49.1552129,8382 156th St,Surrey,BC,V3S 3R7,(604)597-7906,Province of British Columbia
303,posAbilities Association of BC,Residential Care,Fraser Health,Evergreen House,,-122.8848789,49.2662975,638 Kemsley Ave,Coquitlam,BC,V3J 3Z3,(604)931-0974,Province of British Columbia
304,Communitas Supportive Care Society,Residential Care,Fraser Health,Evergreen Residence,,-122.3451117,49.0538305,2841 Evergreen St,Abbotsford,BC,V2T 2S2,(604)850-2818,Province of British Columbia
305,Fair Haven Vancouver,Residential Care,Fraser Health,Fair Haven Burnaby Lodge,100,-123.0058287,49.2152662,7557 Sussex Ave,Burnaby,BC,V5J 3V6,(604)435-0525,Province of British Columbia
306,Communitas Supportive Care Society,Residential Care,Fraser Health,Ferguson Home,,-122.3275505,49.0552956,32375 George Ferguson Way,Abbotsford,BC,V2T 2L2,(604)850-1055,Province of British Columbia
307,0701743 BC Ltd,Residential Care,Fraser Health,Fernridge Place,,-122.6708662,49.0403965,2107 200th St,Langley,BC,V2Z 1Z6,(604)533-2235,Province of British Columbia
308,Pacific Coast Community Resources Inc,Residential Care,Fraser Health,Fifty Fourth Avenue Home,,-122.8684278,49.1000582,12780 54th Ave,Surrey,BC,V3X 3C2,(604)599-6348,Province of British Columbia
309,Inclusion Langley Society,Residential Care,Fraser Health,Five Corners Residence,,-122.6283675,49.0915519,21451 Old Yale Rd,Langley,BC,V3A 4M6,(604)533-9332,Province of British Columbia
310,Thompson Community Services Inc.,Residential Care,Fraser Health,Fleet Street Group Home,,-122.8114257,49.2634222,2994 Fleet St,Coquitlam,BC,V3C 3R8,(604)944-0408,Province of British Columbia
311,Fleetwood Place Holdings Ltd,Residential Care,Fraser Health,Fleetwood Place,108,-122.7779843,49.153786,16011 83rd Ave,Surrey,BC,V4N 0N2,(604)590-6860,Province of British Columbia
312,Arcus Community Resources Ltd.,Residential Care,Fraser Health,Fletcher 1,,-122.5919793,49.2216885,12062 Fletcher St,Maple Ridge,BC,V2X 6K9,(604)463-7118,Province of British Columbia
313,Arcus Community Resources Ltd.,Residential Care,Fraser Health,Fletcher 2,,-122.5919765,49.2219137,12076 Fletcher St,Maple Ridge,BC,V2X 6K9,(604)463-7444,Province of British Columbia
314,Coast Foundation Society (1974),Residential Care,Fraser Health,Forglen 5450,,-122.9922138,49.2349763,5450 Forglen Dr,Burnaby,BC,V5H 3K7,(604)435-4110,Province of British Columbia
315,Coast Foundation Society (1974),Residential Care,Fraser Health,Forglen 5452,,-122.9922138,49.2349763,5452 Forglen Dr,Burnaby,BC,V5H 3K7,(604)435-4110,Province of British Columbia
316,Societe Du Foyer Maillard,Residential Care,Fraser Health,Foyer Maillard,125,-122.8662457,49.2392628,1010 Alderson Ave,Coquitlam,BC,V3K 1W1,(604)937-5578,Province of British Columbia
317,W J Stelmaschuk and Associates Ltd,Residential Care,Fraser Health,Fraser Supported Community Living,,-122.6516108,49.0887548,4723 206A St,Langley City,BC,V3A 6N7,(604)533-5531,Province of British Columbia
318,Fraserside Community Services Society,Residential Care,Fraser Health,Fraserside Residence,,-122.9715652,49.2134801,7738 Gilley Ave,Burnaby,BC,V5J 4Y2,(604)439-3045,Province of British Columbia
319,Milieu Family Services Inc.,Residential Care,Fraser Health,Gemini House,,-122.7803914,49.254239,2244 Pitt River Rd,Port Coquitlam,BC,V3C 1R6,(604)552-3305,Province of British Columbia
320,George Derby Care Society,Residential Care,Fraser Health,George Derby Centre,300,-122.9153375,49.235363,7550 Cumberland St,Burnaby,BC,V3N 3X5,(604)521-2676,Province of British Columbia
321,Sources Community Resources Society,Residential Care,Fraser Health,Georgia House,,-123.0876367,49.0905341,4812 Georgia St,Delta,BC,V4K 2S9,(604)940-9517,Province of British Columbia
322,Community Living Society,Residential Care,Fraser Health,Gilley House,,-122.9733811,49.2089907,8275 Gilley Ave,Burnaby,BC,V5J 4Y8,(604)432-9446,Province of British Columbia
323,Glenwood Seniors Community Partnership,Residential Care,Fraser Health,Glenwood Seniors Community,47,-121.7581786,49.2308549,1458 Glenwood Dr,Agassiz,BC,V0M 1A0,(604796-9202),Province of British Columbia
324,posAbilities Association of British Columbia,Residential Care,Fraser Health,Goodlad House,,-122.9407555,49.2297089,7912 Goodlad St,Burnaby,BC,V5E 2H9,(604)521-0947,Province of British Columbia
325,Mission Association For Community Living,Residential Care,Fraser Health,Goundrey Home,,-122.2780236,49.1588258,8645 Goundrey St,Mission,BC,V2V 6V5,(604)820-0310,Province of British Columbia
326,Angel Wing Connections Ltd,Residential Care,Fraser Health,Graceland Gates,,-122.5659069,49.1216231,6587 238th St,Langley,BC,V2Y 2H5,(604)510-4283,Province of British Columbia
327,Communitas Supportive Care Society,Residential Care,Fraser Health,Grant St. East,,-122.343495,49.0451392,2364 Grant St,Abbotsford,BC,V2T 2M7,(604)864-2205,Province of British Columbia
328,Communitas Supportive Care Society,Residential Care,Fraser Health,Grant St. West,,-122.3443139,49.0453384,2375 Grant St,Abbotsford,BC,V2T 2M8,(604)864-6448,Province of British Columbia
329,Vancouver Resource Society,Residential Care,Fraser Health,Gray House,,-123.0000315,49.2206633,6957 Gray Ave,Burnaby,BC,V5J 3Y9,(604)436-3970,Province of British Columbia
330,The Ridge Meadows Association For Community Living,Residential Care,Fraser Health,Greystone,,-122.6854977,49.2271727,19342 Davison Rd,Pitt Meadows,BC,V3Y 1A2,(604)465-0798,Province of British Columbia
331,Guildford Seniors Village 3 LLP,Residential Care,Fraser Health,Guildford Seniors Village,98,-122.8183459,49.1925775,14568 104A Ave,Surrey,BC,V3R 1R3,(604)582-0808,Province of British Columbia
332,AgeCare Investments (BC) Ltd,Residential Care,Fraser Health,Harmony Court Care Centre,80,-122.9418045,49.2246262,7195 Canada Way,Burnaby,BC,V5E 3R7,(604)527-3300,Province of British Columbia
333,Elim Christian Care Society,Residential Care,Fraser Health,Harrison at Elim Village,193,-122.7813251,49.1669154,9025 160th St,Surrey,BC,V4N 2X7,(604)583-3546,Province of British Columbia
334,Hazelmere Lodge Ltd. (Atkins),Residential Care,Fraser Health,Hazelmere Lodge Ltd.,,-122.6834676,49.0312779,19475 16th Ave,Surrey,BC,V3Z 9V2,(604)535-2724,Province of British Columbia
335,Hilton Villa Care Centre Partnership,Residential Care,Fraser Health,Hilton Villa Care Centre,155,-122.8470467,49.202278,13525 Hilton Rd,Surrey,BC,V3R 5J3,(604)588-3424,Province of British Columbia
336,Community Living Society,Residential Care,Fraser Health,Holly,,-122.9478826,49.2227939,7473 Holly St,Burnaby,BC,V5E 2C3,(604)526-5216,Province of British Columbia
337,Strive Living Society,Residential Care,Fraser Health,Holly Park House,6,-122.8187217,49.1941023,14557 105A Ave,Surrey,BC,V3R 1S2,(604)581-0606,Province of British Columbia
338,Fraser Health - End of Life Care,Residential Care,Fraser Health,Holmberg House Hospice,,-122.316119,49.0381015,32780 Marshall Rd,Abbotsford,BC,V2S 1J7,(604)852-7070,Province of British Columbia
339,Delta Community Living Society,Residential Care,Fraser Health,House 4,,-123.0199383,49.0715134,3800 72nd St,Delta,BC,V4K 3N2,(604)946-0051,Province of British Columbia
340,Inclusion Langley Society,Residential Care,Fraser Health,Hunter Park Residence,,-122.669698,49.0848918,19977 45A Ave,Langley City,BC,V3A 8C7,(604)220-4526,Province of British Columbia
341,MVS Quality Care Inc,Residential Care,Fraser Health,Hylan Home,,-122.3317257,49.0486682,32223 Hylan Ave,Abbotsford,BC,V2T 1S8,(604)850-8122,Province of British Columbia
342,Innervisions Recovery Society Of B.C.,Residential Care,Fraser Health,Innervisions Recovery Society - 2,,-122.7678473,49.2714141,1933 Prairie Ave,Port Coquitlam,BC,V3B 1V5,(604)468-2032,Province of British Columbia
343,Innervisions Recovery Society Of B.C.,Residential Care,Fraser Health,Innervisions Recovery Society - 3,,-122.7679845,49.2714182,1937 Prairie Ave,Port Coquitlam,BC,V3B 1V5,(604)942-0517,Province of British Columbia
344,Innervisions Recovery Society,Residential Care,Fraser Health,Innervisions Recovery Society Hannah House,,-122.6312954,49.2202573,11982 Laity St,Maple Ridge,BC,V2X 5A6,(604)466-4215,Province of British Columbia
345,Fraser Health Authority,Residential Care,Fraser Health,Irene Thomas Hospice,,-123.0596797,49.0871726,4635 Clarence Taylor Cres,Delta,BC,V4K 4L8,(604)946-1121,Province of British Columbia
346,Aldergrove Lions Seniors Housing Society,Residential Care,Fraser Health,Jackman Manor,88,-122.4630403,49.0538232,27477 28th Ave,Aldergrove,BC,V4W 3L9,(604)856-4161,Province of British Columbia
347,Classic Care Homes Ltd.,Residential Care,Fraser Health,Jans Place,,-122.6608285,49.0921329,20290 49A Ave,Langley,BC,V3A 3S3,(604)765-4755,Province of British Columbia
348,Arcus Community Resources,Residential Care,Fraser Health,Keary Street Home,,-122.8937034,49.225832,313 Keary St,New Westminster,BC,V3L 3L2,(604)522-4032,Province of British Columbia
349,Strive Living Society,Residential Care,Fraser Health,Kerrywood House,,-122.9381034,49.2484798,7782 Kerrywood Cres,Burnaby,BC,V5A 2G1,(604)444-4351,Province of British Columbia
350,484017 BC Ltd,Residential Care,Fraser Health,Kimbelee Place,,-122.8640986,49.1773411,12935 96th Ave,Surrey,BC,V3V 7K6,(604)585-4309,Province of British Columbia
351,Kinghaven Peardonville House Society,Residential Care,Fraser Health,Kinghaven Treatment Centre,,-122.358792,49.0307485,31250 King Rd,Abbotsford,BC,V2T 6C2,(604)864-0039,Province of British Columbia
352,Milieu Family Services Inc.,Residential Care,Fraser Health,Kings House,,-122.7675172,49.1576441,8512 164th St,Surrey,BC,V4N 1E5,(604)597-0783,Province of British Columbia
353,Whalley & District Senior Citizens Housing Society,Residential Care,Fraser Health,Kinsmen Lodge,157,-122.8417995,49.1777345,9650 137A St,Surrey,BC,V3T 4H9,(604)588-0445,Province of British Columbia
354,KinVillage Association,Residential Care,Fraser Health,KinVillage,101,-123.073648,49.0214852,5410 10th Ave,Delta,BC,V4M 3X8,(604)943-0155,Province of British Columbia
355,Kiwanis Care Society (1979) of New Westminster,Residential Care,Fraser Health,Kiwanis Care Centre,75,-122.9150878,49.2232118,35 Clute St,New Westminster,BC,V3L 1Z5,(604)525-6471,Province of British Columbia
356,ALAJ Holdings Ltd.,Residential Care,Fraser Health,La Rosa de Matsqui,,-122.4285973,49.0178327,28711 Huntingdon Rd,Abbotsford,BC,V4X 1A8,(604)856-1555,Province of British Columbia
357,Arcus Community Resources Ltd.,Residential Care,Fraser Health,Ladner 1,,-123.0760699,49.099275,5281 Westminster Ave,Delta,BC,V4K 2J4,(604)940-1290,Province of British Columbia
358,Arcus Community Resources,Residential Care,Fraser Health,Ladner 2,,-123.0812386,49.0939104,5010 Westminster Ave,Delta,BC,V4K 2H9,(604)940-1061,Province of British Columbia
359,CSH (Langley Gardens) Inc,Residential Care,Fraser Health,Langley Gardens,92,-122.6598375,49.1654942,8888 202nd St,Langley,BC,V1M 4A7,(604)888-0228,Province of British Columbia
360,Langley Care Society,Residential Care,Fraser Health,Langley Lodge,139,-122.6573035,49.1015672,5451 204th St,Langley,BC,V3A 5M9,(604)530-2305,Province of British Columbia
361,Cheshire Homes Society of BC,Residential Care,Fraser Health,Larkin House,,-122.7851203,49.2777859,2583 Larkin Ave,Port Coquitlam,BC,V3B 2H8,(604)944-6885,Province of British Columbia
362,Kinsight Community Society,Residential Care,Fraser Health,Larkspur House,,-122.7510197,49.2660077,1310 Larkspur Ave,Port Coquitlam,BC,V3B 1G7,(604)942-5481,Province of British Columbia
363,Last Door Recovery House,Residential Care,Fraser Health,Last Door Recovery Centre,,-122.9191564,49.2078235,323 8th St,New Westminster,BC,V3M 3R3,(604)525-9771,Province of British Columbia
364,Laurel Place Care Centre Partnership,Residential Care,Fraser Health,Laurel Place Care Centre,175,-122.8417804,49.1784187,9688 137A St,Surrey,BC,V3T 4H9,(604)582-1135,Province of British Columbia
365,Fraser Health,Residential Care,Fraser Health,Laurel Place Hospice,,-122.8417804,49.1784187,9688 137A St,Surrey,BC,V3T 4H9,(604)930-6808,Province of British Columbia
366,Maplewood Care Society,Residential Care,Fraser Health,M.S.A. Manor,34,-122.3144389,49.0475441,2510 Gladwin Rd,Abbotsford,BC,V2T 3N9,(604)853-5831,Province of British Columbia
367,Bria Communities Limited Partnership,Residential Care,Fraser Health,Magnolia Gardens,40,-122.6494693,49.1082447,5840 Glover Rd,Langley,BC,V3A 9K3,(604)514-1210,Province of British Columbia
368,Kinsight Community Society,Residential Care,Fraser Health,Manning House,,-122.7578008,49.2680766,1560 Manning Ave,Port Coquitlam,BC,V3B 1K5,(604)945-8548,Province of British Columbia
369,Canadian Reformed Senior Citizen Home Society,Residential Care,Fraser Health,Manoah Manor,15,-122.6608587,49.101831,20265 54A Ave,Langley City,BC,V3A 3W6,(604)530-9895,Province of British Columbia
