,idx,facility_name,facility_type,health_authority,longitude,latitude,street_addr,city,province,phone,provider,filename
128,128,Dr A S Randunne & Dr S P Prematilake,Medical Clinic,Interlake-Eastern,-96.871773,50.141986,353 Eveline St,Selkirk,MB,204-482-3624,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
129,129,Elemental Professional Health Centre,Medical Clinic,Winnipeg,-97.15054959999998,49.83172090000005,1600 Pembina Hwy,Winnipeg,MB,204-475-1600,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
130,130,Archibald Medical Clinic,Medical Clinic,Winnipeg,-97.089192,49.87042,662 Elizabeth Rd,Winnipeg,MB,204-505-3058,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
131,131,Western Medical Clinic Medical Corporation,Medical Clinic,Prairie Mountain Health,-99.97115039999994,49.842618,Unit B 2425 Victoria Ave,Brandon,MB,204-727-6451,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
132,132,Tuxedo Family Medical Centre,Medical Clinic,Winnipeg,-97.18424549999996,49.86351830000007,1425 Corydon Ave,Winnipeg,MB,204-989-6048,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
133,133,Archibald Pharmacy,Pharmacy,Winnipeg,-97.08965562099996,49.87047857800007,662 Elizabeth Rd,Winnipeg,MB,204-505-3060,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
134,134,Dr C.W. Wiebe Medical Centre,Medical Clinic,Southern Health-Santé Sud,-97.93879300099996,49.18252266400003,385 Main St,Winkler,MB,204-331-2300,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
135,135,Pritchard Farm Health Centre,Medical Clinic,Winnipeg,-97.04627902999994,49.98659617600003,5 3014 Henderson Hwy E,East St. Paul,MB,204-654-3333,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
136,136,Aria Medical Centre,Medical Clinic,Winnipeg,-97.11389829999996,49.87228390000007,329 St Mary's Rd,Winnipeg,MB,204-505-0681,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
137,137,Pan Am Clinic,Medical Clinic,Winnipeg,-97.172776,49.853498,75 Poseidon Bay,Winnipeg,MB,204-927-2644,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
138,138,La Salle Medical Clinic,Medical Clinic,Southern Health-Santé Sud,-97.26546892,49.69115392400005,3 49 Principale Rue,La Salle,MB,204-228-9808,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
139,139,Bison Family Medical Clinic (Inside the Superstore),Medical Clinic,Winnipeg,-97.163622,49.800422,1 80 Bison Dr,Winnipeg,MB,204-275-1500,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
140,140,Prime Misericordia Health Centre,Medical Clinic,Winnipeg,-97.160284,49.879625,Prime 99 Cornish Ave,Winnipeg,MB,204-789-2404,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
141,141,Harmony Medical Centre,Medical Clinic,Prairie Mountain Health,-99.94636269999997,49.83543660000004,920 6th St,Brandon,MB,204-727-6464,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
142,142,Spring Meadow Clinic,Medical Clinic,Winnipeg,-97.02415259999998,49.90990390000007,Unit 19 1783 Plessis Rd,Winnipeg,MB,204-417-0028,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
143,143,Aria Pharmacy,Pharmacy,Winnipeg,-97.113843,49.872257,329 St Mary's Rd,Winnipeg,MB,204-231-1212,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
144,144,Winnipegosis Clinic,Medical Clinic,Prairie Mountain Health,-99.93191319999994,51.64039960000008,230 Bridge St Box 339,Winnipegosis,MB,204-656-4492,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
145,145,Pediatric Adolescent Cinic,Medical Clinic,Winnipeg,-97.11954,49.882201,102 200 Goulet St,Winnipeg,MB,204-943-7888,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
146,146,Arlington Pharmacy,Pharmacy,Winnipeg,-97.168018,49.904478,909 Notre Dame Ave,Winnipeg,MB,204-505-5940,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
147,147,Dr Asita Mehta,Medical Clinic,Winnipeg,-97.11951069399998,49.88229590800006,3rd Fl 200 Goulet St,Winnipeg,MB,204-231-3232,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
148,148,St Norbert Medical Clinic,Medical Clinic,Winnipeg,-97.15284379999996,49.76504390000008,3554 Pembina Hwy,Winnipeg,MB,204-415-4844,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
149,149,Norwest Co-op at Bluebird,Medical Clinic,Winnipeg,-97.194687,49.920322,100 97 Keewatin St,Winnipeg,MB,204-938-5900-1,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
150,150,Arrowwood Medical Centre,Medical Clinic,Winnipeg,-97.03577319999994,49.94438910000008,2 925 Headmaster Row,Winnipeg,MB,204-615-4635,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
151,151,Arrowwood Pharmacy,Pharmacy,Winnipeg,-97.035584,49.944545,2 925 Headmaster Row,Winnipeg,MB,204-615-4633,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
152,152,Atlantic Medical Centre,Medical Clinic,Winnipeg,-97.16511239999994,49.93381370000003,1054 Mcphillips St,Winnipeg,MB,204-505-1580,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
153,153,Dr. Shaker,Medical Clinic,Interlake-Eastern,-96.871327,50.143333,(B) 210 Clandeboye Ave,Selkirk,MB,204-482-4525,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
154,154,Dr Klassen,Medical Clinic,Winnipeg,-97.109916,49.947919,111 2110 Main St,Winnipeg,MB,204-338-7853,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
155,155,Midcity Medical Centre and Walk-In Clinic,Medical Clinic,Winnipeg,-97.118381,49.881856,219 Marion St,Winnipeg,MB,204-989-2056,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
156,156,Parkview Professional Centre,Medical Clinic,Winnipeg,-97.109916,49.947919,111 2110 Main St,Winnipeg,MB,204-338-7853,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
157,157,Dr Habtu Demsas,Medical Clinic,Interlake-Eastern,-96.871773,50.141986,353 Eveline St,Selkirk,MB,204-785-7660,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
158,158,Dr L.C. Bartlett,Medical Clinic,Winnipeg,-97.147158,49.890339,1620 233 Kennedy St,Winnipeg,MB,204-942-8388,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
159,159,Baidwan Medical Clinic,Medical Clinic,Winnipeg,-97.165653,49.893362,747 Ellice Ave,Winnipeg,MB,204-774-8530,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
160,160,Ashern Medical Clinic,Medical Clinic,Interlake-Eastern,-98.352601,51.180275,1 Steenson Dr Box 110,Ashern,MB,204-768-3404,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
161,161,Dr Leroux & Dr Salib,Medical Clinic,Prairie Mountain Health,-101.262853,52.106674,1000 Main St Box 1828,Swan River,MB,204-734-3663,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
162,162,Broadway Medical Clinic,Medical Clinic,Winnipeg,-97.160057,49.887567,B 676 Portage Ave,Winnipeg,MB,204-775-7607,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
163,163,Dr Gouda's Medical Clinic,Medical Clinic,Prairie Mountain Health,-101.264339,52.106427,3 900 Main St,Swan River,MB,204-734-2769,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
164,164,Oakfield Medical Consultants & Associates,Medical Clinic,Winnipeg,-97.14682,49.956197,106 1021 Court Ave,Winnipeg,MB,204-334-4368,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
165,165,Fort Street Clinic,Medical Clinic,Winnipeg,-97.139805,49.894228,300 Fort St,Winnipeg,MB,204-940-5501,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
166,166,Mccreary/Alonsa Medical Clinic,Medical Clinic,Prairie Mountain Health,-99.490811,50.769089,Box 250,McCreary,MB,204-835-2586,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
167,167,Dr J L Cordova,Medical Clinic,Winnipeg,-97.159255,49.87961,8 25 Sherbrook St,Winnipeg,MB,204-942-2728,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
168,168,Macgregor Health Centre Clinic,Medical Clinic,Southern Health-Santé Sud,-98.775803,49.962329,87 Grafton St,MacGregor,MB,204-685-2860,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
169,169,Dr D Kahanovitch,Medical Clinic,Winnipeg,-97.146588,49.894665,203 355 Ellice Ave,Winnipeg,MB,204-943-7861,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
170,170,Prairie Trail At The Oaks,Medical Clinic,Winnipeg,-97.148844,49.95518,Rm 2MCO2 2300 Mcphillips Ave,Winnipeg,MB,204-694-4222,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
171,171,Ashern Pharmacy,Pharmacy,Interlake-Eastern,-98.34674079999996,51.18189168800006,43 Main St,Ashern,MB,204-768-2824,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
172,172,Mcgregor Clinic,Medical Clinic,Winnipeg,-97.140704,49.927949,561 Machray Ave,Winnipeg,MB,204-956-9800,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
173,173,Marc Susser Md Family Practice,Medical Clinic,Winnipeg,-97.12335,49.884714,401 400 Tache Ave,Winnipeg,MB,204-231-5500,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
174,174,Dr Elbardisy,Medical Clinic,Interlake-Eastern,-96.871773,50.141986,353 Eveline St,Selkirk,MB,204-785-2627,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
175,175,Dr Pacin,Medical Clinic,Winnipeg,-97.17950261099998,49.83437118100005,10 1200 Waverley Ave,Winnipeg,MB,204-954-3910,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
176,176,Dr A P Thottingal,Medical Clinic,Winnipeg,-97.147276,49.891929,803 388 Portage Ave,Winnipeg,MB,204-947-1219,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
177,177,Ashern Pharmcy Medical Clinic,Medical Clinic,Interlake-Eastern,-98.34674079999996,51.18189168800006,43 Main St,Ashern,MB,204-768-3565,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
178,178,Rehal Medical Centre,Medical Clinic,Winnipeg,-97.21039,49.879184,1763 Portage Ave,Winnipeg,MB,204-414-9033,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
179,179,Balmoral Medical Centre,Medical Clinic,Winnipeg,-97.151833,49.896828,5 555 Balmoral St,Winnipeg,MB,204-938-8705,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
180,180,Dr W J Manishen,Medical Clinic,Winnipeg,-97.12343816899994,49.88482845300007,405 400 Tache Ave,Winnipeg,MB,204-943-9108,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
181,181,Dr Gene Theodore's Office,Medical Clinic,Prairie Mountain Health,-101.26745,52.105895,700 Main St,Swan River,MB,204-734-2081,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
182,182,Dr Sameh Mikhaiel,Medical Clinic,Prairie Mountain Health,-101.264339,52.106427,3 900 Main St,Swan River,MB,204-734-6354,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
183,183,Morris Clinic,Medical Clinic,Southern Health-Santé Sud,-97.360794,49.353082,215 Railroad Ave E,Morris,MB,204-746-2387,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
184,184,Assiniboine Pharmacy,Pharmacy,Winnipeg,-97.284569,49.880851,D 3111 Portage Ave,Winnipeg,MB,204-615-1144,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
185,185,Eriksdale Medical Clinic,Medical Clinic,Interlake-Eastern,-98.104792,50.863423,35 Railway Ave,Eriksdale,MB,204-739-2672,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
186,186,Dr Theo Marx,Medical Clinic,Prairie Mountain Health,-101.264339,52.106427,900 Main St,Swan River,MB,204-734-3812,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
187,187,You! Medical Centres,Medical Clinic,Winnipeg,-97.104617,49.911369,Unit D 359 Johnson Ave W,Winnipeg,MB,204-504-5121,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
188,188,Elie Medical Clinic,Medical Clinic,Southern Health-Santé Sud,-97.757085,49.899759,Box 447,Elie,MB,204-353-4514,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
189,189,Mckenzie Medical Clinic,Medical Clinic,Winnipeg,-97.15027,49.917145,634 Selkirk Ave,Winnipeg,MB,204-582-7755,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
190,190,Dr Mohinder Singh's Office,Medical Clinic,Prairie Mountain Health,-101.259151,52.117592,Box 1150,Swan River,MB,204-734-2141,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
191,191,Legacy Sport Medicine,Medical Clinic,Winnipeg,-97.110245,49.82576,14 160 Meadowood Dr,Winnipeg,MB,204-949-1099,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
192,192,DR L BENSHABAN,Medical Clinic,Interlake-Eastern,-96.874354,50.144174,373 Main St,Selkirk,MB,204-482-8953,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
193,193,Isabel Medical Center,Medical Clinic,Winnipeg,-97.15014979999997,49.90141860000006,Isabel Medical Centre 110 Isabel St,Winnipeg,MB,204-415-6397,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
194,194,Neurology Associates,Medical Clinic,Winnipeg,-97.15141099699996,49.87141311600004,101 698 Corydon Ave,Winnipeg,MB,204-284-5551,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
195,195,Dr K Sethi,Medical Clinic,Northern,-101.875235,54.764911,Rm 221 35 Main St,Flin Flon,MB,204-687-4415,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
196,196,Roblin Medical Clinic,Medical Clinic,Prairie Mountain Health,-101.36251,51.227667,15 Hospital St,Roblin,MB,204-937-8312,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
197,197,Morag Fisher Medical Clinic,Medical Clinic,Winnipeg,-97.150775,49.877491,586 River Ave,Winnipeg,MB,204-944-6229,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
198,198,Dr J D Sanchez,Medical Clinic,Winnipeg,-97.16856,49.886104,865 Portage Ave,Winnipeg,MB,204-414-9092,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
199,199,Dr Rich's Office - Swan River,Medical Clinic,Prairie Mountain Health,-101.26745,52.105895,700 Main St,Swan River,MB,204-734-4634,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
200,200,Dr Sinha,Medical Clinic,Winnipeg,-97.123599,49.881225,120 Marion St,Winnipeg,MB,204-237-6482,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
201,201,Quick Care Clinic - St Boniface,Medical Clinic,Winnipeg,-97.127252173,49.88043087100004,17 St Mary's Rd,Winnipeg,MB,204-940-4332,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
202,202,Medicare Clinic - Maples,Medical Clinic,Winnipeg,-97.16894021999995,49.95334136200006,1287 Jefferson Ave,Winnipeg,MB,204-414-1139,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
203,203,Viva Care Kenaston,Medical Clinic,Winnipeg,-97.199229173,49.82333488000006,1665 Kenaston Blvd,Winnipeg,MB,204-452-8482,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
204,204,Dr Rich's Office - Thompson,Medical Clinic,Northern,-97.854843,55.741576,55 Selkirk Ave,Thompson,MB,204-677-4521,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
205,205,Clinic - 1,Medical Clinic,Winnipeg,-97.14202,49.897357,286 Mcdermot Ave,Winnipeg,MB,204-957-5300,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
206,206,Oasis Medical Clinic,Medical Clinic,Southern Health-Santé Sud,-96.692246,49.548421,184 Pth 12N,Steinbach,MB,204-326-4555,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
207,207,Tache Obstetrics & Gynecology,Medical Clinic,Winnipeg,-97.12365767799996,49.88469357100007,305 400 Tache Ave,Winnipeg,MB,204-237-4694,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
208,208,Dr Shadi Rezazadeh,Medical Clinic,Interlake-Eastern,-97.255002,50.386908,162 3rd Ave SE,Teulon,MB,204-886-3996,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
209,209,Red River Family Medical Centre,Medical Clinic,Winnipeg,-97.142254,49.89334,100 286 Smith St,Winnipeg,MB,204-414-0019,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
210,210,Corydon Village Medical Centre,Medical Clinic,Winnipeg,-97.19756139999998,49.86334730000004,105 1700 Corydon Ave,Winnipeg,MB,204-505-2090,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
211,211,St. Anne's Medical Clinic (Inside the Superstore),Medical Clinic,Winnipeg,-97.10269569999996,49.85754430000003,215 St Anne's Rd,Winnipeg,MB,204-254-2464,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
212,212,Dr Robert Zoppa,Medical Clinic,Interlake-Eastern,-96.874354,50.144174,373 Main St,Selkirk,MB,204-785-8588,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
213,213,Millennium Medical Center,Medical Clinic,Winnipeg,-97.152799,49.889807,311 Balmoral St,Winnipeg,MB,204-505-2977,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
214,214,Neurology Associates,Medical Clinic,Winnipeg,-97.15123,49.871211,101 698 Corydon Ave,Winnipeg,MB,204-284-5551,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
215,215,Concordia Medical Centre,Medical Clinic,Winnipeg,-97.06477379999995,49.91168910000005,201 1100 Concordia Ave,Winnipeg,MB,204-667-1100,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
216,216,Hope Medical Clinic,Medical Clinic,Interlake-Eastern,-97.326237,50.133069,Unit 4-B 408 Main St,Stonewall,MB,204-467-7595,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
217,217,St Mary Medical Clinic,Medical Clinic,Prairie Mountain Health,-99.962531,49.828822,150 1300 18th St,Brandon,MB,204-717-7500,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
218,218,Healthway Medical Clinic,Medical Clinic,Winnipeg,-97.133773,49.909325,862 Main St,Winnipeg,MB,204-414-9292,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
219,219,Healthway Medical Clinic Ii,Medical Clinic,Winnipeg,-97.13344899799996,49.90930116300007,862 Main St,Winnipeg,MB,204-415-7575,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
220,220,Grunthal Medical Clinic,Medical Clinic,Southern Health-Santé Sud,-96.858006,49.407047,A 169 Main St Box 1280,Grunthal,MB,204-381-6621,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
221,221,Dr. P Shenouda - Winnipeg Clinic,Medical Clinic,Winnipeg,-97.148081,49.889395,3rd Flr 425 St Mary Ave,Winnipeg,MB,204-957-3377,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
222,222,Saint Mark Medical Clinic,Medical Clinic,Winnipeg,-97.155849,49.949255,2132 Mcphillips St,Winnipeg,MB,204-416-0038,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
223,223,Quarry Ridge Medical Clinic,Medical Clinic,Interlake-Eastern,-97.32826179999996,50.13138190000006,469 First St W,Stonewall,MB,204-467-9707,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
224,224,Gera Medical Clinic,Medical Clinic,Winnipeg,-97.14598129999996,49.95625180000008,4 2358 McPhillips St,Winnipeg,MB,204-691-2202,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
225,225,Rasha Medical Clinic,Medical Clinic,Winnipeg,-97.14610179999994,49.86513270000006,15 584 Pembina Hwy,Winnipeg,MB,204-691-5000,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
226,226,Dr. J. Awad - Winnipeg Clinic,Medical Clinic,Winnipeg,-97.148081,49.889395,3rd Flr 425 St Mary Ave,Winnipeg,MB,204-957-3377,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
227,227,Lac Du Bonnet Medical Group,Medical Clinic,Interlake-Eastern,-96.05856767199998,50.25704029800005,40 Park Ave Box 1780,Lac du Bonnet,MB,204-345-5555,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
228,228,Sara Gretchen Sasse Medical Corporation,Medical Clinic,Winnipeg,-97.186805,49.884591,600 Clifton St,Winnipeg,MB,204-691-9880,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
229,229,Clinicare Medical Centre,Medical Clinic,Winnipeg,-97.15362895699997,49.84544993500003,1189 Pembina Hwy,Winnipeg,MB,204-691-5353,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
230,230,Harbourview Medical Centre and Walk In Clinic,Medical Clinic,Winnipeg,-97.050211,49.911955,10 1320 Concordia Ave E,Winnipeg,MB,204-942-2234,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
231,231,Care Innova Pharmacy,Pharmacy,Winnipeg,-97.21078882999996,49.91143618800004,3 1830 Dublin Ave,Winnipeg,MB,204-694-2099,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
232,232,Careplus Selkirk Pharmacy,Pharmacy,Interlake-Eastern,-96.874354,50.144174,373 Main St,Selkirk,MB,204-482-3848,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
233,233,CarePlus Transcona Pharmacy,Pharmacy,Winnipeg,-97.030001,49.894751,2 850 Regent Ave W,Winnipeg,MB,204-222-5584,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
234,234,Carman Pharmacy,Pharmacy,Southern Health-Santé Sud,-98.00315072399997,49.50731712800007,34 1st St SW Box 1700,Carman,MB,204-745-3620,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
235,235,Celestial Pharmacy,Pharmacy,Winnipeg,-97.170117,49.89313,842 Ellice Ave,Winnipeg,MB,204-615-1946,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
236,236,Cinden Pharmacy,Pharmacy,Winnipeg,-97.19501883199996,49.81690390200004,A 123 Scurfield Blvd,Winnipeg,MB,204-488-1819,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
237,237,Clarkes Pharmacy,Pharmacy,Northern,-97.851193,55.742003,50 Selkirk Ave,Thompson,MB,204-778-7008,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
238,238,The Prescription Shop #3,Pharmacy,Winnipeg,-97.15183000899998,49.89682998000006,3 555 Balmoral St,Winnipeg,MB,204-944-0954,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
239,239,Clayman Pharmacy,Pharmacy,Winnipeg,-97.15287393499996,49.95244367300006,1 1099 Kingsbury Ave,Winnipeg,MB,204-261-4214,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
240,240,Wal-Mart Pharmacy #3116,Pharmacy,Winnipeg,-97.194685,49.897054,1001 Empress St,Winnipeg,MB,204-452-8410,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
241,241,Clinic Drugstore,Pharmacy,Southern Health-Santé Sud,-98.092835,49.189268,135 30 Stephen St,Morden,MB,204-822-6667,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
242,242,Clinic One Pharmacy,Pharmacy,Winnipeg,-97.14188823299996,49.89754298700007,286 Mcdermot Ave,Winnipeg,MB,204-957-5355,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
243,243,Morden Drugstore,Pharmacy,Southern Health-Santé Sud,-98.098352,49.190166,104 215 Stephen St,Morden,MB,204-822-9992,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
244,244,Open Health Niverville,Medical Clinic,Southern Health-Santé Sud,-97.04554469999994,49.60193340000006,A 161 2nd Ave S,Niverville,MB,204-388-6626,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
245,245,Clinique Notre-Dame Clinic,Medical Clinic,Southern Health-Santé Sud,-98.55617352999997,49.53152850600003,44 Rogers St,Notre Dame de Lourdes,MB,204-284-2252,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
246,246,Shoppers Drug Mart #2421,Pharmacy,Winnipeg,-97.165521,49.932195,1017 Mcphillips St,Winnipeg,MB,204-586-8091,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
247,247,Concordia Community Pharmacy,Pharmacy,Winnipeg,-97.064653,49.9134,4 1095 Concordia Ave,Winnipeg,MB,204-669-4500,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
248,248,Northway Pharmacy Broadway,Pharmacy,Winnipeg,-97.155324,49.885442,618 Broadway Ave,Winnipeg,MB,204-783-1887,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
249,249,Super Thrifty Pharmacy,Pharmacy,Prairie Mountain Health,-99.953367,49.826615,1100 Richmond Ave,Brandon,MB,204-728-5730,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
250,250,Costco #153,Pharmacy,Winnipeg,-97.051509,49.897135,1499 Regent Ave W,Winnipeg,MB,204-654-3153,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
251,251,Grand Medicine Health Services,Pharmacy,Winnipeg,-97.20158814799998,49.90277783900007,Unit 15 801 Century St,Winnipeg,MB,204-885-0768,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
252,252,Costco Pharmacy,Pharmacy,Winnipeg,-97.208811,49.819673,2365 McGillivary Blvd,Winnipeg,MB,204-487-5109,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
253,253,Costco Pharmacy #057,Pharmacy,Winnipeg,-97.198587,49.903407,1315 St James St,Winnipeg,MB,204-788-4561,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
254,254,Costco Pharmacy #57,Pharmacy,Winnipeg,-97.198587,49.903407,1315 St James St,Winnipeg,MB,204-788-4561,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
255,255,Shoppers Drug Mart #2460,Pharmacy,Winnipeg,-97.152299982,49.84771999100008,1122 Pembina Hwy,Winnipeg,MB,204-284-8895,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
256,256,Leila Pharmacy,Pharmacy,Winnipeg,-97.13400865799996,49.94896307100004,632 Leila Ave,Winnipeg,MB,204-228-3304,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
257,257,Crestview Pharmacy,Pharmacy,Winnipeg,-97.156988,49.893071,561 Ellice Ave,Winnipeg,MB,204-775-5556,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
258,258,Medicine Shoppe Pharmacy # 290,Pharmacy,Winnipeg,-97.15736751299994,49.79104998500003,101 2800 Pembina Hwy,Winnipeg,MB,204-275-3333,Province of Manitoba,MB_covid-19_and_flu_vaccine_sites.csv
