idx,facility_name,facility_type,health_authority,alternative_name,longitude,latitude,street_addr,city,province,postal_code,phone,provider
139,Westcoast Native Health Care Society,Assisted Living,Island Health,Tsawaayuus (Rainbow Gardens),-124.8485097,49.2700639,6222 Compton Rd,Port Alberni,BC,V9Y 7B8,(250) 724-5655,Province of British Columbia
140,Sienna-Baltic (Mariposa) Inc.,Assisted Living,Interior Health,Mariposa Gardens,-119.4770583,49.034727,8816 97th Street,Osoyoos,BC,V0H 1V5,(250) 495-8124,Province of British Columbia
141,The Royale LP,Assisted Living,Fraser Health,Astoria Retirement Residence,-122.780012,49.259309,2245 Kelly Avenue,Port Coquitlam,BC,V3C 0B1,(604) 944-2341,Province of British Columbia
142,Northern Health Authority,Assisted Living,Northern Health,Gateway Lodge - Northern Health Authority,-122.7528145,53.9056389,1462 - 20th Avenue,Prince George,BC,V2L 0B3,(250) 645-6100,Province of British Columbia
143,Berwick Investments Ltd.,Assisted Living,Island Health,Berwick on the Lake,-124.0036075,49.2100736,3201 Ross Road,Nanaimo,BC,V9T 6L9,(250) 729-7995,Province of British Columbia
144,Berwick Retirement Royal Oak,Assisted Living,Island Health,Berwick Royal Oak,-123.3874866,48.5031019,4680 Elk Lake Drive,Victoria,BC,V8Z 0B4,(250) 386-4680,Province of British Columbia
145,Harrison Pointe Inc.,Assisted Living,Fraser Health,Harrison Pointe,-122.6237865,49.09714,21616 52nd Avenue,Langley,BC,V2Y 1L7,(604) 530-1101,Province of British Columbia
146,Berwick Investments Ltd.,Assisted Living,Interior Health,Berwick on the Park,-120.3371268,50.6578025,60 Whiteshield Crescent South,Kamloops,BC,V2E 2S9,(250) 377-7275,Province of British Columbia
147,Chetwynd Senior Citizens Housing,Assisted Living,Northern Health,Surerus Place,-121.6403206,55.6980704,5353 - 47th Avenue,Chetwynd,BC,V0C 1J0,(250) 788-3736,Province of British Columbia
148,Golden Life Management Corp.,Assisted Living,Interior Health,Lake View Village,-117.2714026,49.5095412,1020 - 7th Street,Nelson,BC,V1L 0A2,(250) 352-0051,Province of British Columbia
149,HCN Revera Lessee (Hollyburn House) GP Inc,Assisted Living,Vancouver Coastal,Hollyburn House,-123.167157,49.3299082,2095 Marine Drive,West Vancouver,BC,V7V 4V5,(604) 922-7616,Province of British Columbia
150,Scottsdale House Ltd,Assisted Living,Fraser Health,Scottsdale House,-122.8966099,49.1342868,11779 72nd Ave,Delta,BC,V4E 3B9,(604) 572-9550,Province of British Columbia
151,Casa Living Inc.,Assisted Living,Fraser Health,The Wesbrooke,-122.6932986,49.2205915,12000 190A Street,Pitt Meadows,BC,V3Y 0E4,(604) 460-7006,Province of British Columbia
152,M'akola Housing Society,Assisted Living,Island Health,Ts'i'ts'uwatul' Lelum,-123.7081958,48.775945,5755 Allenby Road,Duncan,BC,V9L 0E6,(250) 597-2252,Province of British Columbia
153,Swedish Canadian Rest Home Association,Assisted Living,Fraser Health,Swedish Assisted Living Residence,-122.9518022,49.267425,7230 Halifax Street,Burnaby,BC,V5A 0B2,(604) 420-1124,Province of British Columbia
154,Chartwell Retirement Residences,Assisted Living,Fraser Health,Carrington House,-122.3198366,49.1390997,32679 6th Ave,Mission,BC,V2V 1Y8,(604) 826-4747,Province of British Columbia
155,Heshun Rosewood Senior Centre Inc.,Assisted Living,Fraser Health,Heshun Rosewood Senior Centre,-122.5984433,49.2159184,11742 225 Street,Maple Ridge,BC,V2X 6E4,(604) 463-1078,Province of British Columbia
156,Berwick Retirement Comox Ltd.,Assisted Living,Island Health,Berwick Comox Valley,-124.9221833,49.6727148,1700 Comox Avenue,Comox,BC,V9M 4H4,(250) 339-1690,Province of British Columbia
157,Pathway to Freedom Recovery Society,Assisted Living,Fraser Health,Pathway to Freedom - 9034 Prince Charles,-122.8652873,49.166834,9034 Prince Charles Blvd,Surrey,BC,V3V1R5,(604) 496-0772,Province of British Columbia
158,Maria Rosario de Vera Martinez (Rose),Assisted Living,Fraser Health,Clover Heights Retirement Home,-122.7128453,49.1151396,6209 - 184th Street,Surrey,BC,V3S 8B1,(604) 372-1131,Province of British Columbia
159,The Realistic Success Recovery Society,Assisted Living,Fraser Health,Realistic Success - Trilogy House One,-122.8482177,49.1480086,13516 80th Ave,Surrey,BC,V8W 3C1,(778) 885-4369,Province of British Columbia
160,The Realistic Success Recovery Society,Assisted Living,Fraser Health,Realistic Success - Trilogy House Four,-122.852393,49.1452475,13358 78A Ave,Surrey,BC,V8W 7B7,(778) 885-4369,Province of British Columbia
161,The Realistic Success Recovery Society,Assisted Living,Fraser Health,Realistic Success - Trilogy House Two,-122.8480055,49.1483087,13519 80th Ave,Surrey,BC,V3W 3C2,(778) 885-4369,Province of British Columbia
162,CSH-HCN LESSEE (IMPERIAL) LP,Assisted Living,Fraser Health,Imperial Place Retirement Residence,-122.8383224,49.1879219,13853 102nd Ave,Surrey,BC,V3T5P6,(604) 581-1555,Province of British Columbia
163,BC New Hope Recovery Society,Assisted Living,Northern Health,Baldy Hughes Therapeutic Community,-122.9342,53.6172363,34000 Blackwater Rd,Prince George,BC,V2N 6H1,(250) 964-3136,Province of British Columbia
164,Chartwell Retirement Residences,Assisted Living,Fraser Health,Crescent Gardens,-122.7667834,49.0244562,1222 King George Highway,Surrey,BC,V4A 9W6,(604) 541-8861,Province of British Columbia
165,City Centre Care Society,Assisted Living,Vancouver Coastal,Cooper Place,-123.0970954,49.2819785,306 East Cordova Street,Vancouver,BC,V6A 1L5,(604) 684-2545,Province of British Columbia
166,Chartwell Master Care LP,Assisted Living,Fraser Health,Chartwell Birchwood,-121.9612481,49.1692644,45650 Patten Avenue,Chilliwack,BC,V2P 1S4,(604) 792-8793,Province of British Columbia
167,Place of Refuge Society,Assisted Living,Vancouver Coastal,Place of Refuge,-123.0917971,49.2257723,655 East 49th Ave,Vancouver,BC,V5W 2H1,(604) 324-5011,Province of British Columbia
168,Hope for Freedom Society,Assisted Living,Fraser Health,Hope for Freedom Resurrection House 1,-122.7605748,49.2714483,3237 Liverpool St,Port Coquitlam,BC,V3B 3V5,(604) 464-0475,Province of British Columbia
169,Psalm 23 Transition Society,Assisted Living,Interior Health,Psalm 23 - Training Centre,-121.5152328,51.2228585,115 Cariboo Hwy 97,Clinton,BC,V0K 1K0,(250) 459-2220,Province of British Columbia
170,Psalm 23 Transition Society,Assisted Living,Fraser Health,Psalm 23 -Sober Living,-122.3427611,49.045601,31794 Peardonville Rd,Abbotsford,BC,V2T 1L4,(604) 835-0855,Province of British Columbia
171,Comox Valley Recovery Centre Society,Assisted Living,Island Health,Comox Valley Recovery Centre,-125.0064758,49.6861093,641 Menzies Ave,Courtenay,BC,V9N 3C3,(250) 338-7144,Province of British Columbia
172,VisionQuest Recovery Society,Assisted Living,Fraser Health,VisionQuest - Harte House,-122.8557709,49.1619793,13238 87B Ave,Surrey,BC,V3W 6B8,(604) 743-0598,Province of British Columbia
173,VisionQuest Recovery Society,Assisted Living,Fraser Health,VisionQuest - Discovery House,-122.2985231,49.0512156,33416 George Ferguson Way,Abbotsford,BC,V2S 2L8,(604) 637-6356,Province of British Columbia
174,Yahweh Saves Recovery Ministry,Assisted Living,Fraser Health,Joshua House - Rossland,-122.3214198,49.049235,32575 Rossland Pl,Abbotsford,BC,V2T 3S8,(604) 556-7390,Province of British Columbia
175,North Island Supportive Recovery Society,Assisted Living,Island Health,Second Chance Recovery House,-125.2425221,50.0200897,647 Birch Street,Campbell River,BC,V9W GY4,(250) 830-1103,Province of British Columbia
176,Island Crisis Care Society,Assisted Living,Island Health,Island Crisis Care Society Hirst House,-124.3104481,49.3193687,151 East Hirst Ave,Parksville,BC,V9P 2G4,(250) 954-3268,Province of British Columbia
177,Chartwell Master Care LP,Assisted Living,Fraser Health,Chartwell Willow Retirement Community,-122.6019985,49.2253028,12275 - 224th St,Maple Ridge,BC,V2X 6H5,(604) 466-8602,Province of British Columbia
178,Freedom House Recovery Society,Assisted Living,Fraser Health,Freedom House 13765 & 13767 - 105 Ave,-122.8406361,49.193639,13765 - 105 Ave,Surrey,BC,V3T 2A1,(604) 970-2956,Province of British Columbia
179,North Island Crisis and Counselling Centre Society,Assisted Living,Island Health,New Beginnings,-127.4933266,50.7226457,8735 Hastings St,Port Hardy,BC,V0N 2P0,(250) 949-8333,Province of British Columbia
180,Campbell River and North Island Transition Society,Assisted Living,Island Health,Ann Elmore House,-125.2411919,50.0195231,608 Alder Street,Campbell River,BC,V9W 2P2,(250) 286-3666,Province of British Columbia
181,Canadian Mental Health Association - Pt. Alberni Branch,Assisted Living,Island Health,Port House,-124.8011143,49.2472741,4527 Morton St,Port Alberni,BC,V9Y 3T5,(250) 724-2279,Province of British Columbia
182,Changing Addictive Attitudes Recovery Society of BC,Assisted Living,Vancouver Coastal,Reaching Out - Cordova,-123.0900118,49.2818509,678-680 E Cordova St,Vancouver,BC,V6A 1L8,(778) 997-0270,Province of British Columbia
183,L.I.F.E. Recovery Association,Assisted Living,Fraser Health,LIFE Recovery Association - First Stage,-122.3463775,49.0511241,2693 Braeside Street,Abbotsford,BC,V2T 2R5,(604) 855-4440,Province of British Columbia
184,Luke 15 House Society,Assisted Living,Fraser Health,Luke 15 House,-122.8940963,49.1828144,11861 99th Ave,Surrey,BC,V3V 2M3,(604) 930-4884,Province of British Columbia
185,Axis Family Resources Ltd,Assisted Living,Interior Health,Axis Place - Kootenays,-115.7594109,49.5168541,1512 5th Street North,Cranbrook,BC,V1C 3M2,(250) 489-2110,Province of British Columbia
186,It's Up To You Recovery House Society,Assisted Living,Fraser Health,It's Up To You - 100th Ave,-122.8625125,49.1845839,12991 100th Ave,Surrey,BC,V3T 1G9,(604) 723-6326,Province of British Columbia
187,Barb's 2nd Stage Transitional Housing,Assisted Living,Fraser Health,Barb's Second Stage - Lilac House,-122.326832,49.0468781,2467 Lilac Cres,Abbotsford,BC,V2T 1P5,(604) 820-9224,Province of British Columbia
188,Barb's 2nd Stage Transitional Housing,Assisted Living,Fraser Health,Barb's Second Stage - McRae House,-122.3244609,49.1440712,32509 McRae Ave,Mission,BC,V2V 2L6,(604) 820-9224,Province of British Columbia
189,Yahweh Saves Recovery Ministry,Assisted Living,Fraser Health,Joshua House - Hopedale,-122.3388772,49.0539426,31962 Hopedale Ave,Abbotsford,BC,V2T 2G7,(604) 504-0477,Province of British Columbia
190,Yahweh Saves Recovery Ministry,Assisted Living,Fraser Health,Joshua House - Springhill,-122.3525867,49.0520294,2742 Springhill Street,Abbotsford,BC,V2T3V9,(604) 851-2138,Province of British Columbia
191,Island Crisis Care Society,Assisted Living,Island Health,Island Crisis Care Society The Bridge,-123.9373468,49.1482232,870 Victoria Rd,Nanaimo,BC,V9R 4R8,(250) 716-3414,Province of British Columbia
192,Path to Freedom Addiction Treatment and Educational Society,Assisted Living,Fraser Health,Path to Freedom,-122.7378824,49.1083233,5826 175 St,Surrey,BC,V3S4B5,(604) 575-4955,Province of British Columbia
193,Berwick Investments Ltd.,Assisted Living,Island Health,Berwick House,-123.3336487,48.4755032,4062 Shelbourne Street,Victoria,BC,V8N 3E6,(250) 721-4062,Province of British Columbia
194,Seven Sacred Fires,Assisted Living,Fraser Health,Seven Sacred Fires,-122.8445098,49.2034651,13630-110A Ave,Surrey,BC,V3R 2B1,(604) 788-4666,Province of British Columbia
195,Set Free Ministries Society Inc,Assisted Living,Fraser Health,Samaritan Inn - Pandora House,-122.3181101,49.0362298,32706 Pandora Ave,Abbotsford,BC,V2T 3X1,(780) 880-0466,Province of British Columbia
196,Set Free Ministries Society Inc,Assisted Living,Fraser Health,Samaritan Inn - Meadows House,-122.332065,49.0415759,2176 Meadows Street,Abbotsford,BC,V2T 3A6,(778) 880-0466,Province of British Columbia
197,Launching Pad Addiction Rehabilitation Society,Assisted Living,Fraser Health,Launching Pad Addiction Rehabilitation Society,-122.7789867,49.0199654,984-160 Street,Surrey,BC,V4A 4W5,(604) 536-3022,Province of British Columbia
198,Island Crisis Care Society,Assisted Living,Island Health,Island Crisis Care Society Safe Harbour House,-123.9373641,49.1481425,880 Victoria Rd,Nanaimo,BC,V9R 4R8,(250) 716-3414,Province of British Columbia
199,Island Crisis Care Society,Assisted Living,Island Health,Island Crisis Care Society Crescent House,-123.9671031,49.1835574,1126 Seafield Cresent,Nanaimo,BC,V9S 5K5,(250) 716-3402,Province of British Columbia
200,Hope for Freedom Society,Assisted Living,Fraser Health,Hope for Freedom Resurrection House 5,-122.7757143,49.2689557,3075 Shaughnessy St,Port Coquitlam,BC,V3B 4K9,(604) 464-0475,Province of British Columbia
201,Night and Day Recovery Centre Ltd,Assisted Living,Fraser Health,Night and Day Recovery (104 Ave),-122.8187047,49.1913447,14556 104 Ave,Surrey,BC,V3R 1M2,(604) 496-0940,Province of British Columbia
202,Night and Day Recovery Centre Ltd,Assisted Living,Fraser Health,Night and Day Recovery (9652 Salal Place),-122.8547917,49.1778715,9652 Salal Place,Surrey,BC,V3T 5A6,(604) 496-3163,Province of British Columbia
203,Diversicare dba Heritage Retirement Inc,Assisted Living,Interior Health,The Heritage Retirement Residence,-119.628559,49.8320163,3630 Brown Rd,Kelowna,BC,V4T 7Y9,(250) 768-9926,Province of British Columbia
204,Giving Back Support Recovery Society,Assisted Living,Vancouver Coastal,Giving Back Support Recovery,-123.0755933,49.2524569,3608 Knight Street,Vancouver,BC,V5N 3L5,(604) 874-8555,Province of British Columbia
205,John Volken Academy Society,Assisted Living,Fraser Health,John Volken Academy Main (Men's Dorm),-122.8459652,49.1268578,6833 King George Blvd,Surrey,BC,V3W 5A1,(604) 592-3001,Province of British Columbia
206,New Vision Supportive Housing Society,Assisted Living,Fraser Health,New Vision Sullivan House,-122.8254298,49.1338768,14325 72nd Ave,Surrey,BC,V3W 2P9,(604) 866-5889,Province of British Columbia
207,VisionQuest Recovery Society,Assisted Living,Interior Health,VisionQuest - The Lake,-120.869521,50.5622019,7185 Tunkwa Lake Rd,Logan Lake,BC,V0K 1W0,(250) 523-9411,Province of British Columbia
208,Leo Wertman Residences Ltd.,Assisted Living,Vancouver Coastal,Legacy Senior Living - The Leo Wertman Residence,-123.1186063,49.2339416,611 West 41 Ave,Vancouver,BC,V5Z 0C7,(604) 240-8550,Province of British Columbia
209,Berwick Retirement Campbell River Ltd.,Assisted Living,Island Health,Berwick By The Sea,-125.2454805,50.0293705,1353 16th Ave,Campbell River,BC,V9W 2C9,(250) 850-1353,Province of British Columbia
210,Era Assisted Living Inc.,Assisted Living,Fraser Health,Era Assisted Living Inc.,-122.791636,49.1563924,15546 84A Ave,Surrey,BC,V3S 6P6,(778) 722-7849,Province of British Columbia
211,Pleasant View Housing Society,Assisted Living,Fraser Health,Pleasant View,-122.3316098,49.138258,7530 Hurd St,Mission,BC,V2V 3H9,(604) 826-2154,Province of British Columbia
212,Adult & Teen Challenge Society of BC,Assisted Living,Interior Health,Teen Challenge BC - Okanagan Men's Centre,-119.4190913,50.0078386,4550 Glenmore Rd,Lake Country,BC,V4V 1L7,(604) 575-3930,Province of British Columbia
213,Revolution Recovery Ltd,Assisted Living,Fraser Health,Revolution Recovery House Four,-122.8257586,49.1380945,14362 74A Ave,Surrey,BC,V3W 0N3,(604) 379-7244,Province of British Columbia
214,Nanaimo District Senior Citizens' Housing Development Society,Assisted Living,Island Health,Kiwanis House,-123.969185,49.186109,1233 Kiwanis Cres,Nanaimo,BC,V9S 5Y1,(250) 753-6471,Province of British Columbia
215,St. Patrick's House Society,Assisted Living,Northern Health,St. Patrick's House,-122.7649132,53.9075611,1735 Yew St,Prince George,BC,V2L 2X3,(250) 564-5530,Province of British Columbia
216,Pathway to Freedom Recovery Society,Assisted Living,Fraser Health,Pathway to Freedom - 9031 Prince Charles,-122.8656255,49.1671051,9031 Prince Charles Blvd,Surrey,BC,V3V 1R7,(604) 496-0772,Province of British Columbia
217,Pathway to Freedom Recovery Society,Assisted Living,Fraser Health,Pathway to Freedom - 9376 Prince Charles,-122.8622885,49.1730717,9376 Prince Charles Blvd,Surrey,BC,V3V 2H9,(604) 496-0772,Province of British Columbia
218,Lookout Housing and Health Society,Assisted Living,Fraser Health,Macmillan House,-122.8248572,49.205906,11184 143A Street,Surrey,BC,V3R 3M8,(604) 255-0340,Province of British Columbia
219,Fraserside Community Services Society,Assisted Living,Fraser Health,Bear Creek House,-122.8401997,49.1629379,13799 88th Ave,Surrey,BC,V3W 3L2,(604) 503-6050,Province of British Columbia
220,Bon Accord Care Services Ltd,Assisted Living,Fraser Health,Bon Accord House,-122.8839527,49.0517947,2695 McBride Ave,Surrey,BC,V4A 3E9,(604) 535-3167,Province of British Columbia
221,Freedom House Recovery Society,Assisted Living,Fraser Health,Freedom House 13755 - 105 Ave,-122.8408962,49.1936467,13755-105 Ave,Surrey,BC,V3T 2A1,(604) 970-2956,Province of British Columbia
222,New Vision Supportive Housing Society,Assisted Living,Fraser Health,New Vision Renaissance Recovery House,-122.8643971,49.1863326,10106 129 St,Surrey,BC,V3T 3G7,(604) 866-5889,Province of British Columbia
223,Ruth & Naomi's Mission,Assisted Living,Fraser Health,Oasis Residential Addiction Treatment Services for Men,-121.9643974,49.1475368,45466 Yale Road West,Chilliwack,BC,V2R3Z8,(604) 795-2322,Province of British Columbia
224,The Bridge Youth and Family Services Society,Assisted Living,Interior Health,Bridgeway Residential Treatment,-119.3903898,49.8878207,265 Gray Rd,Kelowna,BC,V1X 1W8,(250) 763-0456,Province of British Columbia
225,New Vision Supportive Housing Society,Assisted Living,Fraser Health,New Vision Revival Recovery House,-122.8571301,49.174525,9449 132 Street,Surrey,BC,V3V 5R2,(604) 866-5889,Province of British Columbia
226,New Vision Supportive Housing Society,Assisted Living,Fraser Health,New Vision Traditions Recovery House,-122.8731584,49.1804787,9782 126 Street,Surrey,BC,V3V 5E4,(604) 866-5889,Province of British Columbia
227,Revolution Recovery Ltd,Assisted Living,Fraser Health,Revolution Recovery House Three,-122.8257519,49.1116834,14318 60th Ave,Surrey,BC,V3X 2N5,(604) 379-7244,Province of British Columbia
228,New Vision Society,Assisted Living,Fraser Health,New Vision Top of the Hill Recovery Centre,-122.8710194,49.1914715,10386 127 St,Surrey,BC,V3V 5J9,(604) 866-5889,Province of British Columbia
229,Fraserside Community Services Society,Assisted Living,Fraser Health,Fraserdale Long Stay Program,-122.977399,49.2497322,5938 Sprott St,Burnaby,BC,V5G 1V1,(604) 299-5253,Province of British Columbia
230,Together We Can Drug & Alcohol Recovery and Education Society,Assisted Living,Fraser Health,Together We Can - Straight Path,-122.8629158,49.1857218,12971 100A Avenue,Surrey,BC,V3T 1J8,(778) 293-0603,Province of British Columbia
231,BC Teen Challenge,Assisted Living,Fraser Health,Teen Challenge BC - Chilliwack Men's Centre,-122.0556232,49.0772149,4166 Eckert St,Chilliwack,BC,V2R 5J6,(604) 575-3930,Province of British Columbia
232,Netherlands Reformed Congregation of Chilliwack,Assisted Living,Fraser Health,Sunset Manor,-121.9331431,49.1641397,Unit 2 8920 Broadway St,Chilliwack,BC,V2P 5W1,(604) 702-0457,Province of British Columbia
233,Keystone Recovery Society,Assisted Living,Fraser Health,Keystone Recovery Society,-122.8577799,49.1357006,13165 - 73 Ave,Surrey,BC,V3W 2R4,(778) 808-6060,Province of British Columbia
234,Brookdale House Ltd,Assisted Living,Fraser Health,Brookdale House,-122.3664137,49.0656146,30961 Brookdale Crt,Abbotsford,BC,V2T 5S3,(604) 853-2035,Province of British Columbia
235,Night and Day Recovery Centre Ltd,Assisted Living,Fraser Health,Night and Day Recovery (Punjabi House),-122.8138662,49.1952833,14751 106 Ave,Surrey,BC,V3R 5Y1,(604) 496-7092,Province of British Columbia
236,Night and Day Recovery Centre Ltd,Assisted Living,Fraser Health,Night and Day Recovery (144 St),-122.822852,49.1922871,10442 144 St,Surrey,BC,V3T 4V5,(604) 496-0913,Province of British Columbia
237,Night and Day Recovery Centre Ltd,Assisted Living,Fraser Health,Night and Day Recovery (103 Ave),-122.819961,49.1894267,14522 103 Ave,Surrey,BC,V3R 6A9,(604) 496-0534,Province of British Columbia
238,Ktunaxa Nation Council Society,Assisted Living,Interior Health,Scotty's House,-115.7630426,49.5080892,202 - 13 Avenue South,Cranbrook,BC,V1C 2V8,(250) 919-6500,Province of British Columbia
239,Back on Track Recovery LTD.,Assisted Living,Fraser Health,Back on Track Recovery - The Fortress Unit 1,-122.8345193,49.1823321,9889 140 Street,Surrey,BC,V3T 4M4,778-316-2625,Province of British Columbia
240,Coast Foundation Society,Assisted Living,Fraser Health,Coast Foundation - Riverview,-122.8073297,49.2474719,2601 Lougheed Hwy,Coquitlam,BC,V3C 4J2,(604) 520-3610,Province of British Columbia
241,Hope for Freedom Society,Assisted Living,Fraser Health,Hope for Freedom - Hilland Lodge,-122.5181829,49.2245653,25402 Hilland Ave,Maple Ridge,BC,V4R 1G3,(604) 380-3665,Province of British Columbia
242,Edgemont Senior Living Inc.,Assisted Living,Vancouver Coastal,Amica Edgemont Village,-123.1009669,49.3385374,3225 Highland Blvd,North Vancouver,BC,V7R 0A3,(604) 929-6361,Province of British Columbia
243,1058016BCLTD,Assisted Living,Fraser Health,Cedars at Panorama Ridge,-122.8472411,49.1264267,6811 135A Street,Surrey,BC,V3W 4X2,(250) 733-2006,Province of British Columbia
244,InnerVisions Recovery Society,Assisted Living,Fraser Health,Hammond House,-122.6516919,49.2066449,20581B Maple Crescent,Maple Ridge,BC,V2X 1R7,(604) 465-3228,Province of British Columbia
245,Penticton Recovery Resource Society,Assisted Living,Interior Health,Discovery House,-119.5972816,49.4961705,397 Wade Ave. W.,Penticton,BC,V2A 1V2,(250) 490-3076,Province of British Columbia
246,"MPA - Motivation, Power and Achievement Society",Assisted Living,Fraser Health,Beckman Apartments,-122.6226821,49.2213348,12036 - 216 Street,Maple Ridge,BC,V2X 5J3,(604) 380-1881,Province of British Columbia
247,MERD Antonio Group Ltd,Assisted Living,Fraser Health,Garden Lodge,-122.8020219,49.1590623,15196 86 Avenue,Surrey,BC,V3S 4Y1,(604) 590-2589,Province of British Columbia
248,Into Action Recovery Society,Assisted Living,Fraser Health,Into Action House 1,-122.8558058,49.1620704,13222 87B Avenue,Surrey,BC,V3W 6B8,(778) 231-8565,Province of British Columbia
249,Randy (Cole) Iszak,Assisted Living,Fraser Health,Back on Track House Five,-122.8144248,49.1505187,8067 147th Street,Surrey,BC,V3S 9T9,(604) 594-7750,Province of British Columbia
250,R. Cole Izsak,Assisted Living,Fraser Health,Back on Track House Six,-122.8159541,49.1666206,14669 90 Ave,Surrey,BC,V3R 1A5,(778) 316-2625,Province of British Columbia
251,Dora MacQuarrie,Assisted Living,Interior Health,Serenity Acres,-119.6990309,50.8201237,6188 VLA Road,Chase,BC,V0E 1M1,(250) 679-3530,Province of British Columbia
252,MPA Society,Assisted Living,Fraser Health,Glacierview Apartments,-122.3063657,49.0377195,33134 Marshall Road,Abbotsford,BC,V2S 1K5,(604) 809-7364,Province of British Columbia
253,InnerVisions Recovery Society,Assisted Living,Fraser Health,Miller House,-122.6516919,49.2066449,20581 A Maple Crescent,Maple Ridge,BC,V2X 1R7,(604) 465-3228,Province of British Columbia
254,Karis Support Society,Assisted Living,Interior Health,Karis Support Society,-119.4913599,49.881377,550 Rowcliffe Avenue,Kelowna,BC,V1Y 5Y9,250-860-9507,Province of British Columbia
255,It's Up To You Recovery House Society,Assisted Living,Fraser Health,It's Up To You - Site 3,-122.8541659,49.209,13272 113B Ave,Surrey,BC,V3R 2K9,(604) 723-6326,Province of British Columbia
256,Hope for Freedom Society,Assisted Living,Fraser Health,Hope for Freedom Oxford House,-122.7673811,49.2694271,3135 Oxford Street,Port Coquitlam,BC,V3B 4C4,(604) 464-0475,Province of British Columbia
257,Talitha Koum Society,Assisted Living,Fraser Health,Talitha Koum Society - Starr House,-122.8431436,49.2631387,1820 Como Lake Avenue,Coquitlam,BC,V3J3P8,604-492-3393,Province of British Columbia
258,Langley Seniors Village 3 LLP,Assisted Living,Fraser Health,Langley Seniors Village,-122.6582236,49.1209898,20363-65th Ave,Langley,BC,V2Y 3E3,(604) 539-9934,Province of British Columbia
259,Maple Ridge Seniors Village 3 LLP,Assisted Living,Fraser Health,Maple Ridge Seniors Village,-122.6084592,49.2193789,22141-119th Ave,Maple Ridge,BC,V2X 2Y7,(604) 466-3053,Province of British Columbia
260,Nanaimo Seniors Village 3 LLP,Assisted Living,Island Health,Nanaimo Seniors Village,-124.0386077,49.2364583,6085 Uplands Drive,Nanaimo,BC,V9V 1T8,(250) 729-9524,Province of British Columbia
261,Amandeep Kaur Rai,Assisted Living,Fraser Health,Night and Day (108A Ave),-122.8155453,49.1998109,14677 108A Ave,Surrey,BC,V3R 1W7,(604) 496-7075,Province of British Columbia
262,Revolution Recovery LTD,Assisted Living,Fraser Health,Revolution Recovery 60th Ave,-122.8214979,49.1120083,14465 60th Avenue,Surrey,BC,V3S 1R4,(778) 591-8064,Province of British Columbia
263,Wellesley Seniors Village 3 LLP,Assisted Living,Island Health,Wellesley Seniors Village,-123.3644222,48.4403101,2800 Blanshard Street,Victoria,BC,V8T 5B5,(250) 383-9099,Province of British Columbia
264,Williams Lake Seniors 3 LLP,Assisted Living,Interior Health,Williams Lake Seniors Village,-122.1593926,52.1520084,1455 Western Ave,Williams Lake,BC,V2G 5N1,(250) 305-1131,Province of British Columbia
265,Nihal Maligaspe,Assisted Living,Northern Health,Redwood Residence,-122.4562579,52.974107,1901 Alder Rd,Quesnel,BC,V2J 3T3,(778) 466-5400,Province of British Columbia
266,Ross Place Seniors Residence Society,Assisted Living,Island Health,Ross Place Retirement Residence,-123.3654353,48.4376299,2638 Ross Lane,Victoria,BC,V8T 5M4,(250) 361-2150,Province of British Columbia
267,The Hamlets at Vernon Residence Inc,Assisted Living,Interior Health,The Hamlets at Vernon,-119.2714963,50.2628515,3050 29 Ave,Vernon,BC,V1T 9Y9,(236) 426-1488,Province of British Columbia
268,Saanich Senior Living Inc.,Assisted Living,Island Health,Amica on the Gorge,-123.4194668,48.4533074,994 Gorge Road W,Victoria,BC,V9A 1P2,250-220-8000,Province of British Columbia
269,Robert Cecil Jones,Assisted Living,Fraser Health,Pathway to Freedom House 5,-122.8614008,49.1681443,9101 Prince Charles Blvd,Surrey,BC,V3V 1R9,778-888-7617,Province of British Columbia
270,Pioneer Community Living Association,Assisted Living,Fraser Health,Lina's Place,-122.9330402,49.2066339,1307 - 1309 Sixth Ave,New Westminster,BC,V3M 3C2,(604) 522-5390,Province of British Columbia
271,Stepping Stones Recovery House for Women,Assisted Living,Island Health,Stepping Stones Recovery House for Women,-125.0094248,49.6765561,1535 Burgess Rd,Courtenay,BC,V9N 5R8,(250) 897-0360,Province of British Columbia
272,Tapestry WV Limited Partnership,Assisted Living,Vancouver Coastal,Tapestry at Wesbrook Village,-123.234744,49.2545548,3338 Wesbrook Mall,Vancouver,BC,V6S 0A6,(604) 225-5000,Province of British Columbia
273,Turning Points Collaborative Society,Assisted Living,Interior Health,Bill's Place Addictions Recovery Program,-119.2650755,50.2745478,2504 - 43 Ave,Vernon,BC,V1T 3K9,(250) 549-6144,Province of British Columbia
274,Back on Track,Assisted Living,Fraser Health,Back on Track Recovery - The Fortress Unit 2,-122.8345193,49.1823321,9889 140 St,Surrey,BC,V3T 4M4,(778) 316-2625,Province of British Columbia
275,Rosemary Heights Seniors Village 3 LLP,Assisted Living,Fraser Health,Rosemary Heights Seniors Village,-122.8006006,49.0635552,15240- 34th Ave,Surrey,BC,V3S 2J9,(778) 545-5000,Province of British Columbia
276,Selkirk Seniors Village 3 LLP,Assisted Living,Island Health,Selkirk Seniors Village,-123.3784494,48.4421823,385 Waterfront Crescent,Victoria,BC,V8T 5K7,(250) 940-1028,Province of British Columbia
