,idx,facility_name,health_authority,alternative_name,longitude,latitude,street_addr,city,province,postal_code,provider,filename
102,102,Centre métropolitain de chirurgie plastique Inc.,RLS d'Ahuntsic - Montréal-Nord,Centre métropolitain de chirurgie plastique Inc.,-73.6929397583,45.5454483032,"999, rue de Salaberry",Montréal,QC,H3L1L2,Province of Quebec,QC_healthcare_establishments.csv
103,103,Hôpital Mont-Sinai,RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,Hôpital Mont-Sinai,-73.6573410034,45.4738426208,"5690, boulevard Cavendish",Montréal,QC,H4W1S7,Province of Quebec,QC_healthcare_establishments.csv
104,104,Hôpital Shriners pour enfants (Québec) Inc.,RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,Hôpital Shriners pour enfants (Québec) Inc.,-73.6019973755,45.4717750549,"1003, boulevard Décarie",Montréal,QC,H4A0A9,Province of Quebec,QC_healthcare_establishments.csv
105,105,Accueil du Rivage Inc.,RLS de Richelieu-Yamaska,Accueil du Rivage Inc.,-73.1733551025,45.7780685425,"1008, rue du Rivage",La Vallée-du-Richelieu,QC,J0L1R0,Province of Quebec,QC_healthcare_establishments.csv
106,106,Institut universitaire de cardiologie et de pneumologie de Québec – Université Laval,RLS de Québec-Sud,IUCPQ – UL,-71.2976608276,46.7790908813,"2725, chemin Sainte-Foy",Québec,QC,G1V4G5,Province of Quebec,QC_healthcare_establishments.csv
107,107,Manoir St-Patrice inc.,RLS de Laval,Manoir St-Patrice inc.,-73.7410354614,45.5418167114,"3615, boulevard Perron",Laval,QC,H7V1P4,Province of Quebec,QC_healthcare_establishments.csv
108,108,Institut universitaire en santé mentale Douglas,RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,Institut universitaire en santé mentale Douglas,-73.5843582153,45.4421348572,"6875, boulevard Lasalle",Montréal,QC,H4H1R3,Province of Quebec,QC_healthcare_establishments.csv
109,109,CHSLD Juif de Montréal,RLS de Côte-des-Neiges - Métro - Parc-Extension,CHSLD Juif de Montréal,-73.6337585449,45.4929847717,"5725, avenue Victoria",Montréal,QC,H3W3H6,Province of Quebec,QC_healthcare_establishments.csv
110,110,Centre de santé et de services sociaux - Institut universitaire de gériatrie de Sherbrooke,RLS de Sherbrooke,CSSS- Institut universitaire de gériatrie de Sherbrooke,-71.8951034546,45.3906669617,"1036, rue Belvédère Sud",Sherbrooke,QC,J1H4C4,Province of Quebec,QC_healthcare_establishments.csv
111,111,Centre d'accueil Le Programme de Portage Inc.,RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,Centre d'accueil Le Programme de Portage inc.,-73.5725097656,45.4918365479,"865, place Richmond",Montréal,QC,H3J1V8,Province of Quebec,QC_healthcare_establishments.csv
112,112,Conseil cri de la santé et des services sociaux de la Baie James,,CCSSS de la Baie James,-78.8957366943,53.7826538086,Case postale 250,Eeyou Istchee,QC,J0M1E0,Province of Quebec,QC_healthcare_establishments.csv
113,113,La Maison Michel Sarrazin,RLS de Québec-Sud,La Maison Michel Sarrazin,-71.2515945435,46.7734794617,"2101, chemin Saint-Louis",Québec,QC,G1T1P5,Province of Quebec,QC_healthcare_establishments.csv
114,114,Villa Belle Rive Inc.,RLS d'Ahuntsic - Montréal-Nord,Villa Belle Rive Inc.,-73.6356506348,45.6135787964,"5320, boulevard Gouin Est",Montréal,QC,H1G1B4,Province of Quebec,QC_healthcare_establishments.csv
115,115,Bande Indienne des Montagnais de Sept-Iles et Maliotenam,RLS de Sept-Îles,Bande Ind. des Montagnais de Sept-Iles et Maliotenam,-66.4036636353,50.2211761475,"1089, avenue de Quen",Sept-Rivières,QC,G4R4L9,Province of Quebec,QC_healthcare_establishments.csv
116,116,Conseil de la Nation Huronne Wendat,RLS de Québec-Nord,Conseil de la Nation Huronne Wendat,-71.3571166992,46.8625564575,"255, place Chef Michel Laveau",Québec,QC,G0A4V0,Province of Quebec,QC_healthcare_establishments.csv
117,117,Pekuakamiulnuatsh Takuhikan,RLS du Domaine-du-Roy,Pekuakamiulnuatsh Takuhikan,-72.2292785645,48.5763092041,"1671, rue Ouiatchouan",Le Domaine-du-Roy,QC,G0W2H0,Province of Quebec,QC_healthcare_establishments.csv
118,118,Conseil des Mohawks de Kahnawake,RLS de Jardins-Roussillon,Conseil des Mohawks de Kahnawake,-73.6763534546,45.4138755798,Case postale 720,Roussillon,QC,J0L1B0,Province of Quebec,QC_healthcare_establishments.csv
119,119,88980 Canada Inc.,RLS de Pierrefonds - Lac Saint-Louis,88980 Canada Inc.,-73.8835525513,45.4189491272,"34, avenue Woodland",Montréal,QC,H9W4V9,Province of Quebec,QC_healthcare_establishments.csv
120,120,Centre de santé Inuulitsivik - Inuulitsivik Healthcenter,,Centre de santé Inuulitsivik,-77.2757949829,60.037651062,Chemin Baie d'Hudson,Administration régionale Kativik,QC,J0M1P0,Province of Quebec,QC_healthcare_establishments.csv
121,121,Chateau Westmount Inc.,RLS de Côte-des-Neiges - Métro - Parc-Extension,Chateau Westmount Inc.,-73.6001586914,45.4771652222,"4860, boulevard De Maisonneuve Ouest",Montréal,QC,H3Z3G2,Province of Quebec,QC_healthcare_establishments.csv
122,122,Centre d'hébergement St-Francois Inc.,RLS de Chicoutimi,Centre d'hébergement St-Francois Inc.,-71.0394973755,48.4230995178,"912, rue Jacques-Cartier Est",Saguenay,QC,G7H2A9,Province of Quebec,QC_healthcare_establishments.csv
123,123,Placements M.G.O. Inc.,RLS de Laval,Placements M.G.O. Inc.,-73.6474456787,45.6865501404,"5855, rue Boulard",Laval,QC,H7B1A3,Province of Quebec,QC_healthcare_establishments.csv
124,124,Manoir Soleil Inc.,RLS du Haut-Richelieu - Rouville,Manoir Soleil Inc.,-73.2959899902,45.4613571167,"125, rue Daigneault",La Vallée-du-Richelieu,QC,J3L1G7,Province of Quebec,QC_healthcare_establishments.csv
125,125,Conseil Mohawk d'Akwesasne,RLS du Haut-Saint-Laurent,Conseil Mohawk d'Akwesasne,-74.6025085449,45.0087394714,"95, Snye School road",Le Haut-Saint-Laurent,QC,H0M1A1,Province of Quebec,QC_healthcare_establishments.csv
126,126,Hôpital Ste-Monique inc.,RLS de Québec-Sud,Hopital Ste-Monique Inc.,-71.3263092041,46.8044166565,"4805, boulevard Wilfrid-Hamel",Québec,QC,G1P2J7,Province of Quebec,QC_healthcare_establishments.csv
127,127,Centre d'accueil Saint-Joseph de Lévis Inc.,RLS Alphonse-Desjardins,Centre d'accueil Saint-Joseph de Lévis Inc.,-71.1886901855,46.7991447449,"5445, rue Saint-Louis",Lévis,QC,G6V4G9,Province of Quebec,QC_healthcare_establishments.csv
128,128,Centre d'accueil Marcelle Ferron Inc.,RLS de Champlain,Centre d'accueil Marcelle Ferron Inc.,-73.4943847656,45.446056366,"8600, boulevard Marie-Victorin",Longueuil,QC,J4X1A1,Province of Quebec,QC_healthcare_establishments.csv
129,129,Jardins du Haut Saint-Laurent (1992) Inc.,RLS de Québec-Sud,Jardins du Haut Saint-Laurent (1992) Inc.,-71.3782043457,46.7369422913,"4770, rue Saint-Félix",Québec,QC,G3A1B1,Province of Quebec,QC_healthcare_establishments.csv
130,130,Centre d'hébergement St-Jean-Eudes Inc.,RLS de Québec-Nord,Centre d'hébergement St-Jean-Eudes Inc.,-71.2595214844,46.8505249023,"6000, 3e Avenue Ouest",Québec,QC,G1H7J5,Province of Quebec,QC_healthcare_establishments.csv
131,131,Résidence Sorel-Tracy Inc.,RLS Pierre-De Saurel,Résidence Sorel-Tracy Inc.,-73.1436767578,46.0282249451,"4025, rue Frontenac",Pierre-De Saurel,QC,J3R4G8,Province of Quebec,QC_healthcare_establishments.csv
132,132,2863-9839 Québec Inc.,RLS de Vaudreuil-Soulanges,2863-9839 Québec Inc.,-74.0412597656,45.4034423828,"170, rue Boileau",Vaudreuil-Soulanges,QC,J7V8A3,Province of Quebec,QC_healthcare_establishments.csv
133,133,Centre hospitalier Saint-François inc.,RLS de Québec-Sud,Centre hospitalier Saint-François inc.,-71.2359771729,46.8290405273,"1604, 1re Avenue",Québec,QC,G1L3L6,Province of Quebec,QC_healthcare_establishments.csv
134,134,Centre d'hébergement et de soins de longue durée de La Maison Legault inc.,RLS de Québec-Sud,CHSLD de La Maison Legault inc.,-71.2886199951,46.7577552795,"3035, chemin Saint-Louis",Québec,QC,G1W1R5,Province of Quebec,QC_healthcare_establishments.csv
135,135,Centre d'hébergement et de soins de longue durée Bourget inc.,RLS de Rivière-des-Prairies - Anjou - Montréal-Est,CHSLD Bourget inc.,-73.4927597046,45.6338005066,"11570, rue Notre-Dame Est",Montréal,QC,H1B2X4,Province of Quebec,QC_healthcare_establishments.csv
136,136,Centre d'hébergement et de soins de longue durée Bussey (Québec) inc.,RLS de Dorval - Lachine - Lasalle,CHSLD Bussey (Québec) inc.,-73.683303833,45.4330787659,"2069, boulevard Saint-Joseph",Montréal,QC,H8S4B7,Province of Quebec,QC_healthcare_establishments.csv
137,137,Foyer Saints-Anges de Ham-Nord Inc.,RLS d’Arthabaska-et-de-L’Érable,Foyer Saints-Anges de Ham-Nord Inc.,-71.6477737427,45.9038162231,"493, rue Principale",Arthabaska,QC,G0P1A0,Province of Quebec,QC_healthcare_establishments.csv
138,138,Villa Medica Inc.,RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,Villa Medica Inc.,-73.5687408447,45.5149726868,"225, rue Sherbrooke Est",Montréal,QC,H2X1C9,Province of Quebec,QC_healthcare_establishments.csv
