,idx,facility_name,facility_type,health_authority,alternative_name,number_beds,longitude,latitude,street_addr,province,postal_code,phone,website,provider,filename
114,114,Tudor House,personal_care_homes,Interlake-Eastern,Tudor House,76,-96.8887,50.1518,800 Manitoba Avenue,MB,R1A 2C9,(204) 482-6601,https://mytudor.ca/tudor-house/,Province of Manitoba,MB_personal_care_homes.csv
115,115,Valleyview Care Centre,personal_care_homes,Prairie Mountain Health,Valleyview CC,89,-99.9795,49.8427,3015 Victoria Avenue,MB,R7B 2K2,(204) 728-2030,https://reveraliving.com/en/live-with-us/manitoba/brandon/valleyview,Province of Manitoba,MB_personal_care_homes.csv
116,116,Villa Youville Inc.,personal_care_homes,Southern Health-Santé Sud,Villa Youville Inc.,66,-96.6428,49.6667,15 Chemin Charriére Road,MB,R5H 1C9,(204) 422-5624,http://villayouville.ca/independent-living/?lang=en,Province of Manitoba,MB_personal_care_homes.csv
117,117,Vita & District Personal Care Home,personal_care_homes,Southern Health-Santé Sud,Vita & District PCH,44,-96.5648,49.1363,217 - 1st Avenue West,MB,R0A 2K0,(204) 425-3325,,Province of Manitoba,MB_personal_care_homes.csv
118,118,Wawanesa Health Centre,personal_care_homes,Prairie Mountain Health,Wawanesa HC,20,-99.6929,49.5952,506 George Street,MB,R0K 2G0,(204) 824-2335,,Province of Manitoba,MB_personal_care_homes.csv
119,119,West Park Manor Personal Care Home,personal_care_homes,Winnipeg,West Park Manor PCH,150,-97.2529,49.8594,3199 Grant Avenue,MB,R3R 3R1,(204) 889-3330,http://www.adventisthealth.ca/west-park-manor-personal-care-home/,Province of Manitoba,MB_personal_care_homes.csv
120,120,West-man Nursing Home,personal_care_homes,Prairie Mountain Health,West-man Nursing Home,49,-100.924,49.8551,427 Frame Street East,MB,R0M 2C0,(204) 748-4335,,Province of Manitoba,MB_personal_care_homes.csv
121,121,Westview Lodge,personal_care_homes,Prairie Mountain Health,Westview Lodge,39,-100.06,49.2327,200 Struthers Street,MB,R0K 0E0,(204) 534-2455,,Province of Manitoba,MB_personal_care_homes.csv
122,122,Whitemouth District Health Centre Personal Care Home,personal_care_homes,Interlake-Eastern,Whitemouth District HC PCH,26,-95.9727,49.9555,75 Hospital Street,MB,R0E 2G0,(204) 348-7191,,Province of Manitoba,MB_personal_care_homes.csv
123,123,Willowview Personal Care Home,personal_care_homes,Prairie Mountain Health,Willowview PCH,20,-101.1,49.5621,523 1st Street West,MB,R0M 1X0,(204) 877-3925,,Province of Manitoba,MB_personal_care_homes.csv
124,124,Winnipegosis & District Personal Care Home Inc,personal_care_homes,Prairie Mountain Health,Winnipegosis & District PCH Inc,20,-99.9322,51.6404,230 Bridge Street,MB,R0L 2G0,(204) 656-4881,,Province of Manitoba,MB_personal_care_homes.csv
