idx,facility_name,facility_type,health_authority,longitude,latitude,phone,email,website,provider
176,Walk-in Clinic,Walk In Medical Clinics,Viva Care,-122.845896,49.185883,7783724474.0,,https://vivacare.ca/locations/surrey-central-city/,Province of British Columbia
177,Walk-in Clinic,Walk In Medical Clinics,Viva Care,-122.633878,49.162667,6048821250.0,,https://vivacare.ca/locations/langley-bc/,Province of British Columbia
178,Walk-in Clinic,Walk In Medical Clinics,Veralife Health Centre,-122.801946,49.133691,7785640090.0,info@veralifehealthcentre.com,http://www.veralifehealthcentre.com/contact-us/,Province of British Columbia
179,Walk-in Clinic,Walk In Medical Clinics,Veralife Health Centre,-122.890058,49.155641,6045030520.0,info@veralifehealthcentre.com,http://www.veralifehealthcentre.com/contact-us/,Province of British Columbia
180,Walk-in Clinic,Walk In Medical Clinics,Eljen Medical Clinic,-120.237571,55.749128,2507827525.0,,,Province of British Columbia
181,Walk-in Clinic,Walk In Medical Clinics,yYOUNG Medical Clinic and Pharmacy,-123.100793,49.269917,6049148888.0,clinic@yyoung.com,https://yyoungclinic.com/index.php/walk-in-clinic-2/,Province of British Columbia
182,Walk-in Clinic,Walk In Medical Clinics,Seymour Health Centre,-123.13915,49.265324,6047382151.0,,https://seymourhealth.ca/#services,Province of British Columbia
183,Walk-in Clinic,Walk In Medical Clinics,South Surrey Medical Clinic,-122.783332,49.048561,6045427788.0,,https://www.southsurreymedicalclinic.com/services/walkin-clinic/,Province of British Columbia
184,Walk-in Clinic,Walk In Medical Clinics,Fraser Canyon Clinic,-121.443439,49.378762,6048699966.0,,https://hopemedicalcentre.ca/contact/,Province of British Columbia
185,Walk-in Clinic,Walk In Medical Clinics,Dawson Medical Clinic,-123.011697,49.264467,6045648555.0,,https://dawsonmedicalclinic.ca/,Province of British Columbia
186,Walk-in Clinic,Walk In Medical Clinics,Horizon Access Clinic,-121.967945,49.168381,6043920881.0,,https://suskro90.wixsite.com/horizonaccess/hoursofoperation,Province of British Columbia
187,Walk-in Clinic,Walk In Medical Clinics,123 Walk-in Clinic,-122.315463,49.051786,6047554408.0,,https://123walkinclinic.com/,Province of British Columbia
188,Walk-in Clinic,Walk In Medical Clinics,Highroads Medical Clinics,-122.796608,49.046489,6042654728.0,,https://highroadsmedical.com/south-surrey-medical-clinic,Province of British Columbia
189,Walk-in Clinic,Walk In Medical Clinics,Highroads Medical Clinics,-119.612332,49.840331,2507687656.0,,https://highroadsmedical.com/west-kelowna-medical-clinic,Province of British Columbia
190,Walk-in Clinic,Walk In Medical Clinics,Highroads Medical Clinics,-122.895863,49.251227,6049360411.0,,https://highroadsmedical.com/burnaby-medical-clinic,Province of British Columbia
191,Walk-in Clinic,Walk In Medical Clinics,Live Well Medical Centre,-123.136661,49.148846,6043705010.0,,https://livewellmedicalcentre.com/,Province of British Columbia
192,Walk-in Clinic,Walk In Medical Clinics,Quadra Village Medical Clinic,-123.358897,48.438086,2503835513.0,,https://quadravillagepharmacy.com/medical-clinic/,Province of British Columbia
193,Walk-in Clinic,Walk In Medical Clinics,Mercy Medical Clinic,-122.856333,49.235457,7783983080.0,,http://www.mercymedicalclinics.com/mmccoquitlam.html,Province of British Columbia
194,Walk-in Clinic,Walk In Medical Clinics,Mercy Medical Clinic,-122.892594,49.132875,7783303031.0,,http://www.mercymedicalclinics.com/mmcdelta.html,Province of British Columbia
195,Walk-in Clinic,Walk In Medical Clinics,Mercy Medical Clinic,-122.776408,49.043834,7783585323.0,,http://www.mercymedicalclinics.com/mmcsouthsurrey.html,Province of British Columbia
196,Walk-in Clinic,Walk In Medical Clinics,Parkway Medical Clinic,-123.504347,48.441396,2509404477.0,,,Province of British Columbia
197,Walk-in Clinic,Walk In Medical Clinics,Foothills Medical Clinic,-122.755466,49.293373,7782855859.0,,https://firstcanadianmedical.ca/,Province of British Columbia
198,Walk-in Clinic,Walk In Medical Clinics,Cloverhill Medical Clinic,-122.711505,49.118604,6043723386.0,,https://cloverhillmedical.com/,Province of British Columbia
199,Walk-in Clinic,Walk In Medical Clinics,Caremart Medical,-122.798048,49.279269,7783303041.0,,,Province of British Columbia
200,Walk-in Clinic,Walk In Medical Clinics,Shuswap Providence Medical Clinic,-119.318555,50.694848,2508323377.0,,https://shuswapprovidenceclinic.com/our-hours/,Province of British Columbia
201,Walk-in Clinic,Walk In Medical Clinics,Comox Valley Medical Clinic,-124.981057,49.667209,2508980202.0,,https://comoxvalleywalkinclinic.com/index.html,Province of British Columbia
202,Walk-in Clinic,Walk In Medical Clinics,Edwards Crossing Medical,-121.958392,49.168184,6043929009.0,,,Province of British Columbia
203,Walk-in Clinic,Walk In Medical Clinics,Newgen Medical Centre,-122.845853,49.117601,7785641899.0,,http://newgenmed.ca/walkinclinic.html,Province of British Columbia
204,Walk-in Clinic,Walk In Medical Clinics,Marine Gateway Medical Clinic,-123.11683,49.210379,6042273322.0,,https://www.marinegateway.clinic,Province of British Columbia
205,Walk-in Clinic,Walk In Medical Clinics,Rai Medical Clinic,-122.89095,49.128771,6045904966.0,,,Province of British Columbia
206,Walk-in Clinic,Walk In Medical Clinics,Sterling Centre Clinic,-119.275113,50.260402,7784758311.0,,https://www.sterlingclinic.ca/,Province of British Columbia
207,Walk-in Clinic,Walk In Medical Clinics,First Canadian Medical Clinic,-122.80976,49.191351,7783947480.0,,https://firstcanadianmedical.ca/,Province of British Columbia
208,Walk-in Clinic,Walk In Medical Clinics,Healthway Medical Clinic,-122.662619,49.106097,6042604785.0,,https://sahmcwebsite.z5.web.core.windows.net/Index.html,Province of British Columbia
209,Walk-in Clinic,Walk In Medical Clinics,The Clinic at Clayton Heights,-122.701348,49.132924,7785747202.0,,http://www.clinicatclayton.com/,Province of British Columbia
210,Chilliwack Youth Health Centre,Walk In Medical Clinics,The Divisions of Family Practice,-121.961238,49.134157,,chilliwackyhc@gmail.com,https://chilliwackyhc.com/,Province of British Columbia
211,Chilliwack Youth Health Centre,Walk In Medical Clinics,The Divisions of Family Practice,-121.943036,49.174523,,chilliwackyhc@gmail.com,https://chilliwackyhc.com/,Province of British Columbia
212,Walk-in Clinic,Walk In Medical Clinics,Integrated Wellness Medical Clinic,-123.105667,49.324316,6049715153.0,,https://www.inwellnv.ca/,Province of British Columbia
213,Walk-in Clinic,Walk In Medical Clinics,Carefiniti Health Corporation,-123.109974,49.323719,6049853333.0,,,Province of British Columbia
214,Walk-in Clinic,Walk In Medical Clinics,North Peace Primary Care Clinic,-120.839694,56.247514,2502620016.0,,https://nppcc.ca/#contact,Province of British Columbia
215,Walk-in Clinic,Walk In Medical Clinics,Bella Bella Medical Clinic,-128.143155,52.161197,2509572332.0,,,Province of British Columbia
216,Walk-in Clinic,Walk In Medical Clinics,Bella Coola Medical Clinic,-126.757077,52.373495,2507995342.0,,,Province of British Columbia
217,Walk-in Clinic,Walk In Medical Clinics,Mega Fu Medical,-123.119861,49.178089,7782184104.0,,https://www.jacknathanhealth.com/clinic-finder,Province of British Columbia
218,Walk-in Clinic,Walk In Medical Clinics,Pure Care Clinic,-122.600013,49.219791,6044778800.0,,http://www.purecareclinic.ca/,Province of British Columbia
219,Walk-in Clinic,Walk In Medical Clinics,Beyond Health and Medical Centre,-122.691601,49.11897,6042455797.0,,,Province of British Columbia
220,Walk-in Clinic,Walk In Medical Clinics,Loyal Medical Clinic,-123.12195,49.285409,6044288313.0,,https://www.loyalmedicalclinic.com/,Province of British Columbia
221,Walk-in Clinic,Walk In Medical Clinics,Richmond In-Store Medical Clinic,-123.138509,49.179216,6043037633.0,,https://instoremed.com/,Province of British Columbia
222,Walk-in Clinic,Walk In Medical Clinics,Georgia Medical Clinic,-123.134202,49.292361,6045646644.0,,,Province of British Columbia
223,Walk-in Clinic,Walk In Medical Clinics,Hastings Sunrise Medical Clinic,-123.058284,49.280892,6042533166.0,,https://wellclinics.ca/properties/hastings-sunrise-medical-clinic/,Province of British Columbia
224,Walk-in Clinic,Walk In Medical Clinics,Continuum Medical Care,-123.16017,49.328644,6049138183.0,,http://www.cmcare.ca/walk-in/,Province of British Columbia
225,Walk-in Clinic,Walk In Medical Clinics,Mid-Main Community Health Centre,-123.100611,49.249493,6048733666.0,,https://www.midmain.net/medical/,Province of British Columbia
226,Walk-in Clinic,Walk In Medical Clinics,Denman Medical Centre,-123.141131,49.287963,6044287611.0,,https://denmanmedicalcentre.com/,Province of British Columbia
227,Walk-in Clinic,Walk In Medical Clinics,Coal Harbour Health Centre,-123.123848,49.288023,6045583313.0,,http://chmed2.dignifiedliving.ca/index.php?option=com_content&view=article&id=12&Itemid=113,Province of British Columbia
228,Walk-in Clinic,Walk In Medical Clinics,Westside Medical Associates,-119.563434,49.86601,2507686920.0,,https://www.wsmed.ca/,Province of British Columbia
229,Walk-in Clinic,Walk In Medical Clinics,Una Medical Clinic,-123.127501,49.257857,6047307177.0,,,Province of British Columbia
230,Walk-in Clinic,Walk In Medical Clinics,Keefer Medical Clinic,-123.101951,49.279292,6046747403.0,,https://keefermed.ca/locations/,Province of British Columbia
231,Walk-in Clinic,Walk In Medical Clinics,Green Cross Medical Clinic and Pharmacy,-122.756821,49.117839,6043724503.0,,,Province of British Columbia
232,Walk-in Clinic,Walk In Medical Clinics,Simply Wellness,-123.067617,49.246217,6047099355.0,,https://www.simplywellnesskingsway.com/our-services,Province of British Columbia
233,Walk-in Clinic,Walk In Medical Clinics,iHealthMD Medical Centre,-123.071895,49.319278,6049716767.0,,https://ihealthmd.ca/,Province of British Columbia
234,Walk-in Clinic,Walk In Medical Clinics,Northshore Medical Clinic,-123.106579,49.323377,,,https://northshoremedicalclinic.ca/,Province of British Columbia
235,Walk-in Clinic,Walk In Medical Clinics,Sina Pharmacy and Health Centre,-123.119477,49.279307,6043367462.0,,https://mysina.ca/med/,Province of British Columbia
236,Walk-in Clinic,Walk In Medical Clinics,Turtle Bay Medical Clinic,-119.412485,50.05433,7784806890.0,,https://www.evolvealliedhealth.ca/locations,Province of British Columbia
237,Primary Health Care,Walk In Medical Clinics,Sun Peaks Community Health Centre,-119.886065,50.883631,7786440635.0,,https://sunpeakshealth.com/services/,Province of British Columbia
238,Walk-in Clinic,Walk In Medical Clinics,Kinetic Energy Health and Wellness Centre,-120.328366,50.676672,2508286637.0,,https://www.kamloopskineticenergy.com/walk-in-clinic,Province of British Columbia
239,Walk-in Clinic,Walk In Medical Clinics,Mango Medical Clinic,-123.005725,49.226057,6044234392.0,,http://mangomedical.ca/walkin4/,Province of British Columbia
240,Walk-in Clinic,Walk In Medical Clinics,Civic Family Health Centre,-122.846488,49.162652,6045031159.0,,https://civic-family-health-centre.business.site/,Province of British Columbia
241,Walk-in Clinic,Walk In Medical Clinics,West Coast Family Medical Clinic,-123.721171,48.378844,2506424233.0,,https://westcoastfamilymedical.com/urgent-care/,Province of British Columbia
242,Walk-in Clinic,Walk In Medical Clinics,River City Medical Clinic,-125.248484,50.036017,2502872111.0,,https://www.primacy.ca/locations/river-city/,Province of British Columbia
243,Walk-in Clinic,Walk In Medical Clinics,CareTel Medical Clinic,-122.778586,49.156345,6045472623.0,,https://www.caretel.ca/,Province of British Columbia
