EI Code,EI name,Other Name for EI,Institution Type,Designation Status,Designation Reason,Date of Designation,Date of De-Designation,Address Line 1,Address Line 2,Address Line 3,City,Province,Postal Code,Country,Telephone Number Overseas,Telephone Number,Fax Number
APTB,Body Glamour Institute of Beauty by Anita,,Private Institution,Designated,,2007-08-28,,1919 Lonsdale Avenue,,,North Vancouver,British Columbia,V7M2K3,Canada,(604) 904-4111,(604) 904-4111,(604) 904-4111
APYL,Boucher Institute of Naturopathic Medicine,,Private Institution,Designated,,2001-07-30,,200 - 435 COLUMBIA STREET,,,New Westminster,British Columbia,V3L5N8,Canada,(604) 777-9981,(604) 777-9981,(604) 777-9981
AQEB,BrainStation,,Private Institution,Designated,,2020-04-30,,455 Granville Street,Suite 400,,Vancouver,British Columbia,V6C1T1,Canada,,,
AQBE,Brighton College - Burnaby,,Private Institution,Designated,,2003-05-08,,305 - 4538 Kingsway,,,Burnaby,British Columbia,V5H4T9,Canada,(604) 430-5608,(604) 430-5608,(604) 430-5608
APWB,Brighton College - Surrey,,Private Institution,Designated,,2015-08-03,,217 - 9801 King George BLVD,,,Surrey,British Columbia,V3T 5H5,Canada,(604)587-5608,(604)587-5608,(604)587-5608
APIN,CDI College of Business- Technology & Healthcare - Burnaby,,Private Institution,Designated,,1988-11-22,,500 - 5021 Kingsway,,,Burnaby,British Columbia,V5H4A5,Canada,(604) 850-8585,(604) 850-8585,(604) 850-8585
APUW,CDI College of Business- Technology & Healthcare - Richmond,,Private Institution,Designated,,2009-12-21,,180-4351 No 3 Road,,,Richmond,British Columbia,V6X3A7,Canada,(604) 279-0003,(604) 279-0003,(604) 279-0003
APVP,CDI College of Business- Technology & Healthcare - South Surrey,,Private Institution,Designated,,2012-12-11,,112-14928 56th Ave,,,Surrey,British Columbia,V3S2N5,Canada,(604)915-7288,(604)915-7288,(604)915-7288
APIM,CDI College of Business- Technology & Healthcare - Surrey,,Private Institution,Designated,,1980-01-01,,100-11125 124th Street,,,Surrey,British Columbia,V3V4V2,Canada,(604) 585-8585,(604) 585-8585,(604) 585-8585
APBX,CDI College of Business- Technology & Healthcare - Vancouver,,Private Institution,Designated,,1988-12-21,,4TH Floor 549 Howe Street,,,Vancouver,British Columbia,V6C2C2,Canada,(604) 850-8585,(604) 850-8585,(604) 850-8585
AQCO,CG Masters School of 3D Animation & VFX,,Private Institution,Designated,,2016-03-30,,323 - 800 Carnarvon Street,,,New Westminister,British Columbia,V3M0G3,Canada,(604)553-2462,(604)553-2462,(604)553-2462
AQEY,Cambria College - Richmond,,Private Institution,Designated,,2021-01-19,,880 - 5900 No.3 Road,,,Richmond,British Columbia,V6X3P7,Canada,,,
AQEV,Cambria College - Surrey,,Private Institution,Designated,,2020-11-26,,10388 Whalley Boulevard,,,Surrey,British Columbia,V3T4H4,Canada,,,
AQEL,Cambria College - Vancouver,,Private Institution,Designated,,2020-11-09,,549 Howe Street,10th Floor,,Vancouver,British Columbia,V6C 2C2,Canada,,,
AQBC,Cambria College - Victoria,,Private Institution,Designated,,2016-09-29,,210-702 Fort Street,,,Victoria,British Columbia,V8W1H2,Canada,(778) 265-7547,(778) 265-7547,(778) 265-7547
AQAF,Cambridge College,,Private Institution,Designated,,1997-08-11,,454-4800 Kingsway,,,Burnaby,British Columbia,V5H4J2,Canada,(604) 438-7246,(604) 438-7246,(604) 438-7246
AQDZ,Canada College Vancouver,,Private Institution,Designated,,2019-11-19,,300 - 900 Burrard St.,,,Vancouver,British Columbia,V6Z2N2,Canada,,,
AQEM,Canadian Aviation College,,Private Institution,Designated,,2020-11-09,,Hangar 72-18300 Ford Road,,,Pitt Meadows,British Columbia,V3Y 0C6,Canada,604-299-7777,604-299-7777,604-299-7777
APVU,Canadian College,,Private Institution,Designated,,2014-03-11,,200 - 1050 Alberni Street,,,Vancouver,British Columbia,V6E 1A3,Canada,(604)688-9366,(604)688-9366,(604)688-9366
APYB,Canadian College of Performing Arts,,Private Institution,Designated,,2001-01-25,,1701 Elgin Road,,,Victoria,British Columbia,V8R5L7,Canada,(250) 595-9970,(250) 595-9970,(250) 595-9970
APVM,Canadian College of Shiatsu Therapy,,Private Institution,Designated,,2012-07-20,,142 Lonsdale Ave,,,North Vancouver,British Columbia,V7M 2E8,Canada,(604)904-4187,(604)904-4187,(604)904-4187
AQDU,Canadian Film and Television Institute,,Private Institution,Designated,,2019-03-18,,150-13151 Vanier Place,,,Richmond,British Columbia,V6Y2J1,Canada,,,
APBS,Canadian Flight Centre,,Private Institution,Designated,,2016-01-29,,603- 604 - 11715 Baynes Road,,,Pitt Meadows,British Columbia,V3Y2V1,Canada,(604) 946-7744,(604) 946-7744,(604) 946-7744
APVX,Canadian Health Care Academy - Vancouver,,Private Institution,Designated,,2014-07-31,,516 Kingsway,,,Vancouver,British Columbia,V5T3J9,Canada,(604)589-2422,(604)589-2422,(604)589-2422
APWC,Canadian National Institute of Business,,Private Institution,Designated,,2019-11-05,,Unit 125 and 125A,3030 Lincoln Avenue,,Coquitlam,British Columbia,V3B 6B4,Canada,(604) 474 2642,(604) 474 2642,(604) 474 2642
APRM,Canadian Outdoor Leadership Training,,Private Institution,Designated,,2005-12-17,,Box 2160,,,Campbell River,British Columbia,V9W5C5,Canada,(250) 286-3122,(250) 286-3122,(250) 286-3122
AQEJ,Canadian School of Natural Nutrition - Vancouver Island,,Private Institution,Designated,,2020-10-06,,#208 3045 Douglas Street,,,Victoria,British Columbia,V8T 4N2,Canada,,,
APIC,Canadian Tourism College - Surrey,,Private Institution,Designated,,1988-07-27,,320 - 10362 King George Hwy,,,Surrey,British Columbia,V3T2W5,Canada,(604) 582-1122,(604) 582-1122,(604) 582-1122
APEY,Canadian Tourism College - Vancouver,,Private Institution,Designated,,1988-12-21,,200-1111 Melville Steet,,,Vancouver,British Columbia,V6E3V6,Canada,(604) 736-8000,(604) 736-8000,(604) 736-8000
AQDL,Canadian Vocational Training Centre,,Private Institution,Designated,,2018-01-11,,201 Victoria Steet,,,Prince George,British Columbia,V2L 2J5,Canada,250 596-1575,250 596-1575,250 596-1575
APUJ,Canscribe Career College,,Private Institution,Designated,,2009-05-04,,340 - 1632 Dickson Avenue,,,Kelowna,British Columbia,V1Y7T2,Canada,(250) 448-4670,(250) 448-4670,(250) 448-4670
APVZ,Capital College,,Private Institution,Designated,,2015-03-23,,540 - 4400 Hazelbridge Way,,,Richmond,British Columbia,V6X3R8,Canada,(604)270-7426,(604)270-7426,(604)270-7426
AQDC,Career City College,,Private Institution,Designated,,2017-07-10,,201-1634 Harvey Avenue,,,Kelowna,British Columbia,V1Y6G2,Canada,(250) 317-2222,(250) 317-2222,(250) 317-2222
APZZ,Central College,,Private Institution,Designated,,2002-09-16,,220-60 8th Street,,,New Westminster,British Columbia,V8M 3P1,Canada,(604) 523-2388,(604) 523-2388,(604) 523-2388
APZU,Centre for Arts And Technology - Kelowna,,Private Institution,Designated,,2002-08-16,,100 - 1632 Dickson Avenue,,,Kelowna,British Columbia,V1Y7T2,Canada,(250) 860-2787,(250) 860-2787,(250) 860-2787
AQDR,Centre of Arts and Technology - Surrey,,Private Institution,Designated,,2018-08-10,,10060 King George Blvd,,,Surrey,British Columbia,V3T2W4,Canada,,,
APHN,Chinook Helicopters (1982) Ltd.,,Private Institution,Designated,,1988-08-12,,30720 Rotor Drive,,,Abbotsford,British Columbia,V2T6H5,Canada,(604) 855-1100,(604) 855-1100,(604) 855-1100
APDL,City University of Seattle,,Private Institution,Designated,,2010-02-02,,#310-789 West Pender Street,,,Vancouver,British Columbia,V6C1H2,Canada,(604) 689-2489,(604) 689-2489,(604) 689-2489
APCG,Coastal Pacific Aviation Limited,,Private Institution,Designated,,1988-12-21,,30575 Approach Drive,Abbotsford Airport,,Abbotsford,British Columbia,V2T6H5,Canada,(604) 855-1112,(604) 855-1112,(604) 855-1112
AQEN,Codecore - New Westminster,,Private Institution,Designated,,2020-11-09,,#600-628 6th Avenue,,,New Westminster,British Columbia,V3M 6Z1,Canada,,,
AQEI,Collège Éducacentre,,Private Institution,Designated,,2020-09-11,,842 Thurlow St.,,,Vancouver,British Columbia,V6E1W2,Canada,,,
APAJ,Columbia Bible College,,Private Institution,Designated,,1988-12-21,,2940 Clearbrook Rd.,,,Abbotsford,British Columbia,V2T2Z8,Canada,(604) 853-3358,(604) 853-3358,(604) 853-3358
APAI,Columbia College,,Private Institution,Designated,,1988-12-21,,438 Terminal Ave,,,Vancouver,British Columbia,V6A0C1,Canada,(604) 683-8360,(604) 683-8360,(604) 683-8360
AQED,Columbia Paramedic Academy - Langley,,Private Institution,Designated,,2020-07-10,,10-8948 202nd Street,,,Langley,British Columbia,V1M4A7,Canada,,,
AQEE,Columbia Paramedic Academy - Victoria,,Private Institution,Designated,,2020-07-10,,5 - 3948 Quadra Street,,,Victoria,British Columbia,V8X1J6,Canada,,,
APEO,Coquitlam College - Coquitlam,,Private Institution,Designated,,2013-11-21,,516 Brookmere Ave.,,,Coquitlam,British Columbia,V3J 4W9,Canada,(604)939-6633,(604)939-6633,(604)939-6633
AQDT,Coquitlam College - Surrey,,Private Institution,Designated,,2018-11-16,,C350 9801 King George Road,,,Surrey,British Columbia,V3T5H6,Canada,,,
APYJ,Corpus Christi College,,Private Institution,Designated,,2011-06-17,,5935 Iona Drive,,,Vancouver,British Columbia,V6T1J7,Canada,(604) 822-6862,(604) 822-6862,(604) 822-6862
AQDJ,Create Career College - Burnaby,,Private Institution,Designated,,2017-11-27,,650-4789 Kingsway,,,Burnaby,British Columbia,V5H 0A3,Canada,,,
APUD,Discovery Community College - Campbell River,,Private Institution,Designated,,2010-10-13,,1130 Shoppers Row,,,Campbell River,British Columbia,V9W2C8,Canada,(250) 287-9850,(250) 287-9850,(250) 287-9850
APTS,Discovery Community College - Courtenay,,Private Institution,Designated,,2008-06-20,,201/202 - 1025 Cliffe Ave,,,Courtenay,British Columbia,V9N2J9,Canada,(250) 338-9663,(250) 338-9663,(250) 338-9663
APUY,Discovery Community College - Maple Ridge,,Private Institution,Designated,,2010-03-30,,22141 - 119 avenue,,,Maple Ridge,British Columbia,V2X2Y7,Canada,(604) 463-1174,(604) 463-1174,(604) 463-1174
APTY,Discovery Community College - Nanaimo Seniors Village,,Private Institution,Designated,,2008-07-14,,6085 Uplands Drive,,,Nanaimo,British Columbia,V9V1T8,Canada,(250) 740-0114,(250) 740-0114,(250) 740-0114
APUA,Discovery Community College - Parksville Corfield,,Private Institution,Designated,,2008-07-14,,201/203 - 160 Corfield Ave,,,Parksville,British Columbia,V9P 2G3,Canada,(250) 248-2444,(250) 248-2444,(250) 248-2444
APUR,Discovery Community College - Surrey,,Private Institution,Designated,,2013-07-15,,10040 King George Blvd,,,Surrey,British Columbia,V3T2W4,Canada,(604)930-9908,(604)930-9908,(604)930-9908
APTP,Discovery Community College-Nanaimo-Dunsmuir,,Private Institution,Designated,,2008-04-28,,101 - 495 Dunsmuir Street,,,Nanaimo,British Columbia,V9R6V9,Canada,(250) 740-0115,(250) 740-0115,(250) 740-0115
APVC,Divesafe International,,Private Institution,Designated,,2010-11-04,,170 Dogwood Street,,,Campbell River,British Columbia,V9W2X8,Canada,(250) 287-3837,(250) 287-3837,(250) 287-3837
APJL,Diving Dynamics,,Private Institution,Designated,,1989-07-12,,1884 AMBROSI ROAD,,,Kelowna,British Columbia,V1Y4R9,Canada,(250) 861-1848,(250) 861-1848,(250) 861-1848
APYF,Dominion Herbal College,,Private Institution,Designated,,2020-10-26,,271 - 5489 Byrne Rd,,,Burnaby,British Columbia,V5J3J1,Canada,(604) 433-1926,(604) 433-1926,(604) 433-1926
AQDQ,Drake Medox College - Surrey,,Private Institution,Designated,,2018-07-19,,10590 King George Boulevard,,,Surrey,British Columbia,V3T2X3,Canada,604-930-4517,604-930-4517,604-930-4517
APDB,Drake Medox College - Vancouver,,Private Institution,Designated,,2005-08-24,,210-535 West 10th Avenue,,,Vancouver,British Columbia,V5Z1K9,Canada,(604) 629-0196,(604) 629-0196,(604) 629-0196
APTI,Electrical Joint Training Committee,,Private Institution,Designated,,2007-11-09,,100 - 1424 Broadway St,,,Port Coquitlam,British Columbia,V3C5W2,Canada,(604) 571-6540,(604) 571-6540,(604) 571-6540
APBR,Eton College,,Private Institution,Designated,,2005-07-06,,706-333 Terminal Avenue,,,Vancouver,British Columbia,V6A4C1,Canada,(604) 677-4431,(604) 677-4431,(604) 677-4431
APPI,Excel Career College - Courtenay,,Private Institution,Designated,,2012-10-03,,201 - 841 Cliffe Avenue,,,Courtenay,British Columbia,V9N  2J8,Canada,(250) 334-2452,(250) 334-2452,(250) 334-2452
APSE,Fairleigh Dickinson University - Vancouver,,Private Institution,Designated,,2007-02-19,,842 Cambie street,,,Vancouver,British Columbia,V6B0B4,Canada,(604) 682-8112,(604) 682-8112,(604) 682-8112
AQDV,First College - Kelowna,,Private Institution,Designated,,2019-05-08,,532 Leon Ave,2nd Floor,,Kelowna,British Columbia,V1Y6J6,Canada,,,
APXO,Focus College - Kelowna,,Private Institution,Designated,,2016-01-21,,206 1470 St. Paul Street,,,Kelowna,British Columbia,V1Y2E6,Canada,,,
AQDS,Focus College - Surrey,,Private Institution,Designated,,2018-10-04,,105- 13655 104th Avenue,,,Surrey,British Columbia,V3T1W3,Canada,,,
APGY,Gateway College,,Private Institution,Designated,,1988-12-21,,702-333 Terminal Ave,,,Vancouver,British Columbia,V6A4C1,Canada,(604) 738-0285,(604) 738-0285,(604) 738-0285
APLG,Granville College,,Private Institution,Designated,,1991-12-12,,725 - 570 Dunsmuir Street,,,Vancouver,British Columbia,V6B1Y1,Canada,(604) 683-8850,(604) 683-8850,(604) 683-8850
APOZ,Hair Art Academy,,Private Institution,Designated,,1995-06-23,,104-20238 Frasher Highway,,,Langley,British Columbia,V3A 4E6,Canada,(604) 427-3288,(604) 427-3288,(604) 427-3288
APOP,Heli College Canada Training Inc.,,Private Institution,Designated,,1995-03-21,,5333 - 216th Street,Hanger 2,,Langley,British Columbia,V2Y2N3,Canada,(604) 530-3812,(604) 530-3812,(604) 530-3812
AQDK,Heritage Community College,,Private Institution,Designated,,2017-12-07,,8166 128 Street- Unit 110,,,Surrey,British Columbia,V3W 1R1,Canada,,,
APOU,Hilltop  Academy - New Westminster,,Private Institution,Designated,,2012-10-02,,215-810 Quayside Drive,,,New Westminster,British Columbia,V3M 6B9,Canada,(604) 553-0505,(604) 553-0505,(604) 553-0505
AQCY,In Focus Film School,,Private Institution,Designated,,2017-03-07,,1-306 Abbott Street,,,Vancouver,British Columbia,V6B 2K9,Canada,,,
AQDE,Infofit Educators,,Private Institution,Designated,,2017-09-05,,102-1687 West Broadway,,,Vancouver,British Columbia,V6J 1X2,Canada,,,
APAF,Institute of Technology Development Canada,,Private Institution,Designated,,,,475 Granville Street,,,Vancouver,British Columbia,V6C 1T1,Canada,(888) 880-4410,(888) 880-4410,(888) 880-4410
APWT,Interior Academy,,Private Institution,Designated,,2013-09-20,,113 Victoria Street,,,Kamloops,British Columbia,V2C1Z4,Canada,(250) 374-5565,(250) 374-5565,(250) 374-5565
APUH,Interior Heavy Equipment Operator School Ltd,,Private Institution,Designated,,2008-11-20,,2-10058 Hwy 97 N.,,,Winfield,British Columbia,V4V1P8,Canada,(250) 766-3853,(250) 766-3853,(250) 766-3853
APCZ,JCI Institute,,Private Institution,Designated,,1988-12-21,,150 - 220 Cambie Street,,,Vancouver,British Columbia,V6B2M9,Canada,(604) 688-0328,(604) 688-0328,(604) 688-0328
AQCC,Kelowna College of Professional Counselling,,Private Institution,Designated,,2005-02-10,,101 - 251 Lawrence Avenue,,,Kelowna,British Columbia,V1Y6L2,Canada,(250) 717-0412,(250) 717-0412,(250) 717-0412
APUM,Keystone College Ltd.,,Private Institution,Designated,,2009-05-11,,Unit 4- 2720 Cliffe Avenue,,,Courtenay,British Columbia,V9N2L6,Canada,(250) 871-8300,(250) 871-8300,(250) 871-8300
APQY,Kootenay Columbia College of Integrative Health Sciences,,Private Institution,Designated,,1997-03-24,,2 - 560 Baker Street,,,Nelson,British Columbia,V1L4H9,Canada,(250) 352-5887,(250) 352-5887,(250) 352-5887
APJS,Kosmetae Academy,,Private Institution,Designated,,2012-07-10,,3 - 32700 GEORGE FERGUSON WAY ,,,Abbotsford,British Columbia,V2T4V6,Canada,850-5777,850-5777,850-5777
APPU,Kutenai Art Therapy Institute,,Private Institution,Designated,,1996-02-16,,191 Baker Street,,,Nelson,British Columbia,V1L4H1,Canada,(250) 352-2264,(250) 352-2264,(250) 352-2264
APZC,LaSalle College Vancouver- Renfrew,,Private Institution,Designated,,,,2665 Renfrew Street,,,Vancouver,British Columbia,V5M0A7,Canada,(604) 683-9200,(604) 683-9200,(604) 683-9200
APQZ,Langley Flying School Inc.,,Private Institution,Designated,,2015-10-08,,Langley Airport,110 - 5385 216 Street,,Langley,British Columbia,V2Y2N3,Canada,(604)532-6461,(604)532-6461,(604)532-6461
APEJ,Legends Academy,,Private Institution,Designated,,2013-12-02,,7 -32700 George Ferguson Way,,,Abbotsford,British Columbia,V2T4V6,Canada,(604) 859-5777,(604) 859-5777,(604) 859-5777
AQDW,Lighthouse Labs - Vancouver,,Private Institution,Designated,,2019-05-16,, 600-401 W Georgia St,,,Vancouver,British Columbia,V6B5A1,Canada,,,
AQEK,Lighthouse Labs - Victoria,,Private Institution,Designated,,2020-11-06,,2031 Store Street,,,Victoria,British Columbia,V8T 5L9,Canada,,,
APDK,London School of Hairdressing & Aesthetics,,Private Institution,Designated,,1988-12-21,,114 WEST HASTINGS STREET,,,Vancouver,British Columbia,V6B1G8,Canada,(604) 685-4121,(604) 685-4121,(604) 685-4121
APUG,Lost Boys Studios - School of Visual Effects,,Private Institution,Designated,,2008-10-23,,1825 Victoria Diversion,,,Vancouver,British Columbia,V5N 2K2,Canada,(604) 558-4999,(604) 558-4999,(604) 558-4999
APBU,M.C. College - Kelowna,,Private Institution,Designated,,1988-12-21,,100 - 1875  Spall Road,,,Kelowna,British Columbia,V1Y4R2,Canada,(250) 861-5828,(250) 861-5828,(250) 861-5828
AQCV,Madlab School of Fitness ,,Private Institution,Designated,,2016-12-02,,1980 Clark Dr,,,Vancouver,British Columbia,V5N 0A9,Canada,(604)253-1261,(604)253-1261,(604)253-1261
APVJ,Mark Anthony Academy of Cosmetology,,Private Institution,Designated,,2012-06-18,,5735 203rd Street,,,Langley,British Columbia,V3A 8A7,Canada,(604)530-4678,(604)530-4678,(604)530-4678
AQEO,Medical Reception College - Langley,,Private Institution,Designated,,2020-11-09,,#301-20644 Eastleigh Crescent,,,Langley,British Columbia,V3A 4C4,Canada,,,
AQCW,Medical Reception College - Vancouver,,Private Institution,Designated,,2016-12-02,,820 - 605 Robson Street,,,Vancouver,British Columbia,V6V 5J3,Canada,(403)701-2837,(403)701-2837,(403)701-2837
AQCL,Metropolitan Community College,,Private Institution,Designated,,2012-08-22,,900 - 549 HOWE STREET,,,Vancouver,British Columbia,V6C2C2,Canada,(604) 320-3332,(604) 320-3332,(604) 320-3332
AQCS,Millar College of the Bible - Sunnybrae,,Private Institution,Designated,,2016-08-15,,3915 Sunnybrae Canoe Pt Road,,,Tappen,British Columbia,V0E 2X1,Canada,,,
AQEU,Mirage Spa Education Inc.,,Private Institution,Designated,,2020-11-20,,10-1400 Cowichan Bay Road,,,Cobble Hill,British Columbia,V0R1L3,Canada,,,
APEM,Montessori Training Centre of British Columbia,,Private Institution,Designated,,1988-12-21,,200 - 8555 Cambie St,,,Vancouver,British Columbia,V6P3J9,Canada,(604) 261-0864,(604) 261-0864,(604) 261-0864
AQBK,Mountain Transport Institute Ltd.,,Private Institution,Designated,,2018-03-05,,2181A 6th Avenue,,,Castlegar,British Columbia,V1N3B2,Canada,(250) 365-3748,(250) 365-3748,(250) 365-3748
APGG,Native Education College,,Private Institution,Designated,,2007-09-28,,285 E. Fifth Ave.,,,Vancouver,British Columbia,V5T1H2,Canada,(604) 873-3761,(604) 873-3761,(604) 873-3761
AQBB,New Image College ,,Private Institution,Designated,,2003-04-10,,987 Granville Street,2nd Floor,,Vancouver,British Columbia,V6Z1L3,Canada,(604) 685-8807,(604) 685-8807,(604) 685-8807
APTL,New York Institute of Technology - Vancouver,,Private Institution,Designated,,2016-12-16,,701 W Georgia St #1700,,,Vancouver,British Columbia,V7Y1K8,Canada,,,
APXD,Nimbus School of Recording & Media,,Private Institution,Designated,,2000-02-07,,300 - 238 East 2nd Ave,,,Vancouver ,British Columbia,V5T1B7,Canada,(604) 875-8998,(604) 875-8998,(604) 875-8998
AQEF,Northeastern University - Vancouver,,Private Institution,Designated,,2020-08-27,,333 Seymour Street- 8th Floor,,,Vancouver,British Columbia,V6B5A7,Canada,,,
APAB,Northwest Baptist Theological College,,Private Institution,Designated,,2015-01-02,,22500 University Drive,,,Langley,British Columbia,V2Y1Y1,Canada,(604) 888-7592,(604) 888-7592,(604) 888-7592
APRJ,Northwest Culinary Academy of Vancouver,,Private Institution,Designated,,2005-11-27,,2725 Main Street,,,Vancouver,British Columbia,V5T3E9,Canada,(604) 876-7653,(604) 876-7653,(604) 876-7653
AQEP,Ocean Quest Watersports Ltd,,Private Institution,Designated,,2020-11-09,,#107-3790 Canada Way,,,Burnaby,British Columbia,V5G 1G4,Canada,,,
APVO,Okanagan Mountain Helicopters FTU Ltd.,,Private Institution,Designated,,2012-10-03,,6285 Airport Way,,,Kelowna,British Columbia,V1V1S1,Canada,(250)491-9359,(250)491-9359,(250)491-9359
APPL,Okanagan Valley College of Massage Therapy,,Private Institution,Designated,,1995-09-21,,200- 3400 - 30th Avenue,,,Vernon,British Columbia,V1T2E2,Canada,(250) 558-3718,(250) 558-3718,(250) 558-3718
AQBL,Omni College,,Private Institution,Designated,,2004-02-04,,3130 - 8788 McKim Way,,,Richmond,British Columbia,V6X4E2,Canada,(604) 279-1800,(604) 279-1800,(604) 279-1800
AQEG,On The Mic Training,,Private Institution,Designated,,2020-08-31,,101 Powell Street,,,Vancouver,British Columbia,V6A1G2,Canada,,,
APVK,Orane International College,,Private Institution,Designated,,2012-06-18,,140 - 1675 Douglas St,,,Victoria,British Columbia,V8W 2G5,Canada,(250)388-4440,(250)388-4440,(250)388-4440
APRZ,Orca Institute,,Private Institution,Designated,,2013-10-25,,#1202 1255 Bidwell St.,,,Vancouver,British Columbia,V6G2K8,Canada,,,
AQEW,Oscar International College,,Private Institution,Designated,,2021-01-06,,#201-12732 80th Ave,,,Surrey,British Columbia,V3W3A7,Canada,,,
APZB,Oshio College of Acupuncture & Herbology,,Private Institution,Designated,,2001-12-14,,100 - 3491 Saanich Road,,,Victoria,British Columbia,V8X1W8,Canada,(250) 472-6601,(250) 472-6601,(250) 472-6601
AQBQ,PCU College of Holistic Medicine,,Private Institution,Designated,,2004-03-24,,100 - 5021 Kingsway,,,Burnaby,British Columbia,V5H4A5,Canada,(604) 433-1299,(604) 433-1299,(604) 433-1299
APAC,Pacific Coast Community College,,Private Institution,Designated,,2015-03-18,,Unit 200 20218 Fraser Hwy,,,Langley,British Columbia,V3A4E6,Canada,6047301106,6047301106,6047301106
APFY,Pacific Design Academy - Victoria,,Private Institution,Designated,,1988-12-21,,1252 Wharf Street,,,Victoria,British Columbia,V8W1T8,Canada,(250) 383-3631,(250) 383-3631,(250) 383-3631
APBQ,Pacific Flying Club,,Private Institution,Designated,,1988-12-21,,Boundary Bay Airport,Unit 4 - 4335 Skeena St,Flight Center Building,Delta,British Columbia,V4K0A6,Canada,(604) 945-0011,(604) 945-0011,(604) 945-0011
APIQ,Pacific Horticulture College,,Private Institution,Designated,,1989-01-27,,505 Quayle Rd.,,,Victoria,British Columbia,V9E2J7,Canada,(250) 479-3210,(250) 479-3210,(250) 479-3210
AQAH,Pacific Institute of Culinary Arts,,Private Institution,Designated,,1997-08-11,,1505 West 2nd Avenue,,,Vancouver,British Columbia,V6H3Y4,Canada,(604) 734-4488,(604) 734-4488,(604) 734-4488
APAG,Pacific Life Bible College,,Private Institution,Designated,,1997-06-16,,15030 - 66A  Avenue,,,Surrey,British Columbia,V3S2A5,Canada,(604) 597-9082,(604) 597-9082,(604) 597-9082
AQEQ,Pacific Link College - Burnaby,,Private Institution,Designated,,2020-11-09,,#200-4980 Kingsway,,,Burnaby,British Columbia,V5H 4K7,Canada,,,
AQDD,Pacific Link College - Surrey,,Private Institution,Designated,,2017-09-05,,201-10090 152 Streeet,,,Surrey,British Columbia,V3R 8X8,Canada,,,
APTU,Pacific Rim College,,Private Institution,Designated,,2008-07-03,,229 - 560 Johnson Street,,,Victoria,British Columbia,V8W3C6,Canada,(250) 483-2119,(250) 483-2119,(250) 483-2119
APTM,Pacific Rim Early Childhood Institution Inc.,,Private Institution,Designated,,2010-09-29,,BOX 86,,,Cobble Hill,British Columbia,V0R1L0,Canada,(250) 652-6011,(250) 652-6011,(250) 652-6011
AQER,Q College - Vancouver,,Private Institution,Designated,,2020-11-09,,700-333 Terminal Avenue,,,Vancouver,British Columbia,V6A 4C1,Canada,,,
APVH,Q College - Victoria,,Private Institution,Designated,,2012-02-24,,303 - 771 Vernon Ave,,,Victoria,British Columbia,V8X5A7,Canada,(250)298-5059,(250)298-5059,(250)298-5059
APTJ,Quest University Canada,,Private Institution,Designated,,2007-12-13,,3200 University Boulevard,,,Squamish,British Columbia,V8B0N8,Canada,(604) 898-8000,(604) 898-8000,(604) 898-8000
AQEA,Rayway Operator Training School Ltd.,,Private Institution,Designated,,2019-11-28,,1123 272 Street,,,Aldergrove,British Columbia,V4W2N2,Canada,,,
APAQ,Regent College,,Private Institution,Designated,,1988-12-21,,5800 University Blvd.,,,Vancouver,British Columbia,V6T2E4,Canada,(604) 224-3245,(604) 224-3245,(604) 224-3245
APRA,Rhodes Wellness College,Rhodes Career College,Private Institution,Designated,,1997-04-21,,280 - 1125 Howe St,,,Vancouver,British Columbia,V6Z2K8,Canada,(604) 708-4416,(604) 708-4416,(604) 708-4416
AQEX,Royal Metro College,,Private Institution,Designated,,2021-01-14,,#203 - 403 North Rd,,,Coquitlam,British Columbia,V3K3V9,Canada,,,
APSK,SAE Institute,,Private Institution,Designated,,2007-08-13,,122-998 Harbourside Drive,,,North Vancouver ,British Columbia,V7B3T2,Canada,(604) 980-2882,(604) 980-2882,(604) 980-2882
APCR,Seminary of Christ the King,,Private Institution,Designated,,1988-12-21,,34224 Dewdney Trunk Road,,,Mission,British Columbia,V2V4J2,Canada,(604) 826-8975,(604) 826-8975,(604) 826-8975
AQCT,Senniyo Aesthetics International School,,Private Institution,Designated,,2016-09-26,,7300 Westminister Hwy,,,Richmond,British Columbia,V6X 1A1,Canada,(604)244-7633,(604)244-7633,(604)244-7633
AQCZ,Sprott Shaw College - Chilliwack,,Private Institution,Designated,,2017-04-03,,45860 Cheam Avenue,,,Chilliwack,British Columbia,V2P 1N6,Canada,,,
APYN,Sprott Shaw College - East Vancouver,,Private Institution,Designated,,2001-08-01,,501-333 Terminal Avenue,,,Vancouver,British Columbia,V6A 4C1,Canada,(604) 251-4473,(604) 251-4473,(604) 251-4473
APYQ,Sprott Shaw College - Kamloops,,Private Institution,Designated,,2001-09-28,,301 - 340 Victoria St,,,Kamloops,British Columbia,V2C2A5,Canada,(250) 314-1122,(250) 314-1122,(250) 314-1122
APWX,Sprott Shaw College - Kelowna,,Private Institution,Designated,,1999-09-28,,200- 546 Leon Avenue,,,Kelowna,British Columbia,V1Y6J6,Canada,(250) 860-8884,(250) 860-8884,(250) 860-8884
APZM,Sprott Shaw College - Maple Ridge,,Private Institution,Designated,,2012-07-10,,204 -  20395 Lougheed Highway,,,Maple Ridge,British Columbia,V2X2P9,Canada,(604) 466-3600,(604) 466-3600,(604) 466-3600
