idx,facility_name,source_id,authority_type,address_str,province,ISCED4+,provider,address_str_clean,street_no,street_name
154,Nimbus School of Recording & Media,APXD,Private Institution,"300 - 238 East 2nd Ave, Vancouver , British Columbia, Canada, (604) 875-8998",BC,1,Employment and Social Development Canada,300 238 east 2nd ave vancouver british columbia canada 875 8998,300,238 east 2nd ave
155,Cornerstone International Community College of Canada,APXE,Private Institution,"609 W HASTINGS STEET, Vancouver, British Columbia, Canada, (604) 687-5414",BC,1,Employment and Social Development Canada,609 w hastings steet vancouver british columbia canada 687 5414,609,w hastings steet
156,Windsong College of Healing Arts,APXJ,Private Institution,"6199 Smith Road, Port Alberni, British Columbia, Canada, (250) 723-3307",BC,1,Employment and Social Development Canada,6199 smith road port alberni british columbia canada 723 3307,6199,smith road
157,Focus College - Kelowna,APXO,Private Institution,"206 1470 St. Paul Street, Kelowna, British Columbia, Canada,",BC,1,Employment and Social Development Canada,206 1470 st paul street kelowna british columbia canada,206 1470,st paul street
158,Stenberg College - Surrey,APXS,Private Institution,"750, 13450 - 102nd ave, Surrey, British Columbia, Canada, (604) 580-2772",BC,1,Employment and Social Development Canada,750 13450 102nd ave surrey british columbia canada 580 2772,750,13450 102nd ave
159,West Coast College of Massage Therapy - Victoria,APXU,Private Institution,"100 - 818 Broughton Street, Victoria, British Columbia, Canada, (250) 381-9800",BC,1,Employment and Social Development Canada,100 818 broughton street victoria british columbia canada 381 9800,100 818,broughton street
160,Canadian College of Performing Arts,APYB,Private Institution,"1701 Elgin Road, Victoria, British Columbia, Canada, (250) 595-9970",BC,1,Employment and Social Development Canada,1701 elgin road victoria british columbia canada 595 9970,1701,elgin road
161,Corpus Christi College,APYJ,Private Institution,"5935 Iona Drive, Vancouver, British Columbia, Canada, (604) 822-6862",BC,1,Employment and Social Development Canada,5935 iona drive vancouver british columbia canada 822 6862,5935,iona drive
162,Boucher Institute of Naturopathic Medicine,APYL,Private Institution,"200 - 435 COLUMBIA STREET, New Westminster, British Columbia, Canada, (604) 777-9981",BC,1,Employment and Social Development Canada,200 435 columbia street new westminster british columbia canada 777 9981,200 435,columbia street
163,Sprott Shaw College - East Vancouver,APYN,Private Institution,"501-333 Terminal Avenue, Vancouver, British Columbia, Canada, (604) 251-4473",BC,1,Employment and Social Development Canada,501 333 terminal avenue vancouver british columbia canada 251 4473,501 333,terminal avenue
164,Sprott Shaw College - Kamloops,APYQ,Private Institution,"301 - 340 Victoria St, Kamloops, British Columbia, Canada, (250) 314-1122",BC,1,Employment and Social Development Canada,301 340 victoria st kamloops british columbia canada 314 1122,301 340,victoria st
165,Vancouver Career College - Chilliwack,APYS,Private Institution,"8392 Young Road, Chilliwack, British Columbia, Canada, (604)850-3523",BC,1,Employment and Social Development Canada,8392 young road chilliwack british columbia canada 850 3523,8392,young road
166,Vancouver Premier College of Hotel Management,APYZ,Private Institution,"200 - 1338 West Broadway, Vancouver, British Columbia, Canada, (604) 730-1628",BC,1,Employment and Social Development Canada,200 1338 west broadway vancouver british columbia canada 730 1628,200 1338,west broadway
167,Oshio College of Acupuncture & Herbology,APZB,Private Institution,"100 - 3491 Saanich Road, Victoria, British Columbia, Canada, (250) 472-6601",BC,1,Employment and Social Development Canada,100 3491 saanich road victoria british columbia canada 472 6601,100,saanich road
168,LaSalle College Vancouver- Renfrew,APZC,Private Institution,"2665 Renfrew Street, Vancouver, British Columbia, Canada, (604) 683-9200",BC,1,Employment and Social Development Canada,2665 renfrew street vancouver british columbia canada 683 9200,2665,renfrew street
169,Ashton College - Vancouver,APZE,Private Institution,"300 - 1190 Melville Street, , Vancouver, British Columbia, Canada, (604) 899-0803",BC,1,Employment and Social Development Canada,300 1190 melville street vancouver british columbia canada 899 0803,300 1190,melville street
170,Vancouver Career College - Surrey,APZJ,Private Institution,"230 - 13401 108 Ave, Surrey, British Columbia, Canada, (604) 580-2133",BC,1,Employment and Social Development Canada,230 13401 108 ave surrey british columbia canada 580 2133,230,13401 108 ave
171,Sprott Shaw College - Maple Ridge,APZM,Private Institution,"204 - 20395 Lougheed Highway, Maple Ridge, British Columbia, Canada, (604) 466-3600",BC,1,Employment and Social Development Canada,204 20395 lougheed highway maple ridge british columbia canada 466 3600,204,20395 lougheed highway
172,Vancouver Career College - Coquitlam,APZQ,Private Institution,"5 - 1180 Pinetree Way, Coquitlam, British Columbia, Canada, (604) 944-8855",BC,1,Employment and Social Development Canada,5 1180 pinetree way coquitlam british columbia canada 944 8855,5 1180,pinetree way
173,Centre for Arts And Technology - Kelowna,APZU,Private Institution,"100 - 1632 Dickson Avenue, Kelowna, British Columbia, Canada, (250) 860-2787",BC,1,Employment and Social Development Canada,100 1632 dickson avenue kelowna british columbia canada 860 2787,100 1632,dickson avenue
174,Central College,APZZ,Private Institution,"220-60 8th Street, New Westminster, British Columbia, Canada, (604) 523-2388",BC,1,Employment and Social Development Canada,220 60 8th street new westminster british columbia canada 523 2388,220 60,8th street
175,Cambridge College,AQAF,Private Institution,"454-4800 Kingsway, Burnaby, British Columbia, Canada, (604) 438-7246",BC,1,Employment and Social Development Canada,454 4800 kingsway burnaby british columbia canada 438 7246,454 4800,kingsway
176,Pacific Institute of Culinary Arts,AQAH,Private Institution,"1505 West 2nd Avenue, Vancouver, British Columbia, Canada, (604) 734-4488",BC,1,Employment and Social Development Canada,1505 west 2nd avenue vancouver british columbia canada 734 4488,1505,west 2nd avenue
177,Universal Learning Institute - Richmond,AQAK,Private Institution,"200 - 8211 Ackroyd Road, Richmond, British Columbia, Canada, (604) 273-2880",BC,1,Employment and Social Development Canada,200 8211 ackroyd road richmond british columbia canada 273 2880,200,ackroyd road
178,Universal Learning Institute - Vancouver,AQAY,Private Institution,"702-333 Terminal Avenue, Vancouver, British Columbia, Canada, (604) 637-2880",BC,1,Employment and Social Development Canada,702 333 terminal avenue vancouver british columbia canada 637 2880,702 333,terminal avenue
179,New Image College,AQBB,Private Institution,"987 Granville Street, 2nd Floor, Vancouver, British Columbia, Canada, (604) 685-8807",BC,1,Employment and Social Development Canada,987 granville street 2nd floor vancouver british columbia canada 685 8807,987,granville street
180,Cambria College - Victoria,AQBC,Private Institution,"210-702 Fort Street, Victoria, British Columbia, Canada, (778) 265-7547",BC,1,Employment and Social Development Canada,210 702 fort street victoria british columbia canada 265 7547,210 702,fort street
181,Brighton College - Burnaby,AQBE,Private Institution,"305 - 4538 Kingsway, Burnaby, British Columbia, Canada, (604) 430-5608",BC,1,Employment and Social Development Canada,305 4538 kingsway burnaby british columbia canada 430 5608,305 4538,kingsway
182,Mountain Transport Institute Ltd.,AQBK,Private Institution,"2181A 6th Avenue, Castlegar, British Columbia, Canada, (250) 365-3748",BC,1,Employment and Social Development Canada,2181a 6th avenue castlegar british columbia canada 365 3748,2181a,6th avenue
183,Omni College,AQBL,Private Institution,"3130 - 8788 McKim Way, Richmond, British Columbia, Canada, (604) 279-1800",BC,1,Employment and Social Development Canada,3130 8788 mckim way richmond british columbia canada 279 1800,3130,8788 mckim way
184,PCU College of Holistic Medicine,AQBQ,Private Institution,"100 - 5021 Kingsway, Burnaby, British Columbia, Canada, (604) 433-1299",BC,1,Employment and Social Development Canada,100 5021 kingsway burnaby british columbia canada 433 1299,100 5021,kingsway
185,Kelowna College of Professional Counselling,AQCC,Private Institution,"101 - 251 Lawrence Avenue, Kelowna, British Columbia, Canada, (250) 717-0412",BC,1,Employment and Social Development Canada,101 251 lawrence avenue kelowna british columbia canada 717 0412,101,251 lawrence avenue
186,Acsenda School of Management,AQCH,Private Institution,"200-666 Burrard Street, Vancouver, British Columbia, Canada, (604) 439-5111",BC,1,Employment and Social Development Canada,200 666 burrard street vancouver british columbia canada 439 5111,200 666,burrard street
187,Metropolitan Community College,AQCL,Private Institution,"900 - 549 HOWE STREET, Vancouver, British Columbia, Canada, (604) 320-3332",BC,1,Employment and Social Development Canada,900 549 howe street vancouver british columbia canada 320 3332,900 549,howe street
188,Vancouver Animation School,AQCN,Private Institution,"270-5489 Byrne Road, Burnaby, British Columbia, Canada, (604)6121171",BC,1,Employment and Social Development Canada,270 5489 byrne road burnaby british columbia canada 6121171,270,byrne road
189,CG Masters School of 3D Animation & VFX,AQCO,Private Institution,"323 - 800 Carnarvon Street, New Westminister, British Columbia, Canada, (604)553-2462",BC,1,Employment and Social Development Canada,323 800 carnarvon street new westminister british columbia canada 553 2462,323 800,carnarvon street
190,Western Community College,AQCQ,Private Institution,"201-209 8318 120 Street, Surrey, British Columbia, Canada, (604)594-3500",BC,1,Employment and Social Development Canada,201 209 8318 120 street surrey british columbia canada 594 3500,,201 209 8318 120 street
191,Millar College of the Bible - Sunnybrae,AQCS,Private Institution,"3915 Sunnybrae Canoe Pt Road, Tappen, British Columbia, Canada,",BC,1,Employment and Social Development Canada,3915 sunnybrae canoe pt road tappen british columbia canada,3915,sunnybrae canoe pt road
192,Senniyo Aesthetics International School,AQCT,Private Institution,"7300 Westminister Hwy, Richmond, British Columbia, Canada, (604)244-7633",BC,1,Employment and Social Development Canada,7300 westminister hwy richmond british columbia canada 244 7633,7300,westminister hwy
193,Madlab School of Fitness,AQCV,Private Institution,"1980 Clark Dr, Vancouver, British Columbia, Canada, (604)253-1261",BC,1,Employment and Social Development Canada,1980 clark dr vancouver british columbia canada 253 1261,1980,clark dr
194,Medical Reception College - Vancouver,AQCW,Private Institution,"820 - 605 Robson Street, Vancouver, British Columbia, Canada, (403)701-2837",BC,1,Employment and Social Development Canada,820 605 robson street vancouver british columbia canada 701 2837,820 605,robson street
195,Victoria Academy of Dramatic Arts,AQCX,Private Institution,"114-840 Humboldt St., Victoria, British Columbia, Canada, (250)580-2588",BC,1,Employment and Social Development Canada,114 840 humboldt st victoria british columbia canada 580 2588,114 840,humboldt st
196,In Focus Film School,AQCY,Private Institution,"1-306 Abbott Street, Vancouver, British Columbia, Canada,",BC,1,Employment and Social Development Canada,1 306 abbott street vancouver british columbia canada,1 306,abbott street
197,Sprott Shaw College - Chilliwack,AQCZ,Private Institution,"45860 Cheam Avenue, Chilliwack, British Columbia, Canada,",BC,1,Employment and Social Development Canada,45860 cheam avenue chilliwack british columbia canada,45860,cheam avenue
198,Sprott Shaw College - Vancouver Seymour,AQDA,Private Institution,"541 Seymour Street, Vancouver , British Columbia, Canada,",BC,1,Employment and Social Development Canada,541 seymour street vancouver british columbia canada,541,seymour street
199,Sprott Shaw College - Vancouver Pender,AQDB,Private Institution,"200-789 West Pender Street, Vancouver, British Columbia, Canada,",BC,1,Employment and Social Development Canada,200 789 west pender street vancouver british columbia canada,200,789 west pender street
200,Career City College,AQDC,Private Institution,"201-1634 Harvey Avenue, Kelowna, British Columbia, Canada, (250) 317-2222",BC,1,Employment and Social Development Canada,201 1634 harvey avenue kelowna british columbia canada 317 2222,201 1634,harvey avenue
201,Pacific Link College - Surrey,AQDD,Private Institution,"201-10090 152 Streeet, Surrey, British Columbia, Canada,",BC,1,Employment and Social Development Canada,201 10090 152 streeet surrey british columbia canada,201,10090 152 streeet
202,Infofit Educators,AQDE,Private Institution,"102-1687 West Broadway, Vancouver, British Columbia, Canada,",BC,1,Employment and Social Development Canada,102 1687 west broadway vancouver british columbia canada,102 1687,west broadway
203,Sterling College,AQDG,Private Institution,"200-1111 Melville Steet, Vancouver, British Columbia, Canada, 604 736-8000",BC,1,Employment and Social Development Canada,200 1111 melville steet vancouver british columbia canada 604 736 8000,200 1111,melville steet
204,Ashton College - Abbotsford,AQDH,Private Institution,"110-30475 Cardinal Ave, Abbotsford, British Columbia, Canada, 604 625-1150",BC,1,Employment and Social Development Canada,110 30475 cardinal ave abbotsford british columbia canada 604 625 1150,110,cardinal ave
205,Create Career College - Burnaby,AQDJ,Private Institution,"650-4789 Kingsway, Burnaby, British Columbia, Canada,",BC,1,Employment and Social Development Canada,650 4789 kingsway burnaby british columbia canada,650 4789,kingsway
206,Heritage Community College,AQDK,Private Institution,"8166 128 Street, Unit 110, Surrey, British Columbia, Canada,",BC,1,Employment and Social Development Canada,8166 128 street unit 110 surrey british columbia canada,8166,128 street
207,Canadian Vocational Training Center,AQDL,Private Institution,"201 Victoria Steet, Prince George, British Columbia, Canada, 250 596-1575",BC,1,Employment and Social Development Canada,201 victoria steet prince george british columbia canada 250 596 1575,201,victoria steet
208,Sterling College - Surrey,AQDO,Private Institution,"320 - 10362 King George Blvd, Surrey, British Columbia, Canada,",BC,1,Employment and Social Development Canada,320 10362 king george blvd surrey british columbia canada,320,king george blvd
209,Drake Medox College - Surrey,AQDQ,Private Institution,"10590 King George Boulevard, Surrey, British Columbia, Canada, 604-930-4517",BC,1,Employment and Social Development Canada,10590 king george boulevard surrey british columbia canada 604 930 4517,10590,king george boulevard
210,Centre of Arts and Technology - Surrey,AQDR,Private Institution,"10060 King George Blvd, Surrey, British Columbia, Canada,",BC,1,Employment and Social Development Canada,10060 king george blvd surrey british columbia canada,10060,king george blvd
211,Focus College - Surrey,AQDS,Private Institution,"105, 13655 104th Avenue, Surrey, British Columbia, Canada,",BC,1,Employment and Social Development Canada,105 13655 104th avenue surrey british columbia canada,105,13655 104th avenue
212,Coquitlam College - Surrey,AQDT,Private Institution,"C350 9801 King George Road, Surrey, British Columbia, Canada,",BC,1,Employment and Social Development Canada,c350 9801 king george road surrey british columbia canada,9801,king george road
213,Canadian Film and Television Institute,AQDU,Private Institution,"150-13151 Vanier Place, Richmond, British Columbia, Canada,",BC,1,Employment and Social Development Canada,150 13151 vanier place richmond british columbia canada,150,vanier place
214,First College - Kelowna,AQDV,Private Institution,"532 Leon Ave, 2nd Floor, Kelowna, British Columbia, Canada,",BC,1,Employment and Social Development Canada,532 leon ave 2nd floor kelowna british columbia canada,532,leon ave
215,Lighthouse Labs - Vancouver,AQDW,Private Institution,"600-401 W Georgia St, Vancouver, British Columbia, Canada,",BC,1,Employment and Social Development Canada,600 401 w georgia st vancouver british columbia canada,600,401 w georgia st
216,Body Bar Academy,AQDY,Private Institution,"#123 3237 King George Blvd, Surrey, British Columbia, Canada,",BC,1,Employment and Social Development Canada,#123 3237 king george blvd surrey british columbia canada,3237,king george blvd
217,Canada College Vancouver,AQDZ,Private Institution,"300 - 900 Burrard St., Vancouver, British Columbia, Canada,",BC,1,Employment and Social Development Canada,300 900 burrard st vancouver british columbia canada,300 900,burrard st
218,Rayway Operator Training School Ltd.,AQEA,Private Institution,"1123 272 Street, Aldergrove, British Columbia, Canada,",BC,1,Employment and Social Development Canada,1123 272 street aldergrove british columbia canada,1123,272 street
219,BrainStation,AQEB,Private Institution,"455 Granville Street, Suite 400, Vancouver, British Columbia, Canada,",BC,1,Employment and Social Development Canada,455 granville street vancouver british columbia canada,455,granville street
220,Tamwood Careers,AQEC,Private Institution,"200-900 West Pender St., Vancouver, British Columbia, Canada,",BC,1,Employment and Social Development Canada,200 900 west pender st vancouver british columbia canada,200,900 west pender st
221,Columbia Paramedic Academy - Langley,AQED,Private Institution,"10-8948 202nd Street, Langley, British Columbia, Canada,",BC,1,Employment and Social Development Canada,10 8948 202nd street langley british columbia canada,10,8948 202nd street
222,Columbia Paramedic Academy - Victoria,AQEE,Private Institution,"5 - 3948 Quadra Street, Victoria, British Columbia, Canada,",BC,1,Employment and Social Development Canada,5 3948 quadra street victoria british columbia canada,5 3948,quadra street
223,Northeastern University - Vancouver,AQEF,Private Institution,"333 Seymour Street, 8th Floor, Vancouver, British Columbia, Canada,",BC,1,Employment and Social Development Canada,333 seymour street 8th floor vancouver british columbia canada,333,seymour street
224,On The Mic Training,AQEG,Private Institution,"101 Powell Street, Vancouver, British Columbia, Canada,",BC,1,Employment and Social Development Canada,101 powell street vancouver british columbia canada,101,powell street
225,Story Institute,AQEH,Private Institution,"320 - 640 W. Broadway, Vancouver, British Columbia, Canada,",BC,1,Employment and Social Development Canada,320 640 w broadway vancouver british columbia canada,320,640 w broadway
226,Collège Éducacentre,AQEI,Private Institution,"842 Thurlow St., Vancouver, British Columbia, Canada,",BC,1,Employment and Social Development Canada,842 thurlow st vancouver british columbia canada,842,thurlow st
227,Canadian School of Natural Nutrition - Vancouver Island,AQEJ,Private Institution,"#208 3045 Douglas Street, Victoria, British Columbia, Canada,",BC,1,Employment and Social Development Canada,#208 3045 douglas street victoria british columbia canada,3045,douglas street
228,University of British Columbia (UBC),AUAA,University,"Student Financial Aid & Awards, Brock Hall, 1036 - 1874 East Mall, Vancouver, British Columbia, Canada, (604)822-5111",BC,1,Employment and Social Development Canada,student financial aid & awards brock hall 1036 1874 east mall vancouver british columbia canada 822 5111,1036,1874 east mall
229,Simon Fraser University,AUAE,University,"Mbc 3200, Office Of The Registrar, 8888 University Drive, Burnaby, British Columbia, Canada, (778) 782-3111",BC,1,Employment and Social Development Canada,mbc 3200 office of the registrar 8888 university drive burnaby british columbia canada 782 3111,8888,university drive
230,University of Victoria,AUAF,University,"Student Awards , Financial Aid Office, P.O. Box 3025, Victoria, British Columbia, Canada, (250)721-8423",BC,1,Employment and Social Development Canada,student awards financial aid office victoria british columbia canada 721 8423,,
231,University of Northern British Columbia,AUAG,University,"3333 University Way, Prince George, British Columbia, Canada, 2509606363",BC,1,Employment and Social Development Canada,3333 university way prince george british columbia canada 2509606363,3333,university way
232,Royal Roads University,AUAJ,University,"2005 Sooke Rd., Victoria, British Columbia, Canada, (250) 391-2511",BC,1,Employment and Social Development Canada,2005 sooke rd victoria british columbia canada 391 2511,2005,sooke rd
233,Thompson Rivers University,AUAP,University,"Financial Aid & Awards, 900 McGill Road, Kamloops, British Columbia, Canada, (250) 828-5024",BC,1,Employment and Social Development Canada,financial aid & awards 900 mcgill road kamloops british columbia canada 828 5024,900,mcgill road
234,Capilano University,AUAV,University,"2055 Purcell Way, North Vancouver, British Columbia, Canada, (604) 986-1911",BC,1,Employment and Social Development Canada,2055 purcell way north vancouver british columbia canada 986 1911,2055,purcell way
235,Emily Carr University of Art + Design,AUAW,University,"520 E 1 Avenue, Vancouver, British Columbia, Canada, (604) 844-3081",BC,1,Employment and Social Development Canada,520 e 1 avenue vancouver british columbia canada 844 3081,520,e 1 avenue
236,Kwantlen Polytechnic University,AUAX,University,"12666 72 Avenue, Surrey, British Columbia, Canada, (604) 599-2040",BC,1,Employment and Social Development Canada,12666 72 avenue surrey british columbia canada 599 2040,12666,72 avenue
237,University of the Fraser Valley,AUAY,University,"33844 King Road, Abbotsford, British Columbia, Canada, (604) 504-7441",BC,1,Employment and Social Development Canada,33844 king road abbotsford british columbia canada 504 7441,33844,king road
238,Vancouver Island University,AUAZ,University,"900 5th Street, Nanaimo, British Columbia, Canada, (250) 753-3245",BC,1,Employment and Social Development Canada,900 5th street nanaimo british columbia canada 753 3245,900,5th street
239,British Columbia Institute of Technology,AVAA,Technical and Vocational,"3700 Willingdon Ave., Burnaby, British Columbia, Canada, (604) 432-8555",BC,1,Employment and Social Development Canada,3700 willingdon ave burnaby british columbia canada 432 8555,3700,willingdon ave
240,Vancouver Community College,AVAD,Technical and Vocational,"250 West Pender St., City Centre, Vancouver, British Columbia, Canada, (604) 443-8408",BC,1,Employment and Social Development Canada,250 west pender st city centre vancouver british columbia canada 443 8408,250,west pender st
241,Body Bar Laser Academy,AVAG,Technical and Vocational,"123 3237 King George Blvd, Surrey, British Columbia, Canada,",BC,1,Employment and Social Development Canada,123 3237 king george blvd surrey british columbia canada,123 3237,king george blvd
242,Ocean Quest Watersports Ltd.,AVAH,Technical and Vocational,"#107 3790 Canada Way, Burnaby, British Columbia, Canada,",BC,1,Employment and Social Development Canada,#107 3790 canada way burnaby british columbia canada,3790,canada way
243,Cambria College - Vancouver,AVAI,Technical and Vocational,"549 Howe Street, Vancouver, British Columbia, Canada, 6044165522",BC,1,Employment and Social Development Canada,549 howe street vancouver british columbia canada 6044165522,549,howe street
244,CodeCore College - New Westminster,AVAJ,Technical and Vocational,"#600-628 6th Ave, New Westminster, British Columbia, Canada, 6048094426",BC,1,Employment and Social Development Canada,#600 628 6th ave new westminster british columbia canada 6048094426,628,6th ave
245,Medical Reception College - Langley,AVAK,Technical and Vocational,"#301 20644 Eastleigh Crescent, Langley, British Columbia, Canada,",BC,1,Employment and Social Development Canada,#301 20644 eastleigh crescent langley british columbia canada,20644,eastleigh crescent
246,Q College - Vancouver,AVAL,Technical and Vocational,"700-333 Terminal Ave, Vancouver, British Columbia, Canada,",BC,1,Employment and Social Development Canada,700 333 terminal ave vancouver british columbia canada,700 333,terminal ave
247,Lighthouse Labs - Victoria,AVAM,Technical and Vocational,"838 Fort Street, Victoria, British Columbia, Canada,",BC,1,Employment and Social Development Canada,838 fort street victoria british columbia canada,838,fort street
248,The Cut Fashion Design Academy,AVAO,Technical and Vocational,"1888 West 1st Avenue, Vancouver, British Columbia, Canada,",BC,1,Employment and Social Development Canada,1888 west 1st avenue vancouver british columbia canada,1888,west 1st avenue
249,Justice Institute of British Columbia,AVAX,Technical and Vocational,"715 Mcbride Blvd., New Westminster, British Columbia, Canada, (604)528-5588",BC,1,Employment and Social Development Canada,715 mcbride blvd new westminster british columbia canada 528 5588,715,mcbride blvd
250,Nicola Valley Institute of Technology,AVBA,Technical and Vocational,"Main Campus, 4155 Belshaw Street, Merritt, British Columbia, Canada, 2503783300",BC,1,Employment and Social Development Canada,main campus 4155 belshaw street merritt british columbia canada 2503783300,4155,belshaw street
0,Carlton Trail Regional College,CJAA,Junior College,"Box 720, 611 - 17th Street, Humboldt, Saskatchewan, Canada, (306) 682-2623",SK,1,Employment and Social Development Canada,611 17th street humboldt saskatchewan canada 682 2623,611,17th street
1,Cumberland Regional College,CJAC,Junior College,"Box 2225 , 503-2nd Street East, Nipawin, Saskatchewan, Canada, (306) 862-9833",SK,1,Employment and Social Development Canada,503 2nd street east nipawin saskatchewan canada 862 9833,503,2nd street east
2,Northlands College,CJAF,Junior College,"P. O. Box 1000, Air Ronge, Saskatchewan, Canada, (306) 425-4480",SK,1,Employment and Social Development Canada,p o air ronge saskatchewan canada 425 4480,,
3,North West Regional College,CJAG,Junior College,"10702 Diefenbaker Drive, North Battleford, Saskatchewan, Canada, (306) 937-5100",SK,1,Employment and Social Development Canada,10702 diefenbaker drive north battleford saskatchewan canada 937 5100,10702,diefenbaker drive
4,Parkland Regional College,CJAI,Junior College,"200 Block 9th Avenue East, P.O. Box 790, Melville, Saskatchewan, Canada, (306) 563-6808",SK,1,Employment and Social Development Canada,200 block 9th avenue east melville saskatchewan canada 563 6808,200,block 9th avenue east
5,Southeast Regional College,CJAM,Junior College,"Box 1565, Weyburn, Saskatchewan, Canada, (306) 848-2505",SK,1,Employment and Social Development Canada,weyburn saskatchewan canada 848 2505,,
6,Great Plains College,CJAR,Junior College,"Box 700, Biggar, Saskatchewan, Canada, (306) 948-3363",SK,1,Employment and Social Development Canada,biggar saskatchewan canada 948 3363,,
7,Saskatchewan Indian Institute of Technologies,CJAT,Junior College,"118 - 335 Packham Avenue, Saskatoon, Saskatchewan, Canada, (306) 244-4444",SK,1,Employment and Social Development Canada,118 335 packham avenue saskatoon saskatchewan canada 244 4444,118 335,packham avenue
8,Briercrest College and Seminary,CPAC,Private Institution,"510 College Dr., Caronport, Saskatchewan, Canada, (306) 756-3200",SK,1,Employment and Social Development Canada,510 college dr caronport saskatchewan canada 756 3200,510,college dr
9,Eston College,CPAG,Private Institution,"Box 579, Eston, Saskatchewan, Canada, (306) 962-3621",SK,1,Employment and Social Development Canada,eston saskatchewan canada 962 3621,,
10,Saskatoon Business College,CPAM,Private Institution,"221 Third Ave. N, Saskatoon, Saskatchewan, Canada, (306) 244-6333",SK,1,Employment and Social Development Canada,221 third ave n saskatoon saskatchewan canada 244 6333,221,third ave n
11,Horizon College & Seminary,CPAO,Private Institution,"1303 Jackson Ave., Saskatoon, Saskatchewan, Canada, (306) 374-6655",SK,1,Employment and Social Development Canada,1303 jackson ave saskatoon saskatchewan canada 374 6655,1303,jackson ave
12,Saskatoon Spa Academy Ltd,CPAU,Private Institution,"511 J 33rd Street West , Saskatoon, Saskatchewan, Canada,",SK,1,Employment and Social Development Canada,511 j 33rd street west saskatoon saskatchewan canada,511,j 33rd street west
13,Southeast Aviation Services,CPAV,Private Institution,"PO Box 1701 STN Main , Estevan, Saskatchewan, Canada,",SK,1,Employment and Social Development Canada,stn main estevan saskatchewan canada,,stn main
14,The Globe Theatre Conservatory,CPAW,Private Institution,"1801 Scarth Street, 4th Floor , Regina, Saskatchewan, Canada, 306-525-9553",SK,1,Employment and Social Development Canada,1801 scarth street 4th floor regina saskatchewan canada 306 525 9553,1801,scarth street
15,The Recording Arts Institute of Saskatoon,CPAX,Private Institution,"1926 Alberta Avenue, Saskatoon, Saskatchewan, Canada, 3062926744",SK,1,Employment and Social Development Canada,1926 alberta avenue saskatoon saskatchewan canada 3062926744,1926,alberta avenue
16,Apex Academy of Professional Grooming and Animal Arts,CPAZ,Private Institution,"1180 Winnipeg Street, Regina, Saskatchewan, Canada,",SK,1,Employment and Social Development Canada,1180 winnipeg street regina saskatchewan canada,1180,winnipeg street
17,Millar College of the Bible,CPBA,Private Institution,"Box 25, Pamburn, Saskatchewan, Canada, (306) 582-2033",SK,1,Employment and Social Development Canada,pamburn saskatchewan canada 582 2033,,
18,Nipawin Bible College,CPBD,Private Institution,"Box 1986, Highway 35 South, Nipawin, Saskatchewan, Canada, (306) 862-5095",SK,1,Employment and Social Development Canada,highway 35 south nipawin saskatchewan canada 862 5095,,highway 35 south
19,THE STYLE ACADEMY INC.,CPBE,Private Institution,"2455 Broad St, Regina, Saskatchewan, Canada, (306) 522-2077",SK,1,Employment and Social Development Canada,2455 broad st regina saskatchewan canada 522 2077,2455,broad st
20,Elite Hairstyling & Esthetics Training Center,CPBH,Private Institution,"228 2nd Ave NW, Moose Jaw, Saskatchewan, Canada,",SK,1,Employment and Social Development Canada,228 2nd ave nw moose jaw saskatchewan canada,228,2nd ave nw
21,Axiom Career College,CPBI,Private Institution,"2345 Ave C North, Unit #1, Saskatoon, Saskatchewan, Canada,",SK,1,Employment and Social Development Canada,2345 ave c north unit #1 saskatoon saskatchewan canada,2345,ave c north
22,Regina Flying Club,CPBL,Private Institution,"2610 Airport Road, Regina, Saskatchewan, Canada, (306) 525-6194",SK,1,Employment and Social Development Canada,2610 airport road regina saskatchewan canada 525 6194,2610,airport road
23,Western Academy Broadcasting College Ltd,CPBN,Private Institution,"P.O. Box 6082, Saskatoon, Saskatchewan, Canada, 3066651771",SK,1,Employment and Social Development Canada,saskatoon saskatchewan canada 3066651771,,
24,Mckay Career Training Inc.,CPBY,Private Institution,"133 Third Avenue North, Saskatoon, Saskatchewan, Canada, (306) 955-1616",SK,1,Employment and Social Development Canada,133 third avenue north saskatoon saskatchewan canada 955 1616,133,third avenue north
25,Faith Alive Bible College,CPCJ,Private Institution,"637 University Drive, Saskatoon, Saskatchewan, Canada, (306) 652-2230",SK,1,Employment and Social Development Canada,637 university drive saskatoon saskatchewan canada 652 2230,637,university drive
26,Avant-Garde College,CPDH,Private Institution,"1033 - 8th Avenue, Regina, Saskatchewan, Canada, (306) 522-5900",SK,1,Employment and Social Development Canada,1033 8th avenue regina saskatchewan canada 522 5900,1033,8th avenue
27,Mitchinson Flying Service,CPDN,Private Institution,"2620 Thayer Ave, Saskatoon, Saskatchewan, Canada, (306) 244-6714",SK,1,Employment and Social Development Canada,2620 thayer ave saskatoon saskatchewan canada 244 6714,2620,thayer ave
28,MC College,CPDT,Private Institution,"228 - 21st Street East, Saskatoon, Saskatchewan, Canada, (306) 664-2474",SK,1,Employment and Social Development Canada,228 21st street east saskatoon saskatchewan canada 664 2474,228,21st street east
29,The Sasktoon Academy of Learning,CPED,Private Institution,"1202 A Quebec Avenue, Saskatoon, Saskatchewan, Canada, (306) 373-8700",SK,1,Employment and Social Development Canada,1202 a quebec avenue saskatoon saskatchewan canada 373 8700,1202 a,quebec avenue
