X,Y,OBJECTID,ADDRESS,FOLDERTYPE,FILENO,INDATE,ISSUEDATE,WORKDESC,SUBDESC,FOLDERSTATUSDESC,REFERENCEFILE
598278.500000001862645,4805369.499999998137355,623,5123 FALCONCREST DR.,SO Other Single Detached Dwelling,15-020730,2015-10-23T00:00:00.000Z,2015-10-30T00:00:00.000Z,Renovation (No ZC Reqd),Single Detached Dwelling,Final,
597512.562520002014935,4798801.499999998137355,624,2226 COURTLAND DR.,SF New Single Detached Dwelling,18-003135,2018-02-27T00:00:00.000Z,2018-03-13T00:00:00.000Z,New,Single Detached Dwelling,Issued,
597512.562520002014935,4798801.499999998137355,625,2226 COURTLAND DR.,SO Other Single Detached Dwelling,18-000749,2018-01-10T00:00:00.000Z,2018-02-28T00:00:00.000Z,Demolition -Building,Single Detached Dwelling,Final,
589750.312480002641678,4794304.999999998137355,627,1428 PLAINS RD. W,PL Plumbing,17-021899,2017-10-30T00:00:00.000Z,2017-11-01T00:00:00.000Z,Backflow Prevention Device,Commercial,Final,
589750.312480002641678,4794304.999999998137355,628,1428 PLAINS RD. W,IP Industrial,18-026326,2018-11-16T00:00:00.000Z,,Addition,Repair Garage,Deficiency Letter,MD-001/17
589572.500000001862645,4794448.999999998137355,631,1505 OLD PLAINS RD. W,SO Other Single Detached Dwelling,18-004552,2018-03-21T00:00:00.000Z,2018-03-27T00:00:00.000Z,Demolition -Building,Single Detached Dwelling,Issued,
591888.687520002014935,4794368.999999998137355,632,426 PATRICIA DR.,SO Other Single Detached Dwelling,17-005262,2017-04-04T00:00:00.000Z,2017-05-09T00:00:00.000Z,Demolition -Building,Single Detached Dwelling,Final,
591888.687520002014935,4794368.999999998137355,633,426 PATRICIA DR.,SF New Single Detached Dwelling,17-008760,2017-05-23T00:00:00.000Z,2017-06-15T00:00:00.000Z,Infill,Single Detached Dwelling,Final,
595824.375000001862645,4796362.499999998137355,635,655 HOLT DR.,SO Other Single Detached Dwelling,18-023986,2018-10-09T00:00:00.000Z,2018-11-01T00:00:00.000Z,New,Detached Deck,Issued,
595875.875000001862645,4796389.999999998137355,636,673 HOLT DR.,SO Other Single Detached Dwelling,16-020207,2016-09-29T00:00:00.000Z,2016-10-03T00:00:00.000Z,Renovation (No ZC Reqd),Single Detached Dwelling,Final,
595606.250000001862645,4796374.999999998137355,637,665 KING RD.,SO Other Single Detached Dwelling,15-018731,2015-10-01T00:00:00.000Z,2016-03-02T00:00:00.000Z,Addition,Single Detached Dwelling,Issued,
595531.500000001862645,4796453.999999998137355,638,693 KING RD.,SO Other Single Detached Dwelling,16-020264,2016-09-30T00:00:00.000Z,2016-10-13T00:00:00.000Z,Renovation (No ZC Reqd),Single Detached Dwelling,Final,
587121.875000001862645,4806325.499999998137355,642,1244 BRITANNIA RD.,SO Other Single Detached Dwelling,17-014525,2017-07-26T00:00:00.000Z,2017-08-03T00:00:00.000Z,New,Accessory Building,Final,
596884.500000001862645,4799117.499999998137355,644,2171 PROSPECT ST.,GP Institutional/Government,18-016035,2018-07-13T00:00:00.000Z,2018-07-26T00:00:00.000Z,Demolition -Building,Elementary School,Final,
596884.500000001862645,4799117.499999998137355,645,2171 PROSPECT ST.,GP Institutional/Government,17-011986,2017-06-26T00:00:00.000Z,2017-07-10T00:00:00.000Z,Demolition -Building,Elementary School,Final,
596884.500000001862645,4799117.499999998137355,647,2171 PROSPECT ST.,GP Institutional/Government,18-005862,2018-04-06T00:00:00.000Z,2018-05-30T00:00:00.000Z,Renovation (No ZC Reqd),Elementary School,Occupiable,
597155.312480002641678,4799296.499999998137355,648,2257 PROSPECT ST.,SO Other Single Detached Dwelling,19-008893,2019-05-15T00:00:00.000Z,,Renovation (No ZC Reqd),Single Detached Dwelling,Deficiency Letter,
596547.500000001862645,4798579.999999998137355,649,783 BRANT ST.,CP Commercial,17-014972,2017-07-31T00:00:00.000Z,2017-08-22T00:00:00.000Z,New,Office,Issued,
587503.437520002014935,4806813.499999998137355,650,2060 BRITANNIA RD.,SO Other Single Detached Dwelling,15-022614,2015-12-02T00:00:00.000Z,2015-12-07T00:00:00.000Z,New (No ZC Reqd),Single Detached Dwelling,Issued,
587503.437520002014935,4806813.499999998137355,651,2060 BRITANNIA RD.,PL Plumbing,15-022615,2015-12-02T00:00:00.000Z,2015-12-03T00:00:00.000Z,Septic System - New,Single Detached Dwelling,Final,
587918.000000001862645,4807358.499999998137355,652,2238 BRITANNIA RD.,SO Other Single Detached Dwelling,16-016267,2016-08-08T00:00:00.000Z,2016-08-22T00:00:00.000Z,New (No ZC Reqd),Single Detached Dwelling,Final,
596570.937480002641678,4798737.499999998137355,653,799 ROBINSON ST.,M3 Multi-Res (Part 3),17-005415,2017-04-07T00:00:00.000Z,2017-05-02T00:00:00.000Z,Fire Alarm (no ZC required),Apartment,Issued,
596628.812480002641678,4798603.499999998137355,654,2027 GHENT AVE.,SO Other Single Detached Dwelling,15-015204,2015-08-12T00:00:00.000Z,2015-08-25T00:00:00.000Z,Repair (No ZC Reqd),Single Detached Dwelling,Final,
596729.687520002014935,4798731.999999998137355,655,2071 GHENT AVE.,M9 Multi-Res (Part 9),18-007864,2018-05-07T00:00:00.000Z,2019-03-28T00:00:00.000Z,New,Row Townhouse,Issued,535-013/13
596729.687520002014935,4798731.999999998137355,656,2071 GHENT AVE.,P1 Plumbing Site Service,17-004052,2017-03-16T00:00:00.000Z,2017-03-21T00:00:00.000Z,Site Servicing - New,Residential,Issued,
596829.437480002641678,4798821.499999998137355,657,2103 GHENT AVE.,SO Other Single Detached Dwelling,15-010689,2015-06-12T00:00:00.000Z,2015-06-15T00:00:00.000Z,New,Accessory Building,Final,
596677.000000001862645,4796958.999999998137355,658,524 REGINA DR.,PL Plumbing,17-009019,2017-05-26T00:00:00.000Z,2017-06-06T00:00:00.000Z,Backwater Valve,Single Detached Dwelling,Final,
587346.000000001862645,4807715.499999998137355,659,2208 GRAND BLVD.,SO Other Single Detached Dwelling,16-006280,2016-04-19T00:00:00.000Z,2016-04-27T00:00:00.000Z,New,Attached Deck,Final,
587381.250000001862645,4807580.499999998137355,660,2188 GRAND BLVD.,SO Other Single Detached Dwelling,17-002158,2017-02-10T00:00:00.000Z,2017-02-24T00:00:00.000Z,New (No ZC Reqd),Detached Garage,Issued,ZEXM-016/17
587283.750000001862645,4807564.999999998137355,661,2168 SUNSET DR.,SO Other Single Detached Dwelling,17-004691,2017-03-28T00:00:00.000Z,2017-04-10T00:00:00.000Z,New (No ZC Reqd),Single Detached Dwelling,Final,
597113.875000001862645,4799133.999999998137355,665,2217 GHENT AVE.,SO Other Single Detached Dwelling,16-008437,2016-05-13T00:00:00.000Z,2016-05-20T00:00:00.000Z,New,Accessory Building,Final,
597136.437480002641678,4799157.999999998137355,666,2225 GHENT AVE.,SO Other Single Detached Dwelling,18-000434,2018-01-05T00:00:00.000Z,2018-01-18T00:00:00.000Z,Addition,Single Detached Dwelling,Final,
591086.500000001862645,4807090.499999998137355,669,5111 MOUNT NEMO CRES.,PL Plumbing,16-007657,2016-05-06T00:00:00.000Z,2016-05-18T00:00:00.000Z,Septic System - Alteration,Single Detached Dwelling,Final,
589508.437520002014935,4804407.999999998137355,670,1316 NO. 2 SIDE RD.,SO Other Single Detached Dwelling,16-004114,2016-03-16T00:00:00.000Z,2016-04-06T00:00:00.000Z,Demolition -Building,Single Detached Dwelling,Final,
589508.437520002014935,4804407.999999998137355,671,1316 NO. 2 SIDE RD.,SF New Single Detached Dwelling,16-005803,2016-04-13T00:00:00.000Z,2016-05-09T00:00:00.000Z,New,Single Detached Dwelling,Final,
589508.437520002014935,4804407.999999998137355,672,1316 NO. 2 SIDE RD.,PL Plumbing,16-006575,2016-04-22T00:00:00.000Z,2016-05-06T00:00:00.000Z,Septic System - New,Single Detached Dwelling,Final,
589508.437520002014935,4804407.999999998137355,673,1316 NO. 2 SIDE RD.,SO Other Single Detached Dwelling,18-004119,2018-03-14T00:00:00.000Z,2018-04-10T00:00:00.000Z,New,Detached Garage,Final,
596567.77840000204742,4799659.465399999171,674,942 PHYLLIS ST.,SO Other Single Detached Dwelling,17-022445,2017-11-06T00:00:00.000Z,2017-11-28T00:00:00.000Z,Addition,Single Detached Dwelling,Issued,
596603.236960002221167,4799695.296039998531342,675,943 PHYLLIS ST.,SO Other Single Detached Dwelling,19-007013,2019-04-18T00:00:00.000Z,2019-05-06T00:00:00.000Z,Renovation (No ZC Reqd),Single Detached Dwelling,Issued,
596551.125000001862645,4799998.499999998137355,677,2294 QUEENSWAY DR.,SO Other Single Detached Dwelling,19-010970,2019-06-07T00:00:00.000Z,,Demolition -Building,Single Detached Dwelling,OBC Review,
597101.187520002014935,4797400.499999998137355,678,1358 ONTARIO ST.,SO Other Single Detached Dwelling,16-001449,2016-01-29T00:00:00.000Z,2016-03-22T00:00:00.000Z,Renovation (No ZC Reqd),Single Detached Dwelling,Final,
596740.000000001862645,4797864.999999998137355,679,1380 BALDWIN ST.,SO Other Single Detached Dwelling,17-005109,2017-04-03T00:00:00.000Z,2017-04-19T00:00:00.000Z,Renovation (No ZC Reqd),Single Detached Dwelling,Final,
594757.687520002014935,4797583.499999998137355,680,700 PENNY LANE,SO Other Single Detached Dwelling,18-003555,2018-03-06T00:00:00.000Z,2018-03-20T00:00:00.000Z,Renovation,Single Detached Dwelling,Issued,
589861.812480002641678,4808134.999999998137355,681,5508 GUELPH LINE,SO Other Single Detached Dwelling,16-013686,2016-07-05T00:00:00.000Z,2016-07-19T00:00:00.000Z,Renovation (No ZC Reqd),Attached Deck,Issued,
589861.812480002641678,4808134.999999998137355,682,5508 GUELPH LINE,SO Other Single Detached Dwelling,16-024891,2016-12-22T00:00:00.000Z,2017-04-13T00:00:00.000Z,Addition,Single Detached Dwelling,Issued,
589861.812480002641678,4808134.999999998137355,683,5508 GUELPH LINE,PL Plumbing,16-024893,2016-12-22T00:00:00.000Z,2017-01-13T00:00:00.000Z,Septic System - New,Single Detached Dwelling,Issued,
596526.437480002641678,4798863.499999998137355,684,2060 MAPLEWOOD DR.,SO Other Single Detached Dwelling,17-000803,2017-01-16T00:00:00.000Z,2017-03-09T00:00:00.000Z,Renovation (No ZC Reqd),Single Detached Dwelling,Final,
596606.125000001862645,4798947.499999998137355,685,2092 MAPLEWOOD DR.,DS Designated Structure,18-000529,2018-01-08T00:00:00.000Z,2018-01-22T00:00:00.000Z,Dish Antenna/Solar Collector(No ZC Reqd),Single Detached Dwelling,Final,
596606.125000001862645,4798947.499999998137355,686,2092 MAPLEWOOD DR.,SO Other Single Detached Dwelling,17-006983,2017-05-01T00:00:00.000Z,2017-05-23T00:00:00.000Z,Addition,Single Detached Dwelling,Final,
594692.062520002014935,4797330.499999998137355,687,645 PLAINS RD. E,CP Commercial,17-021893,2017-10-30T00:00:00.000Z,2017-12-22T00:00:00.000Z,Renovation,Restaurant,Occupiable,
594692.062520002014935,4797330.499999998137355,688,645 PLAINS RD. E,PL Plumbing,17-021449,2017-10-19T00:00:00.000Z,2017-10-25T00:00:00.000Z,Backflow Prevention Device,Commercial,Final,
594692.062520002014935,4797330.499999998137355,689,645 PLAINS RD. E,PL Plumbing,17-021447,2017-10-19T00:00:00.000Z,2017-10-25T00:00:00.000Z,Backflow Prevention Device,Commercial,Final,
594692.062520002014935,4797330.499999998137355,690,645 PLAINS RD. E,PL Plumbing,17-021454,2017-10-19T00:00:00.000Z,2017-10-25T00:00:00.000Z,Backflow Prevention Device,Commercial,Final,
594778.562520002014935,4797418.499999998137355,691,665 PLAINS RD. E,CP Commercial,17-003380,2017-02-27T00:00:00.000Z,2017-05-04T00:00:00.000Z,Renovation,Commercial - Retail,Occupiable,
594778.562520002014935,4797418.499999998137355,693,665 PLAINS RD. E,CP Commercial,18-018396,2018-08-07T00:00:00.000Z,2018-08-29T00:00:00.000Z,Kitchen System (No ZC Reqd),Restaurant,Final,
594841.812480002641678,4797493.999999998137355,694,695 PLAINS RD. E,CP Commercial,17-018402,2017-09-13T00:00:00.000Z,2017-09-29T00:00:00.000Z,Kitchen System (No ZC Reqd),Restaurant,Final,
594841.812480002641678,4797493.999999998137355,695,695 PLAINS RD. E,CP Commercial,17-004940,2017-03-31T00:00:00.000Z,2017-05-01T00:00:00.000Z,Renovation,Restaurant,Final,
596563.500000001862645,4796861.999999998137355,696,1168 CAROL ST.,SO Other Single Detached Dwelling,18-026112,2018-11-09T00:00:00.000Z,2019-01-04T00:00:00.000Z,Renovation,Single Detached Dwelling,Issued,
591014.500000001862645,4806535.999999998137355,698,2567 NO. 2 SIDE RD.,SF New Single Detached Dwelling,18-007331,2018-04-27T00:00:00.000Z,2018-06-07T00:00:00.000Z,Infill,Single Detached Dwelling,Issued,
591014.500000001862645,4806535.999999998137355,699,2567 NO. 2 SIDE RD.,PL Plumbing,18-007207,2018-04-27T00:00:00.000Z,2018-06-07T00:00:00.000Z,Septic System - New,Single Detached Dwelling,Issued,
591014.500000001862645,4806535.999999998137355,700,2567 NO. 2 SIDE RD.,SO Other Single Detached Dwelling,18-006605,2018-04-20T00:00:00.000Z,2018-04-25T00:00:00.000Z,Demolition -Building,Single Detached Dwelling,Final,
597022.312480002641678,4797514.999999998137355,704,518 HAGER AVE.,PL Plumbing,16-022367,2016-11-04T00:00:00.000Z,2016-11-17T00:00:00.000Z,Water Service Pipe,Single Detached Dwelling,Issued,
597022.312480002641678,4797514.999999998137355,705,518 HAGER AVE.,SO Other Single Detached Dwelling,17-002993,2017-02-27T00:00:00.000Z,2017-03-02T00:00:00.000Z,Addition,Single Detached Dwelling,Final,
590133.125000001862645,4804556.499999998137355,706,4455 CEDAR SPRINGS RD.,SF New Single Detached Dwelling,18-006670,2018-04-19T00:00:00.000Z,2018-05-22T00:00:00.000Z,New,Single Detached Dwelling,Issued,
590133.125000001862645,4804556.499999998137355,707,4455 CEDAR SPRINGS RD.,PL Plumbing,18-007495,2018-05-03T00:00:00.000Z,2018-05-22T00:00:00.000Z,Septic System - New,Semi-Detached Dwelling,Issued,
590133.125000001862645,4804556.499999998137355,708,4455 CEDAR SPRINGS RD.,SF New Single Detached Dwelling,18-006670,2018-09-05T00:00:00.000Z,2018-09-13T00:00:00.000Z,New,Single Detached Dwelling,Issued,
595215.874600002542138,4801904.1254399996251,709,2425 UPPER MIDDLE RD.,GP Institutional/Government,16-005528,2016-04-08T00:00:00.000Z,2016-07-05T00:00:00.000Z,Renovation (No ZC Reqd),Secondary School,Final,
595215.874600002542138,4801904.1254399996251,710,2425 UPPER MIDDLE RD.,GP Institutional/Government,19-001783,2019-05-06T00:00:00.000Z,,Addition,Secondary School,Deficiency Letter,
595215.874600002542138,4801904.1254399996251,711,2425 UPPER MIDDLE RD.,GP Institutional/Government,19-001783,2019-05-01T00:00:00.000Z,,Addition,Secondary School,Deficiency Letter,
595215.874600002542138,4801904.1254399996251,712,2425 UPPER MIDDLE RD.,GP Institutional/Government,18-007985,2018-05-08T00:00:00.000Z,2018-06-29T00:00:00.000Z,Renovation (No ZC Reqd),Secondary School,Final,
595215.874600002542138,4801904.1254399996251,713,2425 UPPER MIDDLE RD.,GP Institutional/Government,18-028580,2018-12-19T00:00:00.000Z,2019-03-05T00:00:00.000Z,Renovation (No ZC Reqd),Arena/Pool/Recreation Facility,Issued,
595215.874600002542138,4801904.1254399996251,714,2425 UPPER MIDDLE RD.,P1 Plumbing Site Service,19-007683,2019-04-30T00:00:00.000Z,2019-05-03T00:00:00.000Z,Site Servicing - New,Institutional/Government,Issued,
595215.874600002542138,4801904.1254399996251,715,2425 UPPER MIDDLE RD.,GP Institutional/Government,16-012230,2016-06-15T00:00:00.000Z,2016-06-24T00:00:00.000Z,Demolition -Building,Secondary School,Final,
595215.874600002542138,4801904.1254399996251,716,2425 UPPER MIDDLE RD.,GP Institutional/Government,19-001783,2019-01-30T00:00:00.000Z,2019-05-24T00:00:00.000Z,Addition,Secondary School,Issued,
589840.750000001862645,4794185.499999998137355,717,1400 PLAINS RD. W,CP Commercial,15-016422,2015-08-27T00:00:00.000Z,2015-09-14T00:00:00.000Z,Repair (No ZC Reqd),Motel,Issued,
595516.812480002641678,4796589.499999998137355,719,648 GREENWOOD DR.,SO Other Single Detached Dwelling,15-016469,2015-08-28T00:00:00.000Z,2015-09-11T00:00:00.000Z,New,Attached Garage/Carport,Final,
595592.750000001862645,4796655.499999998137355,720,674 GREENWOOD DR.,SO Other Single Detached Dwelling,18-005343,2018-03-29T00:00:00.000Z,2018-04-16T00:00:00.000Z,Renovation (No ZC Reqd),Single Detached Dwelling,Final,
595639.687520002014935,4796690.499999998137355,721,686 GREENWOOD DR.,SO Other Single Detached Dwelling,16-024790,2016-12-22T00:00:00.000Z,2017-01-10T00:00:00.000Z,Renovation (No ZC Reqd),Single Detached Dwelling,Issued,
595611.812480002641678,4796747.999999998137355,722,691 GREENWOOD DR.,SO Other Single Detached Dwelling,17-012251,2017-06-29T00:00:00.000Z,2017-07-13T00:00:00.000Z,Renovation (No ZC Reqd),Single Detached Dwelling,Final,
597010.562520002014935,4797523.999999998137355,723,524 HAGER AVE.,SO Other Single Detached Dwelling,17-021767,2017-10-26T00:00:00.000Z,2017-11-09T00:00:00.000Z,New,Attached Deck,Final,
596977.312480002641678,4797554.499999998137355,724,534 HAGER AVE.,SO Other Single Detached Dwelling,18-025604,2018-11-06T00:00:00.000Z,2018-11-08T00:00:00.000Z,New,Accessory Building,Issued,
591929.500000001862645,4794419.499999998137355,726,408 PATRICIA DR.,SF New Single Detached Dwelling,16-022707,2016-11-11T00:00:00.000Z,2016-11-24T00:00:00.000Z,New,Single Detached Dwelling,Final,
591929.500000001862645,4794419.499999998137355,727,408 PATRICIA DR.,SO Other Single Detached Dwelling,16-019631,2016-09-21T00:00:00.000Z,2016-10-04T00:00:00.000Z,Demolition -Building,Single Detached Dwelling,Final,
589222.312480002641678,4809187.999999998137355,728,3051 BRITANNIA RD.,SO Other Single Detached Dwelling,18-026852,2018-11-22T00:00:00.000Z,,Demolition -Building,Single Detached Dwelling,Deficiency Letter,
589222.312480002641678,4809187.999999998137355,729,3051 BRITANNIA RD.,SF New Single Detached Dwelling,19-002004,2019-01-31T00:00:00.000Z,2019-03-14T00:00:00.000Z,Infill,Single Detached Dwelling,Issued,
589222.312480002641678,4809187.999999998137355,730,3051 BRITANNIA RD.,PL Plumbing,19-002006,2019-01-31T00:00:00.000Z,2019-03-14T00:00:00.000Z,Septic System - New,Single Detached Dwelling,Issued,
589294.750000001862645,4809301.499999998137355,731,3095 BRITANNIA RD.,DS Designated Structure,17-022710,2017-11-13T00:00:00.000Z,2017-11-24T00:00:00.000Z,Dish Antenna/Solar Collector(No ZC Reqd),Single Detached Dwelling,Final,
589009.250000001862645,4808899.499999998137355,732,2737 BRITANNIA RD.,PL Plumbing,18-009589,2018-05-23T00:00:00.000Z,2018-06-06T00:00:00.000Z,Septic System - New,Single Detached Dwelling,Final,
591606.500000001862645,4812077.999999998137355,734,5324 BRITANNIA RD.,PL Plumbing,18-003793,2018-03-09T00:00:00.000Z,2018-03-19T00:00:00.000Z,Septic System - New,Single Detached Dwelling,Issued,
589560.562520002014935,4804814.499999998137355,735,5050 CEDAR SPRINGS RD.,SO Other Single Detached Dwelling,17-007944,2017-05-12T00:00:00.000Z,2017-06-13T00:00:00.000Z,New,Detached Garage,Issued,
594677.500000001862645,4797140.999999998137355,741,982 KING RD.,SO Other Single Detached Dwelling,19-006022,2019-04-05T00:00:00.000Z,2019-04-18T00:00:00.000Z,Renovation (No ZC Reqd),Single Detached Dwelling,Issued,
594686.000000001862645,4797070.999999998137355,743,967 LONG DR.,SO Other Single Detached Dwelling,17-005960,2017-04-18T00:00:00.000Z,2017-05-04T00:00:00.000Z,Renovation (No ZC Reqd),Single Detached Dwelling,Final,
593129.687520002014935,4800871.499999998137355,744,1300 MONMOUTH DR.,SO Other Single Detached Dwelling,16-019776,2016-09-22T00:00:00.000Z,2016-10-06T00:00:00.000Z,Renovation (No ZC Reqd),Single Detached Dwelling,Issued,
592184.125000001862645,4810301.999999998137355,745,5375 APPLEBY LINE,PL Plumbing,18-008174,2018-05-08T00:00:00.000Z,2018-05-28T00:00:00.000Z,Septic System - New,Single Detached Dwelling,Issued,
592184.125000001862645,4810301.999999998137355,746,5375 APPLEBY LINE,SF New Single Detached Dwelling,18-007835,2018-05-07T00:00:00.000Z,2018-06-01T00:00:00.000Z,New,Single Detached Dwelling,Occupiable,
592184.125000001862645,4810301.999999998137355,747,5375 APPLEBY LINE,SO Other Single Detached Dwelling,18-005347,2018-03-29T00:00:00.000Z,2018-04-16T00:00:00.000Z,Demolition -Building,Single Detached Dwelling,Issued,
591853.750000001862645,4810269.499999998137355,748,5448 APPLEBY LINE,SO Other Single Detached Dwelling,17-008645,2017-05-18T00:00:00.000Z,2017-07-25T00:00:00.000Z,Renovation,Single Detached Dwelling,Issued,
589014.687480002641678,4805000.999999998137355,749,5172 CEDAR SPRINGS RD.,SO Other Single Detached Dwelling,17-016404,2017-08-18T00:00:00.000Z,2017-09-01T00:00:00.000Z,New,Attached Deck,Final,
596842.812480002641678,4799986.499999998137355,750,936 HAZEL ST.,PL Plumbing,16-013517,2016-07-04T00:00:00.000Z,2016-07-18T00:00:00.000Z,Backwater Valve,Single Detached Dwelling,Final,
596775.062520002014935,4799775.499999998137355,751,917 ORPHA ST.,SO Other Single Detached Dwelling,16-017276,2016-08-18T00:00:00.000Z,2016-08-19T00:00:00.000Z,Renovation (No ZC Reqd),Single Detached Dwelling,Final,ZEXM-103/16
596234.687520002014935,4809717.999999998137355,752,3510 TREMAINE RD.,SO Other Single Detached Dwelling,17-023830,2017-12-01T00:00:00.000Z,2017-12-05T00:00:00.000Z,Renovation (No ZC Reqd),Single Detached Dwelling,Issued,
596234.687520002014935,4809717.999999998137355,753,3510 TREMAINE RD.,SO Other Single Detached Dwelling,18-012657,2018-06-19T00:00:00.000Z,2018-07-05T00:00:00.000Z,New,Attached Garage/Carport,Issued,
594343.312480002641678,4808902.999999998137355,755,5026 NO. 2 SIDE RD.,SO Other Single Detached Dwelling,18-021770,2018-09-12T00:00:00.000Z,2018-09-18T00:00:00.000Z,Demolition -Building,Single Detached Dwelling,Final,
594343.312480002641678,4808902.999999998137355,756,5026 NO. 2 SIDE RD.,SF New Single Detached Dwelling,18-026068,2018-11-12T00:00:00.000Z,2018-12-04T00:00:00.000Z,Infill,Single Detached Dwelling,Issued,
594343.312480002641678,4808902.999999998137355,757,5026 NO. 2 SIDE RD.,PL Plumbing,18-026072,2018-11-12T00:00:00.000Z,2018-12-04T00:00:00.000Z,Septic System - New,Single Detached Dwelling,Issued,
590904.562520002014935,4803707.999999998137355,758,4135 CEDAR SPRINGS RD.,SO Other Single Detached Dwelling,17-009242,2017-05-30T00:00:00.000Z,2017-06-12T00:00:00.000Z,Repair (No ZC Reqd),Single Detached Dwelling,Final,
589103.125000001862645,4805143.499999998137355,760,5191 CEDAR SPRINGS RD.,SO Other Single Detached Dwelling,17-015833,2017-08-11T00:00:00.000Z,2017-09-21T00:00:00.000Z,New (No ZC Reqd),Attached Deck,Issued,ZEXM-071/17
588886.812480002641678,4805116.999999998137355,761,5234 CEDAR SPRINGS RD.,SO Other Single Detached Dwelling,15-015887,2015-08-20T00:00:00.000Z,2015-09-15T00:00:00.000Z,Addition,Single Detached Dwelling,Issued,
588886.812480002641678,4805116.999999998137355,762,5234 CEDAR SPRINGS RD.,PL Plumbing,15-015888,2015-08-20T00:00:00.000Z,2015-09-14T00:00:00.000Z,Septic System - New,Single Detached Dwelling,Final,
588827.750000001862645,4805171.499999998137355,763,5248 CEDAR SPRINGS RD.,SO Other Single Detached Dwelling,17-015032,2017-08-01T00:00:00.000Z,2017-09-07T00:00:00.000Z,Repair (No ZC Reqd),Single Detached Dwelling,Issued,
596167.250000001862645,4799705.999999998137355,764,2191 PLAINS RD. E,IP Industrial,16-020582,2016-10-05T00:00:00.000Z,2017-05-31T00:00:00.000Z,New,Storage Facility,Issued,535-007/14
596255.000000001862645,4799851.999999998137355,765,2211 PLAINS RD. E,CP Commercial,15-020422,2015-10-26T00:00:00.000Z,2015-11-24T00:00:00.000Z,Addition,Office,Final,
588968.750000001862645,4809166.999999998137355,767,6077 GUELPH LINE,SO Other Single Detached Dwelling,18-001225,2018-01-18T00:00:00.000Z,2018-03-28T00:00:00.000Z,New (No ZC Reqd),Accessory Building,Issued,
596948.187520002014935,4798947.499999998137355,773,2153 GHENT AVE.,PL Plumbing,18-008146,2018-05-08T00:00:00.000Z,2018-05-16T00:00:00.000Z,External Plumbing - Alter/Replace,Single Detached Dwelling,Final,
597024.500000001862645,4799032.499999998137355,774,2179 GHENT AVE.,PL Plumbing,17-014119,2017-07-21T00:00:00.000Z,2017-07-27T00:00:00.000Z,Backwater Valve,Single Detached Dwelling,Final,
589910.062520002014935,4804535.499999998137355,777,4452 CEDAR SPRINGS RD.,PL Plumbing,18-004328,2018-03-19T00:00:00.000Z,2018-04-26T00:00:00.000Z,Septic System - New,Single Detached Dwelling,Issued,
589910.062520002014935,4804535.499999998137355,778,4452 CEDAR SPRINGS RD.,SO Other Single Detached Dwelling,18-003749,2018-03-08T00:00:00.000Z,2018-04-26T00:00:00.000Z,Renovation (No ZC Reqd),Single Detached Dwelling,Occupiable,
592375.062520002014935,4805144.499999998137355,779,4001 GUELPH LINE,SF New Single Detached Dwelling,17-024375,2017-12-06T00:00:00.000Z,2018-02-06T00:00:00.000Z,Infill,Single Detached Dwelling,Issued,
592375.062520002014935,4805144.499999998137355,780,4001 GUELPH LINE,PL Plumbing,17-024374,2017-12-06T00:00:00.000Z,2018-02-06T00:00:00.000Z,Septic System - New,Single Detached Dwelling,Issued,
596765.375000001862645,4799939.999999998137355,781,2329 BRINELL AVE.,PL Plumbing,18-008183,2018-05-11T00:00:00.000Z,2018-05-16T00:00:00.000Z,Internal Plumbing - Alter/Replace,Single Detached Dwelling,Final,
596778.437480002641678,4799953.499999998137355,782,2333 BRINELL AVE.,SO Other Single Detached Dwelling,19-000765,2019-01-10T00:00:00.000Z,2019-02-01T00:00:00.000Z,Addition,Accessory Dwelling Units,Issued,
596791.625000001862645,4799966.999999998137355,783,2339 BRINELL AVE.,SO Other Single Detached Dwelling,18-002834,2018-02-21T00:00:00.000Z,2018-04-06T00:00:00.000Z,Addition,Single Detached Dwelling,Issued,
596678.312480002641678,4800006.999999998137355,784,976 CLETA ST.,SO Other Single Detached Dwelling,17-006342,2017-04-21T00:00:00.000Z,2017-05-05T00:00:00.000Z,Addition,Single Detached Dwelling,Final,
589410.875000001862645,4810607.499999998137355,785,6205 WALKER'S LINE,PL Plumbing,16-012724,2016-06-22T00:00:00.000Z,2016-10-28T00:00:00.000Z,Septic System - New,Single Detached Dwelling,Final,
590262.875000001862645,4795530.999999998137355,786,1580 OLD YORK RD.,SO Other Single Detached Dwelling,17-024408,2018-09-11T00:00:00.000Z,2018-11-06T00:00:00.000Z,Addition,Attached Garage/Carport,Issued,
590262.875000001862645,4795530.999999998137355,787,1580 OLD YORK RD.,PL Plumbing,18-021752,2018-09-11T00:00:00.000Z,2018-11-12T00:00:00.000Z,Septic System - New,Single Detached Dwelling,Issued,
590262.875000001862645,4795530.999999998137355,788,1580 OLD YORK RD.,SO Other Single Detached Dwelling,17-024408,2017-12-08T00:00:00.000Z,2017-12-22T00:00:00.000Z,Addition,Attached Garage/Carport,Issued,
589900.812480002641678,4797349.999999998137355,790,1956 SNAKE RD.,SO Other Single Detached Dwelling,15-018684,2015-09-30T00:00:00.000Z,2015-10-08T00:00:00.000Z,New,Attached Deck,Final,
