"PermitID","PermitClass","TypeConst","UseCategory","IntendUse","ApplDate","IssDate","PermitNo","Address","legaldesc","GrossAreaSqFt","EstValue","DwellingUnitsCreated","DwellingUnitsDemolished","parcelno","Longitude","Latitude"
"3135","Pool","New","Accessory","","2008-05-12","2008-05-21","W08-017","43 WOODRUSH AVE","PLAN M69 LOT 179","512","27000","0","0","17804","-79.2759","43.0154"
"3154","Pool","New","Accessory","","2008-05-16","2008-05-21","W08-021","251 THOROLD RD","PLAN 79 LOT 68 NP627","0","4000","0","0","14585","-79.2674","43.0035"
"3112","Building","New","Residential","Single Detached Dwelling","2008-05-01","2008-05-22","B08-113","183 BROOKHAVEN CRT","PLAN 59M355 LOT 14","1937","325000","1","0","23271","-79.2890","43.0102"
"3114","Building","New","Residential","Single Detached Dwelling","2008-05-01","2008-05-22","B08-114","109 MAGNOLIA LANE","PLAN 59M326 LOT 21","1937","525000","1","0","21474","-79.2154","43.0186"
"3124","Building","New","Accessory","Detached Garage","2008-05-05","2008-05-22","B08-118","228 KINGSWAY","PLAN 54 PT LOT 48 NP 813 RP;59R10750 PART 1","480","10000","0","0","5467","-79.2448","42.9362"
"3144","Sign","New","Commercial","Retail Plaza","2008-05-13","2008-05-22","S08-009","390 LINCOLN ST","PLAN 1649 PT BLK HH NP 564;59R 10634 PARTS 1,2 & 3","192","50000","0","0","9786","-79.2372","42.9848"
"3159","Pool","New","Accessory","","2008-05-21","2008-05-22","W08-022","9 CARLTON AVE","PLAN 34 PT LOT 64 NP668","594","7000","0","0","16052","-79.2546","43.0046"
"3161","Building","Alteration","Residential","Single Detached Dwelling","2008-05-22","2008-05-23","B08-135","27 OAK CRT","PLAN 91 LOT 1 NP639","0","4000","0","0","10101","-79.2787","42.9951"
"3123","Conditional","Partial","Commercial","Golf Clubhouse","2008-05-02","2008-05-23","C08-002","105 SOUTH PELHAM RD","CON 14 PT LOT 1 RP 59R11557;PART 1 SPARROWLAKEGC","3400","175000","0","0","3875","-79.2881","42.9747"
"3097","Plumbing","Alteration","Residential","Single Detached Dwelling","2008-04-25","2008-05-23","P08-030","377 NAVY ST","PLAN 54 LOT 237 NP973","0","1000","0","0","7750","-79.2374","42.9795"
"3098","Plumbing","Alteration","Residential","Single Detached Dwelling","2008-04-25","2008-05-23","P08-031","373 NAVY ST","PLAN 54 LOT 238 NP 973","0","1000","0","0","7749","-79.2375","42.9795"
"3139","Building","New","Accessory","Shed","2008-05-09","2008-05-26","B08-125","828 WRIGHT ST","PLAN 46 LOT 811 PT LOT 812;NP966","140","4500","0","0","2816","-79.2393","42.9664"
"3162","Building","Alteration","Residential","Single Detached Dwelling","2008-05-22","2008-05-26","B08-136","18 ROSEWOOD AVE","PLAN 66 LOT 20 NP614","0","8500","0","0","15210","-79.2504","43.0023"
"3163","Building","Alteration","Residential","Single Detached Dwelling","2008-05-22","2008-05-26","B08-137","567 LEONARD AVE","PLAN 39 LOT 91 NP673","0","10000","0","0","13384","-79.2793","43.0019"
"3140","Plumbing","New","Residential","Single Detached Dwelling","2008-05-09","2008-05-26","P08-036","98 COLBECK DR","PLAN M86 LOT 7 PT BLK 14 RP;59R10738 PARTS 13-16","0","1000","0","0","11987","-79.2683","42.9872"
"3111","Plumbing","Alteration","Residential","Single Detached Dwelling","2008-04-29","2008-05-27","P08-032","206 COMMERCIAL ST","PLAN 43 PT LOT 363 PT LOT;364 NP963 RP 59R5524 PART 1;PART 2","0","3000","0","0","7014","-79.2422","42.9689"
"3167","Plumbing","Alteration","Residential","Single Detached Dwelling","2008-05-27","2008-05-27","P08-039","498 SCHOLFIELD AVE","PLAN 23 LOT 300 NP945","0","1400","0","0","5056","-79.2331","42.9960"
"3132","Sign","New","Commercial","Massage Therapy","2008-05-07","2008-05-27","S08-008","463 EAST MAIN ST","PLAN 38 PT LOT 158 PT LOT 159 NP586","38","2994","0","0","5413","-79.2369","42.9932"
"3145","Sign","New","Commercial","Retail","2008-05-09","2008-05-27","S08-010","102 PRIMEWAY DR","PLAN 59M377 CON 2 PT LOTS 20, 21 & 22 RP 59R13431 PT 1-26","208","1200","0","0","23169","-79.2296","43.0187"
"3142","Building","Addition","Residential","Single Detached Dwelling","2008-05-12","2008-05-28","B08-126","18 MICHELLE CRT","PLAN 59M351 LOT 4","288","2500","0","0","21616","-79.2700","42.9825"
"3143","Building","Addition","Residential","Single Detached Dwelling","2008-05-12","2008-05-28","B08-127","356 MCALPINE AVE","PLAN 40 PT LOT 712 LOT 711;NP960","80","1500","0","0","9691","-79.2348","42.9846"
"3149","Building","Addition","Residential","Single Detached Dwelling","2008-05-14","2008-05-28","B08-128","474 BALSAM ST","PLAN 59M222 LOT 85","38","2500","0","0","19138","-79.2891","43.0151"
"3150","Building","Addition","Residential","Single Detached Dwelling","2008-05-14","2008-05-28","B08-129","167 FOXTAIL AVE","PLAN 59M246 LOT 22","280","10000","0","0","19080","-79.2896","43.0000"
"3166","Building","New","Residential","Single Detached Dwelling","2008-05-23","2008-05-28","B08-138","41 SUMBLER RD","PELHAM CON 12 PT LOT 1 RP 59R13436; PART 2","1776","225000","1","0","27843","-79.2876","43.0063"
"3164","Demolition","","Institutional","Church","2008-05-22","2008-05-28","D08-011","11 MICHIGAN ST","PLAN 781 LOT 56","1470","3000","0","0","27857","-79.2449","42.9495"
"3165","Pool","New","Accessory","","2008-05-23","2008-05-28","W08-023","10 CRESCENT DR","PLAN 62 LOT 48 NP821","288","500","0","0","5708","-79.2408","42.9466"
"3155","Building","Addition","Residential","Single Detached Dwelling","2008-05-20","2008-05-29","B08-131","56 NATHALIE CRT","PLAN 59M346 PT LOT 6 RP;59R13185 PART 1","192","3200","0","0","22366","-79.2245","42.9927"
"3173","Demolition","","Commercial","Retail","2008-05-28","2008-05-30","D08-012","6 RIVERSIDE DR","PLAN 1649 PT LOT HAR NP564;RP 59R4380 PART 3","1100","6700","0","0","11994","-79.2597","42.9903"
"2973","Building","New","Accessory","Shed","2008-01-31","2008-06-02","B08-025","218 COLBECK DR","PLAN 59M301 LOT 15","120","2000","0","0","12383","-79.2728","42.9856"
"3151","Building","Addition","Residential","Single Detached Dwelling","2008-05-15","2008-06-02","B08-130","49 STRATHMORE CRES","PLAN 90 LOT 53 NP638","256","7500","0","0","5310","-79.2274","42.9851"
"3156","Building","Addition","Residential","Single Detached Dwelling","2008-05-20","2008-06-02","B08-132","394 TRILLIUM AVE","PLAN 59M222 LOT 49","460","3500","0","0","19174","-79.2882","43.0117"
"3169","Building","Alteration","Commercial","Retail","2008-05-23","2008-06-02","B08-140","300 EAST MAIN ST","LTS 1 & 2 & PT LTS 3-6 NP561;PT LT 24 CON 4 PT BLK KK NP;564 PT LT 66 NP 611 RP59R885;5 PART 1","194","5000","0","0","2517","-79.2409","42.9942"
"3153","Plumbing","Alteration","Residential","Single Detached Dwelling","2008-05-15","2008-06-02","P08-037","104 SOUTHWORTH ST","PLAN 54 LOT 229 NP973","0","1500","0","0","7758","-79.2362","42.9795"
"3157","Building","Addition","Residential","Single Detached Dwelling","2008-05-20","2008-06-03","B08-133","52 LYONS AVE","PLAN 40 LOT 180 PT LOT 179;NP960","96","600","0","0","9121","-79.2319","42.9912"
"3160","Building","Addition","Residential","Single Detached Dwelling","2008-05-21","2008-06-03","B08-134","236 KINGSWAY","PLAN 54 PT LOT 48 TO 50 PT LOT 49 NP813","555","8000","0","0","5466","-79.2438","42.9359"
"3168","Building","New","Accessory","Detached Garage","2008-05-23","2008-06-03","B08-139","5 BRADEN AVE","PLAN 77 LOT 32 NP625","720","20000","0","0","12180","-79.2672","42.9927"
"3174","Plumbing","Alteration","Residential","Single Detached Dwelling","2008-05-29","2008-06-05","P08-040","182 YOUNG ST","PLAN 1649 PT LOT 16 NP557","0","1475","0","0","11019","-79.2443","42.9898"
"3188","Plumbing","Alteration","Residential","Single Detached Dwelling","2008-06-04","2008-06-05","P08-041","99 ROSS ST","PLAN 51 PT LOT 9 NP599","0","1200","0","0","10023","-79.2417","42.9963"
"3182","Pool","New","Accessory","","2008-06-02","2008-06-05","W08-024","14 LAMONT DR","PLAN 92 LOT 321","512","25000","0","0","16463","-79.2667","43.0073"
"3158","Plumbing","Alteration","Residential","Single Detached Dwelling","2008-05-21","2008-06-06","P08-038","406 HENNEPIN AVE","PLAN 54 LOT 88 NP973","0","1500","0","0","7627","-79.2364","42.9829"
"3171","Building","New","Institutional","Temporary Structure","2008-05-26","2008-06-09","B08-141","47 CHIPPAWAYAN TRL","PT TWP LT 233 PT TWP LT 234;RP 59R9252 PTS 1 & 3","800","1200","0","0","27963","-79.2651","43.0153"
"3172","Building","New","Institutional","Temporary Structure","2008-05-26","2008-06-09","B08-142","47 CHIPPAWAYAN TRL","PT TWP LT 233 PT TWP LT 234;RP 59R9252 PTS 1 & 3","1200","1150","0","0","27963","-79.2651","43.0153"
"3176","Building","New","Residential","Single Detached Dwelling","2008-05-30","2008-06-09","B08-144","412 MICHAEL DR","PLAN 59M361 LOT 24","2000","250000","1","0","27769","-79.2827","43.0117"
"3194","Building","Alteration","Residential","Single Detached Dwelling","2007-08-23","2008-06-09","B08-158","146 ST GEORGE ST","PLAN 20 LOT 402 LOT 403;NP942","172","500","0","0","592","-79.2655","42.9713"
"3199","Plumbing","Alteration","Residential","Single Detached Dwelling","2008-06-09","2008-06-09","P08-043","27 WAVELL CRT","PLAN 54 LOT 73 NP973","0","1400","0","0","7642","-79.2382","42.9831"
"3198","Pool","New","Accessory","","2008-06-06","2008-06-10","W08-026","76 GLADYS AVE","PLAN 87 LOT 72 NP 635","450","7000","0","0","7955","-79.2281","42.9811"
"3204","Plumbing","Alteration","Residential","Single Detached Dwelling","2008-06-10","2008-06-11","P08-045","18 ROSEWOOD AVE","PLAN 66 LOT 20 NP614","0","7000","0","0","15210","-79.2504","43.0023"
"3177","Building","Addition","Residential","Single Detached Dwelling","2008-05-30","2008-06-12","B08-145","378 KINGSWAY","CON 3 PT LOT 26 RP 59R5727;PART 7","360","4500","0","0","20604","-79.2426","42.9281"
"3178","Building","Alteration","Residential","Single Detached Dwelling","2008-05-30","2008-06-12","B08-146","51 ROSS ST","PLAN 63 LOT 73 NP611","96","5000","0","0","9995","-79.2417","42.9949"
"3210","Plumbing","Alteration","Residential","Single Detached Dwelling","2008-06-12","2008-06-12","P08-046","418 SCHOLFIELD AVE N","PLAN 23 LOT 279 LOT 280 NP;945","0","1700","0","0","5071","-79.2331","42.9942"
"3179","Building","Addition","Residential","Single Detached Dwelling","2008-06-02","2008-06-17","B08-147","106 LYONS AVE","PLAN 40 LOT 153 PT LOT 154;NP960","264","11000","0","0","9550","-79.2319","42.9889"
"3183","Building","Alteration","Residential","Single Detached Dwelling","2008-06-03","2008-06-17","B08-150","3 CAMBRIDGE RD","CON 3 PT LOT 21","815","5000","0","0","2483","-79.2275","43.0117"
"3184","Building","New","Accessory","Shed","2008-06-03","2008-06-17","B08-151","71 MASON CRT","PLAN 59M343 PT BLK 8;RP59R13350 PART 7","192","3000","0","0","25681","-79.2834","43.0045"
"3212","Pool","New","Accessory","","2008-06-13","2008-06-17","W08-028","28 HARVEST OAK DR","PLAN M125 LOT 32 PT PCL;PLAN-1","648","33000","0","0","17619","-79.2832","43.0173"
"3186","Building","New","Accessory","Shed","2008-06-03","2008-06-18","B08-152","31 CHANTLER RD","CON 13 PT LOT 1","192","3000","0","0","19224","-79.2871","42.9971"
"3196","Pool","New","Accessory","","2008-06-06","2008-06-18","W08-025","36 COURTNEY CRES","PLAN 59M230 LOT 144","200","600","0","0","1829","-79.2403","43.0257"
"3213","Pool","New","Accessory","","2008-06-16","2008-06-18","W08-029","32 WOODLAND DR","PLAN 59M178 PT BLK 10 RP;59R9513 PART 1","288","6000","0","0","18101","-79.2618","43.0204"
"3215","Pool","New","Accessory","","2008-06-16","2008-06-18","W08-030","54 MONTGOMERY RD","PLAN 30 PT LOT 6 NP664","452","3500","0","0","18840","-79.2755","43.0244"
"3187","Building","Alteration","Residential","Single Detached Dwelling","2008-06-03","2008-06-19","B08-153","51 HURON ST","PLAN 22 LOT 68 TO LOT 70;NP781","900","18000","0","0","5946","-79.2455","42.9487"
"3202","Building","Alteration","Residential","Apartment","2008-06-09","2008-06-19","B08-162","132 HELLEMS AVE","PLAN 30 LOT 24 PT LOT 25 NP578","0","5000","0","0","10795","-79.2463","42.9897"
"3190","Plumbing","Alteration","Residential","Single Detached Dwelling","2008-06-04","2008-06-19","P08-042","24 RAYMOND ST","PLAN 23 LOT 38 NP571","0","1500","0","0","11157","-79.2488","42.9972"
"3219","Plumbing","Alteration","Residential","Single Detached Dwelling","2008-06-17","2008-06-19","P08-049","20 DOUGLAS AVE","PLAN 14 LOT 31 NP649","0","1200","0","0","10268","-79.2518","43.0047"
"3189","Building","Alteration","Residential","Single Detached Dwelling","2008-06-04","2008-06-20","B08-154","29 NELLES RD","PLAN 65 LOT 150 NP613","133","3900","0","0","3924","-79.2413","42.9782"
"3192","Building","New","Accessory","Detached Garage","2008-06-05","2008-06-20","B08-156","319 AQUEDUCT ST","PLAN 31 PT LOT 45 NP 665","308","5000","0","0","15464","-79.2503","43.0050"
"3207","Building","New","Residential","Single Detached Dwelling","2008-06-11","2008-06-20","B08-165","165 FITCH ST","PLAN 648 LOT 44","768","170000","1","0","19531","-79.2618","42.9943"
"3208","Building","New","Residential","Single Detached Dwelling","2008-06-11","2008-06-20","B08-166","161 FITCH ST","PLAN 648 LOT 43","768","170000","1","0","23110","-79.2617","42.9943"
"3218","Building","New","Residential","Single Detached Dwelling","2008-06-17","2008-06-23","B08-170","8 MICHELLE CRT","PLAN 59M351 LOT 3","1500","160000","1","0","21858","-79.2698","42.9824"
"3220","Building","New","Institutional","Portable Classroom","2008-06-18","2008-06-23","B08-171","333 QUAKER RD","PT TWP LOT 233","1539","10000","0","0","18107","-79.2612","43.0215"
"3221","Building","New","Institutional","Portable Classroom","2008-06-18","2008-06-23","B08-172","240 THOROLD RD W","PLAN TWP PT LOT 243","764","5000","0","0","21094","-79.2674","43.0052"
"3216","Plumbing","Alteration","Residential","Single Detached Dwelling","2008-06-17","2008-06-23","P08-048","208 COMMERCIAL ST","PLAN 43 PT LOT 364 PT LOT;365 NP963 RP 59R5524 PART 3;PART 4","0","3000","0","0","15210","-79.2504","43.0023"
"3226","Pool","New","Accessory","","2008-06-20","2008-06-24","W08-031","40 BELLEVUE CRT","PLAN 59M299 LOT 4","884","40000","0","0","12467","-79.2705","42.9873"
"3175","Building","Addition","Residential","Single Detached Dwelling","2008-05-29","2008-06-25","B08-143","84 DIFFIN DR","PLAN 74 LOT 35 NP622","324","8000","0","0","11408","-79.2648","42.9934"
"3193","Building","New","Accessory","Shed","2008-06-06","2008-06-25","B08-157","386 KINGSWAY","CON 3 PT TWP LOT 26;RP59R-5727 PART 9","384","3500","0","0","20606","-79.2426","42.9277"
"3201","Building","Addition","Residential","Attached Garage","2008-06-09","2008-06-26","B08-161","749 BUCHNER RD","CON 6 N PT LOT 12","1344","10000","0","0","4778","-79.1823","42.9837"
"3209","Building","Addition","Residential","Single Detached Dwelling","2008-06-11","2008-06-26","B08-167","19 WOODCROFT CRES","PLAN 70 LOT 81 NP618","172","3000","0","0","14325","-79.2645","43.0007"
"3223","Building","Alteration","Residential","Single Detached Dwelling","2008-06-20","2008-06-26","B08-174","19 EMPIRE ST","PLAN 1297 PT LOT 9 PT LOT 11;NP566","4142","40000","0","0","5452","-79.2404","42.9927"
"3231","Plumbing","Alteration","Residential","Single Detached Dwelling","2008-06-23","2008-06-26","P08-050","475 FITCH ST","PT TWP LOT 257 59R 2605 PART;1","0","10000","0","0","12870","-79.2798","42.9942"
"3227","Pool","New","Accessory","","2008-06-23","2008-06-26","W08-032","28 GREEN POINTE DR","PLAN 59M277 LOT 56","346","4200","0","0","16024","-79.2561","43.0062"
"3082","Building","New","Accessory","Detached Garage","2008-04-21","2008-06-27","B08-096","653 CARL RD","CON 2 N PT LOT 13 RP59R 7332;PT 8","1233","12000","0","0","22664","-79.1867","43.0203"
"3197","Building","Addition","Residential","Single Detached Dwelling","2008-06-06","2008-06-27","B08-160","203 AQUEDUCT ST","PLAN 601 PT LOTS 3 AND 4","300","2500","0","0","15184","-79.2501","43.0011"
"3217","Building","Addition","Residential","Single Detached Dwelling","2008-06-17","2008-06-27","B08-169","305 GATFIELD AVE","CON 6 PT LOT 23 PT LOT 49 PT LOT 115 PT LOT 122 RD255","128","2000","0","0","8023","-79.2399","42.9773"
"3228","Building","New","Commercial","Temporary Structure","2008-06-23","2008-06-27","B08-177","1100 NIAGARA ST","PT TWP LOT 225","800","1000","0","0","1979","-79.2471","43.0287"
"3229","Building","Addition","Residential","Single Detached Dwelling","2008-06-23","2008-06-27","B08-178","296 BALSAM ST","PLAN 59M222 LOT 20","22","1000","0","0","18916","-79.2893","43.0127"
"3230","Building","New","Commercial","Temporary Structure","2008-06-23","2008-06-27","B08-179","1100 NIAGARA ST","PT TWP LOT 225","7000","10000","0","0","1979","-79.2471","43.0287"
"3238","Building","Alteration","Residential","Single Detached Dwelling","2008-06-25","2008-06-27","B08-183","3 CADY ST","PLAN 38 PT LOT 56 NP586","0","11500","0","0","9400","-79.2389","42.9907"
"3239","Building","Alteration","Residential","Single Detached Dwelling","2008-06-26","2008-06-27","B08-184","497 WRIGHT ST","PLAN 13 LOT 59","0","10000","0","0","3086","-79.2387","42.9697"
"3236","Building","New","Residential","Single Detached Dwelling","2008-06-24","2008-06-30","B08-181","137 MICHAEL DR","PLAN 59M364 LOT 13","2120","265000","1","0","27907","-79.2831","43.0088"
"3233","Pool","New","Accessory","","2008-06-24","2008-06-30","W08-034","103 GLENWOOD PKY","PLAN 62 LOT 118 NP821","254","5000","0","0","5521","-79.2438","42.9430"
"3243","Pool","New","Accessory","","2008-06-27","2008-06-30","W08-035","268 RIVER RD","PLAN 48 LOT 29 NP596","254","500","0","0","2425","-79.2408","42.9995"
"3180","Building","Addition","Residential","Single Detached Dwelling","2008-06-02","2008-07-02","B08-148","71 BEATRICE ST","PLAN 8 LOT 30 NP931","656","45000","0","0","1613","-79.2450","42.9735"
"3241","Building","Addition","Residential","Single Detached Dwelling","2008-06-26","2008-07-02","B08-186","54 MONTGOMERY RD","PLAN 30 PT LOT 6 NP664","264","2000","0","0","9400","-79.2389","42.9907"
"3244","Building","Addition","Residential","Single Detached Dwelling","2008-06-27","2008-07-02","B08-188","135 GREEN POINTE DR","PLAN 59M132 LOT 56","170","3500","0","0","15582","-79.2572","43.0094"
"3249","Building","Alteration","Residential","Single Detached Dwelling","2008-06-30","2008-07-02","B08-192","450 MCALPINE AVE","PLAN 23 LOT 21 LOT 22 NP945","0","4500","0","0","8975","-79.2352","42.9958"
"3232","Pool","New","Accessory","","2008-06-23","2008-07-02","W08-033","179 WELLBROOK BLVD","PLAN 59M320 LOT 11","452","3500","0","0","21391","-79.2786","42.9901"
"3224","Building","New","Residential","Single Detached Dwelling","2008-06-19","2008-07-03","B08-175","166 WALLACE AVE","PLAN 960 PT LOTS 572, 573 RP 59R13627 PART 2","1700","200000","1","0","28227","-79.2339","42.9903"
"3240","Building","New","Accessory","Shed","2008-06-27","2008-07-03","B08-185","648 DOANS RIDGE RD","PLAN 9156 PT LOT 3","505","15000","0","0","4715","-79.1825","42.9685"
"3248","Pool","New","Accessory","","2008-06-30","2008-07-03","W08-036","35 SUMMERLEA AVE","PLAN 30 PT LTS 18&19 NP664","572","7000","0","0","18823","-79.2770","43.0255"
"3245","Building","Alteration","Residential","Single Detached Dwelling","2008-06-27","2008-07-04","B08-189","30 NORTHHAVEN RD","PLAN 18 LOT 223","162","12000","0","0","16094","-79.2577","43.0050"
"3253","Pool","New","Accessory","","2008-07-02","2008-07-04","W08-038","29 MELISSA CRES","PLAN M79 LOT 15","390","10000","0","0","15404","-79.2456","43.0088"
"3255","Plumbing","Alteration","Residential","Single Detached Dwelling","2008-07-03","2008-07-07","P08-051","393 CALAIS ST","PLAN 54 LOT 189 NP973","0","1300","0","0","7799","-79.2368","42.9810"
"3251","Pool","New","Accessory","","2008-07-02","2008-07-07","W08-037","45 SUMBLER RD","CON 12 PT LOT 1 RP 59R13436;PARTS 1 AND 2","648","14000","0","0","27842","-79.2878","43.0063"
"3268","Pool","New","Accessory","","2008-07-04","2008-07-08","W08-040","43 STORMM CRT","PLAN 59M332 LOT 3","512","36200","0","0","21452","-79.2669","42.9874"
"3237","Building","New","Residential","Single Detached Dwelling","2008-06-25","2008-07-09","B08-182","38 NYE AVE","PLAN 608 LOT 62","1275","128000","1","0","28262","-79.2469","43.0027"
"3246","Building","Addition","Residential","Single Detached Dwelling","2008-06-27","2008-07-09","B08-190","354 HILLSDALE RD","PLAN 59M320 LOT 61","383","3000","0","0","21570","-79.2759","42.9871"
"3277","Demolition","","Residential","Single Detached Dwelling","2008-07-07","2008-07-09","D08-013","438 SOUTHWORTH ST","PLAN 17 LOT 492 LOT 493;NP939","1900","2500","0","1","20499","-79.2365","42.9704"
"3270","Plumbing","Alteration","Commercial","Retail Plaza","2008-07-04","2008-07-09","P08-052","800 NIAGARA ST","PT TWP LOTS 229 AND 230 RP 59R1742 PARTS 3 AND 4 RP 59R2895 PARTS 1 AND 2","0","35000","0","0","19616","-79.2466","43.0158"
"3272","Plumbing","Alteration","Residential","Single Detached Dwelling","2008-07-08","2008-07-09","P08-053","88 STATE ST","PLAN 1649 PT LOT 16 NP555","0","1500","0","0","10646","-79.2496","42.9870"
"3276","Plumbing","Alteration","Residential","Single Detached Dwelling","2008-07-07","2008-07-09","P08-055","336 ONTARIO RD","PLAN 8 PT LOT 22 PT LOT 23;NP931","0","1600","0","0","3383","-79.2457","42.9744"
"3234","Building","Alteration","Commercial","Retail/Office","2008-06-24","2008-07-10","B08-180","411 EAST MAIN ST","PLAN 617 BLK ATLAS A","0","15000","0","0","21080","-79.2390","42.9932"
"3247","Building","New","Accessory","Detached Garage","2008-06-27","2008-07-10","B08-191","20 MARSHALL AVE","PLAN M2 LOT 12","720","25000","0","0","768","-79.2673","42.9739"
"3254","Building","Addition","Residential","Single Detached Dwelling","2008-07-03","2008-07-10","B08-194","176 BRADLEY AVE","PLAN 24 PT LOT 503 PT LOT 504 PT LOT 505 PT LOT 506 NP 946 RD 16 PART 16 PART 25","526","15000","0","0","6583","-79.2312","42.9702"
"3269","Pool","New","Accessory","","2008-07-04","2008-07-10","W08-041","63 MELISSA CRES","PLAN M79 LOT 24","254","5000","0","0","15395","-79.2456","43.0101"
"3273","Pool","New","Accessory","","2008-07-07","2008-07-10","W08-042","23 MEADOWVALE PLACE","PLAN M13 LOT 11 PCL 11-1","450","4500","0","0","17101","-79.2709","43.0121"
"3280","Pool","New","Accessory","","2008-07-07","2008-07-10","W08-043","47 ABBEY RD","PLAN 40 LOT 68 NP674","254","5000","0","0","15931","-79.2527","43.0098"
"3282","Building","New","Residential","Single Detached Dwelling","2008-07-07","2008-07-11","B08-209","420 MICHAEL DR","PLAN 59M361 LOT 23","2006","210000","1","0","27770","-79.2828","43.0117"
"3286","Building","Alteration","Institutional","Church","2008-07-07","2008-07-11","B08-210","904 SOUTH PELHAM RD","PT TWP LOT 237 RP 59R1988;PART 1","0","50000","0","0","17654","-79.2846","43.0170"
"3288","Building","New","Residential","Single Detached Dwelling","2008-07-09","2008-07-11","B08-211","295 HILLSDALE RD","PLAN 59M299 LOT 32","1480","178000","1","0","12443","-79.2748","42.9860"
"3274","Building","Addition","Residential","Single Detached Dwelling","2008-07-07","2008-07-14","B08-207","23 MEADOWVALE PLACE","PLAN M13 LOT 11 PCL 11-1","600","5000","0","0","17101","-79.2709","43.0121"
"3290","Pool","New","Accessory","","2008-07-10","2008-07-14","W08-045","89 WILLSON RD","PLAN M62 LOT 4","452","2600","0","0","12515","-79.2705","42.9931"
"3205","Building","New","Accessory","Detached Garage","2008-06-10","2008-07-15","B08-163","634 SOUTH PELHAM RD","PT TWP LOT 246 RP 59R11678;PARTS 1 AND 2","528","12000","0","0","21629","-79.2849","43.0051"
"3252","Building","New","Accessory","Detached Garage","2008-07-02","2008-07-15","B08-193","45 SUMBLER RD","CON 12 PT LOT 1 RP 59R13436;PARTS 1 AND 2","1008","12000","0","0","21788","-79.2877","43.0063"
"3291","Building","Alteration","Residential","Single Detached Dwelling","2008-07-14","2008-07-15","B08-212","56 SUMBLER RD","CON 11 PT LOT 1 RP 59R6580;PART 1","0","10000","0","0","18977","-79.2885","43.0071"
"3289","Sign","New","Commercial","Office","2008-07-09","2008-07-15","S08-011","196 THOROLD RD","PT TWP LOT 242 RP 59R2523;PART 7","48","2800","0","0","16678","-79.2630","43.0041"
"3267","Pool","New","Accessory","","2008-07-04","2008-07-15","W08-039","64 GATE ST","PLAN 59M 215 LOT 14","476","31000","0","0","12940","-79.2821","42.9952"
"3283","Pool","New","Accessory","","2008-07-08","2008-07-15","W08-044","294 ST LAWRENCE DR","PLAN 59M230 LOT 112","255","3000","0","0","1865","-79.2438","43.0261"
"3295","Building","Alteration","Residential","Single Detached Dwelling","2008-07-16","2008-07-17","B08-214","304 MCALPINE AVE","PLAN 40 PT LOT 737 LOT 738 NP960","90","10500","0","0","9708","-79.2349","42.9869"
"3302","Plumbing","Alteration","Residential","Single Detached Dwelling","2008-07-17","2008-07-17","P08-059","518 FIRST AVE","PLAN M25 PT LOT 10 RP 59R1724 PART 1 PART 2","0","1200","0","0","18173","-79.2595","43.0159"
"3222","Building","Addition","Industrial","Welding Shop","2008-06-18","2008-07-18","B08-173","12 DARTE DR","PL27 LOTS 137 TO LOT 139 PT;LOTS 98 TO 100 PT OF REGAL AVE AND PT OF CLARK ST RP 9R1680 PART 9 NP948","1200","20000","0","0","366","-79.2642","42.9635"
"3297","Sign","New","Commercial","Retail Plaza","2008-07-16","2008-07-18","S08-012","815 ONTARIO RD","CON 6 PT LOT 23 RP 59R10900;PARTS 1 TO 6","43","2000","0","0","20027","-79.2403","42.9759"
"3296","Pool","New","Accessory","","2008-07-16","2008-07-18","W08-047","94 FOXTAIL AVE","PLAN 59M246 LOT 86","450","1000","0","0","19048","-79.2889","42.9990"
"3225","Building","New","Commercial","Hub Room","2008-06-20","2008-07-19","B08-176","6 RIVERSIDE DR","PLAN 1649 PT LOT HAR NP564;RP 59R4380 PART 3","969","160000","0","0","11994","-79.2597","42.9903"
"3309","Building","Alteration","Residential","Single Detached Dwelling","2008-07-21","2008-07-21","B08-223","248 WALLACE AVE","PLAN 40 LOT 558 PT LOT 559;NP960","0","4500","0","0","9599","-79.2339","42.9890"
"3294","Plumbing","Alteration","Residential","Single Detached Dwelling","2008-07-15","2008-07-21","P08-058","50 HIGHLAND GDNS","PLAN 940 LOTS 30 & 31 NP 562","0","1400","0","0","19704","-79.2573","42.9963"
"3293","Pool","New","Accessory","","2008-07-15","2008-07-21","W08-046","662 LYONS CREEK RD","CON 4 PT LOT 13","452","2200","0","0","6453","-79.1869","42.9937"
"3304","Pool","New","Accessory","","2008-07-18","2008-07-21","W08-048","163 NORTH VALLEY DR","PLAN 59M165 LOT 9","392","26700","0","0","17265","-79.2825","43.0080"
"3312","Plumbing","Alteration","Residential","Single Detached Dwelling","2008-07-21","2008-07-22","P08-060","109 ROOSEVELT AVE","PLAN 54 LOT 206","0","1600","0","0","7782","-79.2377","42.9807"
"3313","Plumbing","Alteration","Residential","Single Detached Dwelling","2008-07-21","2008-07-22","P08-061","23 CRANBROOK CRES","PLAN 92 LOT 293 NP640","0","1800","0","0","16422","-79.2697","43.0067"
"3292","Building","New","Accessory","Detached Garage","2008-07-15","2008-07-23","B08-213","15 JOSHUA CRT","PLAN M199 PT LOT 8 RP;59R7854 PART 1","384","10000","0","0","1338","-79.2674","42.9809"
