OBJECTID,PERMITNUMBER,DESCRIPTION,APPLIEDDATE,ISSUEDDATE,COMPLETEDDATE,STATUSCURRENT,ORIGINALADDRESS1,ORIGINALADDRESS2,ORIGINALCITY,ORIGINALSTATE,ORIGINALZIP,PERMITCLASS,WORKCLASS
180,16-113218-01-C3,"REVISED TO ALTER LAYOUT OF WASHROOMS AND OFFICE AREA. Alterations to Unit 101 of the existing commercial building for a new restaurant ""Nique Restaurant"".",2016-08-11T00:00:00.000Z,2016-08-11T00:00:00.000Z,2016-10-17T00:00:00.000Z,Closed,123 JAMES N,NULL,HAMILTON,ON,NULL,Retail Complex/Plaza/Mall,Alteration
181,16-126096-00-C3,"Alterations to Unit 311B for modifications to existing salon  ""LAMOUR NAILS"". ",2016-09-01T00:00:00.000Z,2016-09-30T00:00:00.000Z,,Issued,999 UPPER WENTWORTH,NULL,HAMILTON,ON,L9A 4X5,Retail Complex/Plaza/Mall,Alteration
182,16-126109-00-C3,Alterations to repair the fire damaged area of the 1-storey commercial building at the shipping and receiving area for Shoppers Drug Mart.,2016-09-02T00:00:00.000Z,2016-09-20T00:00:00.000Z,,Issued,75 CENTENNIAL N,NULL,HAMILTON,ON,L8E 2P2,Retail Complex/Plaza/Mall,Alteration
183,16-114925-01-C3,"PERMIT REVISED to install a hand sink.  Alterations to existing food court unit, ""NEW YORK FRIES"".  ",2016-07-12T00:00:00.000Z,2016-07-25T00:00:00.000Z,,Issued,75 CENTENNIAL N,NULL,STONEY CREEK,NULL,NULL,Retail Complex/Plaza/Mall,Alteration
184,16-120033-00-C3,"Alterations to Unit 10 of the shell building for the interior fit-out of the restaurant, “BURRITOZ”. (Building B)",2016-07-26T00:00:00.000Z,2016-09-01T00:00:00.000Z,2017-01-12T00:00:00.000Z,Closed,94 DUNDAS E,NULL,FLAMBOROUGH,ON,NULL,Retail Complex/Plaza/Mall,Alteration
185,16-116986-00-C3,"Alterations to unit E4 to create ""DAVIDS TEA"".",2016-06-27T00:00:00.000Z,2016-07-26T00:00:00.000Z,2016-09-29T00:00:00.000Z,Closed,75 CENTENNIAL N,NULL,HAMILTON,ON,L8E 2P2,Retail Complex/Plaza/Mall,Alteration
186,15-115914-01-C3,"PERMIT REVISED to modify interior for ""COJONAZ"".  Alterations to Unit 207 of the 4-storey commercial building for a tenant fit-out to create ""CURDZ POUTINERIE"".",2016-07-07T00:00:00.000Z,2016-08-18T00:00:00.000Z,2017-01-12T00:00:00.000Z,Closed,180 JAMES S,NULL,HAMILTON,ON,L8P 4V1,Retail Complex/Plaza/Mall,Alteration
187,16-118361-00-C3,"Alterations for the interior fit-out of Unit 2B for a take-out restaurant (ice cream and smoothies), ""PARADISE SMOOTHIES"".   Unit created under previous Building Permit 15-102015.",2016-07-11T00:00:00.000Z,2016-08-12T00:00:00.000Z,2016-08-15T00:00:00.000Z,Closed,919 UPPER PARADISE,NULL,HAMILTON,ON,L9B 2M9,Retail Complex/Plaza/Mall,Alteration
188,16-112524-01-C3,"PERMIT REVISED to remove occupant load limitation. Alterations to Units 7 & 8 of the 1-storey commercial building to create retail store, “NEW SALLY BEAUTY”. (Building B)",2016-07-20T00:00:00.000Z,2016-07-20T00:00:00.000Z,2017-01-16T00:00:00.000Z,Closed,94 DUNDAS E,NULL,FLAMBOROUGH,ON,NULL,Retail Complex/Plaza/Mall,Alteration
189,16-119345-00-C3,"Alterations to the one storey Postal office building to create a pharmacy store together with a doctors clinic, plus three other separate retail units and to alter the M & E system. Alterations to the exterior of the Postal office building with new windows, doors and new ramps for a commercial building.",2016-07-21T00:00:00.000Z,2016-10-27T00:00:00.000Z,,Issued,726 UPPER GAGE,NULL,HAMILTON,ON,NULL,Retail Complex/Plaza/Mall,Alteration
190,16-113225-01-C3,"PERMIT REVISED for storefront. Alterations to Unit 221A for a retail store, ""MICHAEL HILL"".",2016-06-23T00:00:00.000Z,2016-07-14T00:00:00.000Z,2016-10-21T00:00:00.000Z,Closed,999 UPPER WENTWORTH,NULL,HAMILTON,ON,L9A 4X5,Retail Complex/Plaza/Mall,Alteration
191,16-118377-00-C3,"Alterations units 7 and 8 of the 1-storey commercial building to create paint store ""Sherwin-Williams""",2016-07-11T00:00:00.000Z,2016-09-14T00:00:00.000Z,,Revised,1317 BARTON E,H4,HAMILTON,ON,L8H 2V4,Retail Complex/Plaza/Mall,Alteration
195,16-118168-00-C3,"Alterations to combine Units 1 and 2 to expand existing restaurant, ""MONTFORT GRILL HOUSE"".",2016-07-06T00:00:00.000Z,2016-08-15T00:00:00.000Z,,Issued,35 STONE CHURCH,NULL,ANCASTER,ON,NULL,Retail Complex/Plaza/Mall,Alteration
192,16-118762-00-C3,"Alterations to the interior of the Retail store, to install a new 8' high partition wall with access door to separate the store into two stores.",2016-07-15T00:00:00.000Z,2016-11-15T00:00:00.000Z,,Issued,276 KENILWORTH N,NULL,HAMILTON,ON,L8H 4S9,Retail Complex/Plaza/Mall,Alteration
193,16-120601-00-C3,"To construct a sprinkler system for the 1-storey commercial building, ""CANADIDAN TIRE"".",2016-08-03T00:00:00.000Z,2016-08-30T00:00:00.000Z,2016-10-17T00:00:00.000Z,Closed,2160 RYMAL E,NULL,GLANBROOK,ON,NULL,Retail Complex/Plaza/Mall,Alteration
194,16-120702-00-C3,To repair the brick veneer and brick as shown on the plan along the perimeter of the building. ,2016-08-04T00:00:00.000Z,2016-08-31T00:00:00.000Z,2016-12-16T00:00:00.000Z,Closed,550 FENNELL E,NULL,HAMILTON,ON,L8V 1T1,Retail Complex/Plaza/Mall,Alteration
196,16-126257-00-C3,Alterations to the interior of Indigo book store.,2016-09-01T00:00:00.000Z,2016-10-07T00:00:00.000Z,,Issued,737 GOLF LINKS,NULL,ANCASTER,NULL,NULL,Retail Complex/Plaza/Mall,Alteration
197,16-116084-01-C3,PERMIT REVISED for new horizontal shaft wall ceiling. Alterations to Unit 261C for interior demolition and to construct a new demising wall at the rear of the unit to create a storage room for mall use.,2016-08-23T00:00:00.000Z,2016-09-16T00:00:00.000Z,2016-09-28T00:00:00.000Z,Closed,999 UPPER WENTWORTH,NULL,HAMILTON,ON,L9A 4X5,Retail Complex/Plaza/Mall,Alteration
198,16-115735-00-C3,"Alterations to the interior of the mall to create a new retail kiosk, ""IN TOUCH"".",2016-06-14T00:00:00.000Z,2016-08-04T00:00:00.000Z,2016-09-06T00:00:00.000Z,Closed,75 CENTENNIAL N,NULL,HAMILTON,ON,L8E 2P2,Retail Complex/Plaza/Mall,Alteration
199,16-113502-00-C3,"Alterations to Unit 213A for a retail store, ""ROOTS"".",2016-05-25T00:00:00.000Z,2016-06-14T00:00:00.000Z,2016-09-15T00:00:00.000Z,Closed,999 UPPER WENTWORTH,NULL,HAMILTON,ON,L9A 4X5,Retail Complex/Plaza/Mall,Alteration
200,16-104149-01-C3,"Revision to the original permit to change the interior layout of the one storey ""GOODLIFE FITNESS"" as per plan approved.  Original Permit: Alterations to interior of commercial building to create ""GOODLIFE FITNESS) center with fitness rooms, offices, open workout areas, washrooms/showers, locker rooms, etc.  REVISION TO WEST AREA",2016-05-27T00:00:00.000Z,2016-06-27T00:00:00.000Z,,Issued,640 QUEENSTON,NULL,HAMILTON,ON,L8K 1K2,Retail Complex/Plaza/Mall,Alteration
201,16-113218-00-C3,"Alterations to Unit 101 of the existing commercial building for a new restaurant ""Nique Restaurant"".",2016-05-18T00:00:00.000Z,2016-06-22T00:00:00.000Z,,Revised,123 JAMES N,NULL,HAMILTON,ON,NULL,Retail Complex/Plaza/Mall,Alteration
202,16-113225-00-C3,"Alterations to Unit 221A for a retail store, ""MICHAEL HILL"".",2016-05-18T00:00:00.000Z,2016-06-10T00:00:00.000Z,,Revised,999 UPPER WENTWORTH,NULL,HAMILTON,ON,L9A 4X5,Retail Complex/Plaza/Mall,Alteration
203,16-116318-00-C3,Alterations to a part of the south and east exterior walls of the existing plaza to install EIFS cladding.,2016-06-21T00:00:00.000Z,2016-07-20T00:00:00.000Z,2016-07-22T00:00:00.000Z,Closed,530 FENNELL E,NULL,HAMILTON,ON,NULL,Retail Complex/Plaza/Mall,Alteration
204,16-116084-00-C3,Alterations to Unit 261C for interior demolition and to construct a new demising wall at the rear of the unit to create a storage room for mall use.,2016-06-17T00:00:00.000Z,2016-07-20T00:00:00.000Z,2016-09-28T00:00:00.000Z,Closed,999 UPPER WENTWORTH,NULL,HAMILTON,ON,L9A 4X5,Retail Complex/Plaza/Mall,Alteration
205,16-114925-00-C3,"Alterations to existing food court unit, ""NEW YORK FRIES"".",2016-06-06T00:00:00.000Z,2016-06-20T00:00:00.000Z,,Revised,75 CENTENNIAL N,NULL,STONEY CREEK,NULL,NULL,Retail Complex/Plaza/Mall,Alteration
206,16-119536-00-C3,"Alteration to replace a portion of existing underground 8"" fire water main inside the WESTCLIFF MALL.",2016-07-25T00:00:00.000Z,2016-07-26T00:00:00.000Z,2016-08-22T00:00:00.000Z,Closed,640 MOHAWK W,NULL,HAMILTON,ON,L9C 1X6,Retail Complex/Plaza/Mall,Alteration
207,16-119563-00-C3,"Alterations to Unit 16 for the interior demolition only of the former office use,""TD BANK"".",2016-07-25T00:00:00.000Z,2016-08-12T00:00:00.000Z,,Issued,119 OSLER,NULL,DUNDAS,ON,L9H 6X4,Retail Complex/Plaza/Mall,Alteration
208,16-101471-00-C3,Alterations to Unit 3 of the 2-storey commercial building to create “SOLLOVA BAKERY”.,2016-01-21T00:00:00.000Z,2016-03-03T00:00:00.000Z,2016-05-30T00:00:00.000Z,Closed,784 CONCESSION,NULL,HAMILTON,ON,L8V 1C9,Retail Complex/Plaza/Mall,Alteration
209,16-101491-00-C3,"Alterations to Units 1 & 2 of the 2-storey building to create ""Doctor Office and Pharmacy"".",2016-01-21T00:00:00.000Z,2016-04-25T00:00:00.000Z,2016-11-22T00:00:00.000Z,Closed,2732 BARTON E,NULL,HAMILTON,ON,L8E 4M6,Retail Complex/Plaza/Mall,Alteration
211,16-107739-00-C3,Alterations to Unit 17A of the 1-storey commercial building to create “FLYING SQUIRREL”.,2016-03-24T00:00:00.000Z,2016-05-20T00:00:00.000Z,2016-10-31T00:00:00.000Z,Closed,1576 UPPER JAMES,NULL,HAMILTON,ON,L9B 1K3,Retail Complex/Plaza/Mall,Alteration
210,16-110483-00-C3,Alteration to demolish a portion of damaged exterior block wall located at the south-east concern of an existing non residential commercial building.,2016-04-22T00:00:00.000Z,2016-04-29T00:00:00.000Z,2016-08-15T00:00:00.000Z,Closed,200 NEBO,NULL,HAMILTON,ON,NULL,Retail Complex/Plaza/Mall,Alteration
212,16-116103-00-C3,"Alterations to the shell building for the interior fit-out of Unit 1.3B ""GREAT CLIPS BARBER SHOP"".",2016-06-17T00:00:00.000Z,2016-08-22T00:00:00.000Z,2016-11-16T00:00:00.000Z,Closed,1191 WILSON W,C1.1-C1.4,ANCASTER,ON,L9G 0E8,Retail Complex/Plaza/Mall,Alteration
213,16-116159-00-C3,Alterations to unit C1.2. of the existing one storey building for modifications to the sprinkler system for LCBO retail store.,2016-06-20T00:00:00.000Z,2016-07-21T00:00:00.000Z,2016-08-23T00:00:00.000Z,Closed,1191 WILSON W,C1.1-C1.4,ANCASTER,ON,L9G 0E8,Retail Complex/Plaza/Mall,Alteration
214,16-112524-00-C3,"Alterations to Units 7 & 8 of the 1-storey commercial building to create retail store, “NEW SALLY BEAUTY”. (Building B)",2016-05-13T00:00:00.000Z,2016-07-04T00:00:00.000Z,,Revised,94 DUNDAS E,NULL,FLAMBOROUGH,ON,NULL,Retail Complex/Plaza/Mall,Alteration
215,16-115591-00-C3,Alterations to the fire sprinkler system for new tenant fit up of Good Life Fitness.,2016-06-14T00:00:00.000Z,2016-07-14T00:00:00.000Z,,Issued,640 QUEENSTON,NULL,HAMILTON,ON,L8K 1K2,Retail Complex/Plaza/Mall,Alteration
216,15-128073-00-C3,"To install a sprinkler system to serve the entire building ""FACTORY SHOE"".",2015-11-25T00:00:00.000Z,2016-01-20T00:00:00.000Z,2016-12-21T00:00:00.000Z,Closed,1179 UPPER JAMES,NULL,HAMILTON,ON,NULL,Retail Complex/Plaza/Mall,Alteration
217,15-129883-00-C3,"Alterations to Unit 216A of Lime Ridge Mall for a retail store, ""TORRID"".",2015-12-14T00:00:00.000Z,2016-01-12T00:00:00.000Z,2016-03-18T00:00:00.000Z,Closed,999 UPPER WENTWORTH,NULL,HAMILTON,ON,L9A 4X5,Retail Complex/Plaza/Mall,Alteration
218,16-100154-00-C3,Alterations to Unit 100A of Jackson Square to create Venti-Cafe,2015-12-23T00:00:00.000Z,2016-02-05T00:00:00.000Z,2016-05-06T00:00:00.000Z,Closed,100 KING W,NULL,HAMILTON,ON,L8P 1A1,Retail Complex/Plaza/Mall,Alteration
219,15-128673-00-C3,To install a sprinkler system to service the entire building.,2015-12-02T00:00:00.000Z,2016-01-07T00:00:00.000Z,,Issued,1179 WILSON W,C5,ANCASTER,NULL,NULL,Retail Complex/Plaza/Mall,Alteration
220,15-128686-00-C3,To install a sprinkler system to service the entire building.,2015-12-02T00:00:00.000Z,2016-01-07T00:00:00.000Z,,Issued,1183 WILSON W,C4,ANCASTER,NULL,NULL,Retail Complex/Plaza/Mall,Alteration
221,15-120051-00-C3,"Alterations to Unit C4 of the 1-storey commercial building to create ""BLANC NAIL BAR"".",2015-08-27T00:00:00.000Z,2016-02-29T00:00:00.000Z,2016-05-18T00:00:00.000Z,Closed,1170 RYMAL E,NULL,HAMILTON,NULL,NULL,Retail Complex/Plaza/Mall,Alteration
222,15-127722-00-C3,Alterations to the second floor of the existing hotel to create 4 meeting rooms.,2015-11-20T00:00:00.000Z,2016-02-01T00:00:00.000Z,2016-05-09T00:00:00.000Z,Closed,116 KING W,NULL,HAMILTON,ON,L8P 4V3,Retail Complex/Plaza/Mall,Alteration
223,16-102907-00-C3,Alterations to Unit 221A for interior demolition and construction of a new demising wall to subdivide the vacant tenant space into two vacant units.,2016-02-03T00:00:00.000Z,2016-03-03T00:00:00.000Z,2016-07-29T00:00:00.000Z,Closed,999 UPPER WENTWORTH,NULL,HAMILTON,ON,L9A 4X5,Retail Complex/Plaza/Mall,Alteration
224,16-102908-00-C3,Alterations to Unit 153 for interior demolition and construction of a new demising wall to subdivide the vacant tenant space into two vacant units: Unit 153 & 154.,2016-02-03T00:00:00.000Z,2016-03-03T00:00:00.000Z,,Issued,999 UPPER WENTWORTH,NULL,HAMILTON,ON,L9A 4X5,Retail Complex/Plaza/Mall,Alteration
225,16-102940-00-C3,"Alterations to Unit 5 of the 2-storey commercial building to create ""THE CRUX ESCAPE ROOMS"".",2016-02-04T00:00:00.000Z,2016-08-24T00:00:00.000Z,,Issued,833 UPPER JAMES,NULL,HAMILTON,ON,NULL,Retail Complex/Plaza/Mall,Alteration
226,16-102949-00-C3,"Alterations to the existing sprinkler system of the one storey commercial building to accommodate the new superstore ""No Frills"", a vacant store and the new ""Goodlife Fitness"".",2016-02-04T00:00:00.000Z,2016-03-23T00:00:00.000Z,2016-03-24T00:00:00.000Z,Closed,640 QUEENSTON,NULL,HAMILTON,ON,L8K 1K2,Retail Complex/Plaza/Mall,Alteration
227,16-109234-00-C3,Change of use from group E to Group D Siagon Nails & SPA,2016-04-12T00:00:00.000Z,2016-05-17T00:00:00.000Z,2016-05-25T00:00:00.000Z,Closed,66 MALL,NULL,HAMILTON,ON,L8V 5B9,Retail Complex/Plaza/Mall,Alteration
228,16-110367-00-C3,"Alterations to the interior of Unit G013A inside the mall Eastgate Square to create, ""TRANSAT TRAVEL"".",2016-04-22T00:00:00.000Z,2016-05-18T00:00:00.000Z,2016-08-26T00:00:00.000Z,Closed,75 CENTENNIAL N,NULL,STONEY CREEK,NULL,NULL,Retail Complex/Plaza/Mall,Alteration
231,16-127165-00-C3,"Alterations to Unit  0261C for interior fit out for new tenant ""JUMP +""",2016-09-13T00:00:00.000Z,2016-09-27T00:00:00.000Z,2016-11-24T00:00:00.000Z,Closed,999 UPPER WENTWORTH,NULL,HAMILTON,ON,L9A 4X5,Retail Complex/Plaza/Mall,Alteration
229,16-104037-00-C3,"Alterations to Unit 3 of the 1-storey commercial building to create “DESIGNER SHOE WAREHOUSE"".",2016-02-12T00:00:00.000Z,2016-03-14T00:00:00.000Z,2016-08-30T00:00:00.000Z,Closed,60 MARTINDALE,NULL,ANCASTER,ON,L8N 1H5,Retail Complex/Plaza/Mall,Alteration
230,16-111110-00-C3,Alterations to Unit 28 of the commercial building to reconfigure furniture for “KFC”.,2016-04-29T00:00:00.000Z,2016-05-30T00:00:00.000Z,2016-07-20T00:00:00.000Z,Closed,640 MOHAWK W,NULL,HAMILTON,ON,L9C 1X6,Retail Complex/Plaza/Mall,Alteration
232,16-133164-00-C3,Alterations to Unit 0101 for interior demolition and construction of a new demising wall to create Unit 0101A (landlord work only). ,2016-11-24T00:00:00.000Z,2016-12-22T00:00:00.000Z,,Issued,999 UPPER WENTWORTH,NULL,HAMILTON,ON,L9A 4X5,Retail Complex/Plaza/Mall,Alteration
233,16-129896-00-C3,Alterations to replace the fire alarm control panel.,2016-10-14T00:00:00.000Z,2016-10-21T00:00:00.000Z,,Issued,1095 FENNELL E,NULL,HAMILTON,NULL,L8T 1S1,Retail Complex/Plaza/Mall,Alteration
234,16-118427-00-C3,"To construct a 1 h fire separation between the 1st floor commercial units (309 and 311 King St E) and the 2nd floor residential units as required by item 2 of Fire Safety Inspection Report dated March 10, 2016.",2016-07-12T00:00:00.000Z,2016-07-26T00:00:00.000Z,,Issued,309 KING E,NULL,HAMILTON,ON,NULL,Retail Complex/Plaza/Mall,Fire Retrofit
235,16-117165-00-C3,To repair the damaged exterior block wall located at the south-east corner of an existing non residential commercial building.,2016-06-28T00:00:00.000Z,2016-07-23T00:00:00.000Z,2016-08-15T00:00:00.000Z,Closed,200 NEBO,NULL,HAMILTON,ON,NULL,Retail Complex/Plaza/Mall,Repair
236,16-107597-00-C3,To install a sprinkler system to serve the entire building.,2016-03-23T00:00:00.000Z,2016-04-22T00:00:00.000Z,2016-09-06T00:00:00.000Z,Closed,60 MARTINDALE,NULL,ANCASTER,ON,L8N 1H5,Stores,New Construction
237,16-105245-00-C3,"Alteration to Unit ""H1"" and Unit ""G"" the ""Big Bear Variety Store"". Create a new doorway on the original demising wall between Unit ""H1"" and Unit ""G"", construct a new 1 hour rated demising wall inside Unit G to separate the 30' 10"" x 60' 11"" = 1878.26 ft2 or 164.5 m2 new Unit H1 from Unit ""G1"" and tenant fit out for new office Unit ""H1"" of the existing commercial building..",2016-02-26T00:00:00.000Z,2016-04-12T00:00:00.000Z,2016-06-24T00:00:00.000Z,Closed,160 CENTENNIAL N,NULL,HAMILTON,ON,NULL,Stores,New Construction
238,15-123813-00-C3,"To construct a 14,478 m2 1-storey commercial building, ""COSTCO"".",2015-10-09T00:00:00.000Z,2016-11-29T00:00:00.000Z,,Issued,1330 SOUTH SERVICE,NULL,STONEY CREEK,NULL,L8E 5C5,Stores,New Construction
239,16-115521-00-C3,"Alterations to the shell building for the interior fit-out of Unit 1.3C ""SALLY BEAUTY"".",2016-06-10T00:00:00.000Z,2016-08-20T00:00:00.000Z,2016-10-24T00:00:00.000Z,Closed,1191 WILSON W,C1.1-C1.4,ANCASTER,ON,L9G 0E8,Stores,New Construction
240,15-123441-01-C3,"PERMIT REVISED  to reduce number of demising walls to accommodate leasing plan (total number of units is 5 instead of 10).   To construct the SHELL ONLY of a sprinklered 1-storey, 6,812.30 m2 (GFA) (including 504.37 m2 mezzanine in building C1.1) commercial building.",2016-07-21T00:00:00.000Z,2016-08-19T00:00:00.000Z,2017-01-17T00:00:00.000Z,Closed,1191 WILSON W,C1.1-C1.4,ANCASTER,ON,L9G 0E8,Stores,New Construction
241,16-111556-00-C3,"To construct a sprinklered 1-storey, 2881 m2 building for ""NOFRILLS"" (with closed mezzanine).",2016-05-03T00:00:00.000Z,2016-06-22T00:00:00.000Z,,Occupancy,36 CLAPPISON,E,FLAMBOROUGH,ON,NULL,Stores,New Construction
242,16-116263-00-C3,"Alterations to the shell building for the interior fit-out of the ground floor commercial units for ""JAMES NORTH GENERAL STORE"" and ""COTTAGE 13 TATTOO"".",2016-06-21T00:00:00.000Z,2016-07-21T00:00:00.000Z,2016-08-09T00:00:00.000Z,Closed,95 JAMES N,NULL,HAMILTON,ON,NULL,Stores,New Construction
243,15-129367-00-C3,"To construct the superstructure of a 1-storey, 2398m2 retail store.",2015-12-10T00:00:00.000Z,2016-02-05T00:00:00.000Z,2016-08-19T00:00:00.000Z,Closed,120 PORTIA,NULL,ANCASTER,ON,L9G 0G1,Stores,New Construction
244,15-130018-00-C3,"Alterations to Unit B4 of the shell building for the interior fit-out of the optical office, “FAMILY EYE CARE”.",2015-12-22T00:00:00.000Z,2016-02-10T00:00:00.000Z,,Issued,1146 WILSON W,NULL,ANCASTER,ON,L9G 3K9,Stores,New Construction
245,16-116416-00-C3,"Alteration to unit 237 of the existing building for new tenant ""Booster Juice"".",2016-06-20T00:00:00.000Z,2016-07-20T00:00:00.000Z,2016-10-07T00:00:00.000Z,Closed,100 KING W,NULL,HAMILTON,ON,L8P 1A1,Stores,Alteration
249,16-107786-00-C3,"Alterations to Unit 136B for a retail store, ""MINT"".",2016-03-29T00:00:00.000Z,2016-04-27T00:00:00.000Z,2016-09-28T00:00:00.000Z,Closed,999 UPPER WENTWORTH,NULL,HAMILTON,ON,L9A 4X5,Stores,Alteration
246,16-119552-00-C3,Alterations to the first and second floor of the existing multi-storey mixed use building for upgrades to the mechanical and electrical systems.,2016-07-22T00:00:00.000Z,2016-08-22T00:00:00.000Z,,Issued,100 MAIN E,NULL,HAMILTON,ON,L8N 1G3,Stores,Alteration
247,16-106038-00-C3,Alterations to UNIT 8 to construct a demising wall.,2016-03-08T00:00:00.000Z,2016-04-07T00:00:00.000Z,,Issued,310 LIMERIDGE W,NULL,HAMILTON,NULL,L9C 2V2,Stores,Alteration
248,15-114274-01-C3,"PERMIT REVISED to install a 2nd electromagnetic locking device (also on a rear exit door). To install one (1) electromagnetic locking device on a rear exit door serving the existing retail store, ""WALMART"".",2016-01-19T00:00:00.000Z,2016-02-03T00:00:00.000Z,,Issued,499 MOHAWK E,NULL,HAMILTON,ON,L8V 2J4,Stores,Alteration
250,15-124349-01-C3,PERMIT REVISED for changes to the sprinkler system.  To install a sprinkler system to serve the entire building (C1.1 to C1.3).,2016-01-13T00:00:00.000Z,2016-03-04T00:00:00.000Z,2016-10-18T00:00:00.000Z,Closed,1191 WILSON W,C1.1-C1.4,ANCASTER,ON,L9G 0E8,Stores,Alteration
251,16-115585-00-C3,Alterations to Unit 17A of the 1-storey commercial building for alterations to the sprinkler system “FLYING SQUIRREL”.,2016-06-14T00:00:00.000Z,2016-07-15T00:00:00.000Z,,Issued,1576 UPPER JAMES,NULL,HAMILTON,ON,L9B 1K3,Stores,Alteration
252,16-114758-00-C3,Alterations to existing commercial building for localized concrete restoration and waterproofing.,2016-06-06T00:00:00.000Z,2016-07-08T00:00:00.000Z,2017-01-12T00:00:00.000Z,Closed,100 KING W,NULL,HAMILTON,ON,L8P 1A1,Stores,Alteration
253,16-116922-00-C3,Alterations to the hub drain inside the store.,2016-06-27T00:00:00.000Z,2016-07-22T00:00:00.000Z,2016-11-16T00:00:00.000Z,Closed,1900 KING E,NULL,HAMILTON,ON,L8K 1W1,Stores,Alteration
254,16-114710-00-C3,"Alterations to Unit 11 of the existing commercial building for tenant improvements ""LCBO"".  ",2016-06-02T00:00:00.000Z,2016-07-06T00:00:00.000Z,2016-11-07T00:00:00.000Z,Closed,1550 UPPER JAMES,NULL,HAMILTON,ON,L9B 1K3,Stores,Alteration
255,15-129459-00-C3,To install a sprinkler system and a standpipe system to serve the entire building.,2015-12-11T00:00:00.000Z,2016-01-29T00:00:00.000Z,,Revised,95 JAMES N,NULL,HAMILTON,ON,NULL,Stores,Alteration
256,15-128841-00-C3,"Alterations to the ground floor of the existing commercial building  and to change the use to a nail salon ""BUFFED NAIL BAR"".",2015-12-04T00:00:00.000Z,2016-01-08T00:00:00.000Z,2016-02-26T00:00:00.000Z,Closed,1047 KING W,NULL,HAMILTON,NULL,L8S 1L6,Stores,Alteration
257,15-126537-00-C3,"To install 1456, 1.64m2 solar collectors on the roof of the existing building.",2015-11-05T00:00:00.000Z,2016-03-30T00:00:00.000Z,2016-11-21T00:00:00.000Z,Closed,350 CENTENNIAL N,NULL,HAMILTON,ON,NULL,Stores,Alteration
258,15-130033-00-C3,Alterations to the interior and exterior of the existing retail building to prepare for future tenant fit-out.,2015-12-22T00:00:00.000Z,2016-02-01T00:00:00.000Z,,Issued,60 MARTINDALE,NULL,ANCASTER,ON,L8N 1H5,Stores,Alteration
259,15-130038-00-C3,Alterations to the existing 1-storey building for interior modifications to Canadian Tire Store/Mark's Work Warehouse,2015-12-18T00:00:00.000Z,2016-02-04T00:00:00.000Z,,Issued,11 CLAPPISON,NULL,FLAMBOROUGH,ON,NULL,Stores,Alteration
260,16-128186-00-C3,Alterations to demolish interior of existing unit and to construct exterior canopy for future STARBUCKS restaurant.,2016-09-23T00:00:00.000Z,2016-11-22T00:00:00.000Z,,Issued,151 YORK,NULL,HAMILTON,ON,NULL,Stores,Alteration
261,16-110499-01-C3,"PERMIT REVISED to update architectural, structural, mechanical and electrical drawings as per approved plans.   Alterations to Unit 17C of the 1-storey commercial building to create “JYSK”.",2016-10-17T00:00:00.000Z,2016-11-14T00:00:00.000Z,,Issued,1576 UPPER JAMES,NULL,HAMILTON,ON,L9B 1K3,Stores,Alteration
262,16-131268-00-C3,"Repairs to the exterior of the building (Shopper's Drugmart) due to vehicle impact as per engineer's report dated September 27, 2016. ",2016-11-02T00:00:00.000Z,2016-12-03T00:00:00.000Z,,Issued,510 CONCESSION,NULL,HAMILTON,ON,NULL,Stores,Alteration
263,16-129631-00-C3,Alterations to the exterior of the existing FOOD BASICS storefront on the south and west facades to install new EIFS stucco panels.,2016-10-12T00:00:00.000Z,2016-11-07T00:00:00.000Z,,Issued,505 RYMAL E,B,HAMILTON,ON,NULL,Stores,Alteration
264,16-134421-00-C3,"Alterations to Unit 447 for a retail store, ""FONELAB"".",2016-12-12T00:00:00.000Z,2016-12-21T00:00:00.000Z,,Issued,999 UPPER WENTWORTH,NULL,HAMILTON,ON,L9A 4X5,Stores,Alteration
268,16-110499-00-C3,Alterations to Unit 17C of the 1-storey commercial building to create “JYSK”.,2016-04-25T00:00:00.000Z,2016-05-24T00:00:00.000Z,,Revised,1576 UPPER JAMES,NULL,HAMILTON,ON,L9B 1K3,Stores,Alteration
265,16-129802-00-C3,"Alterations within the interior of existing 2-storey commercial mall to create a new 33.8 m2 kiosk on the second floor for ""MAGIC GIFT WORKSHOP"".",2016-10-13T00:00:00.000Z,2016-11-09T00:00:00.000Z,,Issued,999 UPPER WENTWORTH,NULL,HAMILTON,ON,L9A 4X5,Stores,Alteration
266,16-133953-00-C3,"Alterations to the corridor leading to the food court area to establish a kiosk, ""MOBILINQ"". ",2016-12-07T00:00:00.000Z,2016-12-19T00:00:00.000Z,,Issued,999 UPPER WENTWORTH,NULL,HAMILTON,ON,L9A 4X5,Stores,Alteration
267,16-106232-00-C3,Alterations to Unit 11 of the existing building for interior alterations for a new tenant LCBO.,2016-03-09T00:00:00.000Z,2016-05-11T00:00:00.000Z,2016-10-03T00:00:00.000Z,Closed,1550 UPPER JAMES,NULL,HAMILTON,ON,L9B 1K3,Stores,Alteration
269,16-101568-00-C3,Alteration to existing building to create Stephenson's Rental Services within Lowes Store.,2016-01-22T00:00:00.000Z,2016-04-15T00:00:00.000Z,2016-05-20T00:00:00.000Z,Closed,100 PORTIA,NULL,ANCASTER,ON,NULL,Stores,Alteration
