OPERATOR_NAME,BUSINESS_NAME,TYPE,STREET_ADDRESS,CITY,POSTAL_CODE,BUSINESS_PHONE,INSPECTION_URL,GOVERNING_ACT,GOVERNING_REGULATION,HEALTH_AUTHORITY,MENTAL_HEALTH,MENTAL_HEALTH_PUBLIC_UNITS,MENTAL_HEALTH_PRIVATE_PAY_UNITS,SENIOR_ASSISTED_LIVING,SENIOR_PUBLIC_UNITS,SENIOR_PRIVATE_PAY_UNITS,SUPPORTIVE_RECOVERY,SUPPORTIVE_RECOVERY_PUBLIC_UNITS,SUPPORTIVE_RECOVERY_PRIVATE_PAY_UNITS,LONGITUDE,LATITUDE
Chartwell Master Care LP together with 107153 BC Ltd.,Chartwell Kamloops Retirement Residence,Assisted Living,628 Tranquille Road,Kamloops,V2B 3H6,(250) 376-5363,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,0,60,N,,,-120.3601186,50.6952226
KinVillage Association,KinVillage Assisted Living,Assisted Living,5440 10th Avenue,Delta,V4M 3Y9,(604) 943-0155,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,68,0,N,,,-123.0724206,49.0214427
Powell River Kiwanis Housing Society,Kiwanis Garden Manor,Assisted Living,4923 Kiwanis Avenue,Powell River,V8A 5H5,(604) 485-5210,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Vancouver Coastal,N,,,Y,40,0,N,,,-124.5207197,49.849559
Nanaimo District Senior Citizens' Housing Development Society,Kiwanis Suites,Assisted Living,1234 Kiwanis Crescent,Nanaimo,V9S 5Y1,(250) 753-6471,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Island Health,N,,,Y,28,0,N,,,-123.9684613,49.1863565
Vantage Living Inc.,Kiwanis Manor,Assisted Living,959 21st Street,West Vancouver,V7V 4Y3,(604) 922-6149,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Vancouver Coastal,N,,,Y,36,0,N,,,-123.1687216,49.3333445
4 All Seasons Holdings Ltd.,La Rosa Gardens,Assisted Living,1211 Cloke Road,Ladysmith,V9G 2B6,(250) 245-1016,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Island Health,N,,,Y,22,0,N,,,-123.8346916,48.9962982
Northern Health Authority,Laurier Manor - Northern Health Authority,Assisted Living,2175 - 9th Avenue,Prince George,V2M 5E3,(250) 561-1408,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Northern Health,N,,,Y,32,0,N,,,-122.7659153,53.9162705
South Vancouver Island Housing Society,Legion Manor,Assisted Living,7601 East Saanich Road,Victoria,V8M 0A4,(250) 652-3261,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Island Health,N,,,Y,20,0,N,,,-123.4179964,48.5882046
Dawson Heights Housing Ltd.,The Cedars,Assisted Living,3710 Cedar Hill Road,Victoria,V8P 5V5,(250) 477-4850,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Island Health,N,,,Y,10,0,N,,,-123.3383825,48.4622038
Mission Association for Seniors Housing,The Cedars (Mission),Assisted Living,7380 Hurd Street,Mission,V2V 3H5,(604) 826-2194,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,40,18,N,,,-122.331947,49.1362414
Chartwell Master Care LP (Chartwell Chatsworth Retirement Residence),Chartwell Chatsworth Retirement Residences,Assisted Living,1831 Parkview Crescent,Kelowna,V1X 7G7,(250) 860-1064,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,0,55,N,,,-119.4258835,49.880941
"Diversicare Canada Management Services Co., Inc.",The Concorde Assisted Living Residence,Assisted Living,3235 Skaha Lake Road,Penticton,V2A 6G5,(250) 490-8800,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,23,19,N,,,-119.5889566,49.4597583
The Louis Brier Jewish Residence Society,The Harry and Jeanette Weinberg (of Baltimore) Residence,Assisted Living,5650 Osler Street,Vancouver,V6M 2W9,(604) 261-9622,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Vancouver Coastal,N,,,Y,14,26,N,,,-123.1292174,49.2346299
Steeples Housing Society,The Steeples,Assisted Living,9910 Esplanade Street,Chemainus,V0R 1K1,(250) 246-1805,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Island Health,N,,,Y,16,0,N,,,-123.7166365,48.9270048
Thompson View Manor Society,Thompson View Lodge,Assisted Living,710 Elm Street,Ashcroft,V0K 1A0,(250) 453-0085,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,10,0,N,,,-121.2793767,50.7342929
Thornebridge Gardens Holdings Ltd.,Thornebridge Gardens,Assisted Living,649 8th Avenue,New Westminster,V3M 2R2,(604) 524-6100,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,0,45,N,,,-122.9251906,49.2153674
Lakes District Senior Citizens Housing Association,Tweedsmuir House,Assisted Living,53 9th Avenue,Burns Lake,V0J 1E0,(250) 692-3781,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Northern Health,N,,,Y,17,0,N,,,-125.7640971,54.2354138
Yellowhead Pioneer Residence Society,Yellowhead Pioneer Residence,Assisted Living,4557 Barriere Town Road,Barriere,V0E 1E0,(250) 672-0019,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,10,0,N,,,-120.1250719,51.1812148
Halcyon Assisted Living Society,Halcyon House,Assisted Living,83 8th Avenue,Nakusp,V0G 1R0,(250) 265-3692,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,10,7,N,,,-117.8077844,50.2402094
Delta King Place Housing Society,Delta King Place,Assisted Living,701 Mountainview Square,Kitimat,V8C 2N1,(250) 632-6535,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Northern Health,N,,,Y,15,0,N,,,-128.6504321,54.0500231
S.U.C.C.E.S.S. Multi-Level Care Society,Austin Harris Residence,Assisted Living,5411 Moncton Street,Richmond,V7E 0A8,(604) 277-9819,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Vancouver Coastal,N,,,Y,50,0,N,,,-123.1642599,49.1257461
The Sto:lo Nation,Sto:lo Elders Lodge,Assisted Living,7519 Topaz Drive,Chilliwack,V2R 0E8,(604) 858-5591,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,15,0,N,,,-121.9666998,49.1386487
North Shore Private Hospital (1985) Ltd.,Lynn Valley House,Assisted Living,1070 Lynn Valley Road,North Vancouver,V7J 1Z8,(604) 982-3725,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Vancouver Coastal,N,,,Y,0,4,N,,,-123.0446964,49.3340774
Northern Health Authority,Heritage Manor II,Assisted Living,9824  106th Avenue,Fort Saint John,V1J 2N9,(250) 787-2376,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Northern Health,N,,,Y,24,0,N,,,-120.8454429,56.2522386
0741858 B.C. Ltd,Nicola Valley Seniors Residence - The Florentine,Assisted Living,4100 Belshaw Street,Merritt,V1K 0A5,(250) 378-5300,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,0,51,N,,,-120.7634019,50.1246261
Smithers Community Services Association,The Meadows,Assisted Living,1180 Alberta Street,Smithers,V0J 2N0,(250) 847-8884,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Northern Health,N,,,Y,14,0,N,,,-127.1650266,54.7752656
Harrison Landing Inc.,Harrison Landing,Assisted Living,20899 Douglas Cresent,Langley,V3A 9L3,(604) 530-7075,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,0,36,N,,,-122.6453631,49.1013665
Alberni Valley Assisted Living Society,Heritage Place (Alberni Valley),Assisted Living,4360 Heritage Lane,Port Alberni,V9Y 4C3,(250) 723-0480,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Island Health,N,,,Y,26,0,N,,,-124.7994974,49.2533611
The Royale West Coast LP  dba Mayfair Terrace Retirement Residence,Mayfair Terrace Retirement Residence,Assisted Living,2267 Kelly Avenue,Port Coquitlam,V3C 6N4,(604) 552-5552,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,0,40,N,,,-122.7811519,49.259316
Amica Beechwood Village Inc.,Amica Beechwood Village,Assisted Living,2315 Mills Road,Sidney,V8L 5W6,(250) 655-0849,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Island Health,N,,,Y,0,50,N,,,-123.403863,48.6542837
Amica Mature Lifestyles Inc.,Amica Douglas House,Assisted Living,50 Douglas Street,Victoria,V8V 2N8,(250) 383-6258,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Island Health,N,,,Y,0,30,N,,,-123.369556,48.4106234
Good Samaritan Canada,Village By the Station,Assisted Living,270 Hastings Avenue,Penticton,V2A 2V6,(250) 490-4949,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,35,0,N,,,-119.5957868,49.4844104
West Shore Lodge Ltd.,West Shore Lodge,Assisted Living,1828 Island Highway,Colwood,V9B 1J2,(250) 478-7527,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Island Health,N,,,Y,6,0,N,,,-123.4691908,48.4444075
Rodica Senior Home Care House,Rodica Senior Home Care House,Assisted Living,2568 Victoria Street,Prince George,V2L 5G8,(250) 563-9566,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Northern Health,N,,,Y,0,12,N,,,-122.7548885,53.8980527
Golden Life Management Corp.,Rose Wood Village,Assisted Living,8125 Devito Drive,Trail,V1R 4X9,(250) 364-3150,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,26,9,N,,,-117.6366632,49.0929297
Action Line Housing Society,Seton Villa,Assisted Living,3755 McGill Street,Burnaby,V5C 1M2,(604) 291-0607,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,28,0,N,,,-123.0216295,49.2888133
Beacon Community Association,Shoal Centre Assisted Living,Assisted Living,10030 Resthaven Drive,Sidney,V8L 3G4,(778) 351-0896,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Island Health,N,,,Y,25,0,N,,,-123.4028861,48.6540525
Wrinch Memorial Foundation,Skeena Place,Assisted Living,4780 Janze Way,Hazelton,V0J 1Y1,(250) 842-5217,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Northern Health,N,,,Y,6,0,N,,,-127.6495885,55.2600649
Lower Similkameen Community Services Society,Kyalami Place,Assisted Living,720 3rd Street,Keremeos,V0X 1N3,(250) 499-2366,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,13,1,N,,,-119.8332064,49.2049938
The Governing Council of The Salvation Army,Southview Heights,Assisted Living,7252 Kerr Street,Vancouver,V5S 3V2,(604) 438-3367,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Vancouver Coastal,N,,,Y,53,0,N,,,-123.0405446,49.2177384
Tabor Home Society,Tabor Court,Assisted Living,31954 Sunrise Crescent,Abbotsford,V2T 1N6,(604) 859-8718,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,88,16,N,,,-122.3384901,49.0465321
PR Seniors Housing Management 3 Ltd.,Terraces on 7th,Assisted Living,1570 West 7th Avenue,Vancouver,V6J 5M1,(604) 738-8380,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Vancouver Coastal,N,,,Y,3,22,N,,,-123.1399961,49.2651363
Eagle Valley Senior Citizen Housing Society,Eagle Valley Manor,Assisted Living,319 Gordon Mackie Lane,Sicamous,V0E 2V1,(250) 836-2314,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,12,0,N,,,-118.9823727,50.8339774
Morgan Heights Care Ltd.,The Residence at Morgan Heights,Assisted Living,15955 - 27th Avenue,Surrey,V3Z 3W3,(604) 535-1118,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,36,4,N,,,-122.7798803,49.0511752
Optima Retirement Services Ltd.,Royal Crescent Gardens,Assisted Living,11698 - 226th Street,Maple Ridge,V2X 6H1,(604) 463-6077,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,51,0,N,,,-122.5958527,49.2158637
The Royale LP,Pacifica Retirement Residence,Assisted Living,2525 King George Blvd.,Surrey,V4P 0C8,(604) 535-9194,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,0,50,N,,,-122.7976625,49.0477777
The Hamlets at Penticton Residence Inc.,The Hamlets at Penticton,Assisted Living,103 Duncan Avenue West,Penticton,V2A 2Y3,(250) 490-8503,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,0,20,N,,,-119.5897419,49.4840615
Northern Health Authority,Summit Residence,Assisted Living,1335 Summit Avenue,Prince Rupert,V8J 4L2,(250) 622-6451,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Northern Health,N,,,Y,15,0,N,,,-130.3292831,54.3042162
Shannon Falls Retirement Residence Partnership,Shannon Falls Retirement Residence,Assisted Living,114-38225 Third Avenue,Squamish,V8B 0S2,(604) 848-2000,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Vancouver Coastal,N,,,Y,20,10,N,,,-123.1539384,49.702788
The Royale West Coast LP,Peninsula Retirement Residence,Assisted Living,2088 - 152 Street,Surrey,V4A 9Z4,(604) 538-2033,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,0,45,N,,,-122.8008907,49.0396008
HCN - Revera Lessee (Whitecliff) LP,Whitecliff Retirement Residence,Assisted Living,15501 - 16th Avenue,Surrey,V4A 9M5,(604) 538-7227,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,0,40,N,,,-122.7930809,49.0312747
Resurrection Recovery Resources Society,Freedom's Door,Assisted Living,1279 Centennial Crescent,Kelowna,V1Y 6K3,(250) 717-0472,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,N,,,Y,20,20,-119.471561,49.8832475
John Howard Society of Okanagan & Kootenay,1043 Harvey House,Assisted Living,1043 Harvey Ave,Kelowna,V1Y6E4,(250) 717-0702,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Island Health,Y,9,0,N,,,N,,,-119.4784911,49.8832462
Lookout Housing and Health Society,Lookout Dovercourt,Assisted Living,1606 Lynn Valley Road,North Vancouver,V7J 2B4,(604) 982-9126,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Vancouver Coastal,N,,,N,,,Y,0,19,-123.0283132,49.34259
The Royale West Coast GP Corporation as gp of The Royale West Coast LP,Rideau Retirement Residence,Assisted Living,1850 Rosser Avenue,Burnaby,V5C 5E1,(604) 291-1792,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,0,40,N,,,-123.0055473,49.2677316
Quesnel Seniors Housing,Maeford Place Assisted Living Centre,Assisted Living,574 Kinchant Street,Quesnel,V2J 2R8,(250) 992-8342,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Northern Health,N,,,Y,35,1,N,,,-122.4938872,52.9819649
Connexus Community Resources Society,Riverside Place,Assisted Living,242 Louvain Street,Vanderhoof,V0J 3A0,(250) 567-9205,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Northern Health,N,,,Y,14,0,N,,,-124.0131889,54.0215498
The Hamlets at Westsyde Residence Inc.,The Hamlets at Westsyde,Assisted Living,3255 Overlander Drive,Kamloops,V2B 0A5,(250) 579-9061,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,10,25,N,,,-120.3413596,50.7709541
Good Samaritan Canada,Good Samaritan Canada Victoria Heights,Assisted Living,230 Ross Drive,New Westminster,V3L 0B1,(604) 523-9227,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,57,2,N,,,-122.8997466,49.2134562
Origin at Longwood,Origin at Longwood,Assisted Living,6205 Oliver Road,Nanaimo,V9T 6T1,(250) 751-7755,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Island Health,N,,,Y,0,40,N,,,-124.0321766,49.2207915
Golden Life Management Corp.,Garden View Village,Assisted Living,280 4th Avenue,Kimberley,V1A 2R6,(250) 427-4014,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,13,28,N,,,-115.9872666,49.6907045
BG Cedars Society,The Cedars at Beulah Gardens,Assisted Living,3355 East 5th Avenue,Vancouver,V5M 0A1,(604) 251-4114,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Vancouver Coastal,N,,,Y,89,0,N,,,-123.0322605,49.2661816
Strive Living Society,Liberty Place,Assisted Living,7899 17th Avenue,Burnaby,V3N 1M1,(604) 526-9933,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,20,0,N,,,-122.9352675,49.224454
