,Location,Address1,Address2,City,Phone,DateAvailable,BookingLink,VaccineType,VaccineType2,VaccineType3,walkInAvailability,DX_COORDINATES,Take Home Test Kits,POINT,LONGITUDE,LATITUDE
256,MEDIWELL PHARMACY,106-3840 104 AVE NE,,CALGARY,825-222-8900,Over 4 weeks,,PFIZER,,,True,"51.14783742137332, -113.97887721535922",,POINT (-113.978877215359 51.147837421373),-113.978877215359,51.147837421373
257,SOBEYS PHARMACY #1104,327 BLUEFOX BLVD N,,LETHBRIDGE,403-320-5618,Over 4 weeks,https://www.safeway.ca/vaccine-registration/,PFIZER,MODERNA,,False,"49.72811355590728, -112.81021708640435",,POINT (-112.810217086404 49.728113555907),-112.810217086404,49.728113555907
258,WHOLE HEALTH PHARMACY EDMONTON,13578B FORT RD NW,,EDMONTON,587-524-9928,Over 4 weeks,,PFIZER,MODERNA,,False,"53.59859405698685, -113.42285577143258",,POINT (-113.422855771433 53.598594056987),-113.422855771433,53.598594056987
259,TRINITY PHARMACY,10530 101 ST NW,,EDMONTON,780-752-2220,Over 4 weeks,,PFIZER,MODERNA,,True,"53.548701592005244, -113.4941813574633",,POINT (-113.494181357463 53.548701592005),-113.494181357463,53.548701592005
260,RX DRUG MART #2014,5028 50 ST,,BARRHEAD,780-674-2121,Over 4 weeks,,PFIZER,,,True,"54.119857201616824, -114.40478668949075",,POINT (-114.404786689491 54.119857201617),-114.404786689491,54.119857201617
261,TAWA PHARMASAVE,3013 66 ST NW,,EDMONTON,780-758-7283,Over 4 weeks,https://www.tawapharmasave.ca,PFIZER,MODERNA,,True,"53.46167069331454, -113.43299085746575",,POINT (-113.432990857466 53.461670693315),-113.432990857466,53.461670693315
262,GREENBROOK PHARMACY,344 8 ST E,,BROOKS,403-362-4283,Over 4 weeks,,PFIZER,,,True,"50.56623942403791, -111.88085645901572",,POINT (-111.880856459016 50.566239424038),-111.880856459016,50.566239424038
263,MEDICINE SHOPPE PHARMACY 372,203-8706 FRANKLIN AVE,,FORT MCMURRAY,587-536-6648,Over 4 weeks,https://www.medicineshoppe.ca/en/alberta/fort-mcmurray/the-medicine-shoppe-pharmacy-372-7022420,PFIZER,,,True,"56.721474334264755, -111.36265880154642",,POINT (-111.362658801546 56.721474334265),-111.362658801546,56.721474334265
264,MEDICINE SHOPPE PHARMACY 387,13703 93 ST NW,,EDMONTON,780-760-3387,Over 4 weeks,https://www.medicineshoppe.ca/en/alberta/edmonton/the-medicine-shoppe-pharmacy-387-7027091,PFIZER,MODERNA,,True,"53.60025033007542, -113.48464991711431",,POINT (-113.484649917114 53.600250330075),-113.484649917114,53.600250330075
265,East Calgary Health Centre Family Care Clinic,4715 8 Ave SE,,CALGARY,811,Starts June 15,https://www.albertahealthservices.ca/topics/Page17295.aspx,PFIZER,MODERNA,,True,"51.04509946728836, -113.96723463040288",,POINT (-113.967234630403 51.045099467288),-113.967234630403,51.045099467288
266,IDA COMMUNITY PHARMACY,36 EVERGREEN PK NW,,EDMONTON,587-523-0900,Over 4 weeks,https://www.bookmyshot.com/5875230900,PFIZER,MODERNA,,False,"53.632911014882836, -113.35185797257166",,POINT (-113.351857972572 53.632911014883),-113.351857972572,53.632911014883
267,MEDICINE SHOPPE PHARMACY 320,102-16028 100A AVE NW,,EDMONTON,780-487-6336,Over 4 weeks,https://www.medicineshoppe.ca/en/alberta/edmonton/the-medicine-shoppe-pharmacy-320-7008159,MODERNA,,,True,"53.54125358115344, -113.59899929992949",,POINT (-113.598999299929 53.541253581153),-113.598999299929,53.541253581153
268,SOBEYS PHARMACY #5190,5309 ELLERSLIE RD SW,,EDMONTON,780-450-1116,Over 4 weeks,https://www.safeway.ca/vaccine-registration/,PFIZER,,,True,"53.42441104276009, -113.4251908151372",,POINT (-113.425190815137 53.42441104276),-113.425190815137,53.42441104276
269,BALKWILL PHARMACY LTD.,223 MAIN ST,,TROCHU,403-442-3823,Over 4 weeks,,PFIZER,,,False,"51.82750491806628, -113.22721165713405",,POINT (-113.227211657134 51.827504918066),-113.227211657134,51.827504918066
270,MEDICINE SHOPPE PHARMACY 344,9559 118 AVE NW,,EDMONTON,780-477-3779,Over 4 weeks,https://www.medicineshoppe.ca/en/alberta/edmonton/the-medicine-shoppe-pharmacy-344-7011508,PFIZER,,,True,"53.57039804655016, -113.48973808643399",,POINT (-113.489738086434 53.57039804655),-113.489738086434,53.57039804655
271,IDEAL CARE PHARMACY,12147 82 ST NW,,EDMONTON,780-756-1236,Over 4 weeks,,PFIZER,MODERNA,,True,"53.576375904214565, -113.46673635709242",,POINT (-113.466736357092 53.576375904215),-113.466736357092,53.576375904215
272,SHOPPERS DRUG MART #331,180 CORNERSTONE MALL,6800 48 AVE,CAMROSE,780-672-4961,Over 4 weeks,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,PFIZER,MODERNA,,False,"53.0187860472885, -112.86480110142242",,POINT (-112.864801101422 53.018786047289),-112.864801101422,53.018786047289
273,DRUGSTORE PHARMACY #6717,5106 46 ST,,BONNYVILLE,780-812-3947,Over 4 weeks,https://www.wholesaleclub.ca/covid19,PFIZER,,,True,"54.28129906597499, -110.72575260440735",,POINT (-110.725752604407 54.281299065975),-110.725752604407,54.281299065975
274,UNIVERSAL HEALTH PHARMACY #12 DIDSBURY,106-2034 19 AVE,,DIDSBURY,403-335-8473,Over 4 weeks,https://www.universalhealthcentre.com,PFIZER,MODERNA,,True,"51.660439884334934, -114.13928091518672",,POINT (-114.139280915187 51.660439884335),-114.139280915187,51.660439884335
275,REXALL #7223,3-4502 50 ST,,PONOKA,403-783-5568,Over 4 weeks,https://www.rexall.ca/covid-19/alberta-vaccine,PFIZER,,,False,"52.671876443635334, -113.57989677119497",,POINT (-113.579896771195 52.671876443635),-113.579896771195,52.671876443635
276,MEDICINE SHOPPE PHARMACY 188,100-11910 111 AVE,,EDMONTON,780-455-1302,Over 4 weeks,https://www.medicineshoppe.ca/en/alberta/edmonton/the-medicine-shoppe-pharmacy-188-7034562,PFIZER,MODERNA,,False,"53.55838449834272, -113.52597577337167",,POINT (-113.525975773372 53.558384498343),-113.525975773372,53.558384498343
277,REXALL #7514,10507 KINGSWAY AVE NW,,EDMONTON,780-634-0461,Over 4 weeks,https://www.rexall.ca/covid-19/alberta-vaccine,PFIZER,,,False,"53.557195646761166, -113.500763576785",,POINT (-113.500763576785 53.557195646761),-113.500763576785,53.557195646761
278,LOBLAW PHARMACY #1577,5858 SIGNAL HILL CTR SW,,CALGARY,403-686-8035,Over 4 weeks,https://www.realcanadiansuperstore.ca/covid19,MODERNA,,,True,"51.02133800151927, -114.16788510147099",,POINT (-114.167885101471 51.021338001519),-114.167885101471,51.021338001519
279,SAFEWAY PHARMACY #8859,300-2 HEBERT RD,,ST ALBERT,780-460-9339,Over 4 weeks,https://www.safeway.ca/vaccine-registration/,PFIZER,,,True,"53.62263206239557, -113.60598737312247",,POINT (-113.605987373122 53.622632062396),-113.605987373122,53.622632062396
280,SHOPPERS DRUG MART #2409,4718 50 ST,,STETTLER,403-742-3367,Over 4 weeks,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,PFIZER,MODERNA,,True,"52.32262667129393, -112.70544954400366",,POINT (-112.705449544004 52.322626671294),-112.705449544004,52.322626671294
281,SAFEWAY PHARMACY #8867,11410 104 AVE NW,,EDMONTON,780-424-0666,Over 4 weeks,https://www.safeway.ca/vaccine-registration/,PFIZER,,,True,"53.54754034832534, -113.51793140935568",,POINT (-113.517931409356 53.547540348325),-113.517931409356,53.547540348325
282,SHOPPERS DRUG MART #2391,8756 COUNTRY HILLS BLVD NW,,CALGARY,403-208-4742,Over 4 weeks,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,PFIZER,,,True,"51.14996696064976, -114.21175238636569",,POINT (-114.211752386366 51.14996696065),-114.211752386366,51.14996696065
283,STOKES PHARMACY,408 4 AVE S,,LETHBRIDGE,403-380-3535,Over 4 weeks,https://stokes.medmeapp.com/schedule,PFIZER,,,True,"49.69444898146085, -112.8403498305811",,POINT (-112.840349830581 49.694448981461),-112.840349830581,49.694448981461
284,SHOPPERS DRUG MART #2315,102-11962 104 AVE NW,,EDMONTON,780-670-6922,Over 4 weeks,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,PFIZER,,,True,"53.54771322083544, -113.52638672894646",,POINT (-113.526386728946 53.547713220835),-113.526386728946,53.547713220835
285,WABAMUN PHARMACY LTD,5120 51 AVE,,WABAMUN,780-892-2418,Over 4 weeks,http://bookyourvisit.ca/wabamunpharmacy,PFIZER,MODERNA,,True,"53.55802193275887, -114.47194791513336",,POINT (-114.471947915133 53.558021932759),-114.471947915133,53.558021932759
286,COSTCO PHARMACY #1157,1075 ST. ALBERT TR,,ST ALBERT,780-544-2010,Over 4 weeks,https://www.costcopharmacy.ca/appointment,PFIZER,MODERNA,,True,"53.66952362928042, -113.63710631679469",,POINT (-113.637106316795 53.66952362928),-113.637106316795,53.66952362928
287,MINT HEALTH + DRUGS: BEAVERLODGE,112 10 ST,,BEAVERLODGE,780-354-2148,Over 4 weeks,https://www.mintdrugs.com,MODERNA,,,False,"55.20993861373877, -119.42863688878789",,POINT (-119.428636888788 55.209938613739),-119.428636888788,55.209938613739
288,VISTA PHARMACY & TRAVEL CLINIC,130A-920 36 ST NE,,CALGARY,403-460-3226,Over 4 weeks,https://www.vistapharmacy.ca,PFIZER,MODERNA,,True,"51.060325327843145, -113.9809978152033",,POINT (-113.980997815203 51.060325327843),-113.980997815203,51.060325327843
289,SHOPPERS DRUG MART #2355,28 CROWFOOT TERR NW,,CALGARY,403-241-8818,Over 4 weeks,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,PFIZER,MODERNA,,True,"51.12459751811486, -114.20358137318355",,POINT (-114.203581373184 51.124597518115),-114.203581373184,51.124597518115
290,SHOPPERS DRUG MART #355,1790-1632 14 AVE NW,,CALGARY,403-289-6761,Over 4 weeks,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,PFIZER,MODERNA,,True,"51.066323019841185, -114.10162354403835",,POINT (-114.101623544038 51.066323019841),-114.101623544038,51.066323019841
291,SOUTH TRAIL PHARMACY,78-4307 130 AVE SE,,CALGARY,403-475-8612,Over 4 weeks,,PFIZER,,,True,"50.93059254313827, -113.97307171520688",,POINT (-113.973071715207 50.930592543138),-113.973071715207,50.930592543138
292,SAFEWAY PHARMACY #8921,2304 109 ST NW,,EDMONTON,780-430-4269,Over 4 weeks,https://www.safeway.ca/vaccine-registration/,PFIZER,,,True,"53.45485952831057, -113.50904479641544",,POINT (-113.509044796415 53.454859528311),-113.509044796415,53.454859528311
293,SHOPPERS DRUG MART #2300,100-665 ST. ALBERT RD,,ST ALBERT,780-418-7891,Over 4 weeks,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,PFIZER,,,False,"53.656560367264, -113.62887271305092",,POINT (-113.628872713051 53.656560367264),-113.628872713051,53.656560367264
294,BENTLEY IDA,5018 50 AVE,,BENTLEY,403-748-3820,Over 4 weeks,,PFIZER,,,False,"52.46550339073427, -114.05121781479113",,POINT (-114.051217814791 52.465503390734),-114.051217814791,52.465503390734
295,MEDICINE SHOPPE PHARMACY 315,6525 118 AVE NW,,EDMONTON,780-479-2077,Over 4 weeks,https://www.medicineshoppe.ca/en/alberta/edmonton/the-medicine-shoppe-pharmacy-315-7008312,PFIZER,,,True,"53.57022436224803, -113.44257554410437",,POINT (-113.442575544104 53.570224362248),-113.442575544104,53.570224362248
296,PHARMASAVE #346,1D-3808 HIGHWAY ST,,VALLEYVIEW,780-524-2183,Over 4 weeks,,PFIZER,MODERNA,,False,"55.05127182089933, -117.28229883297",,POINT (-117.28229883297 55.051271820899),-117.28229883297,55.051271820899
297,LOBLAW PHARMACY #1544,12225 99 ST,,GRANDE PRAIRIE,780-831-3835,Over 4 weeks,https://www.realcanadiansuperstore.ca/covid19,PFIZER,MODERNA,,True,"55.191090814692735, -118.79075100136774",,POINT (-118.790751001368 55.191090814693),-118.790751001368,55.191090814693
298,REXALL #7238,14403 MILLER BLVD NW,,EDMONTON,780-475-1364,Over 4 weeks,https://www.rexall.ca/covid-19/alberta-vaccine,PFIZER,,,True,"53.60760166177484, -113.41318958104048",,POINT (-113.41318958104 53.607601661775),-113.41318958104,53.607601661775
299,HEALTH AID PHARMACY,12918 167 AVE NW,,EDMONTON,780-244-0803,Over 4 weeks,,PFIZER,,,False,"53.62942031224673, -113.54677535709112",,POINT (-113.546775357091 53.629420312247),-113.546775357091,53.629420312247
300,LIFE MED PHARMACY #2,218 CENTER ST,,VULCAN,403-485-2552,Over 4 weeks,,PFIZER,MODERNA,,True,"50.55832841710742, -113.25243621271233",,POINT (-113.252436212712 50.558328417107),-113.252436212712,50.558328417107
301,SHOPPERS DRUG MART #313,254 MEADOWLARK HEALTH CTR,87 AVE & 156 ST NW,EDMONTON,780-484-7718,Over 4 weeks,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,PFIZER,MODERNA,,True,"53.52081736103533, -113.5933808553326",,POINT (-113.593380855333 53.520817361035),-113.593380855333,53.520817361035
302,PREFERREDRX PHARMACY,1-4601 50 AVE,,OLDS,403-556-4155,Over 4 weeks,,PFIZER,,,False,"51.79479291332106, -114.10307476337209",,POINT (-114.103074763372 51.794792913321),-114.103074763372,51.794792913321
303,CRANSTON SMART DRUG MART,121-35 CRANFORD WAY SE,,CALGARY,587-623-1120,Over 4 weeks,https://www.cranstonpharmacy.com/,PFIZER,,,True,"50.86868515401452, -113.96842343017276",,POINT (-113.968423430173 50.868685154015),-113.968423430173,50.868685154015
304,SAFEWAY PHARMACY #8885,4202 SOUTH PARK DR,,STONY PLAIN,780-963-2264,Over 4 weeks,https://www.safeway.ca/vaccine-registration/,PFIZER,,,True,"53.54003448883053, -113.9788555080575",,POINT (-113.978855508057 53.540034488831),-113.978855508057,53.540034488831
305,MEDICINE SHOPPE PHARMACY 194,2303 4 ST SW,,CALGARY,403-229-3458,Over 4 weeks,https://www.medicineshoppe.ca/en/alberta/calgary/the-medicine-shoppe-pharmacy-194-7002313,PFIZER,MODERNA,,True,"51.03231992879565, -114.07189851520411",,POINT (-114.071898515204 51.032319928796),-114.071898515204,51.032319928796
306,SHOPPERS DRUG MART #2377,5970 MULLEN WAY NW,,EDMONTON,780-435-1782,Over 4 weeks,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,PFIZER,,,False,"53.43538214177696, -113.57133687280725",,POINT (-113.571336872807 53.435382141777),-113.571336872807,53.435382141777
307,HIGH RIVER PHARMACY,103 3 AVE SW,,HIGH RIVER,403-652-5608,Over 4 weeks,,PFIZER,MODERNA,,True,"50.58007659727062, -113.87258524367111",,POINT (-113.872585243671 50.580076597271),-113.872585243671,50.580076597271
308,WELLNESS DISPENSARY,26-10081 166 ST,,EDMONTON,780-930-1344,Over 4 weeks,,PFIZER,,,True,"53.5405804147211, -113.60716820289986",,POINT (-113.6071682029 53.540580414721),-113.6071682029,53.540580414721
309,FAMILY CARE PHARMACY,218-40 COUNTRY HILLS LANDNG NW,,CALGARY,587-352-2600,Over 4 weeks,,PFIZER,,,False,"51.142655397503624, -114.07037784838134",,POINT (-114.070377848381 51.142655397504),-114.070377848381,51.142655397504
310,ROYAL CARE DOUGLASDALE PHARMACY,6-20 DOUGLAS WOODS DR SE,,CALGARY,587-349-3443,Over 4 weeks,,PFIZER,MODERNA,,False,"50.943565580441906, -114.00199330572143",,POINT (-114.001993305721 50.943565580442),-114.001993305721,50.943565580442
311,SHOPPERS DRUG MART #2374,15969 97 ST NW,,EDMONTON,780-473-2813,Over 4 weeks,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,PFIZER,MODERNA,,True,"53.62060479726173, -113.4897931169779",,POINT (-113.489793116978 53.620604797262),-113.489793116978,53.620604797262
312,UNIVERSAL PHARMACY,113-5271 MEMORIAL DR SE,,CALGARY,403-235-0081,Over 4 weeks,,MODERNA,,,True,"51.05308992770506, -113.95625928821474",,POINT (-113.956259288215 51.053089927705),-113.956259288215,51.053089927705
313,SAVE-ON-FOODS PHARMACY #6623,400-100 SOUTHBANK BLVD,,OKOTOKS,587-757-8972,Over 4 weeks,https://saveonfoodspharmacy.medmeapp.com/schedule/,PFIZER,,,False,"50.707267517822196, -113.9482979499049",,POINT (-113.948297949905 50.707267517822),-113.948297949905,50.707267517822
314,PATIENT CARE PHARMACY,7707 85 ST NW,,EDMONTON,780-705-8100,Over 4 weeks,http://www.patientcarepharmacyedmonton.com,MODERNA,,,False,"53.51419382832625, -113.45739788661845",,POINT (-113.457397886618 53.514193828326),-113.457397886618,53.514193828326
315,SHOPPERS DRUG MART #2446,5351 167 AVE NW,,EDMONTON,780-478-7261,Over 4 weeks,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,PFIZER,,,True,"53.628464515561404, -113.41705518629618",,POINT (-113.417055186296 53.628464515561),-113.417055186296,53.628464515561
316,WAL-MART PHARMACY #3150,2051 STRACHAN RD SE,,MEDICINE HAT,403-526-1444,Over 4 weeks,https://portal.healthmyself.net/walmartab/forms/a66,PFIZER,,,True,"49.99362263327772, -110.64315754677442",,POINT (-110.643157546774 49.993622633278),-110.643157546774,49.993622633278
317,6&6 PHARMACY,526 6 ST S,,LETHBRIDGE,403-942-0044,Over 4 weeks,,PFIZER,,,False,"49.69189388865414, -112.83851237230212",,POINT (-112.838512372302 49.691893888654),-112.838512372302,49.691893888654
318,SAVE-ON-FOODS PHARMACY #6607,6406 FRANKLIN AVE,,FORT MCMURRAY,780-791-4147,Over 4 weeks,https://www.saveonfoods.com,PFIZER,MODERNA,,True,"56.718010604954635, -111.35540110872412",,POINT (-111.355401108724 56.718010604955),-111.355401108724,56.718010604955
319,VIKING PHARMACY,5305 51 ST,,VIKING,780-336-3380,Over 4 weeks,,PFIZER,MODERNA,,True,"53.09676372223644, -111.77849882864098",,POINT (-111.778498828641 53.096763722236),-111.778498828641,53.096763722236
320,WAL-MART PHARMACY #3038,PARKS WEST MALL,100-900 CARMICHAEL LANE,HINTON,780-865-1575,Over 4 weeks,https://portal.healthmyself.net/walmartab/forms/a66,PFIZER,,,False,"53.38371495782238, -117.62520481915517",,POINT (-117.625204819155 53.383714957822),-117.625204819155,53.383714957822
321,PHARMASAVE WESTMOUNT,10844 124 ST NW,,EDMONTON,780-249-9901,Over 4 weeks,https://www.pharmasave.com/edmonton-westmount,PFIZER,,,True,"53.55400169458897, -113.53575074798651",,POINT (-113.535750747987 53.554001694589),-113.535750747987,53.554001694589
322,MEDICINE SHOPPE PHARMACY 126,12-5440 4 ST NW,,CALGARY,403-274-3400,Over 4 weeks,https://www.medicineshoppe.ca/en/alberta/calgary/the-medicine-shoppe-pharmacy-126-7011287,PFIZER,,,False,"51.099479247407565, -114.07035164476649",,POINT (-114.070351644766 51.099479247408),-114.070351644766,51.099479247408
323,WAL-MART PHARMACY #1028,1801 SOUTH RAILWAY AVE,,DRUMHELLER,403-820-7741,Over 4 weeks,https://portal.healthmyself.net/walmartab/forms/a66,PFIZER,,,False,"51.45007900323477, -112.68827273053343",,POINT (-112.688272730533 51.450079003235),-112.688272730533,51.450079003235
324,MEDICINE SHOPPE PHARMACY 393,10714 142 ST NW,,EDMONTON,587-520-2061,Over 4 weeks,https://www.medicineshoppe.ca/en/alberta/edmonton/the-medicine-shoppe-pharmacy-393-7051291,PFIZER,MODERNA,,True,"53.55180776823176, -113.5671364594458",,POINT (-113.567136459446 53.551807768232),-113.567136459446,53.551807768232
325,REXALL #7284,116-817 19 ST NE,,CALGARY,403-277-2227,Over 4 weeks,https://www.rexall.ca/covid-19/alberta-vaccine,PFIZER,,,False,"51.05857866194498, -114.01455826590526",,POINT (-114.014558265905 51.058578661945),-114.014558265905,51.058578661945
326,MADIGAN PHARMACY,68-6060 MEMORIAL DR NE,,CALGARY,403-457-9250,Over 4 weeks,https://madiganpharmacy.myappts.ca/src/,PFIZER,MODERNA,,True,"51.05299776998445, -113.94273370186833",,POINT (-113.942733701868 51.052997769984),-113.942733701868,51.052997769984
327,BOYLE MCCAULEY PHARMACY & HOME HEALTH CARE,10817 95 ST NW,,EDMONTON,780-705-6333,Over 4 weeks,,MODERNA,,,True,"53.55524254897086, -113.48405065894534",,POINT (-113.484050658945 53.555242548971),-113.484050658945,53.555242548971
328,PHARMASAVE #312 LEGAL,4718 50 AVE,,LEGAL,780-961-2285,Over 4 weeks,,PFIZER,,,False,"53.94939125861901, -113.59109324982558",,POINT (-113.591093249826 53.949391258619),-113.591093249826,53.949391258619
329,CURE CARE PHARMACY,11-9104 179 AVE NW,,EDMONTON,587-459-4999,Over 4 weeks,https://forms.gle/Pof2d7Jv6J2R5ihU7,MODERNA,,,True,"53.64164879071526, -113.47844395894329",,POINT (-113.478443958943 53.641648790715),-113.478443958943,53.641648790715
330,REXALL #7516,118 10 ST,,WAINWRIGHT,780-842-3414,Over 4 weeks,https://www.rexall.ca/covid-19/alberta-vaccine,PFIZER,MODERNA,,True,"52.83346976619082, -110.86169465043282",,POINT (-110.861694650433 52.833469766191),-110.861694650433,52.833469766191
331,WAL-MART PHARMACY #1145,SOUTHPARK VILLAGE,3931 CALGARY TR NW,EDMONTON,780-433-2575,Over 4 weeks,https://portal.healthmyself.net/walmartab/forms/a66,PFIZER,,,True,"53.47553197266305, -113.4940168596329",,POINT (-113.494016859633 53.475531972663),-113.494016859633,53.475531972663
332,SAFEWAY PHARMACY #8830,TOWER LANE MALL,505 MAIN ST N,AIRDRIE,403-948-3361,Over 4 weeks,https://www.safeway.ca/vaccine-registration/,PFIZER,MODERNA,,True,"51.28883542928862, -114.01407513264104",,POINT (-114.014075132641 51.288835429289),-114.014075132641,51.288835429289
333,SHOPPERS DRUG MART #2413,100-2250 162 AVE SW,,CALGARY,403-201-8202,Over 4 weeks,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,MODERNA,,,True,"50.90812284550865, -114.10964918637232",,POINT (-114.109649186372 50.908122845509),-114.109649186372,50.908122845509
334,VILLAGE PHARMACY,9805 71 ST NW,,EDMONTON,780-440-4555,Over 4 weeks,,PFIZER,,,True,"53.53786975775802, -113.4365686286284",,POINT (-113.436568628628 53.537869757758),-113.436568628628,53.537869757758
335,LOBLAW PHARMACY #1550,PHARMACY DEPARTMENT #1550,1792 TRANS CANADA WAY SE,MEDICINE HAT,403-528-5735,Over 4 weeks,https://www.realcanadiansuperstore.ca/covid19,PFIZER,MODERNA,,True,"50.004219390543554, -110.65235171498837",,POINT (-110.652351714988 50.004219390544),-110.652351714988,50.004219390544
336,SAGE MEADOWS PHARMACY,240-2971 136 AVE NW,,CALGARY,587-997-0093,Over 4 weeks,,PFIZER,,,True,"51.17538135889466, -114.13147587688022",,POINT (-114.13147587688 51.175381358895),-114.13147587688,51.175381358895
337,FOREST HILLS PHARMASAVE #323,3-5315 17 AVE SE,,CALGARY,587-354-7766,Over 4 weeks,,PFIZER,MODERNA,,True,"51.03760600778254, -113.95798970133279",,POINT (-113.957989701333 51.037606007783),-113.957989701333,51.037606007783
338,REXALL #7285,70 HIGH ST SE,,CALGARY,403-257-3636,Over 4 weeks,https://www.rexall.ca/covid-19/alberta-vaccine,PFIZER,,,False,"50.91468586034687, -113.96055018875533",,POINT (-113.960550188755 50.914685860347),-113.960550188755,50.914685860347
339,PARSONS PHARMACY,1C-4755 49 ST,,RED DEER,403-986-0700,Over 4 weeks,,PFIZER,MODERNA,,True,"52.26762626376237, -113.8072085541157",,POINT (-113.807208554116 52.267626263762),-113.807208554116,52.267626263762
340,DOWNTOWN DRUGMART,115 8 AVE SW,STEPHEN AVE MALL,CALGARY,403-266-2059,Over 4 weeks,https://www.downtowndrugmart.myappts.ca/ssc,MODERNA,,,True,"51.04561822970537, -114.06392619948016",,POINT (-114.06392619948 51.045618229705),-114.06392619948,51.045618229705
341,DELTON SUPER DRUGS LTD.,12904 82 ST NW,,EDMONTON,780-476-8737,Over 4 weeks,,PFIZER,,,True,"53.587695774064585, -113.46772925709224",,POINT (-113.467729257092 53.587695774065),-113.467729257092,53.587695774065
342,LOBLAW PHARMACY #1565,10-110 JENNIFER HEIL WAY,,SPRUCE GROVE,780-960-7435,Over 4 weeks,https://www.realcanadiansuperstore.ca/covid19,PFIZER,,,False,"53.544182057913645, -113.93346842839583",,POINT (-113.933468428396 53.544182057914),-113.933468428396,53.544182057914
343,STUBBS PHARMACY,1506 9 AVE S,,LETHBRIDGE,403-328-5512,Over 4 weeks,,PFIZER,MODERNA,,False,"49.686494769182616, -112.82045654407574",,POINT (-112.820456544076 49.686494769183),-112.820456544076,49.686494769183
344,PONOKA PROFESSIONAL PHARMACY,20-5011 48 AVE,,PONOKA,403-783-7333,Over 4 weeks,https://www.calendly.com/ponoka,PFIZER,MODERNA,,True,"52.67438950347934, -113.57852696889736",,POINT (-113.578526968897 52.674389503479),-113.578526968897,52.674389503479
345,TWO PHARMACY,105-100 GRANDE BLVD W,,COCHRANE,,Over 4 weeks,https://www.twopharmacy.ca,PFIZER,MODERNA,,False,"51.18576124907873, -114.47443117287024",,POINT (-114.47443117287 51.185761249079),-114.47443117287,51.185761249079
346,WAL-MART PHARMACY #3009,WESTBROOK PLAZA,1212 37 ST SW,CALGARY,403-249-8904,Over 4 weeks,https://portal.healthmyself.net/walmartab/forms/a66,PFIZER,,,True,"51.041099035352225, -114.13962029222571",,POINT (-114.139620292226 51.041099035352),-114.139620292226,51.041099035352
347,NORTHEY REMEDY'S RX PHARMACY,190 NORTHEY AVE,,RED DEER,403-346-2367,Over 4 weeks,https://northeyremedysrx.medmeapp.ca/schedule,PFIZER,,,True,"52.30200945417577, -113.82650523050967",,POINT (-113.82650523051 52.302009454176),-113.82650523051,52.302009454176
348,SAFEWAY PHARMACY #8917,610 BIG ROCK LANE,,OKOTOKS,403-938-9351,Over 4 weeks,https://www.safeway.ca/vaccine-registration/,PFIZER,MODERNA,,False,"50.71705583906501, -113.97918845785102",,POINT (-113.979188457851 50.717055839065),-113.979188457851,50.717055839065
349,MEDICARE PLUS PHARMACY,7-6208 RUNDLEHORN DR NE,,CALGARY,403-453-6386,Over 4 weeks,,PFIZER,MODERNA,,True,"51.07169307195537, -113.94241146494126",,POINT (-113.942411464941 51.071693071955),-113.942411464941,51.071693071955
350,SHOPPERS DRUG MART #2358,6302 50 ST,,BEAUMONT,780-929-4231,Over 4 weeks,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,PFIZER,MODERNA,,True,"53.36373324334833, -113.41560413634691",,POINT (-113.415604136347 53.363733243348),-113.415604136347,53.363733243348
351,SAFEWAY PHARMACY #8820,524 ELBOW DR SW,,CALGARY,403-228-4240,Over 4 weeks,https://www.safeway.ca/vaccine-registration/,PFIZER,,,False,"51.030444181172726, -114.07217793270588",,POINT (-114.072177932706 51.030444181173),-114.072177932706,51.030444181173
352,SHOPPERS DRUG MART 2432,383 HERITAGE DR SE,,CALGARY,403-255-4998,Over 4 weeks,https://www.shoppersdrugmart.ca/covid19,PFIZER,MODERNA,,True,"50.979649839039936, -114.06096477554094",,POINT (-114.060964775541 50.97964983904),-114.060964775541,50.97964983904
353,SAFEWAY PHARMACY #8909,850 SADDLETOWNE CIR NE,,CALGARY,403-293-1670,Over 4 weeks,https://www.safeway.ca/vaccine-registration/,PFIZER,MODERNA,,True,"51.123753987441674, -113.94470210201922",,POINT (-113.944702102019 51.123753987442),-113.944702102019,51.123753987442
